,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.019648794649151924,,,,,,,,,,,-0.022793769632347607,,0.09595080607990561,
BMP1,-0.024956213053999022,0.0014676851467513732,-0.006784285231583962,0.014272570159243199,-0.00938596356065484,-0.0049541870995345495,0.000771599102303736,0.011727307533334003,-0.022647266078497992,-0.05687089968040455,0.0657194603902667,0.07069326156867035,0.1562209563860745,0.033888482489429265,0.006245715416247064,-0.007607170595940378,0.023251175657135335,0.1590675191136127,-0.05154192070774348
NDP,-0.023431869271384992,-0.010467259830321065,-0.02086208957365458,0.011380461212608599,0.008742253348560663,-0.015433913980769029,-0.0451461481536441,0.021986242928425558,-0.006098674794951786,0.005557212453038929,0.1029145080608634,-0.06383732551414056,-0.002232100519587278,0.030039430640214724,-0.007785536784396984,-0.00013030273468989703,0.05359096127156022,-0.0062456865260621395,0.010631690311848605
TNFSF18,0.030418619605692816,-0.010954285364985841,,-0.01880537762598286,0.009883932651039798,-0.0209506637031995,,,,,0.20886779468918737,-0.009855138955855087,,,,-0.0014249261712989693,,0.030047336084975545,-0.0043939823735858925
IL36G,,,,,,,,,,0.15858615870073473,,,,,,,,,
RTN4,0.04690016759086039,0.02680435642092123,-0.031376480114320676,0.14329368534756018,-0.0113877985650466,-0.01627328682982145,0.03716683764887954,0.09683645291233757,-0.0385786958431181,0.012038018358267113,0.015228137963779425,-0.046770905839933104,-0.0494987829007647,-0.06263585126670729,-0.10452032854998358,0.0726076472176362,0.004943844790708301,-0.04228852056396755,0.08512700716708081
HEBP1,-0.02200141036468581,-0.04098378716909904,0.07377662875456008,0.013993763064558839,-0.0010054760285570195,0.018988088310043158,-0.022047766871188437,-0.017143192453074767,-0.02037023741678849,-0.03900112540351256,0.08576666459312067,-0.00928251829782426,-0.005531423310650877,0.013837314976790513,0.04443400956518724,0.03381915158190648,-0.02711754986775931,0.08081734994653719,0.017585611953828056
WNT7B,-0.05257370951544945,-0.029736557374798307,0.016438776603327182,0.048886729780172396,-0.025007849054932325,-0.004958941619772303,-0.015983165036047003,,0.041237663622510586,0.003487725778749045,0.03610329368834011,,-0.03653403089881131,0.012445556750309332,0.020421254089044768,0.052641068720175564,0.03229162239587043,0.07877629265330392,-0.0581903367239242
PTMA,-0.03266685594694184,-0.07589009636249336,0.008672498883665754,-0.10562697936555547,0.04644459707732406,0.014453530910024192,-0.024510379274041007,-0.0737942584673876,0.016861608441136367,-0.062390729326991315,0.12008537672572069,-0.008460002102964522,-0.07001918831251674,0.01350038544654655,-0.07419202627958586,0.08191227784210356,-0.0016057829879597637,0.033988078820586805,0.007137003653856495
FASLG,,,,,,,,,,,,,,,,,,0.10688231779966899,
CEACAM1,-0.036721207426038446,-0.022821019251665593,0.03725043257813186,,0.013429839925983855,0.0011759142565183137,,,,,,-0.04723342076833587,-0.01070956107498742,-0.023400511083665945,0.1207625302835932,-0.003224557330657544,-0.017163928396483053,0.014426951705364866,
PDAP1,0.006539491318570504,0.019344998352083576,0.017466003993247815,0.031872648523046235,0.03988799443400762,-0.06719869856892875,-0.03201123792690752,-0.008825060391636897,-0.0019558643206672227,-0.012905581727104844,0.007365075637720356,0.04231979331233915,-0.05076285180572277,-0.07863086884936368,-0.06273724099410129,-0.012221644292924999,0.0018334586812319988,0.03217625930311337,-0.024338252141781293
QDPR,-0.010528711238489698,0.02627244197414383,-0.026866104509730253,-0.04672875812662342,-0.0496556492851125,0.0168206400711802,-0.013969459035197751,-0.07927023697095842,0.059262353884354364,-0.024404500642151276,-0.10678618767793893,-0.005668722863936982,-0.14025401274451474,0.015786063552403345,0.07381525670250536,0.06474463595088994,-0.019633278042469202,-0.037353158508141554,0.07643388679784587
POMC,7.06569401433546e-05,-0.00802277922509499,0.037475608624202635,0.15995881169601506,-0.019015602198758735,-0.012803811014807773,-0.042988372147715295,-0.062241412586081554,-0.05217223816201421,0.01012136298398251,0.017808724722186742,0.0865181544933956,0.04584021775555898,-0.015283289238286724,0.04386359945162048,0.049756851541121055,0.04031943910358845,0.03700633484587112,0.030191116645005015
CCL18,-0.005239156247356235,,,,,,,-0.019627122085089193,-0.03507312618482418,,,,-0.02323043029547389,5.9987666665905775e-05,-0.007026460352481358,,0.04365050803107239,,
CCL17,,,,,,-0.015349933676494025,-0.01978267778660913,,,-0.014107556942836318,,,,-0.01660152999728749,0.028419333155276078,0.055089628747346166,,0.08786498979716581,
VEGFD,-0.023059916774665543,0.009361740599220745,-0.03885148173169911,,-0.00960119619205876,0.002016812969757616,-0.014510833396818653,-0.026452259446782835,-0.029837358759602618,0.006917016226771367,,-0.03273706166793404,,,-0.0011145317762750887,-0.03169586773726132,,,
TNFSF13,0.026593881594596858,,,-0.01823729327413282,,,,,,,,,,-0.004841081993891873,0.0708331963306768,0.0005169579920834139,-0.01927394121925446,0.016823153013955157,-0.013945063638012649
WNT5A,-0.027748092730393387,0.012364262938566297,0.014819003357965066,0.013509096031765954,0.0218161254981189,-0.012238016355706668,0.05425300612629277,0.07459544536261492,0.06402753684637831,0.04299810349848243,0.02782043561521384,0.04091474031819231,0.04888006909098639,0.04135042806832178,0.040984678064763254,0.02923984168959468,0.03470675902404023,0.028673486621907586,-0.053622420188141035
CXCL8,-0.028569852331627288,-0.019656827054871817,0.005624708474622432,0.09176794961576297,0.029255933126253717,0.017726570755841817,-0.013513119011129796,-0.04048370724072339,0.08925303097811875,-0.015024502256632478,,-0.03904944647432044,0.02940626715434152,3.320731886543934e-05,-0.0577356515320933,0.02906622217394943,0.011665368520760848,-0.02489958720490931,-0.02131851487520478
