,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.02043275469921976,,,,,,,-0.03937600585884574,,0.1497146348256607,
BMP1,0.10220048495550679,0.06676180730192756,0.2355601365557624,0.02686984302933049,0.028682967402575893,-0.024014762821335797,-0.021967608130502077,-0.07668790267941626,0.025712680610392398,0.004547424650666908,-0.02021930565786519,0.036283884304622135,-0.03490754474151984,-0.012875835816388284,0.16489063308151794,0.08357935780534477,0.1842836976194537,0.13455758763188735
NDP,0.07042563119402145,0.0778875767821714,0.03105289829549046,0.001106664824779336,0.0198524782102175,0.12524764697145513,0.05708678032519488,0.004167170742925143,0.040541111293089925,0.041420568780572944,0.021825860573042345,0.009746985646913146,0.13009348765477968,0.14729191769585778,0.10118063932526085,-0.015801574334670738,0.04987475165207084,0.06508323461897225
TNFSF18,0.08083541823861816,0.08172030626832821,-0.004247916614173381,0.025959921531211076,,,0.008385402290298442,-0.030342027320236026,0.050819800495216824,,,,,,0.044145012429284716,,0.03331710535650188,-0.02485753529538061
IL36G,,,,,,,,,,,,-0.023007310858995676,,,,,,
RTN4,0.10044413845462451,0.01917384145700062,0.04063498285363627,0.045573286220201945,-0.00275613216741118,0.0341653022372019,0.053694814104863375,0.07018519517101535,0.08008098214685506,-0.07007764308639679,0.09199351229347956,-0.027496323591036848,-0.09554253701111431,-0.195323497103951,-0.20103658779171313,0.06316149698612798,0.031211409586907966,-0.04158603653013571
HEBP1,-0.05006724681356916,-0.0012839014279944101,0.07072336944249631,-0.023713282455924037,0.01643979769383369,0.019067970120388404,-0.0063604374639263835,-0.03155533020216326,0.011591058972232159,0.04677628449596054,-0.05591036793877452,0.00919057812510604,0.019786020437838656,0.07255817921117444,-0.005145701804190426,0.07226073897327927,0.08210999103168169,0.010202434477210625
WNT7B,0.027025251900689315,0.12253914317105633,0.03236957496207918,0.008343977688741348,0.03351566095773615,0.10527181081418412,0.055497009859619625,0.0540107824234379,0.12229668282460866,-0.020615509235402982,,0.05612461066214395,0.01674644208988871,0.10270557173954709,0.011257777528913064,0.04366565520531394,0.10319425455512629,-0.0626481351864981
PTMA,0.08525030176745821,-0.009009412721751448,0.012834955079393464,-0.0042347911930525894,-0.024872038100710106,-0.026874019898222596,-0.07484982452956143,0.01635704422368705,0.03138144767797237,0.05853239893198635,-0.15912262075934422,0.05089719323505817,-0.05934570396354441,-0.00889113012068901,-0.17596024619765527,0.03653929610392605,-0.018226719822906443,0.03890812604479063
FASLG,-0.0024979570417443804,,,,,,,,,,,,,,,,0.008325421882474125,
