,UKF243,UKF248,UKF251,UKF260,UKF266,UKF296,UKF304,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.04829105749364686,
BMP1,0.02669569098955736,0.11818475742737707,-0.01647313266265137,0.04436009390124457,0.025647584668870325,-0.0031997023726357044,0.004297501373550332,0.06334788860764756,0.18281797047410694,0.07377943549132193
NDP,0.10452330263155192,0.021195813924662563,-0.03834100069808095,-0.003708696171623572,0.02353281821983382,0.05320244180553421,0.030904282747137198,0.06200556494956096,-0.034670694876091146,-0.015055640494379895
TNFSF18,-0.019872599663920746,0.04421303399244462,-0.037760828754270656,,-0.01163850591128175,,,,0.001155607034997841,0.09629184391718615
RTN4,-0.09171212050589954,-0.022873017458280957,-0.06264315124102919,0.03171683481222088,-0.023999360111867585,-0.02203707730723046,0.021438661424574824,-0.034629569986901226,-0.02270083304481937,-0.09780408306090185
HEBP1,-0.017106050809572802,-0.020599172098201505,-0.009335229528805293,0.018775336026916226,0.0009586325696972793,-0.01240379248163603,0.011794090398027136,0.03720631994430014,0.027877792054896492,-0.04891395462389762
WNT7B,0.0065233245692673586,-0.016454931801509365,0.06189487320198125,0.037672106232019505,-0.007266596356854732,-0.011246854000926555,,-0.03653402358105616,0.033956011696000224,-0.0038031034052954864
PTMA,0.010752458912365816,0.007465905655227383,-0.06142382480243279,0.010535158616886418,0.047843245281687305,0.05553261112166369,0.0777992757819015,-0.1083828979429856,0.0861703885510856,0.03662522627805486
FASLG,,,,,,,,,0.168913036457298,
CEACAM1,,0.058838370216225455,-0.018000958922764324,-0.021182881153604196,,,,0.0969259078960008,0.04912586753506386,
PDAP1,-0.027166664898141502,-0.06297692524354206,-0.06819148434065189,-0.08070790770513363,0.045980880555098524,0.036707690927780666,0.00879396880393517,0.052066391694528924,0.012548136474538497,0.00794801875303985
QDPR,0.010831801014129507,-0.05667506360982126,0.01643368072145247,-0.013972517925296805,-0.022295602740781316,-0.02030248686535036,0.09267738069028289,-0.09625304071821753,0.013502284563438122,-0.051216571541566516
POMC,-0.0054859629996350185,0.09504006403796665,-0.03198483208600683,-0.03426207786206599,0.058698898465039034,0.009532597738425309,-0.021413620513546047,-0.03904574752435946,0.11544698587767219,-0.0606159180251518
CCL18,-0.02665079015845497,-0.02239964823348349,,,,,0.029031178162684912,-0.023230425642425848,,
CCL17,,,,,,-0.013920452445530982,,,0.10571133196829283,
VEGFD,-0.030027650888936528,-0.022399655346420938,-0.02578276213588174,-0.020266581352045007,,-0.01021082021475215,-0.02241637951516321,,,
TNFSF13,,0.0029598847188175683,,,-0.011286922804650684,,,,0.030462394898763772,0.0931710581139771
WNT5A,0.033717472081139975,0.01829950472074415,0.034350145536693404,0.013591933653344455,0.06105459642175131,0.052160711004190514,0.03122047420412268,0.08391921616023396,0.10217765256884072,0.05044659163113575
CXCL8,-0.01732957869656656,-0.05740653970205186,-0.01013003657841716,-0.011832254278910466,0.05173017847127354,-0.009508759765200417,-0.04027591928114837,-0.04090082181681302,-0.011775520557056444,0.016744112832218973
GRN,-0.03600861417902262,0.09829299609429944,-0.0021950690204750162,0.06322636933581664,-0.008230018345492635,-0.06308924566595446,-0.020292287113844492,-0.025949043029847133,0.12673658641390695,-0.007521588982004139
MIA,-0.05673533141536175,-0.028725751861715595,0.03314547880881718,-0.026498283869872154,-0.002615962522074077,-0.011612657615566105,,0.0001175975587251839,0.03183911428360857,0.0011150544026847374
COL4A4,0.08395952443017031,0.027761283963082577,0.006342822597355572,-0.040204853503066657,-0.010739008387681883,-0.019508341270126867,,-0.029370516434516138,-0.022381620796427887,-0.005665878063028742
TAC1,-0.03785830241094893,-0.03843038962931055,0.007005022666476338,0.029808452393984494,-0.050841629705383994,-0.0071407896189885954,-0.0006503263768011849,,0.05917370237319,-0.05713981652389537
RARRES2,0.017787619214895047,-0.039819506123027926,-0.030269423461364717,-0.0613438438351246,0.05137850081248076,-0.0026287181035998994,-0.042830906805242305,0.07022220826438784,-0.008563028399100388,0.06343262899967395
FGF7,-0.05486853987899532,,0.017892288771447024,0.038351167936526154,-0.03077980402010475,0.01830508186229791,0.01486835853959308,0.11848539510988484,-0.04030693871586771,-0.05079065075574921
HBEGF,0.08470689614464047,0.15338500996916787,-0.00316369583468241,0.011460070679317593,0.04319177847742195,0.05404056779255038,0.11270755095355404,-0.03614725657233679,0.05630604320786449,0.11718101700008433
CSF3,-0.030228047142632976,,,-0.040141880607048715,,,,,-0.02706625889375325,0.025762968261791586
PI3,-0.035809629476562535,-0.023565374350087667,,0.008226034785232086,,,,,-0.05880598869312007,0.022682985995454777
PCSK1N,-0.013168090188787793,-0.09418851180927446,0.04449783189772828,0.0076000596401566995,-0.027666963640288575,0.0030964248133338044,-0.0007788221321583289,0.017485560449154,-0.005487366592021767,-0.050278526997537445
NTS,,,,-0.025690099595379164,0.09732084755916388,0.03945839764894392,-0.020181942312164903,,0.06844781786231227,
SFRP1,0.09418949194119301,0.003582382864144235,-0.035129927532884186,0.008157991167029532,-0.02179178692682462,0.026886492133058396,-0.025817078306865693,0.013343938306418975,0.06437810854944238,-0.019301066992527066
CXCL13,,,-0.035902891033273474,-0.022912868948139434,,,,,,0.09098514935958893
MICA,-0.02509111702512208,0.04230338201612339,-0.005511557023001812,0.0473449197938787,0.08257464670810614,0.006582139375293358,0.03500913241529226,-0.01263007608145596,0.06897763878579431,0.07841331196404495
TG,-0.024096578325144488,-0.035274011811159876,0.028697682359501694,-0.034110535382717265,0.03302710540192345,0.04562633772330906,,-0.03782456416958407,-0.003309886117537985,-0.05066201500459144
ADA,0.028243959980210145,0.06887241621150099,-0.010273128388925466,-0.02364442618940684,0.0223698693672667,-0.016361263842703425,0.025332931477764307,0.04885976493836406,0.14214977296145181,0.025448308642635864
LAMC3,-0.03246345045203067,0.13755985006501037,-0.04352786319911522,-0.006924230760696909,-0.0030134459856118656,0.04916361901944397,-0.02169096012001003,0.005973206519841466,0.15323664617895372,0.07736192092436311
CCL7,,-0.014248068548720072,,0.01826826383390501,,,,,0.031500377579725965,0.04176965801226376
NGF,-0.017415237236406752,0.06288138097407601,,-0.03242560286911575,-0.014440242533952142,,0.13928310794025023,0.046630179603766496,0.010210235094141413,0.19015063849843178
TNFSF15,-0.021544821942364088,,,0.04194773276692229,0.08719063924890133,,,0.045408786203830674,0.08471958177261647,0.09445535337132917
HMGB1,0.03197956844203075,-0.02464886248679939,-0.04940165647698956,-0.03323264375112442,0.03610396892488908,0.007842085020971912,-0.0383107767213182,-0.04332170925544474,-0.14033369345675784,-0.0561922189187411
ITGB3BP,0.041487027609941024,-0.027503922090429865,-0.0032144402715856297,0.013275906059821298,0.061261843872348704,0.04326246856711291,-0.05614405255824424,-0.008896346020537169,-0.011996204839348873,-0.016259574427719654
AANAT,0.06346434229961707,-0.020671779771906696,,0.0338251707631562,,-0.011612658261491772,0.037539127354503404,-0.024195462082828557,0.09715175807155169,-0.034606777337198
RELN,-0.030027635303342955,-0.044627829742892214,0.001607267916913156,0.0048593169340355345,-0.05196681433833378,0.09413247871521098,-0.026248506255749104,,,0.01230940059856035
IL15,0.0070605486233871854,-0.0037114554907347317,0.024324484629961327,-0.0036860537389535116,-0.012476213144465379,-0.0014423623152675063,0.12455079518350472,0.0489560964704346,0.09314889044795155,0.037884234992727514
BSG,0.09095361721417004,0.003043365602753791,-0.023593956845470398,0.02191663221137831,0.027277208784416463,-0.00630271919516647,-0.004535033314839479,0.08098654974666618,0.0879599344537396,0.10811894677532606
ADAMTS3,0.05426819243856168,0.026085617641604757,-0.004319527172435025,0.014728023936179769,0.1105757729466591,0.036362188302684485,0.03846312026595292,-0.02897160264404292,0.044412685266611227,-0.01790537917339573
CD34,0.0295769278616679,0.135318253620928,-0.012929692660477197,0.006870703819865711,0.08741456141529419,-0.0217269682992798,-0.07070421750106315,0.027964085357700855,0.14438699078707515,0.07094606096756334
PLAT,-0.00013539546540552083,0.12989471833890964,0.029214810038570894,-0.014786929359319148,0.03079703429362696,-0.005630753165841283,-0.053439426556594075,0.09805883924808775,0.119844340814822,0.010438532836887601
NTF3,,,,,,-0.003731981302326193,,,,
LTA,,,0.05375400606261509,,,,,,0.03483758755497354,
CKLF,0.05366807340779988,0.05465437594609529,0.026357465738280038,-0.010793340488298296,0.01527541724174933,0.016568085625947773,-0.040474475397867485,0.044580587370827034,0.03586306844846614,0.0197428388907421
CD24,-0.050530973809589694,-0.0560682543742544,-0.041986484325283575,0.018856124224308855,0.01161270674593929,0.07916419055765467,0.030681727480848325,-0.04568247848651589,0.0287917951281044,-0.047313199039414944
HSP90AA1,0.0031444301777988183,-0.05558034015405489,-0.05422748026146536,0.05443823024663813,-0.07940396200255403,-0.0005490117618079207,0.025296188614139226,-0.021957037099906325,-0.1302397426853051,-0.07195780190304334
BMP4,-0.03769083337123627,0.04390011176749991,-0.019082073632607065,0.026700520713867252,0.036612586100115224,0.09552369891941773,-0.030263951839735424,0.15161917697235006,0.11084434833884224,-0.032996909333853394
SCGB3A1,,0.05757029548965378,,-0.024134999934283256,-0.01592610673712829,-0.009795390823372642,-0.033399561010282096,,0.09849330255252264,0.050526560800650086
IGFBP4,0.006584864165444876,0.14934697415356699,0.020271345868348906,-0.019716582726943623,0.03481926359484691,0.05673330601459852,0.029577920296139506,0.020959405834884613,0.1633902240198288,0.07249873139233827
RSPO4,0.08582740239231479,,-0.005293344667388539,-0.027855713193010587,,-0.009795389390575147,,,0.07731224294920719,0.0790915058865302
LEFTY2,-0.0190811291392557,0.06916925310335183,0.053900420398529415,0.0015153472345360713,0.030971661433550075,-0.010740764267010105,0.033606357209856184,-0.007990500513343553,0.03912619077321858,0.0664155360315158
PF4,,0.03098583327220975,-0.016374320406760214,,,,,,0.06372286237969421,-0.03418393871370202
ANGPTL2,0.03346907004179148,0.04177560268581658,-0.012616569641800362,0.010289010174134958,0.05299611716148241,0.04588937065388776,0.018423245757041636,0.002230048335120147,0.16244271935768426,0.06330560364778055
LRIG2,-0.005996450186860436,-0.01096274075138201,0.01757075842407991,0.007945724443361026,0.01598140749062894,7.216377582507132e-05,-0.07000769368272036,-0.013244613375326775,0.006368433343578949,-0.032492187464072446
ICOSLG,0.04264044597075232,0.01594146612856469,-0.03480774091092117,-0.048042006559125244,0.07789065910619974,-0.018589819853665795,0.10611939267326728,-0.00025354430140651376,0.05727561119658504,0.0029287869100410456
WIF1,-0.03761669292850056,-0.026594359439793797,,0.019607097574919918,-0.049230922312252054,-0.01843289474409322,-0.03348489617959865,,,-0.01997108597080518
NPPC,-0.016255003913969734,0.01351347541000389,,-0.04071652323083858,-0.018728002970348465,-0.013613194113076496,0.011235355453716555,-0.028971547002345176,,0.05144072125878634
LYZ,0.01836952598823477,0.09287586671306343,0.04591963645732125,-0.04653531471948297,0.021674941535282686,0.021573733117662353,0.002383680921306273,0.006551124881512369,0.036452591520105236,-0.059340296165590736
EREG,,,,-0.0391995977735291,,,-0.02076133437139363,,-0.026742111756491906,0.07157725624871092
SPTAN1,-9.86656824981589e-05,0.02800797275256662,0.06973745189478944,0.00330317905035592,-0.06801271040570275,0.011930615184313405,-0.002444650994843649,0.09956978394271192,-0.00639562638871021,-0.06144572672967127
LIPC,0.0128338945189116,-0.018094705837619397,0.028634859560561183,0.1113189049300636,-0.019347407519107428,,0.13756336145871342,0.04940908885747866,0.04303750939084024,0.06293185081253812
COL8A1,-0.006277422733869777,0.062221603913185715,0.0593088056851436,0.07984522568804386,0.057674921938898824,-0.029242158400743772,0.05110769895634934,-0.004790665936795528,0.08632881344842523,0.0982425263137369
GSTM2,-0.014677885707086986,0.02214687254815844,0.03743232853152572,0.005150442488237601,0.05868032635499485,0.002286619301120167,-0.033021158099154235,0.14412200189452598,-0.013543077869367409,0.09211264790654035
SPX,0.07468239112671493,0.0055428922976431365,0.010283730890569212,0.0523552323377261,-0.005961826406661155,0.031260369960375484,0.0505854022730834,0.10756091609540708,-0.021421368494647017,-0.035597435357285885
MFGE8,-0.05777946403065051,0.14708938452062853,-0.03842158756719044,-0.015381994129575104,0.05637870452066412,0.014405606619705589,-0.06770916686177418,-0.01111745144545996,0.16197991536832154,0.021239190367227538
TGFA,-0.0009535502373605356,-0.04972520412641679,0.04937364718362509,0.04338059100834191,0.031866528274297694,0.015157928672567433,0.10585322375604696,0.03360624512012277,0.05680676303076105,0.08343819268750345
SLIT2,-0.016830059285491774,0.010427248897176212,0.013218806574348606,0.020312344778156816,-0.0435430592707659,0.009280606975965803,0.03205699515346993,0.05191050232220552,0.061289129161708124,0.043683319256241304
PLTP,0.07078784247596179,-0.030755913085988486,0.0177403878552431,0.015168666907857098,0.038266178563720374,0.08423764741533617,0.014516000958506638,0.03197648333933184,0.031234631808787158,0.056851452742858265
APOD,-0.01622132122846481,0.004252136450724165,0.014962440657828691,0.03490713786759948,-0.022304212988304567,0.012403565933093353,0.11211195802278683,-0.03532118214275332,-0.0930569718935693,-0.06591771698928584
B2M,-0.002107674413667128,0.09137248954142047,0.09172489991621202,0.06325014268155088,0.035501216526006636,0.037034705636361534,-0.005680947551238427,-0.028947386826581406,0.10905826787063319,0.031228812478796792
OMG,0.050457930907843764,-0.03909496379818962,0.07282955494349229,0.05186671607195746,0.011178969818109688,-0.06347058616633237,0.005079314561671464,-0.04582171884645482,0.01510045268894852,-0.028832338535667117
CXCL3,-0.05682764053539788,-0.017774663976186628,0.016045313847427828,-0.03892215783154355,,-0.010478996130949544,-0.02922666044839129,,0.11215759607299924,-0.04194799078506498
CXCL10,0.06327169107438602,0.07601886514396841,-0.0033603131341987474,-0.0016220904196863695,-0.01705356996347854,0.10724033104469265,-0.057995241818122364,-0.02088469979668692,0.0503729970296491,-0.07127062076606001
RSPO3,,0.052370750959942605,,-0.02696889853127653,-0.04141245718213196,-0.025446183923230326,0.02054188086908428,,-0.028782711818166058,0.003858411001412911
CORT,-0.0238524603096926,-0.007749331646253206,-0.029243499349303,0.10744656016319776,-0.01404835807771964,-0.017492425400605225,-0.03977153929213246,,,
NCAN,0.08033856623309346,0.028519873659039185,0.026783980735689536,0.03553637836153055,0.03626080511769533,0.0016854002701597692,0.09702426871834889,0.11391947087888722,-0.03305095677892521,-0.06136947760223571
PRG4,-0.032553007998324196,0.011392440816925725,,0.057682578084593296,,,,,0.04625946422498918,-0.015556434621760547
ZG16B,,0.09863773944994547,0.08096428398166575,,,,,-0.026897253404967396,0.025079882535497346,-0.029162405621105045
TGM2,0.015235458755196276,0.10859008884639525,0.06646171125532246,0.004667022965887027,0.07092800190822302,-0.002325001613591789,-0.02160940724821871,-0.011328425584555478,0.06703269568874659,0.08072972174508697
VEGFC,0.0023818964814494004,0.10056613412272827,0.027053308317045825,-0.02972392612845493,0.0034593935252123695,0.03541234547610985,-0.023460217442103696,-0.03486418228921925,0.09539582622121595,0.057556857363710696
WNT6,-0.029623447895911273,-0.02298894362135723,0.01706237099379647,-0.026606817349233404,-0.012796750492175305,,,-0.02557929114596085,-0.024281918712025577,-0.03013351435962996
NRG4,0.004355699155626009,-0.013122971347941634,,-0.0011953850973160365,0.07920236324400447,-0.01473058604788962,-0.026136070426693782,,-0.028782715044021353,0.0031127113782851443
PMCH,,0.02940728739120175,,,,,,,0.026512424114682794,0.0637618473848729
COL9A1,0.07115001993828268,0.12283182762749403,-0.030724802010369968,-0.017699520836886414,0.03719001165825189,0.09017826326213611,-0.020473524722178792,-0.037095770174950596,-0.0076607100269448615,0.058390970833561893
GDF11,0.008096301144380456,0.016839980411524607,-0.012713322489290094,0.06885231012952342,0.06159505360163039,-0.009777949396472958,-0.015164328674225258,0.05684497945962584,0.11597016959689181,-0.04375108836168167
RAET1E,,,,,,,,,-0.03157443389658456,
IL24,,,,,,,,,,0.03871666940528107
SORBS1,0.002398720641964147,0.036394691326557094,0.027687395840076054,-0.009429506958854342,-0.0083117182534192,0.03245996266346618,-0.01857587921382367,0.09881145203458533,-0.01498623480069073,-0.036660967366752804
DLL1,0.002521579491285713,-0.0066369440546013075,-0.02828706619110489,0.04305335174680566,0.05094798975029178,0.015462607843063544,0.06443852421199739,0.0043681679549107295,0.10057833862416943,-0.0335804313468806
TLN1,-0.03241570801549355,0.09902792201751118,-0.007457461121739041,-0.013197500410772455,0.057895029568217085,0.028847488530391322,0.040616454257367415,0.024777147959124668,0.12217998289645565,0.09120224468245836
