,UKF259,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.017079219849348466,,-0.027000004961790263,
BMP1,-0.03710814654849859,0.06948137444236875,-0.06167696914010337,-0.09117601243842788,0.05082882583622688,-0.00896868874599949,-0.014902863635191683,0.049866175540467156,0.08501401803761748,0.12309143574660472
NDP,0.015785871185070226,0.014350807960344738,0.010663535895890398,0.09535173102284274,0.0020625925383259435,0.026391510968921898,0.008173252687088609,-0.038700208326055814,-0.007235282824456223,0.0034393544080974937
TNFSF18,,,0.012047325168743852,,,,-0.017613497964699132,,0.037827248094601126,0.029570669565786665
RTN4,0.006072783446242921,0.015589923571090462,0.04429736977202186,0.013575138762567452,0.09059111411442378,-0.026870232086106425,0.01858407581257692,0.024568028566308766,0.037396058068930906,0.015052418968094415
HEBP1,0.035843407101108817,0.09836266152724969,-0.029520059864994945,-0.03911877488762474,0.031890211633201944,0.03861430031746471,0.013769301699038103,-0.016067318459690116,0.003663180490925971,0.0033730907825347107
WNT7B,-0.022753993461543644,0.06954262942629516,,-0.04391932869332101,0.016784493262930286,0.09995809684064944,0.02259184071135928,-0.01976903659949826,0.07762348099581862,0.04532376524952368
PTMA,-0.005820074194984011,0.011335277949512699,-0.08946944037168003,-0.05870847852624808,-0.03523628251253063,0.0037331102579368663,0.04178053641461608,-0.07382393542707578,-0.003784734013111836,0.04438018012008176
FASLG,,,,,,,,,-0.023417095092175898,
CEACAM1,-0.02627433897835939,,-0.009232172894632363,-0.021187466141527743,0.06861886503793145,-0.019200745304839457,-0.025308757701196068,-0.013120997106033426,-0.006907470208794251,
PDAP1,-0.012505837297867445,-0.055073388529700625,0.0649657098212151,-0.053870397438864265,0.012063889839914542,-0.010962189304363512,-0.07705122205526295,-0.04389533594571399,-0.08077382854309023,-0.04845136279018417
QDPR,-0.04488041725210622,-0.029277132091426048,-0.012610126151384954,0.022807966200281457,-0.043798192860259766,-0.007616410196271642,-0.019334833303885444,-0.023275363509739348,0.014511299650502504,-0.009455408667999486
POMC,0.02479996559504665,-0.010783411633648658,0.13157725773414147,-0.003900641298549407,0.025074268918194694,-0.02566897668616464,0.019397970693757417,-0.02146422761739956,0.052362492959059356,-0.05313720245401822
CCL18,,-0.019045556134487992,,-0.027926425820902122,-0.04999019600109669,0.01850705369612075,,0.04333802390457613,,
CCL17,0.0237485388649464,,,,-0.019380252567743936,-0.02771748125945631,-0.022517964789905146,,-0.02122496650186044,
VEGFD,-0.01696671180085197,0.03712718491281437,-0.0421096990007245,,,0.002506597196751688,-0.02374950269885669,,,
TNFSF13,-0.0105045763524009,,,,0.008390414857573105,-0.016576258220404986,-0.024147605143927837,0.03592810666548978,0.07355094887286999,0.023931698533133663
WNT5A,0.029891875873591052,-0.017970579806790326,0.07940363119067471,0.010429082138100069,0.09049571946508089,0.047698371531612827,0.032300608363709966,0.013994634382825255,0.054444824187875565,0.054920034039737047
CXCL8,-0.001963512064065625,-0.07429162679791872,0.062193476687884656,-0.049168869484471814,-0.017533530990470857,-0.06906426919194336,-0.03197060143172505,-0.01690969985437393,-0.004401563344369487,-0.06354640984318415
GRN,-0.05297261922088815,-0.10155592551662534,0.06910173521395027,-0.038917937628987535,0.0693857845946356,-0.010819648663472563,-0.0911601798990405,0.08117797001051259,0.011412224410957671,0.09233639033589126
MIA,0.007367156394833936,0.033556396339750105,-0.008378516704848212,-0.04050480754121584,-0.02246420517038177,0.13988784317877562,-0.01837019957361019,-0.0409227302659471,0.07675596245334335,0.014050864165769325
COL4A4,0.0013456780441768455,,0.15063945721928618,-0.03530772794072879,0.02014374488489882,0.048600309550250395,-0.03468710451858178,0.017549954275943264,-0.019134831256570457,-0.039267763281520825
TAC1,-0.007049566290595976,,,,,,,-0.02263745795026566,0.0011380888707461301,0.022372929882828498
RARRES2,-0.013923923212931729,-0.05911015832771267,-0.0633342685720331,0.044580775607095335,-0.023631116171140547,0.0105278985640658,0.023262668602306615,0.0439749977555655,0.006563276635707071,-0.009158299012222008
