,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
DCN,0.0018384218385490813,0.03099379475879208,-0.022810352308977246,-0.06081057200097038,0.07119990790274257,-0.008158833379510793,-0.004476990577947293,0.03055875423770893
RARRES2,-0.061095380832517865,-0.02590398468814668,-0.03375596180599864,0.010502715494671995,0.05409682935755562,-0.05092899018299817,0.010418633336526189,-0.03596323896828728
SEMA4A,0.005863680056068679,0.04083711413661682,0.031092160653130776,-0.04944277545843379,-0.0058607845621838905,0.0285824970740057,0.01668526031541551,-0.009361421307846717
GDF11,-0.0019042042858182203,0.08027220897712456,0.004511031322411663,0.016846439228519115,0.05357156828326559,-0.016817773283409238,0.056191469730740226,-0.027478225502364097
GPC3,-0.04086383560508409,0.013203609046654227,-0.017726990308551537,-0.01146753834667473,-0.027369119770621606,,0.042358129441983666,0.04060364964042409
OSTN,,,,-0.016864633608713233,,,,0.03840615919911122
GRN,-0.010986005436616708,0.06046761698454051,0.011386462931757128,0.02301880862645733,0.011894854042626508,0.019505533932641293,0.02486605003709123,-0.02976100986916876
CALM1,-0.029972122343058585,0.08931034765849155,0.012781695314118218,-0.02080549332177297,0.01372053066893707,0.02480207212732311,-0.001769266892698318,-0.08091847475926345
ANGPTL4,0.11043522454307025,-0.059820413726666556,-0.0504689523721779,0.009879702409970161,0.01234668905262759,0.013217076309324415,-0.011656353638734546,0.01840679985171517
BMP8B,0.05640344104354169,0.0050633331069966465,-0.02399807450522357,-0.059607114621869524,0.045186292209313035,-0.005522973284410574,0.024987007219832966,0.04805045254041961
TNFSF4,0.059104859498034054,0.010597497560939799,0.030800621504736468,-0.0279156233054022,0.03017138281907579,,0.03513653915649324,0.08672091525226454
RBP4,-0.03648588085386286,-0.011946455289744029,0.025190155716522767,0.06667756723409704,-0.0029642256128446023,0.020813700364784256,-0.03007676905706613,0.014595221306447569
DKK3,0.02452969154845305,-0.01289127346800473,0.012134832867261015,-0.03582709557304389,-0.03601910342164147,-0.09628232162035308,0.007071139141281011,-0.05779520940581493
COL11A1,-0.00607579125927869,0.017881693031882098,-0.013846854162848041,0.09030047363071449,0.07306043941684495,,-0.0013418329458705926,0.13603586862525507
COL5A1,-0.05664465803212994,-0.04000531810316727,-0.019610947061055484,0.075342157911166,0.04922567432594778,0.06534976493789069,-0.010130873749506896,0.041727813765873076
KISS1,,0.016947275825428584,0.033214332836214,,0.026027659896645308,,,
MEGF10,-0.0033730349970053,0.04022188191950371,-0.020437582698863425,0.08177526234869419,-0.06374155575693718,0.06508121456773694,-0.026851768480951277,0.002887588279970321
CEACAM1,,-0.02919009507360161,-0.021606665090733116,0.017840250038510766,-0.026719900485695097,,0.05183340840753018,
EFEMP2,-0.012462840813900049,-0.04328554626842603,0.026588657012574925,-0.011246824272209735,-0.030063504423997814,-0.059545743073306796,-0.00418046583547246,0.06785564281108102
IGF1,0.08685761751609224,0.041770620836705435,-0.00978527110731224,0.014928005879802718,0.034945066314378284,-0.05076363825574631,-0.03346251981754358,-0.03938021969368949
COL6A3,-0.025994417719904114,0.011861089181046178,0.000607886626847015,0.029865015602059578,0.09266982547995936,-0.06481044898771286,-0.04448202345610289,-0.005950974568050517
RLN2,,-0.022505779001981936,,0.009256604121123006,-0.027743643890742537,,0.20604056324303213,0.025841924611205266
WIF1,,,,,-0.030926361440984814,-0.003969361205474763,,-0.003895256274221006
PLAU,-0.05792096490863303,0.11429503802222969,0.027011701944235234,-0.05669520422270591,0.007101022739481843,0.04303737766722105,-0.013513686805247678,0.057945441468571536
CXCL12,0.08799718832144081,-0.008800254108388817,0.025510708199488488,-0.05582452314353769,-0.008173539170926726,0.004599754026327328,-0.028834087092465963,-0.0011898201070151219
MMP9,-0.0032269711522712923,0.006569478912841961,-0.011797663881452394,-0.05705348714359407,0.048256009456570624,,-0.002352479452767326,0.04635360598345377
TNFSF14,0.03218225836887858,0.07518240888956329,-0.036770610121687856,-0.04109814038706068,-0.036523552226986014,-0.018715947826510385,-0.018451493671050857,0.035578565841329894
HBEGF,-0.0061747988788184,-0.04912025089787547,0.047273591737880656,0.04756670442883331,0.04706693770737845,-0.04068288942422863,-0.022640826488936307,0.05773322589760249
NUCB2,0.012155318283477459,-0.029571070524587413,0.0029138707644776603,0.08552813421665231,0.030235554155109055,-0.012777102717429049,-0.005376230007921013,-0.012884091746082389
VCAN,-0.015154694757970186,0.10619483809958558,-0.02776422440986278,-0.024088700418650136,-0.030986374179342028,0.019832072986314134,0.010198980405280698,8.942595074159232e-05
VEGFC,0.02630047172374091,-0.028684442094899423,-0.039464937911377874,0.05549234256594217,0.004155056404361605,,0.038931181748151626,0.07367597618004308
LMAN1,-0.05468923631131883,0.01980607337434546,0.005783410258154984,-0.020257909713128394,0.0026318032924021926,0.054950683126732916,0.003604294682224529,-0.02452517988126864
IRAK4,0.02983554707458655,0.04489621003524054,-0.011698145228247513,0.08811397841236225,-0.0143740683333112,-0.007470912488079418,0.03961773690452124,0.05312777115375661
MICB,-0.005867292970309979,-0.01569394309642301,0.03351726677228743,0.07633020673453486,-0.045400531138788426,,0.04423417336100216,0.010919043025522822
COL1A2,0.0056874099645677426,0.055074689694212565,-0.005727848422843166,0.03208486064632392,0.06821847076504625,0.011025925513431045,-0.024178401656616444,-0.0006674570127212263
ICOSLG,0.021015330687364754,0.010203442240601296,0.025663375158685477,0.012086617759607027,-0.04388915009454541,0.1634540663041934,0.03838188642699128,0.09050223789922998
GNAS,0.008994651532241495,-0.07607045003765986,0.01996196461036562,-0.07488369482509634,0.016251624442716158,-0.04476764172701539,-0.09637870200172022,0.013994848256586487
C4B,-0.033443631552790946,,,-0.019298353676349835,0.04869357311581489,0.05589032280308098,-0.018593411870168313,
COL2A1,,0.08394978825444403,-0.04827469545482431,,-0.05328639159009312,,0.04710725080674763,0.002411928257888515
GSTM2,-0.01904254587679579,-0.0009812713036602093,-0.042819909587168074,-0.04538929474394614,0.030692069812402866,-0.059737061119402045,-0.008820484100570828,0.03915037206309081
NLGN1,0.11033951783225068,0.05911846999869045,-0.05620301765616165,-0.031803761792786565,0.008092109003511636,0.15402322503646573,-0.05245007559621359,0.03740973923988991
SCGB3A2,-0.02699975993360633,-0.012341015313575914,0.029955743282574106,,-0.02598917921381611,,0.03423505861628702,-0.03225989270668083
LEFTY2,0.05688304377547301,-0.026347710750727938,-0.02361235297301707,-0.053804336494520585,-0.0452430619195386,-0.008366502215259343,0.033093764831310844,0.0035635581477745757
ACE,-0.02856804442710441,-0.017657816001598593,0.0010033621771520377,0.020636537076088365,-0.03366660376496024,,-0.040606691952223155,-0.03500873773456343
RPH3A,0.050700321413011916,-0.011321873745154743,0.03565463856974563,-0.00877603588811076,-0.007925478169538475,0.0024520374002649703,-0.03980481338036175,-0.01154761739023246
NCAM1,-0.025592149193778585,0.05760759410988729,0.06635674068502098,0.05634917510136736,0.012394097229026839,0.1101366492394846,-0.01686120421938453,-0.053074382057772006
EFNB2,0.055720656845508934,0.03357169107111322,0.00040828088633970477,-0.027743485946872492,0.011053388494184389,-0.019032791284744204,0.01507420501577686,0.03300143664218037
ICAM5,,0.027944495793740236,-0.0023611011648026043,,-0.027092969524684245,-0.03871492034714552,0.02805678903898407,-0.01614993802192144
CCL5,-0.07890261739240148,-0.05358914656476305,0.015001778616544252,0.017759115758364887,0.05076987785856465,-0.05034703515612389,-0.013082426268554048,-0.05514367182295184
PSPN,0.04341091643614943,-0.022563645575771892,-0.04217576812263434,-0.0635180503325517,0.006586828597464821,0.01008783709994914,0.03922222218664388,0.0021438887865075887
PENK,0.03018455952838532,,,-0.021269105011916038,-0.0049413118287585074,-0.018792031818022033,-0.020443730803699187,0.032031868483534
EGF,-0.031109775469237242,0.005485054706233063,0.05356583302945075,-0.02258753835587978,-0.02437094748823187,,0.07795116966182372,0.0008955656770917495
SERPINC1,,,-0.021606663371875133,,-0.027065196401639666,,,
UTS2B,,,,,,,-0.02178275236082389,
F10,0.0664137043258259,,-0.016311070086779355,0.15220322193999078,0.032034557166266055,0.08026711274515816,-0.02922432109583337,0.11355990857804388
FN1,0.010401482448850878,-0.04914224869121932,-0.03693408751753392,-0.0384745147172243,0.04927084894550662,0.028736480787959356,-0.03551210075260696,-0.05383455130338944
FGF2,0.007365068588551509,0.0013251133584578642,-0.06586792080346338,-0.040202688720675346,0.0371516262243445,0.027993734354521113,-0.03988680786569151,0.018887735800940143
GDF9,-0.02211772515173973,-0.027799869898491467,0.013569731021010095,-0.025510477286924994,-0.013856776345741329,,0.0036646501165219724,-0.026333213653783938
CSF1,-0.004944120776065098,0.013926332564062656,0.047987109296373474,-0.030320092749402238,-0.06376253272063573,-0.05969768893042392,-0.05956857114346808,0.047646523044364925
GZMB,,0.013370032998345882,-0.027426037934790013,,0.11495346087267627,,0.02767939881361969,-0.023190951088116477
WNT11,,-0.025608055825345498,-0.03438529560794318,,0.021990432985846107,,-0.02196797513041234,-0.034167909811488054
GDNF,,0.04164485592561098,0.014363775357286068,,0.040313798069080545,,,
FASLG,,,,,,,-0.016311574162604033,
SHBG,0.013822174474619054,0.09331207785206327,-0.021385827419725598,0.002662704119830328,-0.020648659543991456,,-0.03470442032579435,0.05691330694325684
EFNA5,-0.024622368045545313,0.017516107575525786,0.010120870640594236,-0.027689076093146185,0.014515793595895244,0.0012356532389992399,-0.027510167722427887,0.018829980098016858
THBS1,0.04003092487149448,-0.007904310157492605,0.006708257796621731,0.056811200252145096,0.06339940929293707,-0.009278170684124686,-0.041669638524109626,0.04563926566533652
PODXL,0.023170124336929682,0.13300470777893322,0.05024809323180933,0.00672433272115516,-0.014644210257133057,-0.05905754845855215,-0.04490922526668084,0.0690544684917753
LCN2,,-0.03142692174151163,0.01666538032729489,,,,,
