,UKF266,UKF296,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
BMP1,0.06370814911220217,-0.019627059536446955,0.04766468769465441,-0.02204698276236309,-0.01152048356802443,-0.07967092150071321,-0.03999458302871879
NDP,0.0783539414510362,0.003880064141246942,0.09900045940576307,0.041331656592372853,0.002437788523809586,0.03385848464958258,0.012382863758661298
TNFSF18,-0.015383947007075788,,0.02495459281906174,,,,0.034874971957534404
RTN4,-0.05678324014038563,-0.001407365174317753,-0.06304959045807193,0.03333457357622641,-0.02340591160477234,0.01603023417761967,0.007270190080715381
HEBP1,0.02874488407893737,-0.04319543358140219,0.0132933400368637,0.013375561993555649,0.014962555141492452,0.029228638384711104,-0.05423513741200884
WNT7B,0.05240817163051909,-0.01452449969591127,-0.03053719681360671,-0.021441034696919607,0.08032299996112954,0.05235138144527363,-0.03578926292588885
PTMA,0.04154146147686422,-0.005729505433467289,0.005795710790863621,-0.0015163011783734942,0.017533389025191123,-0.031072710914025598,0.02003911212693808
CEACAM1,,,,-0.02362118226757099,0.09996175498298707,-0.01351765766452986,
PDAP1,0.018424077869195653,-0.04300902556735493,0.05021651583379282,0.00791968004730642,-0.04347858523532554,0.0007191498918155999,-0.10627273265530714
QDPR,0.06889250732634021,-0.03154131367841066,0.039187696634780514,0.09829724331261028,-0.002797273311232105,0.04145565713360999,0.02525288887629638
POMC,0.03691404330098239,-0.015447988860729048,0.08968351304450439,0.1451633135389058,0.0381285201316016,-0.02211311218353496,-0.016460743828621296
CCL18,,,,-0.04322647379819864,-0.042239310774102624,0.004508622631381274,
CCL17,,-0.017977259000197306,,-0.016758085521482585,-0.024970004245213163,,
VEGFD,,0.07320799521154692,,,-0.01729748411427274,,
TNFSF13,0.009594589743666358,,,-0.03215624901266259,-0.011527661658019309,-0.015179423569579693,0.008757324186090574
WNT5A,0.053594616257987525,-0.04314658463562779,0.053706025924426054,-0.03773749790936824,-0.02901065448555261,-0.03691505227940315,-0.008387664127831162
CXCL8,-0.021221621841109203,-0.01227987651540322,,-0.09492129684243755,-0.024883691532772565,-0.033694186135332566,0.04910352582373205
GRN,0.012153751552660623,-0.026540586895932305,0.03935344411228368,0.016466330567917777,-0.03173198171490491,-0.0011600247267168613,-0.03374104078220486
MIA,0.07160307483719848,-0.014996908645930326,0.11461020891829544,0.09456547398187726,0.09310071417013867,-0.04909562951162174,-0.05118546621242077
COL4A4,-0.014194978049931332,-0.0017071109223392987,,-0.024861300656427034,0.001292486500216693,-0.027242752328947763,-0.031229386763204157
TAC1,0.015492998923228375,-0.002290969248429766,,,,-0.02332181041532054,-0.0013637451066031668
RARRES2,0.04393926891559482,0.01535219140131381,0.04417373545242644,-0.03878873861557486,-0.015901205666637528,-0.010851052762807276,-0.002163909681730792
FGF7,0.03645371820045486,0.004820440084167828,0.021628309323216653,0.029850732270186225,0.02505026252104788,0.055558932827572564,-0.025690417047696246
EFNA2,,,,,0.008354692529174038,,
HBEGF,0.039560608339036095,0.011803265352170163,0.06222694757290144,0.026274492198812383,0.03701647923425093,-0.04784970809859967,0.051493398768091385
CSF3,,,,-0.05789313308657272,-0.05628003265915894,-0.019379408756106446,0.06465099470761387
PI3,,,,-0.08782990206186486,-0.05393630109020116,-0.08130040067453614,0.02466910662023272
PCSK1N,-0.010206184843950257,-0.033952840671641185,-0.031058794790958036,-0.026977479617919877,-0.01781677148032555,-0.017013957016133598,-0.0012064912145455815
NTS,-0.017328842983870104,-0.007861324072912347,,-0.039094869069206444,-0.020029143399259392,0.004274239723855022,
SFRP1,-0.020204738704622808,-0.01797725918124307,0.058564008520442135,0.03933362315107092,0.021549529772266394,0.015948054359167997,0.020058656709352606
CXCL13,,,,0.007164991985622959,-0.0021635720561085756,-0.03161184845612294,-0.00794187424986682
MICA,-0.01533069915660204,-0.01722094347076551,0.061361010970993446,0.010435233909398104,-0.03340180509980905,0.0013890889451425718,0.048649161563052094
TG,-0.02000205291643488,-0.013010064270018022,0.05065453605480644,0.05950139544142287,-0.024668079610561947,0.007031024512553114,-0.02936359219942653
