,UKF248,UKF259,UKF260,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.01865694107990272,,,0.044582642366727175,
BMP1,0.021237855222125252,-0.015183396180096597,0.14984176124435755,0.03944195687067275,-0.03858217217476684,0.015786932510640467,-0.10944811070179254,0.011975639511610089,0.0028834352119654297,-0.012335593657045176,0.01780453516340347,0.10540766929796559,-0.037493880974377995,0.014164057988428607,0.1184323132895186
NDP,0.08695306636649353,0.008218257113000374,-0.014455364775468419,0.026857724087564448,0.0035272708013882464,-0.007378050182100687,-0.05722300000159358,-0.02607041619043994,-0.033666546383350024,0.10737149815247493,0.06075714250309521,-0.016397142436883477,0.0350872008809418,0.05427709962276908,0.052621144268042624
TNFSF18,0.025010087320252675,,,-0.010647509681371023,,-0.02212031401514829,,,,,0.031882028304727326,,0.02025923046099906,0.0018862899763588124,-0.030335010329468583
RTN4,-0.02105700187353216,-0.03394327608739909,-0.006704002405963359,-0.0049734990789193825,-0.029783324159348964,0.06409562344568938,0.05290385126600658,-0.028972513513477873,-0.013843036250932429,-0.040006815557298785,-0.04462607367187608,-0.019715841158076366,0.06956835311543377,-0.02244807641848453,-0.02518630262671849
HEBP1,0.04319167844533371,0.05147056884579921,-0.027884490352557904,-0.002749933119889297,-0.025978182220401363,0.05891092511134048,-0.007476522700165189,0.013133893313209112,0.016022234250087627,0.010902225169834443,0.035893390651196996,-0.039497197448621506,0.049142997413079585,0.016681777152090883,0.06730960405120923
WNT7B,0.025912125914575625,0.006648026279651853,0.04204870540186244,0.02480209281841424,-0.05323390765377062,0.03765635300335358,-0.02480241504807225,-0.00811079626403481,-0.0015354309787160817,0.03495096875826029,0.025981771162155436,-0.020948078173972443,-0.007405853247713748,0.019793108283167334,0.0009213036964703413
PTMA,0.0212843248229499,-0.015267399246423848,0.06960384761985462,0.00027721476308935637,-0.009058313446637885,0.049035537312567344,-0.07005095598618263,-0.02441495758438492,0.046101724834398596,-0.05382359474894656,-0.005679417813512655,0.003710167380451883,0.014100132032735987,-0.022012871350535163,0.056721808393617935
FASLG,,,,,,,,,,,,,,-0.02169859017933604,
CEACAM1,-0.02312959976395194,-0.03595804103562696,0.10936636119403365,-0.016745996129576765,,,-0.022597969015311102,0.07379069216668359,0.0856112469847019,-0.02310918518649304,0.008817377405663176,-0.013903544146639416,,0.0276312379067233,
PDAP1,0.030057018323914192,-0.0635094749046525,-0.024786672143098033,0.0073197584849218145,-0.013236566773865414,0.009655049861541134,0.011713340742230842,0.03033329839902091,-0.027914198436231854,-0.08218143507819765,-0.054513736064506595,-0.016925440476993302,-0.026233082341256056,0.027176880927622157,-0.02569401897782387
QDPR,0.01770912204152556,-0.027460213405231918,-0.013947002556002732,-0.023484929958142896,-0.023103180873320372,0.023958632671390184,0.05409856870486249,-0.029994838223237584,0.0692436180480441,0.028328435536874856,0.024347061906300264,-0.002868573048882694,0.004039798299885159,0.10026024368022136,-0.027177859034780837
POMC,0.10950138642773452,-0.03348558675680104,-0.01968032514298231,-0.012354528249030876,-0.021563509233186295,0.016411812279019094,0.002412829869645726,-0.042129455292678114,0.006287845495067374,0.023613083805679662,-0.018353704260133056,-0.006644162819999452,,0.004482455951467729,0.033834268259543936
CCL18,-0.028863555127679533,,,,0.030945174076613746,,-0.040893327098402335,-0.019670898989261096,-0.06006200909916222,0.06415672714872847,,-0.03970183228187582,,,
CCL17,,0.03486368419075715,,-0.013279517579130084,,,,,-0.0232849038247892,0.09007106416320296,0.05834327927311726,,,0.023239406250479305,
VEGFD,-0.01690016895816093,0.05195013023545753,-0.018751629010983362,0.02466879587373927,-0.01456917850944272,,-0.04607090408831592,,,0.024797932292748057,-0.006513112429199181,,,,
TNFSF13,0.009838998454762243,-0.014376155679981783,,,,,,,-0.03526309758572081,-0.010165265182990331,-0.006548355569795037,0.07822501658035053,,0.008630166006184539,-0.03300016426210775
WNT5A,0.03759060531891644,-0.004138424243186927,-0.004984515529491694,-0.04731928427189672,0.021734488865018196,-0.05800089723317872,0.044574358476048626,0.007739326154618028,-0.06648958757068266,0.06289172979891318,-0.042944078176372864,0.012379488794297695,0.04892205546402218,0.019523847996621786,0.07151442001385364
CXCL8,-0.019705906167448495,0.07945503261803458,-0.017947174324718353,-0.020670077914023387,0.04190940061873617,,0.06323839920515695,0.006493276998094898,-0.020770186953376655,-0.09299455105547298,-0.03492393870809632,-0.011205961199841616,-0.02881722494444557,0.05136914163453352,-0.038157186113488
GRN,0.05004963855695233,-0.01683197767931517,-0.0056749918003072405,-0.03521410190696247,-0.028600220339115648,0.04051990444771383,0.012483090795857662,0.07743430929223334,-0.005699774041442102,-0.0049920320619641426,-0.03385516939247748,0.019331693477146316,0.026752677850836157,0.002945650900799905,-0.01808210216350487
