,UKF259,UKF260,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.07323618747755642,,-0.026999998346082122,
BMP1,0.03748011082625932,0.008899522596575888,-0.006777766359431623,-0.01535770269008706,0.03561731129505983,-0.06994783730754903,0.022957311320688005,0.04234241351095242,-0.0734566325873576,0.05580433393375213,0.08506758744734862
NDP,-0.008735164494117834,0.04358443350321196,-0.025042149551849267,0.047832443897769444,0.03183248481866898,0.12373007372523935,0.008946767931641253,0.021439512316879208,-0.024964388120361874,0.0810557958718003,0.0639664135121296
TNFSF18,,,-0.012622089446573373,,-0.007909786299370381,,,-0.022362517559993116,,0.02918509007531607,-0.03229665894905966
RTN4,-0.026239237018268215,0.008967161239986171,0.010160164027917907,-0.13079692634392648,-0.05722152715317414,-0.08142102536398176,0.042912811088400886,-0.07845056704226433,0.03184444920549565,-0.04275505403850172,-0.10773497124881587
HEBP1,-0.004479178444593764,0.014344532731266868,0.03286767250125341,0.0526879982409391,-0.12016751265297715,-0.08366581544135192,-0.02009136426681827,0.011975838068044782,0.008739533215592822,0.07143833165200646,0.0576809782769885
WNT7B,0.0036773834043962264,-0.019549774916533598,-0.03618004443778265,-0.05517296303841464,,-0.03849386533612192,0.10756176634986304,-0.03564592412767141,-0.03044009741687469,0.04568755128639601,0.09731315447636919
PTMA,0.003208105981760676,-0.03437776289474413,-0.04485284730843749,0.05325761505745956,-0.027653170291501057,-0.1438372372633235,0.043683088094386306,-0.05291358197731494,-0.0750756056514099,-0.050245951540210776,-0.04118244256535309
FASLG,,,,,,,,,,-0.023417089354374483,
CEACAM1,0.002409042796276933,-0.014777320781550952,-0.01985153968813039,,0.018764623106994054,-0.03452191500307995,0.0019813810141580276,0.06190742636676528,0.03461862624707797,-0.005880639777244602,
PDAP1,-0.01012807172665899,0.07603309817200689,0.0036255463446967246,-0.008751918248395354,0.0920862778611623,0.09136819842928111,-0.06311927034373058,-0.007664633509051183,-0.011959723805289545,-0.010163706374881969,-0.00599640616355365
QDPR,-0.031246679826227666,0.0002067577295203056,0.05551693008504227,0.01496936789276483,-0.01512171813981872,-0.0617049087822554,0.012918298461187085,-0.056491538529951,0.05859954587632987,0.0052987342659072765,-0.0007355890754211963
POMC,-0.027595719912155738,-0.029735463837070805,-0.014645674462481979,0.012144592390584102,0.05573498690270299,-0.07246142405794005,0.02301722657997825,0.07090250883102185,-0.021265599779840605,0.0065028927417279375,-0.0056972462898568395
CCL18,,,,,,-0.02447660533191353,-0.0468869510667663,,-0.015309071832015691,,
CCL17,-0.0222662124743335,,-0.01574220298520926,0.010430853501828742,,,0.0014581669898918463,0.00839701862394818,,0.11889282166101975,
VEGFD,-0.024807019548027023,-0.014138103859097145,0.049213531578767754,-0.019650405083015052,-0.02087004418359028,,-0.019200746328023006,0.021534750367720297,,,
TNFSF13,-0.015358735032245099,,,,,,0.035998306008107626,0.05248673846694727,-0.02268721612524708,0.039347996376500265,0.06462616310328999
WNT5A,-0.0446468583777932,0.0017778571827906087,0.08436469871355674,0.008357249283821165,-0.010838862212842675,0.017795260651562984,-0.015497343209577907,-0.018627583806549185,0.038743716705646095,0.026937901143836665,0.014187263195983709
CXCL8,-0.0036434551376889304,0.05175970229648743,0.054464093827322015,0.08176339129990225,-0.010863373840626678,-0.043094917362715576,-0.06387646186213036,0.11266536882670286,-0.0002418191875606995,0.03545494790952863,0.016526858152064346
GRN,0.004924350927742785,0.03011773889421282,0.0037815904957839803,0.04182985766581161,0.04533269103486204,0.009303654686206999,0.06733308774935287,0.06977767404214767,-0.025154040964733917,0.006394808367458131,0.008738870850425993
MIA,-0.014567552029552679,0.07362026184956676,-0.012608599243384443,0.006250228236733279,0.08329062924541325,0.02464673398600664,0.06698775240401487,0.0488739144231127,-0.03462502597966432,0.01531668951151362,0.06220862857954965
COL4A4,0.06750946022668619,0.02698472190537848,-0.016435346959405277,-0.005151099945421696,-0.06127051704080177,0.06537034852768406,-0.004735900793247526,0.003780809068130805,-0.004704786023530207,-0.026865902786515763,-0.012066121053522479
