,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.022758190729640696,,,,,,,-0.03289280631994634,,-0.025949298718935247,
BMP1,0.05668021622602451,0.044926220344146284,0.010865003855533854,0.007219998904598851,0.09702678281505507,-0.07231614226325993,0.04216870583929248,-0.016649966127892667,-0.003343473688099443,0.002132727522041457,0.1415305532233944,0.04950806164791936,-0.05635241198305896,0.009869148368254851,-0.02349590484426728
NDP,0.03093853651934694,0.05170063615112023,0.002453258824972918,0.07838483077770049,0.038051911193187266,0.05509765741331449,0.06199039193001062,0.025703754020145176,0.10152557916575854,-0.0015884802957933728,-0.016156032562128563,0.02371982177112187,0.08457416153011692,0.1008018778622886,0.09412932767927192
TNFSF18,-0.003836608513615014,0.039624038330322506,0.04858315649762164,,0.023655474905534893,0.0248487833337638,,,,-0.010269512974848582,,-0.03392177056563381,,0.016940216639362158,-0.006437149606791311
IL36G,,,,,,,,-0.01614023970072809,,,,,,,
RTN4,-0.06724213776769922,-0.010674127411099273,0.03430846126770695,-0.01690495221946607,-0.14910831381725692,0.026077472743910386,0.0016575425034659776,-0.007554279384608761,-0.002492322365774777,-0.0864139333096044,0.03337749419799501,-0.06490487191452995,-0.07117347750685236,-0.045989981551787684,-0.049266964602886716
HEBP1,-0.02331983203194839,0.039016025195158094,-0.006098169027078969,-0.014048065178130559,-0.0056845320622402095,0.013310148610224781,-0.0774893932195051,-0.0050917122201873605,0.0443071362428887,0.08411496314774287,0.0788345967923756,0.018341793924493942,0.001143112802166107,0.0454472274093825,0.0458941290815295
WNT7B,-0.03064631579733873,-0.026736289056248808,-0.015257923156973687,-0.025550069770600387,-0.02204463484036386,-0.03332581850040271,-0.05691660093989302,0.040403992837129886,-0.026984143192499047,,-0.03040348388089015,0.04980912915418326,-0.025623811748801142,0.010124713399219384,0.14931155669583607
PTMA,-0.05322769303774649,0.10176026162001232,-0.02578351271682049,0.02662617491233813,-0.04760300447780708,0.0903456612636385,-0.03839053756533633,0.0009440454189934205,0.0006444519571412751,-0.060712991089294094,-0.06505603229469432,-0.003347628038207645,-0.1138961592961739,-0.11932039693346111,0.002914499653061245
FASLG,,,,,,,,,,,,,,0.13042451767659607,
CEACAM1,,-0.021302258779139042,-0.020694981074739032,-0.016835778891766413,-0.035215253976054635,0.045814231610606854,,,-0.047691870828539956,0.0017708637817489502,0.06231848102317293,0.1455713460701282,-0.017006896522721707,-0.01789225723284642,
PDAP1,0.013223111147753095,0.06577480399660486,-0.05623201414191269,0.00344851955248172,0.10706869282018168,0.04866235043818423,-0.012351248380402958,-0.02020404384902709,0.06319554349139529,0.08179845802599763,-0.03316723104698149,0.05637842268814023,-0.061784243768851436,0.0562099171919417,0.040568938204931834
