,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.022046851805582645,,,,,,,,,,-0.010489834852670276,,,-0.008992706425704855,,
BMP1,0.1315285265334074,0.06802880618878188,0.029331573212972376,0.02379060543262393,-0.05920044721578154,-0.11612281833724825,-0.16203441059282955,-0.022108944214825874,0.007886564645026035,-0.06978837491594111,-0.11546063975956611,0.022054472930395544,0.08178927543820938,0.01608750362274375,-0.10652019869416045,0.0073993440824288124,0.008561447435669655,-0.05765728938888866,0.013683147647461934,-0.04772811148661255,0.02664467306947938,-0.05910327105424317
NDP,0.1289222583506888,0.04340371000617353,-0.051840005689268484,0.049424654497751644,0.11761928929618917,-0.025357129210731598,-0.014369423577754142,0.007353962926727428,-0.032724290493177446,-0.008517471309527022,0.017418864719120113,0.0026514430563257547,0.07127159952384272,0.0066106593361607326,0.022291256029066165,0.06901114585272665,-0.0012419043552219081,0.007149404516267751,0.009828155772608664,0.1553029327782582,0.02241177572475069,0.023356749604183553
TNFSF18,0.020929838678701997,0.05757530799266316,-0.02339533706842779,,,-0.031179876356840983,0.015219665825215311,-0.02033314046691476,,,,0.05973441561389285,,,,,0.004217217294968734,,-0.005424524088382953,0.02608464069248317,0.010986897858616878,
IL36G,,,,,,,,,,,-0.008314697723849039,,,,,,,,,,,
RTN4,-0.10107231224111497,0.09153240713782516,-0.01910881755999559,0.04992485792163633,0.13206159159779382,0.28751165089577424,0.19210311794776425,0.07332503758165544,0.06723320766236568,0.20208499259964888,0.18227662093484234,-0.07689310483531814,-0.08757913079897316,0.04161634108531221,0.1885645358610433,-0.010874268308080253,-0.04180856200270984,0.3316547083356028,0.005893251769516372,0.032233815908900766,0.12020325109899556,0.018732883508541805
HEBP1,0.01849432107546469,0.024644192994915656,-0.04469762468579685,-0.019834001026979624,-0.050986404963505406,-0.07042597265110416,-0.01132078769955567,-0.030410815983865417,0.01254387398165952,0.005090382883695699,-0.05565764285857117,0.02138450552065889,0.07613927458358698,0.021903436736658382,0.056026940718552125,0.08780588537171302,0.004514405324293241,0.07511464457813467,0.030722366304872604,0.10168870550484059,0.08062179442862952,-0.0223594252576432
WNT7B,0.02090433264760503,-0.021234219119399458,-0.014532458160550456,0.032517490651283114,-0.0009370374854836463,0.07073037155896193,0.1448590425500116,0.017621846735899442,0.07419997407805635,,-0.022710822611498847,-0.04412482226111028,-0.019673951082510667,-0.02750258197146904,-0.0453027778655358,0.02820883691906803,-0.04502794021128063,0.04587031599847805,0.07821792142402192,-0.043994498410179515,0.01999290801104326,0.03622058387233448
PTMA,-0.16569133759254864,0.014374630517924,0.030244859657688555,-0.0061057036827345,-0.0975914949426966,-0.2981562638024337,-0.0032107106129481435,0.05382891376783682,-0.057041788212825004,-0.22061598397533386,-0.1788731123148916,-0.04736153178410856,0.0305394461739794,0.01630608470838037,-0.06624588845506353,0.0015467509850739696,-0.12846963755292137,0.07136515414791067,-0.07496917861765875,-0.10017180950171566,-0.025038496873696785,-0.1649730753140925
FASLG,,,,,,,,,,,,,,,,,,,,-0.035553621054237546,,
CEACAM1,,0.04304525136937244,-0.01115278756972103,0.03132084662882641,0.04115188391467758,,-0.043082544926665155,0.02314458697692962,,,,,0.07737533418000644,0.004700767272513231,0.04469763382786668,0.01839189576656101,0.029212100506263217,-0.00793338567989852,,0.004544967367250686,,
PDAP1,0.08964874841014536,-0.008434739491978337,-0.015378917435971334,0.028681087667355006,0.00039131279680741025,-0.12596313346311624,-0.13476161138751172,-0.004239865552257444,-0.011490921782600649,-0.02680358222438282,-0.13599471286627618,-0.01645577753010666,0.016907160412235837,-0.007957405325353472,0.01803011502797573,-0.0444544236874825,0.0014068633988293027,0.12303775036854275,-0.02732260070425688,0.014061560009448559,-0.02768936811293079,-0.11935434867345666
QDPR,0.0393675118880294,0.08000563958045812,-0.03791758701851813,0.008884253188766398,0.1666373413078333,0.04234399593060481,0.10978052089528964,0.05712520751652591,0.023873869085718213,-0.15000803735278187,0.05188144880974451,0.00871636981242113,0.0474461818999275,0.02020105304193416,0.08788115025014565,0.1060409666931623,-0.04148473664052157,-0.04364848859551453,-0.06742103245027706,0.041573201007685294,0.024850118461101446,-0.032663479926795386
POMC,0.1400658820523854,0.052531185526034856,-0.019816724166695193,0.0007919828961349295,0.07548790179058869,0.06045726074177677,2.027556314789491e-05,-0.035431581824344395,0.015892432585678778,-0.027624199364285274,0.04396157008244309,0.01739439372029548,0.07270799658110523,0.030440776868267447,0.09571620657383573,0.04348737302235032,0.0765554115057922,-0.0008960067797639051,,0.03410014960861067,0.0370505978723323,0.11366586790813551
CCL18,-0.01617808544004167,-0.04683046818625857,,,,,,,,-0.05741854483758968,,,-0.0511554798560822,-0.017487717553076133,0.043922515259804576,-0.009049931572687351,,-0.1323846816735928,,,,
CCL17,,,,0.004976579239932808,,,,0.018384568034364297,-0.027737192192504978,,-0.015249027452067812,,,,-0.06844903852539783,-0.0068608908183864755,0.020061378929673735,,,-0.032225364116498234,,
VEGFD,0.02537832207094335,0.004670915028039781,-0.015974130616924834,0.02375947531325942,0.011462553002895086,,-0.0369343907048781,0.041650914090617365,-0.02614552271871599,0.17070599423664243,-0.029680045284645,,0.07199138511858218,,,0.05331673553015303,0.012494324058556255,,,,,
TNFSF13,,0.0070929503561885845,,-0.014929407944841848,,0.026509919009722827,,,,,,,,,0.06260820787678065,-0.025240609761399222,-0.016463508345016496,0.013363978078719141,,-0.035761571085360634,0.04552349713645917,
WNT5A,-0.0012195136539790168,-0.008958215626633416,-0.021103306051351054,0.05105048321583354,-0.06226335360001469,-0.210210188803173,-0.10194489014715499,-0.031914332505202356,-0.04397997707649531,0.09304047949573062,0.011782251966659654,0.005344169962439054,0.03424684470574452,-0.01768282350512056,0.04413691413660488,0.06984376214911364,0.011969514573945534,0.09856876407996909,-0.006753384431102,0.000664310027900369,-0.026853268615691653,0.09757611028966387
CXCL8,-0.16717013106801712,-0.0008261236813562431,-0.014957229092771038,-0.030361012518771057,-0.04760425043541163,-0.027780410264416053,-0.020368477265939385,-0.06367250672226962,-0.0008737372032633844,-0.03775945338654342,-0.054929293843247136,,-0.1646781127649938,-0.030789880074983803,-0.11829639567197067,-0.17589380735747362,-0.00701493938181508,-0.17315676136308913,-0.04987336983680497,0.024362994028477605,-0.036784975914108724,0.11939245860298554
GRN,0.0590618229052819,0.021751268300368495,0.007918789067947145,-0.013431216868672938,-0.03906757419892187,-0.1490352423258749,-0.1526682291692228,-0.03361129228961591,-0.034992884965249896,-0.11358183463477149,0.05215494372820059,0.07165804036119525,0.19029860021732545,-0.02337144654442418,-0.023691123285098162,0.013727931391830104,0.10866424747561515,-0.15846478619038032,0.0808132620708441,-0.012729044288458778,0.06503168601559867,0.01710844017735892
MIA,0.017624703249813564,-0.04890382902651328,0.07907557363683425,-0.04557457889601838,-0.04859339476093365,-0.0740474101864301,-0.05561240378780499,-0.021539881985719052,-0.02005886846554512,,-0.005118597345046581,0.11481215082873059,-0.04371756000256412,0.048411700466390394,0.07332548812315419,0.2509544518450401,0.037103730025335104,-0.13846755458132798,,0.08005748431288319,-0.024089052832867802,
