,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01799030027711988,,,,,,,,,-0.046769170304608094,
BMP1,-0.0664235962237176,0.02712539631690997,0.0856080536169646,0.02008078903045986,-0.04296974609992262,0.002652168669070234,0.036104372295277964,0.02451921023398489,0.04601332734769796,-0.020799185954348293,0.03234367516052609,0.05106730501758922,0.033403096037357756,0.12180295371756124,0.06006449511385779,0.11107032259865068,0.051364701115532777
NDP,0.039161311023336996,-0.016817545778125432,-0.008361962313377972,-0.009195062023139088,0.011372712444442497,0.014172198361926371,0.00916913123777389,0.030436119788760454,0.02579072057278982,0.013759031033175472,-0.0025580288410700022,0.03484762905851976,-0.05265675831672377,0.03712710117643489,0.05304658800084387,0.0673327954675714,0.012993460168142778
TNFSF18,-0.02215836913793506,-0.026202659655207405,-0.03175759567620734,0.07036767712164094,,,-0.012551298257022264,-0.019334381368959843,,,,,0.045927932778540674,,,0.012354687149486133,0.02488602129049527
IL36G,,,,,,,,,,,,-0.030412865573575535,,,,,
RTN4,-0.05202919092481563,-0.006638116476326148,0.014743460022392973,0.030240553905144418,0.008040904224640356,0.011169096463367154,-0.07625968974476222,-0.015150561030508098,-0.03868552602311811,-0.021439128432694105,-0.0712684508142135,-0.11063891328552972,-0.022821328030400045,-0.037461082721317936,-0.014227214796408521,0.0027220817592354075,-0.007187542320562138
HEBP1,-0.0445539819901304,0.06313484882622215,0.05811727842128684,-0.028683984440365642,0.02286967844094262,-0.05794947183663545,0.006315225453151787,-0.028853527303438504,-0.013999038236029174,-0.0009901970675708764,-0.024246910494632755,0.05451411557776601,-0.05867872429213717,-0.04946518698095583,0.002978767996264817,0.08050535338066818,0.02956149099480957
WNT7B,0.0758433687021875,-0.0007779644802025805,0.004599003106572496,0.00894979216046741,0.0715126391462726,-0.020764573831961525,-0.03261794685981774,-0.055420204401729095,-0.01140797684911151,,0.018508398834822293,0.018301102321619234,,-0.03230494631719842,0.10953813344483453,0.09281697683986112,-0.0006756337946625846
PTMA,0.0519823678026796,-0.09739216435838134,-0.0020506154081679526,0.026750621638294062,0.015878241855435796,0.023661240333712117,-0.037672479729077835,-0.0016677064207792221,0.008999239436290767,0.01603159616980576,0.033245027513888435,0.02630765785161279,0.15532061444950088,-0.015747897972803074,-0.0062597383906015805,0.052051223922381464,-0.010037762089120359
FASLG,-0.019520834709588545,,,,,,,,,,,,,,,-0.012569694437377493,
CEACAM1,0.025487737774775483,,0.004067264424781735,-0.016636633642725024,-0.026710379779923667,8.831364284269122e-05,-0.024019640030494924,-0.01198979785135936,,,,,0.10395849880796189,0.019644200365810136,-0.017096391093463222,0.006095877226014551,
PDAP1,0.05367185821616833,0.05151906510926394,-0.010051333103555736,0.030753751254412303,0.0032528346576601304,0.06488005493004212,0.06101041032355424,-0.03125093891001981,0.06581747230477307,0.03421096182983689,0.09765987747499613,0.040370143651947535,0.023038397822325727,-0.03749946956096451,-0.013755487457176,-0.012442987891645097,0.045412653707944714
QDPR,0.047848969289003875,-0.019230147670041903,-0.07449662176944419,-0.007232494767571943,-0.04002262991868693,-0.03715330179754719,-0.0519877087931723,0.02359576449751937,0.003699997678329439,0.08826998240449961,0.06685074680026153,-0.050156712321570054,-0.0034726055710663653,-0.07574619091708891,0.012814994359503317,0.024670682639015833,-0.07678477641545624
POMC,-0.038056562439175226,-8.398461536149115e-05,0.020437015297675058,-0.008007334530843142,-0.0064482383562768164,0.059138330664826086,0.023581197634984372,0.041637759635369934,0.11772210717413881,0.017677319113190395,0.007617403777119413,-0.03568742143569323,-0.10695951221977845,0.08894825329793005,-0.018615011531596812,0.095634802924379,0.012928675807433631
CCL18,,0.1125484212151907,0.012317011326777195,,,,,,,-0.0387938584906329,0.08486289266227495,,,-0.020541335986145486,-0.04174825493359066,,
CCL17,,,,,-0.02404464587368932,,,0.024456964073418373,-0.014119877364344936,,,-0.027783016122422136,,,0.008862996995572294,0.03180212317332882,
VEGFD,,-0.01092226395779173,0.009615825550369142,-0.02382863989594155,0.0469995174278947,0.003121784292909504,-0.01664746145598278,0.01844415128425987,-0.010357100804432593,-0.019823609076742108,0.004519465183799296,-0.02977591891111438,0.047833138660880244,,-0.017096391093463222,,
TNFSF13,,,0.04370452489287276,,-0.01658545858860596,,,,,,,,,,0.003287963820608098,-0.009143653629774177,-0.01766089071360281
WNT5A,-0.06306936807366534,0.09916271443568211,0.002083961325793216,0.03271117978287915,-0.013984965690549769,0.020609343552757637,0.0007529418837085667,-0.028230570208046948,0.05557654193344009,-0.008630126572617004,0.052505334970999226,0.0600154357206804,0.06254652941734795,0.029549557168288366,0.03610398480909126,0.0978580163289755,0.09272482557930815
CXCL8,,0.0184688101133066,0.002508980975822588,0.03821601965941563,0.04415104638752619,-0.0875561248555754,0.06314244684178982,-0.032471051295595715,0.1347692164783461,0.11028732648043889,-0.040019645328580274,0.11751456267983391,-0.0787963054442968,0.044761272207329804,-0.1078661089402083,-0.024236701319945108,0.08968694449394805
GRN,0.010292447989660877,0.013636049210649114,0.07822854272038436,-0.07147769001550223,-0.030742413834222434,-0.004806094374290778,0.06027911177566635,0.03369657689921409,-0.009224357669781821,0.049122330462013884,0.05261031281578681,0.04600991975487526,0.0016697917806751208,0.07220241765791742,0.042528766105943305,0.041355406713084214,0.03493491273523098
MIA,-0.025551088920822047,-0.022781528111549845,-0.028140073989398055,-0.021191525919382857,-0.026324551644403834,0.025213538628909467,0.011445322135074812,-0.023139129688276847,-0.011779020979922268,,-0.03552985466792648,0.05793651802589748,0.03518398292313098,-0.004344918498467557,0.022744388809269492,0.002415878893211479,0.11288142155035906
COL4A4,-0.02260750519474299,0.11750308034996662,-0.02129935721547608,-0.035637834773845856,-0.008732670680836758,-0.03336563836024772,0.0686967374777365,-0.0024995161475192644,-0.019787818491805744,,,0.05606412807456833,-0.019508571880059635,0.002240379512800019,0.07738667845678826,0.03690724369231774,-0.012937609234367504
TAC1,-0.019520824089105583,-0.049917385242706565,-0.04649471557038294,0.04405397894183304,-0.02029038382619155,0.004861452087505415,-0.0471344665031581,0.044336095378946824,-0.05656940819801742,-0.014842677382630188,,-0.03578222779347931,,,,0.03586090946354542,-0.008671052865816169
RARRES2,-0.05266435817759948,0.00045193709050681853,-0.08244420112514564,0.031297629969412814,-0.004162127313974203,0.015059139721447323,0.051402092404595125,0.039269632193496225,0.008660829936039123,0.022211509923778395,0.030652301428143233,0.0015232783218601211,0.05824564727622853,-0.08864233311527785,-0.025048229792356564,0.09124665895619305,-0.03085774037416564
FGF7,0.11221304521897851,0.0919191141076569,,-0.026895026227098735,-0.021997007931532378,-0.03433562748753767,0.03135236411363299,0.0024966227971810933,-0.04107544483675925,-0.03329506267217652,0.007483426071790141,0.02942443107423633,0.05626046256162097,-0.03644216718924028,0.046453513940994055,0.045979187142153544,0.027370089316623877
EFNA2,,,,,,,,,,,,,,,-0.016248975591236187,,
HBEGF,-0.0007860586409694448,0.01490309548516942,0.15491538961996723,-0.024281759264962077,0.006225001645937137,-0.0028322879936677997,0.033953207630305196,-0.014383315126541254,0.09173869902992351,0.05773137541729423,0.04483641726448799,-0.022275296115085604,0.013085992113041841,0.03851044524110837,0.0347180929200581,0.07671868688452378,0.04102751579873004
CSF3,,-0.03985664909045467,,,0.012396473668568287,-0.07849152040502515,-0.01875599449061972,,,,-0.04102475711923827,,,,-0.07141028697504331,-0.005811662504978104,0.11437632319057972
