,UKF313,ZH1007inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.020719492665407537,,-0.029963149305393493,
BMP1,0.11004142151229361,-0.031597225262912775,-0.022886438534479612,0.016228919605957487,0.054831590382327024,0.028866636291175293,0.050965535388088706
NDP,0.12976354081497415,-0.07560891282150835,0.040904604261221354,0.0003702891220369168,0.004709711058816894,0.049210614472080236,-0.022789206515205607
TNFSF18,,-0.02598801216814882,,0.0736166334601335,,-0.00039686314482188995,0.06302593317080273
RTN4,-0.008189553637244034,-0.028276978843319783,-0.013609981700121133,0.01520750061075602,-0.05915646219895384,0.060054451434843226,-0.039352572255776555
HEBP1,-0.0014254113195050285,0.01256682786161018,0.04095867873546226,0.045759301083945374,-0.01121839650482459,0.022699370683093047,-0.012960458694184917
WNT7B,0.0013877092906688653,-0.028610264826552635,0.02688667043807668,0.030451040256947438,-0.002185537412196842,0.039152944331820594,0.0640604751673684
PTMA,0.12235308213155031,0.0033742523352908427,-0.01777542571721803,-0.0019706096923184724,0.067136269456982,-0.00471443319859988,0.11640372261222962
FASLG,,,,,,0.057242303764095136,
CEACAM1,,,0.03198508561211287,-0.03070307802030621,-0.01351765766452986,-0.02452155797236663,
PDAP1,0.07386474541230528,-0.04514310626446795,0.01709411601661884,0.03958533615535357,-0.026788086866097904,0.021548520994430286,0.035530775451605004
QDPR,0.019684799136918736,-0.02829506419594162,-0.014299277744568809,0.006663473269712789,0.01063184636076263,0.05487773137703549,-0.09277074524900303
POMC,-0.005684753107063523,-0.007844010412059716,-0.01709568143566909,-0.04324951954944438,-0.02211311218353496,0.02596536391977969,-0.010745979358322923
CCL18,0.1598974164988486,,0.10671739040870322,,0.03580182033451538,,
CCL17,,,0.07788579267361508,-0.02731745421745028,,-0.005286450846595087,
VEGFD,0.004738421564266316,,0.0797223548836245,-0.028811482685774395,,,
TNFSF13,,,-0.02618430411913896,0.004527642751552125,-0.015179423569579693,0.040682836804794,-0.03962938441595596
WNT5A,0.03711366752841746,-0.05889947588100983,0.05095474939513031,0.042126222625306686,-0.011209491356243703,0.07582147615342714,0.12673714112233259
CXCL8,0.03787413753099665,,0.04388932495711811,-0.03878483020397238,0.08421043136693827,-0.025278609479826318,0.06774402029033694
GRN,-0.0009237973573989213,0.02876988136859593,0.028937432885746215,0.04146221534628471,0.004455176268331778,0.00867122553520279,-0.008209505610492936
MIA,-0.011620754255248295,-0.0702250728272853,-0.018325735291400486,0.06130330186830802,0.05157268843589729,0.007537860958781001,0.003525812174873665
COL4A4,,,0.00456187114318616,-0.04208033001486286,-0.027242752328947763,-0.0238060215747729,0.042378631842948815
TAC1,,,,,-0.02332181041532054,-0.030964552805973142,0.00950698246688819
RARRES2,-0.018056205996480664,0.013401179628277558,0.07773708156550048,0.03792030449780403,0.03242993935382475,0.026147919890793694,0.04400196205265332
FGF7,-0.01774998210374603,0.03933067006971708,0.04584518161089489,0.00822018464347452,0.0746909597354033,0.08039530837821804,0.00042826221713549025
EFNA2,,,-0.015860286155024383,,,,
HBEGF,0.06217334145323578,-0.005757281088905784,0.019110286490814248,-0.06975311641436767,-0.003893230012374463,0.04787992220221498,0.10499669329862037
CSF3,-0.03813991968507435,,0.05701589345690635,,-0.019379408756106446,0.010125972462813418,0.19348557993413584
PI3,,,0.03196717958418221,-0.023210632733851197,0.07636725989640904,-0.053880137233675185,0.10408207646085807
PCSK1N,0.08184395597391211,0.014040742806943132,-0.09402070168367731,-0.024270010154493375,-0.08223351199515962,0.0006851059188757812,-0.03668903614185865
NTS,,,-0.019322748977693545,,-0.00673816631813706,0.01231172751654276,
SFRP1,0.10505432056157368,-0.05507026502383624,-0.019718869560013366,0.03203937657027826,-0.03218494772601886,0.0252486315227803,0.004194133160536989
CXCL13,0.018233429577976898,,-0.009325090992348196,,0.07994678238248606,,-0.024156062036585994
MICA,0.0474090953909872,0.009347964425106344,0.01763348081650286,0.08297414526361065,-0.015355933329732271,0.03056379780561622,0.011110565676418905
TG,-0.017517680989385543,-0.033304851082588675,0.026613622843271206,,0.07948504676475995,0.011517335273451688,0.037551022481289734
ADA,0.05979934872020379,0.04029019198781716,0.015611196695096254,0.05807831510081556,-0.03735275022033743,0.06403975048178744,0.09683201555085706
LAMC3,0.021693556302925632,-0.02264314761583564,0.04420214429150657,0.005941390243704008,-0.0009125267008179465,-0.006052103418478992,0.06848567196213161
CCL7,,,,,,-0.0259870199298143,0.08227719954499883
NGF,0.006124452723404931,,0.03642040326734612,,-0.021778389211823942,0.04184891612346963,0.08062252726382477
TNFSF15,-0.024288250520194385,-0.030698641817373872,,,-0.012034280134144542,-0.03720057679862631,0.14591543485386946
HMGB1,0.10171905909819946,-0.04118413049589002,0.025546958278310092,0.05281078674931533,0.04097004255858072,0.003950207775736485,-0.023083603549001314
ITGB3BP,0.07651342971633701,0.015617788461543672,3.8365525469606605e-05,0.005444711170849952,0.03602164914802797,0.03809375864341686,0.03925459765917265
AANAT,,,0.016494518099354757,-0.03379081446628808,,0.020059833418063437,-0.028447763370681473
RELN,,,,-0.042257497055044425,-0.014536106219093087,,-0.0012540780120769831
IL15,-0.00793805221106624,-0.023845039429479905,-0.038695837979526415,-0.018721647888200625,0.049413613969975546,0.018994027289697003,0.09121270519833341
UTS2,,-0.0010655168445777284,,,,,
BSG,0.015648625986167147,-0.017006149524241877,0.044980138142329776,0.010241549230746208,0.06953347989312487,0.07853491337419709,0.09055071160360699
ADAMTS3,0.010435748068831246,-0.0605982280195319,-0.003964196879153398,0.05877624433733749,-0.022951132801891445,0.014447243000877812,0.06211327893536325
CD34,0.05237748238070913,-0.03109478707018522,0.004797745703860736,-0.004649682233458976,0.024461202374240914,0.03757056659545302,-0.005865575962977637
CCL23,,-0.028967530480502993,,,,,
PLAT,-0.008989206600798999,-0.009587848088155363,-0.03464967010108839,0.01220324365982145,-0.004255483528772783,0.036247876959183335,0.016844031059988204
NTF3,-0.003070261691812637,,-0.04357234248791471,,-0.04092773368818279,,
LTA,,,,,,0.010427292359993111,
CKLF,0.030294421621871646,-0.06060451574317376,0.020700525058368797,0.05407196720073252,-0.017656589792960746,-0.051448121334144344,0.029230481017245655
APELA,-0.03622014283612141,,,,,,
CD24,0.05558600631624966,-0.05019164753748903,-0.07341131411419048,0.04536383382531859,-0.04964994978142105,0.05719832060059377,0.06437492936369923
HSP90AA1,-0.036914045080478734,-0.08927707083921968,0.0024732528650470357,0.043629041451888624,0.028269064969637717,-0.025207558879189688,0.02946498712411107
BMP4,0.016700610001267054,-0.06406922004281494,0.021921878567937914,-0.01722793473439167,-0.0417016325188731,0.0025758181817351687,-0.0651703460602886
SCGB3A1,0.05353395581302199,0.04571237787036242,-0.030360663452587547,,0.039363348786354314,0.010749289437251558,0.009059003670309557
IGFBP4,0.09494310882562446,0.02264519886144382,0.029488912478510595,-0.01987035750223117,0.02589422256217553,0.031968124714236754,0.06048898716654289
RSPO4,,,,,-0.016830646003687517,-0.014474396038935682,0.008306934951162652
LEFTY2,-0.02746247859136599,0.07130278744365977,-0.018236479505793563,-0.023709974518767708,0.00986113408420548,0.08180002105318315,0.02710693461014682
PF4,,,-0.014537050319843953,,,-0.014198065357429785,-0.02810017789665733
ANGPTL2,0.01568540953600915,-0.06472806281116471,-0.04740590663147717,0.02892278369102599,0.052810696239738074,-0.013240922277465076,0.05721505734665943
LRIG2,0.05449349852012891,0.008931515168796826,0.025716981270015794,-0.002038659375936703,-0.05463997041020218,0.09285780556711386,0.021063747768082907
ICOSLG,0.016731736501378186,0.08253142014140463,0.017945294224446476,0.053412278734782645,-0.016560084367716336,0.06536655660390651,0.06427403525808187
WIF1,,,,,-0.015645715708879966,,-0.009700640172640003
NPPC,,-0.025593807360308547,-0.011948077998822929,0.06329734064385112,0.00209734724326928,,0.04770729101307165
