,UKF243,UKF248,UKF259,UKF266,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.1284955632555667,-0.08349310822661472,-0.007139422178093069,0.016140762509524873,-0.0481514091377837,0.03307913777900634,0.024628488320521492,-0.038409999158346135,-0.013606935002631783
NDP,-0.05941950012102131,-0.07004158438938804,-0.03159231041821793,0.004717703504584951,-0.17975420772751258,-0.07599413006949404,0.03906082272592487,0.06967965878841768,0.016902220805369305
TNFSF18,0.1221077981995673,-0.03708816344838729,,-0.012213190993969497,,0.10929525512550695,,,
RTN4,0.012504033454344808,-0.01585159237972614,-0.022912838991257255,0.01328981154362982,0.08395166580587506,-0.06904321355277847,-0.026079075313943472,-0.07008715184719158,0.045576180372934115
HEBP1,0.07127081545488424,0.0046416953053029335,0.04172005893580521,-0.053914293658737525,0.14718710038257637,0.0019672020524117914,0.039411357712571114,0.005917098855749905,0.0507593571327545
WNT7B,-0.009445242465421567,0.05267812996202861,-0.02403262020707372,0.05955090959407663,0.04874545683000136,,0.033708733072935274,0.033491585586141126,0.04366241969520481
PTMA,0.051686641176557836,-0.10038534318120285,-0.018486167645393615,-0.0275563356903353,-0.03379584521701637,-0.0016321451665978056,-0.12139885737038955,0.045029923234496345,-0.021127016388322362
CEACAM1,,-0.023605599607926867,0.03466348608598698,,-0.0017865684546591763,0.20897389786361556,0.0024564692900325316,0.08540055468855429,-0.001990299346035353
PDAP1,-0.010020704341533558,-0.0822928558325793,0.01043757947977233,-0.013850719861773131,-0.0392395413382051,0.03114010284357792,-0.032649488048880515,-0.024551029610025706,-0.016806223118759348
QDPR,-3.863321047028988e-05,-0.0330272535916438,0.008050710095560512,-0.061602652112087354,-0.12389859767688903,-0.01535880093070973,-0.028296144117374643,0.014033766145038666,0.032883618827559455
POMC,0.028993535262040543,-0.05594790785795905,-0.025842658143027004,-0.032220861125616354,0.2915573254577272,-0.0041963501880448876,-0.021678351029601056,0.003364916297148055,-0.012920610921144342
CCL18,-0.040269518399052795,0.0900742592946665,,,-0.041947884686166864,,0.03390934176843792,0.05969529536898444,-0.01954857917238646
CCL17,,,0.01943751710946883,,,,-0.028935108967085062,0.01799005438346298,
VEGFD,-0.018268159603088523,0.018586158118300052,0.013599425274880136,,0.04270053268009938,-0.019360402544561117,,0.031482228637107576,
TNFSF13,,-0.022229625581978055,-0.01109486536243085,0.04928898669283716,,,-0.006818567452598233,-0.02228019852645145,-0.009310839156846653
WNT5A,0.052622771766939996,-0.036352850582174766,-0.00831095256139939,-0.02271383406033697,0.05499132370942778,-0.05205115807273911,-0.037302822817430976,0.01124656199845117,-0.041419217743050726
CXCL8,0.0462075416961527,0.12321580256096805,0.07868099379677161,0.026062383337095846,0.20754420361352457,0.04719553425333052,0.11256361529439644,0.011706720927058299,-0.023977114049051517
GRN,0.03420220460412758,-0.09382773117240546,-0.030756142394341955,-0.004342750616033383,0.0780933688006799,0.026205697575571545,-0.025227830695904667,-0.1078320204772176,-0.008539486273986102
MIA,-0.008531927879679027,0.05654415359804423,0.04652717855535125,-0.004461456129414228,0.15922086905682567,-0.03300423266334998,0.12765447570085878,0.17881409240097412,0.03612032666404333
COL4A4,0.09321667674386679,0.04549968321476985,-0.03130430263026429,-0.011269278163742829,,-0.03399158647727322,-0.0012076506172863104,0.08475901776909442,0.07532016615330958
TAC1,0.05191044767130255,0.006548051859637409,-0.03428321562289844,0.01829100335148871,,,,,-0.00033422329599719797
RARRES2,-0.012443811442056205,0.03498195771575744,0.008097153456378589,0.07150392963598458,-0.039257347752453556,0.003080927107677492,0.14690459514001558,0.04752897106936153,-0.0416026762584163
FGF7,-0.09063440588055896,,0.08920199190943842,0.002104036102775806,0.08213946203369861,0.044150519041937765,-0.011454744896901979,0.0522094244284661,0.08458233408155014
EFNA2,,,,,,,,-0.038928922798120796,
HBEGF,0.0099708621487685,0.0227118588272574,-0.018439897900053386,0.023432280168002254,-0.02332848100425953,0.07702743730886709,0.02286594415954252,0.008066902652622604,-0.0439770402147823
CSF3,-0.03287189213028775,,0.1503033779009319,,,,0.10645531529396304,-0.043369668953462275,-0.02153383683146735
PI3,0.003711384656380274,0.08452409349803502,0.09929920309399778,,-0.06714759722261045,,0.08552744970486205,-0.06646425353066146,-0.01965162069622197
PCSK1N,-0.018554672220682255,-0.041133006947774255,-0.053249059715479274,-0.018347605121422257,0.038490580679950925,-0.09814769337962978,-0.0589782454285091,-0.10503930915760483,0.05705145899054887
NTS,,,,0.012529502427659133,,,-0.067502597186372,-0.027709805424860918,0.027344918360431455
SFRP1,0.11956583325763019,-0.04536258939005086,0.06678943056557382,0.0020579005546482575,-0.05633221372844814,-0.06484888471733098,0.06910253892617729,-0.03153509273386456,-0.026309005364042345
CXCL13,,,,,,,0.012811602892571376,0.02189142296085905,-0.05528739640774288
MICA,0.012018665875095595,-0.014069908880451978,0.04431394738955775,-0.016785325047257684,0.06506802849681931,-0.10836524525649799,0.09152114006040969,0.06529205561879502,-0.0047863925589859534
TG,-0.019547752440751447,-0.00608681829502244,-0.015145472335330881,-0.0158794678912729,0.041353824755228634,0.055464153687728675,-0.03844752562540957,0.013766421852610173,-0.02212206571009986
ADA,0.07052317341770946,-0.027919697278788846,-0.01599374300363694,-0.031022100342315,-0.051862909673593666,-0.031253159024456315,-0.003277279947177934,0.03128322735423261,-0.03834427091891905
LAMC3,-0.020362989605784244,-0.08207577425994887,-0.05962865320264476,0.01499076466703475,-0.16162634855979513,-0.01946576359671082,-0.014098732614329609,-0.027803226953265925,-0.029959311801643948
CCL7,,0.11228616335103433,-0.010950152300079223,,,,0.02027154419572135,,
NGF,-0.026314537473211178,-7.083396714861374e-05,0.0690776307192913,0.009086849060996958,,0.05175323947123108,0.05906678342031466,0.05664279108518218,0.024294865839352312
TNFSF15,0.11215586148784136,,0.010971916427468012,0.0012375799287918017,,0.07486433814758273,-0.02224988267329798,,-0.0256202183481759
HMGB1,-0.007917978016147985,-0.12532335728249974,-0.04511700601765274,-0.04637707703312097,-0.09906641176547874,-0.04009836341894906,-0.08568944671852609,-0.017070853793495377,0.005910867005917826
ITGB3BP,0.00705477063416095,0.0002953796866801863,0.004122044260595657,0.0038684955692402,0.0007650934776815616,-0.02256940139207818,0.09373152535796435,0.06079251811187705,0.03485806535571576
AANAT,-0.04716464757566646,-0.014736627429073343,0.09114894813913191,,-0.016109029469950426,,0.1142253858932722,0.04966610316126838,
RELN,-0.045371953519524374,-0.052543106039178666,-0.01925820368448557,0.07589398417680525,,0.052961917276898286,,,-0.030946447241891138
IL15,0.042485468033101895,0.07473678166471456,0.0260518320094865,-0.013092262458459104,-0.06584509686371914,0.08964309023902142,0.05678317079294699,-0.028589569516158587,0.01733894310744393
UTS2,,,,,0.10802851590347401,,-0.03239822728526327,,
BSG,-0.03872007950344989,-0.14089584945825442,0.006572165127146673,-0.05592905278250741,0.10200545963863913,0.031831311596032245,0.16941027269572592,0.09751138490148516,-0.03190842842492686
ADAMTS3,0.055845633736913085,-0.011859216035213876,-0.04239655406171171,0.051050679400202435,-0.12004995727430542,,0.01001186825443801,0.1078593718741878,0.11518206954893447
CD34,-0.040419756827221244,-0.11164727004275486,-0.03610141989307957,-0.006855417391910695,-0.06845049471431539,-0.01030617707627013,0.05875635180266992,0.02460108761931741,-0.04212164498876335
PLAT,-0.039658506590345206,-0.10485056508590074,-0.04670283783299825,-0.021301326579861436,-0.10048786471570662,0.07517407797711707,-0.06683229129217653,0.03240705920946242,-0.013297340175322109
NTF3,,,,,,,0.02586087398228649,-0.0016031953423186612,-0.03152972193669933
LTA,,,0.02702422963820026,,,,,,
CKLF,0.11643335688493159,-0.08577313311725569,-0.008204293670605824,-0.010444206542862862,-0.008313106368849918,0.06831190047640683,0.018578633617933157,0.054896381763424894,0.0350228876601374
CD24,-0.055010251096088064,-0.05036444374401188,-0.0021729061655571197,-0.016292187806709015,-0.05649994355545006,-0.06839006071457432,0.006615991896597371,-0.011012204842109184,0.08799734261985312
HSP90AA1,0.04109409377477812,0.12058600358731728,0.027832613689028545,-0.004667704905341725,0.042664156757787786,-0.12079955523613847,-0.0036361678164740048,-0.0896403397411977,-0.017096463581580863
BMP4,-0.05695109596730333,-0.04073753871247021,0.07190889329946829,-0.015897376858070456,-0.017798223477786528,-0.03861452651953643,0.040727367476184356,-0.01174773387842314,0.003719080774164808
SCGB3A1,,-0.018737493496596442,,0.11364887908855842,-0.047258935150825604,0.09897859833382781,0.013541880802624372,0.019156716355057207,0.015994781692769845
IGFBP4,-0.002134671173163695,-0.06800706335194454,-0.030006904580277122,-0.012063484137700496,-0.0773964551697151,-0.042527482778169805,0.007586117192495427,-0.11821462353587472,-0.012044954140276263
RSPO4,0.00272712875191664,,-0.021482293129452653,,,0.12617502809150166,,,0.037597189458559964
LEFTY2,-0.0314984791252398,-0.03033478746134705,-0.03135891643058103,-0.005911828974227986,0.024981651524365284,,0.09574115345270835,-0.02537720249353709,-0.03156142914514878
PF4,,-0.019437141695053044,-0.009553792150955271,,,,,-0.022592294095420122,
ANGPTL2,-0.06045890790904231,-0.0426711036663958,0.022722412774872996,-0.038153387131839224,-0.025957900553151596,0.026359543560714276,-0.04864620098712619,0.0009089072190596598,-0.024130390575347604
