,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.03263349124037287,,,,,,,,,,,-0.01799640560492159,,0.0238051861536398,,
BMP1,0.03873050730128043,0.05599414472058748,-0.0052789388376681895,0.018246093682066002,-0.006833117706070194,-0.04180813498235816,0.05526951501594804,-0.00844584453413808,0.1262604485910256,0.03059214896908597,-0.01588810639973028,0.017855569334044603,-0.028782469955117008,0.12074328256932829,0.003073374952450538,0.0023947342567505097,0.009778646112887963,0.033727806710127234,0.010261619618199118,0.051216468073081764,0.012595138959529883,-0.02912590534076437,0.06461932170046007,0.040861509121457876
NDP,0.029359921563054416,-0.009431058391791185,-0.04710808469992531,-0.061407373677376316,0.000583873915560157,-0.012210752295605264,-0.008834136395851832,-0.01841188513523026,0.05653283834865987,-0.02476059531844486,-0.04524007488230377,-0.015304607032969096,-0.037240563428552496,0.05129694955961154,0.00024107622978547071,0.01768122487317341,0.038890802912382866,0.028814588264851768,0.10387283674864145,0.07956476183892389,-0.01029914224560358,0.09165102365960011,0.0566947692967665,-0.035600174732188045
TNFSF18,0.19903878037059333,0.0277345183219288,0.008553045857506499,-0.02103383510252487,,,,-0.021070456467039603,0.08091264566587705,-0.010033221530646957,,,,,,0.06849193574119318,,,,-0.01855937544514239,,-0.015383590895347223,0.08759840048138035,
IL36G,,,,,,,,,,,,,,-0.032785538888022187,,,,,,,,,,
RTN4,-0.07318393710641499,-0.00924365702599295,0.03149781108763251,0.052757277939789717,-0.07500780664164813,-0.023709308276003472,-0.06077849688632552,-0.0354282789397245,-0.18286743493667104,-0.05190075045268504,-0.016117960453390454,0.12289333433258694,-0.02418586044994239,-0.13136605986229244,-0.04557837078392036,-0.0549142623394074,-0.04194608576766128,0.028486087616365226,-0.0527706753733363,-0.07099705941218595,0.06386160903652827,0.01625962231662578,-0.11026292168783955,-0.05962918165623239
HEBP1,0.0322164892023372,0.025464183638978306,0.06704854161304258,0.02911317873993195,0.031095440087302986,-0.0014661576564601274,-0.02319467925865519,0.11198682658294878,0.06879723089236701,0.014182048938747492,-0.05842462163826614,-0.08473279486934827,0.03721451482166002,0.026712797883516423,-0.008978465902440055,-0.07823531230582534,-0.026141497153503973,0.027492630103886927,0.024181882478734536,-0.027968926946357393,0.013132816117066537,-0.015438439298831938,0.028946925054783485,0.047754468957401534
WNT7B,0.06681873741566709,-0.06860505050837767,-0.01995841959844777,-0.024072644241378473,0.015950300008546282,0.009781017653538272,-0.011927260383055539,-0.048075645718438365,-0.06212920713388468,0.008380085527804601,-0.017327980443292503,,0.032891628633186655,-0.029500368536911757,0.03479961796609321,,-0.0108264706152005,0.025846260466456314,0.06988800835491508,-0.013524147853783744,-0.03236975177273132,-0.04514748716370153,0.010429773728021657,-0.030227218376860123
PTMA,0.060120671376208086,-0.011255186806390871,-0.02308867417823995,0.02459149287177344,-0.008805561159184117,0.013467185792914298,-0.031852287942506684,0.059078899313449715,-0.10710253835860296,-0.050939994572938956,-0.061057246633969525,-0.09368542035956362,0.0021545965942719215,0.16153269508251059,-0.13818951333454596,0.047108051204465734,-0.04865319034607666,-0.11175480166876642,-0.025121751513492222,-0.12470775833512215,0.0009074971449515883,-0.08583564356467566,-0.06330998513733803,-0.061645756217256736
FASLG,0.030650886574519722,,,,,,,,,,,,,,,,,,,,,0.026883729816659797,,
CEACAM1,0.060295604889337225,,-0.006240639535732414,-0.018474306583201823,,0.026120022864501338,0.04878031435489509,,0.09806475628495522,-0.009346281798806158,,,,,0.07743516834709764,-0.004439980844609325,-0.03938758745957579,-0.02718073902655507,-0.012925205166395422,-0.008257284115068224,-0.01737490910315909,0.04734147489111112,,
PDAP1,0.07579169510339794,0.03753820297321415,0.04605285926428709,-0.018635172480918945,-0.04605405317484061,0.009304253417204358,0.045751937327228154,0.12979869191454557,0.12863996142805098,-0.01124217745370922,0.017278429964063542,0.08673526898571814,0.0031483556889531318,0.0918874318121846,-0.03978389442876151,-0.0027608332425769835,-0.0007872500403848838,0.018936979822796463,-0.0022558181053197487,0.06549030851384656,0.05359272342219042,0.008644775240420493,0.022900167036425112,-0.041726924858730446
QDPR,-0.040244531973561086,0.07678687772173312,0.02090602102714994,0.02444117989229012,0.0046911335731083985,0.0007663828593773543,-0.0782639930862578,-0.016096856100120897,-0.1600396404823551,-0.03863786413182795,0.0024374741423244983,-0.0933893171501367,0.03886413299703135,-0.00984389179938858,-0.018496968053175977,-0.006580150390505385,-0.06818053088233668,-0.0009051372202182089,0.04298004368316648,-0.11318439674756876,0.011857559736667076,0.07339701703449149,-0.07656677177579921,0.09031777667092966
