,UKF248,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1019T1,ZH916T1
IGFL3,,,,0.040230737785675014,,,,0.04175726475123051
BMP1,0.02207894852073509,0.008621304592811749,0.037739322964664035,0.06474675768087748,-0.010079284524342886,0.02929126295734397,0.056093932335744126,0.12755805591684943
NDP,0.021355209647778706,-0.007334163059346279,-0.06100218318812154,0.08277494960476858,-0.02052815191901114,-0.014233934350459644,0.07392888952033932,-0.006101070970102811
TNFSF18,0.052478803551268445,,,-0.02102514152655503,-0.011098931771194009,,0.09661641112232727,0.08519017715024507
IL36G,,,,,,-0.014899818715619942,,
RTN4,0.011654548448037023,-0.03576238907423397,0.02301377832202419,-0.045911334588767685,0.011233546137569125,-0.04610742547508481,-0.06800624703524465,0.03899666389982414
HEBP1,0.05671913718257223,0.02267733962752323,-0.038012706544241666,0.038642510136362496,0.008915033057650162,0.038020508381031236,-0.06421996232924435,-0.01600534672215626
WNT7B,-0.010768588606916266,0.02399108301937114,-0.09048888544692663,-0.058602135155724176,-0.005602737014389323,-0.016376617844427177,,0.12911885072586252
PTMA,0.025068780800899387,-0.007856108234467874,-0.00469443239600721,-0.03030263954202141,0.02557918611815045,0.037354067411328865,-0.03334325403109887,0.015279193992349154
FASLG,,,,,,,,-0.022105397848890835
CEACAM1,0.03780287492624234,-0.02881055981191716,-0.029317180635603995,-0.02766788874642556,0.045215548121511205,,0.09092031964786429,0.025291274710561997
PDAP1,0.02777047849038048,-0.010114580727385913,0.012208163713825366,0.03547518615342304,-0.05036618891431494,-0.020639015836932385,0.05688149259812707,0.02226826703812038
QDPR,0.0032168274363338005,-0.00578973370016612,-0.007427759349631647,-0.01055962481237118,-0.05540092174228374,-0.0101515548117231,-0.014896579936305224,-0.03817865965000142
POMC,-0.003064171926827072,-0.015603460059018276,-0.006668662658313415,-0.03566544249482295,-0.012878322744443485,-0.02046893519727041,-0.054431441366070435,0.03656181445260195
CCL18,-0.028663084663893158,,,,,,,
CCL17,,-0.01669895680813275,,,0.006467392142755761,-0.013611407402428732,,-0.02003606028015704
VEGFD,-0.0043919583019142875,0.013270307204915238,-0.028049018547364732,-0.023719504376518326,-0.014748043634463026,-0.014587766903888128,-0.04160525301274267,
TNFSF13,0.10497234697917983,0.038986748998108646,,,,,,0.0578493879325007
WNT5A,-0.02061051020779883,0.05522303394776934,0.05438476668379257,0.03508322874483044,0.033247594481950374,0.03320564710734148,0.02304520964567013,0.03944471843594929
CXCL8,-0.06188704566185107,-0.047652052176449536,0.0701264341123488,-0.030445061700550273,0.026388277172084182,0.012309456832890295,-0.015483665003430014,-0.008664569432620114
GRN,0.05279222338112681,-0.011086767284572429,-0.04417768111013045,0.07702922586141098,-0.025384863635480516,0.030429859501839965,-0.05025056187865514,0.049833465894517724
MIA,-0.008852335637796515,0.050164185739879436,0.03599434268350442,0.06958228148431722,-0.005527190720730828,-0.019978615296641515,0.04620604652550371,0.009949764940556783
COL4A4,0.008999172216044715,-0.03267885913715966,0.05775256775272929,-0.01395227962201244,-0.01445202835160242,0.03202202666704401,-0.004192462392415726,0.03616763372494222
TAC1,-0.02670333092861462,-0.02208690480098051,-0.03443530446133257,-0.03336404151506175,0.04210464382756692,-0.002318849136192686,,-0.02633943859062805
RARRES2,0.010324752483527955,-0.030418483739331696,-0.013303800793914635,0.05119680546452473,0.030005066375181664,0.046312517577844554,0.07674783983451708,0.039106765014160313
FGF7,,-0.00792973375817249,-0.025312837699309455,-0.00012105782246133121,0.031840976077443774,-0.03167251088774657,0.03355850106958315,0.03694789436763181
HBEGF,0.003269781877159772,0.0030896534504576407,-0.019018888505325324,0.006723654991823068,-0.0331633817603863,0.007376409507421854,0.024679229476945563,0.1053970218485965
CSF3,,-0.019903700482529502,0.07756301035575122,-0.014761243292053979,,,,-0.021094880547888755
PI3,-0.030154773552345884,-0.034347777918672544,0.0036728824252361516,-0.016621354774176013,,,,0.025656807975949946
PCSK1N,0.024350360069157077,0.006637744651461138,-0.0005047771915945896,-0.008550775359629347,-0.004780799327238439,-0.035784918698864715,-0.0426530792905754,-0.05748018200666954
NTS,,,-0.04402551382764871,-0.018143343656036027,0.10480943641479123,,,-0.031238641567829014
SFRP1,-0.02252678995980499,-0.014570485289733877,-0.031999072722484714,0.03514129422049152,0.08544467403492731,-0.02023396683432288,-0.016573220655358944,0.040901192470651083
CXCL13,,,0.013986069357308598,,,,,
MICA,0.01803021927464535,-0.04315085004526694,-0.012285213908456353,0.018539713803557862,0.06770472735635713,0.05011158157615334,0.04176731295432433,0.10361108640579535
TG,0.01622047422787147,-0.015723862091437953,-0.018162753904145672,0.02563559800529551,-0.013945823930781052,0.07745025511940291,-0.022121401408103376,-0.0013642470884608095
ADA,-0.04444439504789257,0.026666409522860594,-0.01390666011639331,0.060916783002057225,-0.0063582371264423515,-0.025588144403431372,0.033512285466847265,0.09703216872896457
LAMC3,0.04750587154937872,-0.005305944115684957,0.011562810220963941,0.05163263026783843,-0.00917771988642294,-0.0314798834413052,0.039302457685701175,0.034130513719210095
