,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.021561448786903057,,,,,,,,-0.02018780726832973,
BMP1,-0.038343040346290595,0.039464865403179526,-0.003700257575619807,0.023316075730327412,0.08887464317063931,0.11160801784086914,0.001459562887322013,0.024294504430804994,0.0052454106433130745,0.011057249213848517,0.048347551635420725,-0.0006284088972812057,0.031468966518568633,0.11598145417005033,-0.0011682891554445744
NDP,0.06358873100568507,-0.061888335565288055,-0.009412402475686959,0.05222977129181663,-0.01282667678159057,-0.001073225712467809,-0.006060664342810487,0.024838579247452072,-0.009868563133616781,0.04420448141241762,0.03249587259885455,0.04187524760230316,0.0491719270648096,0.012047309441905577,0.004151198051956353
TNFSF18,-0.03684040163804969,-0.02378581242008284,,,0.09367456132331096,0.039446431875351066,0.0004498920454024216,,,,,0.1544984320386861,,0.0049627006769753235,-0.030335012372134946
IL36G,,,,,,,,,,,-0.0174564409161633,,,,
RTN4,-0.0021077749147863627,-0.044934661909627416,-0.028721710152862245,0.04891650155763834,0.03156821078454246,-0.1458793524565026,-0.05682989490544384,-0.022556119742240387,-0.08585394776623341,0.016223849955846827,-0.006771186408448207,0.01900729335537517,-0.044181590389524024,-0.006127309370066791,-0.053034001438943816
HEBP1,0.0112556653479376,0.05956703037870189,0.027912790128935185,-0.05932575163018043,0.005993207791005994,0.052340342770608964,0.007287436349392688,0.024920783816966923,0.013422541892337263,0.058970375904488156,0.045650577754307885,0.003314997378078683,0.027201873524382844,0.022036098089113196,0.0058072066802134234
WNT7B,0.030665244705153385,-0.014775009344748232,-0.02090026138207843,-0.0012623393550119711,-0.0006922774368029354,-0.0448467940683577,-0.0025483091134175383,-0.013741238902876549,,-0.033743827949099935,-0.01918664027154468,-0.027806244598737234,-0.034913555975268074,0.15169716989038154,0.016422701164286894
PTMA,0.061629639760173674,-0.01441350948496639,0.005823135785712162,-0.07229707212374763,0.00766152773367605,-0.02406051862566444,-0.06206810567481414,0.03945531660538668,0.09091938398719296,-0.014941638510527948,0.005976102165255088,0.05438848377951662,0.011513184633061462,0.049561779542074524,0.015536448992642246
FASLG,,,,,,,,,,,,,,-0.017508878356652404,
CEACAM1,-0.023447906005732096,-0.01133893101512143,-0.01699526573699055,0.03892597266464133,,0.050560314252732885,-0.02579514921742056,,,,,,-0.019563787414702345,-0.024361032647136717,
PDAP1,-0.04507185602299026,0.052195128849354046,-0.009881720050495308,0.006665993083590123,0.06322235678064891,0.10547428598823295,0.0069225084063666755,0.02506549216478105,0.04530468777756323,0.03638272876234798,-0.027398944725758895,0.05094675863064809,-0.031467293631383175,-0.018004656433473334,-0.007790282305749001
QDPR,0.03565441222082855,0.009747236876902097,0.04095338221858927,0.04026613285884575,0.03458512642072482,-0.13497504690372203,-0.0003416165729306363,0.055407061113553445,0.059094826831332,0.04048082566657577,0.015898956839671564,-0.06982211797886692,0.054566243644358775,-0.00941409680300422,-0.003238897005461131
POMC,0.05553664162650137,-0.004130754900785852,-0.023740190180230616,0.005920399335167116,-0.013368112479567859,0.03472120601663063,-0.019030632589943364,0.018504222870538746,0.05888900450123377,-0.013056010114830749,-0.0008627074676799697,0.06373915787044085,0.02059601797447831,0.0280422489583118,0.008160449142056592
CCL18,-0.029260771242565573,,,,,,,,0.052704440433707166,0.050344871970570054,,,-0.035801490987864996,,
CCL17,,,0.11197307273665598,,,,0.035920334625844194,-0.017007801708319024,,,-0.015946954365104755,,-0.013879560256803362,-0.015869831639760634,
VEGFD,0.020528988385661442,-0.016240743756619453,0.02870366317001069,-0.022498671886324702,,0.07642461958575168,-0.009111696417538891,-0.012475428235635615,0.0633465963584691,0.02344015576294645,-0.017090844923470617,,,,
TNFSF13,0.04251649199603136,,-0.01403452008080074,,0.014141488582316706,,,,,,,,0.036892742371636915,0.006511582889470491,-0.033000166484237384
WNT5A,-0.0453051107202854,0.002262701726613117,-0.018644565313641774,0.01762907963342634,0.005002692975298123,0.10302651351632004,0.01662030799603529,-0.005013294189420627,0.12497692502385185,-0.011474354917051574,0.01803786046964834,0.024308139519357563,-0.02744911716304973,0.054228596030383186,0.029828481168122634
CXCL8,-0.04995295053413102,-0.015206869834116312,0.06009938689630341,0.014711086622700554,0.05827250036376804,0.05851363637562467,-0.03730864904148169,0.08432377612738624,0.1402691865206311,0.04446607799596754,0.1436520065915274,,0.007647613834276119,0.01234499157830771,-0.030413598606204663
GRN,-0.020389066820106504,-0.019152096716223012,0.02398969735029068,-0.00044921745231790516,-0.026457037564378574,0.12176124123331078,-0.008479681930908589,0.01843796857301164,0.11898613234352795,-0.015242774727567318,0.04578516095543968,0.014811023407280853,0.0012020765130193588,0.061371104490815474,-0.059764669985901756
MIA,0.023142127629317097,-0.014443381736071063,0.03840397337529968,-0.03306592933918041,0.06779079688181584,0.13670643333136515,-0.019140624425583647,-0.014188172317312597,,-0.024924789264055024,0.019843380663649848,0.06965054636923047,0.02067830110428974,0.05950911388739333,-0.05151429661683248
COL4A4,0.04535045015745928,-0.024289466168874806,-0.015136867238822365,-0.015345363854756055,0.016347477687735895,-0.02124720737735316,0.004791523293503275,0.037974073910267504,,,0.03862648889499126,,-0.03667372390222275,-0.0011995755510038517,0.018074494762289183
TAC1,0.022610613821221946,-0.045488592381709145,-0.05491006457706574,0.07642145651141012,0.01605430432865302,-0.0800164127347702,-0.009709277694069708,0.02622615929011207,-0.05788473325256536,,-0.0035419730576956073,,,-0.02086250740286778,-0.05481532252983055
