,UKF259,UKF269,UKF296,UKF334,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,0.06936340303321918,,,,,0.0037690555231959613
BMP1,-0.029927333370189848,0.11405250886587405,-0.036686891235486005,0.03615394538543877,-0.037699600623495436,0.024885207261891952,-0.023203550725091136
NDP,0.025306333055008706,0.0010829762681689326,-0.02393877026212936,-0.01304594678497922,0.029034151532706543,-0.040402576061883105,0.08085172105083419
TNFSF18,,0.046228671285477085,,,,,-0.03137894023883074
IL36G,,,,0.007549491495680283,,,
RTN4,0.029186984937352976,-0.1616092882081683,0.05045456147550959,-0.015529591194695855,-0.014558347227898802,0.015839809079365292,0.0316222188654734
HEBP1,-0.015509192186672849,0.08226305471304847,0.02811168018833247,0.011835933803291112,0.04044396109045869,-0.03364128524981827,0.05154394978637569
WNT7B,-0.021747767668359872,-0.021243689464811904,0.0390590071118305,-0.016577860248930827,0.0804831696928051,0.01749983502659949,-0.028304465420287875
PTMA,0.027220653646371096,-0.061956361859505565,-0.07862863131824377,0.007720143413115071,0.018937258501375495,0.027185086073800765,-0.0451357592626464
FASLG,,,,,,,-0.01613386402066607
CEACAM1,0.033259948363465894,0.10141951500555321,,,-0.01821211121809298,-0.01312099647673095,-0.02244790215145781
PDAP1,-0.022349551573612233,0.0997078697393448,-0.02053457496836369,0.07937915647413835,0.00865758430309502,0.053671600832162755,0.03451538060502355
QDPR,-0.004672854865948009,-0.1362891881991745,-0.013136224769623629,0.014368223633413592,0.03906188548328711,-0.022350732897493543,0.027610475544182257
POMC,0.0025182306453366866,-0.01055890700658747,-0.0013565768199656537,0.031784198513652884,0.014336998784459504,0.1222530988258686,-0.058368800643216465
CCL18,,,,,-0.03332794012853319,-0.02891324972249764,
CCL17,0.005938080875464237,,0.006905532621664989,-0.01377866979936349,-0.01292061141827593,,-0.014623535585275254
VEGFD,0.0013805508740419253,0.023979946025635718,-0.01006249341531353,0.008568132809044737,,,
TNFSF13,0.018086851735331,,,,-0.0073159042189998484,-0.014733999640919957,-0.02382783065928525
WNT5A,0.027593506067476927,0.1317821780798571,0.0041489720270287715,-0.013211606010872947,0.02070019931221557,0.005006980432574402,-0.0050778449876804094
CXCL8,0.011065733405647276,0.03407123619825328,-0.00937063140009952,0.023312624078307045,-0.05195087920337131,-0.007609305096211264,0.04228614356512805
GRN,-0.0094081203353696,0.13677647594851763,-0.035211227629572156,0.022488018726611676,-0.03285445055437697,0.009177621966862348,-0.055518870486995234
MIA,-0.030648955399567846,0.12261324267968708,-0.011443967118537778,-0.003805422427709393,0.07898458827039326,0.0756360754444738,0.0678330663106787
COL4A4,-0.0265340041906127,-0.0175857564811255,-0.01922495465062947,-0.019618147163080645,-0.03413990984112713,-0.02644334293673722,0.043236098614688245
TAC1,0.008662456558564392,-0.09599642951601567,0.0331183081209705,-0.003987148519533505,,-0.02263745686453961,0.06911926236876342
RARRES2,0.0709073774060447,0.14414640496554587,-0.019146693785780943,0.057519465581324355,-0.007328374336205337,-0.012505165300839838,0.053655425781569184
FGF7,0.05944529422840213,0.08224688282298188,0.03609694524525034,0.028293330417758153,-0.03300266449526919,-0.001369951580036024,0.061580484531850645
HBEGF,0.03725687949768921,0.04408373767894379,-0.025841447908629394,0.011205245084884135,-0.016889299938234754,0.024133883967724704,-0.039013716408720256
CSF3,-0.01734886170501824,0.06331310528419118,,,-0.02248592464312946,-0.018810740760007643,-0.015396327024664161
PI3,-0.010692317201695462,-0.0022852085877818878,,,-0.06783838684703046,0.02669695957346154,0.015399229945419085
PCSK1N,-0.03783406233398139,0.001369272373268317,0.01599730996931429,-0.030947288323984523,-0.008589038019757307,0.08936757854664686,0.08580194280837204
NTS,,0.11113603856307346,-0.022592824207106336,,0.030022674293714215,-0.005628100654031328,-0.02279986086162972
SFRP1,-0.012700217956378247,0.04952001643706804,0.027483306740396337,0.04316207443065808,0.07965110086517191,0.014334314027332472,-0.022270049857327764
CXCL13,,,,,-0.029022342341961008,-0.01832184736632755,
MICA,-0.02150925077511501,0.01714032665360479,0.02923030153383557,-0.0007588676248736868,0.0850845929706802,-0.028037695949487896,-0.01254431898389631
TG,0.007758119000433438,0.046128407480988176,-0.009927829210092071,-0.02069750624944528,-0.01716826223689758,-0.015481528702254442,0.06639653174758865
ADA,-0.03541150251609553,0.08011834984613256,-0.016123593033745998,-0.011136181058826978,-0.021164782525376968,0.017052753499908972,0.04287906105763595
LAMC3,-0.026001926950050862,0.1516069160500489,-0.023568338021595817,0.03885950993073415,-0.050278978563158126,-0.07322334367252137,-0.03810155401451298
CCL7,-0.009909088817755514,,,,0.0028780276419377855,,0.11074295923373466
NGF,0.03173127399894418,,,,0.018374283050318782,-0.020441583459788353,0.04915702982572206
TNFSF15,-0.01103425504589659,,,,-0.018878718345342126,-0.011681147071392086,-0.04262844689119907
HMGB1,-0.01529588131591518,0.1043689489880152,0.004504360912795684,0.01530398764448817,-0.03948934336136349,0.02784438498825431,0.0012750902611544336
ITGB3BP,0.011195120811681612,0.0745950248857849,-0.04179406260393191,0.04401635931677553,0.0415203387601947,0.03982304265447327,0.04590087442294431
AANAT,-0.010040044651274734,-0.016782566967308895,-0.011443967755080447,0.07238799144692426,-0.016988585184245803,,0.07894156156155184
RELN,-0.01742726909639543,-0.04924531718107126,0.013776568359792215,-0.02046201903727098,,-0.014109559749140216,
IL15,-0.017945964741235745,0.029797149164037466,0.0439284635466094,-0.017141912681813906,-0.031123784108481482,-0.028493912824329864,0.016586652136341216
UTS2,,0.16238045970665846,,,-0.014467023637963573,,
BSG,-0.0029978370451179373,0.01778650773062524,-0.002447935847420814,0.008968301589387046,0.04522069943009563,0.00957358224556316,-0.022430573379312254
ADAMTS3,0.0035496205883592037,0.13117860798539016,0.019947060016853205,0.018558490520525973,0.02513092702732866,0.00898197793675057,0.06355287162391055
CD34,-0.024168206296134816,0.10913249204640084,0.005055537309480299,0.012374673172338837,0.033738661740536274,-0.014943522898402024,-0.03995598649300338
CCL23,,0.06393386441558825,,,,,
PLAT,0.007315960570870434,0.1102661147619586,-0.00535164765447148,0.04491644125750982,0.035744134207124106,0.004875774582423375,-0.013547637370012359
NTF3,,,0.0430970190107321,,0.01262502888275881,-0.03395011575391984,
LTA,-0.01270021736224209,,,-0.01714191479781961,,,0.04961348736578234
CKLF,0.012535690595766563,0.15475073145725746,-0.012365137477255614,0.040785256263960235,0.020375431397396792,0.03672503167115377,0.051765435091953325
CD24,0.009780723552412234,0.014248925025907983,-0.06529442052034727,0.014219046393721721,0.03869550804284317,-0.013910396749195586,0.07266864186578625
HSP90AA1,-0.004809726021855168,-0.10050682423747045,-0.039580713105948614,0.0306050286730048,-0.05475496841092434,0.06183908583072268,-0.076673201610244
BMP4,-0.029631131704212395,-0.021342196213843572,0.03506649322884098,0.07862969611811768,0.037379447445191824,0.004021332942753426,-0.014836760717456215
SCGB3A1,,,-0.00965309873130523,0.04382214550075085,0.09510023272573205,-0.02425805655110603,-0.021147726275461513
IGFBP4,-0.03570754047081728,0.12014696979983784,-0.028280136417585706,0.006125828443564,-0.014766288288924706,0.025867217549717412,-0.01812382348722726
RSPO4,0.12058369380858396,,-0.009653097319321173,-0.009752031367487262,,-0.016336768721030504,-0.0013708407145087036
LEFTY2,-0.006642568983756538,0.13723762208505033,-0.010584739270609857,0.059507218909275565,-0.016438707627518374,0.04342278126089369,-0.03613253447628533
PF4,-0.00864548477280141,,,,,,-0.0229740390384725
ANGPTL2,0.005522172486322823,0.08889162584984132,-0.010876879042424145,-0.012447349462290733,0.06207984216574286,-0.09328744340026957,-0.03458352777628096
LRIG2,0.02528380603359788,0.023951227180065572,-0.033814841082474796,0.036529944525614366,-0.0033479878691542657,-0.004654937425153588,0.04262135160762843
ICOSLG,-0.008442839008871123,0.04722926590660412,-0.018319776074317784,-0.0007813438918759801,0.02668271829626862,-0.0038001765758972623,0.04311574202708516
WIF1,,-0.04910076597035144,0.0900690039005123,-0.02742208928306661,,-0.01518660893675531,
NPPC,-0.013411278914711434,0.03253874565132092,-0.013415442955925373,0.025103923998710934,-0.02890848016805823,0.042599597388577506,
LYZ,0.0025589277472403025,0.05424146954044902,-0.04962085833877321,0.03252498759949694,-0.04813260045842818,-0.03452447099483571,-0.0029455094568337967
EREG,,,,,-0.039307514809486965,-0.0015542377652572918,-0.03469612057256905
SPTAN1,-0.02157143336887959,-0.09129885820738738,-0.027310934309746897,-0.029527993796878763,0.015593552478893791,-0.05181473852610846,0.032394162627615714
PTH2,,,,,,-0.02598090472928946,
LIPC,0.09716585183246441,0.01796559213700598,,-0.0014840089114306343,,,-0.014789514364290436
COL8A1,-0.03795952529558888,0.011276206383460585,-0.031489690565274314,-0.06251256799210249,0.03511197605017016,0.017634046591458754,-0.07101833007513757
GSTM2,-0.012603765207141054,0.11118998976963752,0.021954988688009183,-0.008621232810906718,0.1273805681806906,-0.03468360855733376,0.059781840985579975
SPX,-0.025458433034434687,-0.05885799853540981,-0.01967808716367936,-0.03092108605575982,0.06969219416984915,-0.04020389819184221,0.1480418568111837
MFGE8,0.021407391591540693,0.017786568743278216,0.0013332688854744916,0.0733681245025948,-0.011497273487467064,0.014926655819546903,-0.03066412471043834
TGFA,0.04387717987690704,0.04796259037039359,0.006619121934441877,0.005862636169715135,0.02491755257859822,0.06794970900584375,0.01274107680388558
SLIT2,0.03475942443888804,-0.014499203275520381,-0.015204935583847178,-0.0032175449298376033,0.028882359632779613,0.045686125993732896,-0.012023657513149261
PLTP,0.020394821484362974,0.10047297002514462,-0.10785169723996373,0.043180169764612045,-0.04632045222570633,-0.005476022061370606,0.0022912994325238484
APOD,0.03203641142600061,0.07860001320725289,-0.023103302141858822,-0.008807748820748192,0.057126740879473586,-0.036571092079603476,0.009630031485007098
B2M,-0.012678439760757615,0.17654463921420208,-0.03656885610600137,0.04473437577743027,-0.03025531608033723,-0.007536631187302858,-0.0747802746754412
OMG,-0.015683966409862384,-0.031370425421093175,0.040008811285465525,-0.059129032281248675,0.04789415819966706,0.027514478554765756,0.1091335331341867
CXCL3,-0.03964504552970766,-0.022034708178034847,-0.010326773691934524,-0.012345282821885673,-0.028928107911724593,0.02668730300530382,0.02454249477581267
CXCL10,0.006522948780213315,0.13779998947314032,0.003038660006203837,-0.0022280864777320182,0.0234472303833405,-0.004745250762727748,-0.06402991839199258
RSPO3,-0.010040043909429107,-0.027557864845461806,0.06426478601922361,-0.012900582616851187,0.09667701217180096,0.029726775156827423,-0.016372711335862777
CORT,-0.022515569393056878,-0.04769505929275306,0.041371843500771034,-0.014235540148868749,0.016366344942252,0.015300412713539721,
NCAN,-0.018616461465974333,0.08717283837396364,0.04107076447565246,-0.010246705196478153,0.0031594917354886955,-0.04737043349341711,0.05661077923370858
PRG4,-0.009909090361939913,0.09282449019447873,,0.03012266032813435,0.06434424820641123,0.0032835346149393987,0.009965513805617275
ZG16B,-0.01150071124421681,0.03351499373437663,,,,,0.020428311859211106
TGM2,-0.018296762706854,0.01784503114669723,-0.0011975691282995126,0.00888752666189409,0.0072490162316611794,0.06221345694242232,0.023444472055838474
VEGFC,-0.01766065228039459,0.0780465552715358,-0.037065697567803604,0.006138777050438501,-0.02492166608840096,-0.014475520042198169,-0.011944380628259211
WNT6,0.0077694306790689945,0.009328124993105244,,-0.013433983979914332,-0.028908484068330697,0.046532525209126825,0.13110357733968003
NRG4,-0.012059816270471193,-0.0035759217743136936,0.0074423496040469505,0.05883153372027473,,-0.02157312696483667,0.0332189335788991
PMCH,0.017670659017226323,,,,-0.01968320810838407,-0.012420915802897718,-0.02282832055218706
COL9A1,0.0786964002518316,0.03805191490749412,-0.02044828596326271,-0.0038540627984237916,0.035686533787895006,0.024803215113665494,0.06781312556226485
GDF11,0.038797597120210005,0.0700235936575801,0.01009215142129822,0.0365547071123355,0.010246445024732074,0.012361181664545359,-0.019804147609662703
RAET1E,,,,,,,-0.01796075001716078
IL24,,,,,-0.01467532566071718,,
SORBS1,-0.013128172501900346,-0.024249444316726612,0.02272025998515985,-0.0018181348025229718,0.012200199574612759,0.03785062645600339,0.03228956953044476
DLL1,0.04303570274168455,0.08676966212631343,-0.030331901378687316,-0.002307913823548392,-0.004351500926119009,-0.04326140232557256,0.040398557532671325
TLN1,0.013371077880920772,0.028592121493887263,-0.025566088620262297,0.07064538717109502,-0.012718659873267755,-0.05911492441055781,-0.024327327399774633
COL2A1,,-0.022034715676690245,,-0.012532996588015056,0.03628040791883517,-0.026166660189682563,-0.0057025424474454085
SHH,0.10018035388150504,-0.01732196387984586,-0.011083478900487779,-0.011961400408075255,0.006600343414703113,0.06349923218154839,0.02847682858845295
PON2,-0.0418184288221801,0.07599624241380756,-0.008617950927162077,-0.02482698100890137,-0.005985658337309179,0.024784640411431046,0.07796155660767674
ICAM5,-0.016048873136354086,0.02041103926967264,0.025236846766229795,-0.023359968878323926,0.007358165239819894,-0.02431259751218094,0.0028722420974241973
HPX,-0.02505441989267952,0.07570897398640157,-0.009653097747195064,-0.030403492561388357,-0.025499545484344154,-0.011950366521196762,0.03345826536831068
SFRP2,-0.011727362800613456,-0.01758575130275916,0.052254797919458126,-0.02346520651657509,-0.01872169136765193,0.009886413742281717,0.017973943627599888
CD70,-0.01993317999891915,,,,-0.05630487632894144,0.06097540222185128,-0.02497953226624248
HP,-0.014631950760529342,0.009215641825529922,0.06712609522641835,-0.02499439270783603,-0.030085439597212865,-0.0051503066426813165,0.043303875087524896
CXCL2,-0.014874120175277488,-0.026577051058497145,-0.013415441905991388,0.10700578114904004,-0.03958450816760474,0.04087466840476122,0.03132065362897559
NPPB,-0.02817685589605642,,,-0.015392715675798635,0.05102382016714939,0.04223348669070564,-0.01660829407915588
CCK,-0.02374147057740905,-0.09987136423677613,0.07910391452536056,0.0015359071101223002,0.07623818038471024,-0.031346487252824136,-0.02154544091945584
SEMA6A,0.027543558801330154,0.058503542252212486,-0.012755403878263944,0.023781643016314767,-0.03932642630523232,0.06372390218532868,0.06882953690142453
IRAK4,-0.021578077573324025,0.005397503387128064,-0.032716735700877846,0.05398451976844326,-0.015924085966103552,-0.01021229877545679,0.07086120939079868
GSTP1,0.025936969896113788,0.15269571073279387,-0.01577124263674641,0.04798323228040351,0.06448037508269398,-0.04750093304298707,0.11646694893473687
VCAM1,0.0348835119179707,0.1327714939046845,-0.037403801152314696,-0.0003186616629998711,-0.013932231157699457,0.03502961624265756,0.08567056605696113
NXPH3,-0.01793560727974474,0.08367720823162599,-0.01947094201798285,0.01340093472115495,0.05076140894607494,-0.02918018575740994,0.07774090222426698
MTMR4,-0.012008124195713418,0.020766504269308927,0.007881042149097392,0.043840264255399476,0.01504168272029551,-0.018826812536894014,0.06458005845019854
LAMC2,-0.02301598685387375,,,,-0.018041974179606204,-0.012056436174013599,-0.01857470736436544
IL10,0.019392437563381475,0.1560417657326914,,0.15570502406504602,0.07447066432832374,0.023733336005914842,0.038321105091246754
SEMA4D,0.054347709151063045,-0.03461855634300508,0.02476448693652347,-0.01267626267003632,0.03586432934092878,-0.017669670987002558,0.045381396912514534
TRH,0.051201739026400156,0.02200707176158374,,0.044520145848577296,0.003773749099046307,0.03116965050760926,-0.018602403145337346
SEMA6D,-0.051919947495301974,0.08839675306536646,0.024144589758113136,0.0336854753668161,-0.012980872553880399,0.06878089276310187,0.07588772756129208
CEL,,,,,0.05510511585893385,-0.030519912897627774,-0.03432028040857531
PDCD1LG2,-0.0048740927797536705,0.061399895002483766,-0.0018597599570267683,0.03428739172429621,-0.003957654431730477,0.07267332004958231,0.010290216824055988
SPINT1,-0.006281326022677761,0.020576161958312196,0.02042489481006851,0.012764898983942001,0.008259147686122355,0.041381830140654975,-0.01252193126312704
CTHRC1,-0.033267949313095194,0.05781156828099795,0.06912065422254571,0.059217822640853436,-0.011701035285365926,-0.03862570730641923,-0.024072525010902485
PODXL,0.03655814713052095,0.11345888642074652,0.004009949160199756,0.030199274747375875,-0.032915426792692735,0.07340353879435667,-0.011304491693535755
JAM3,0.04575336880325926,0.058686454334106505,-0.03337854212183207,2.2756002120223326e-05,-0.013124363656616676,0.009274212947722574,-0.056347209175765786
TGFB2,0.06386341208311085,0.11141757685448829,-0.017259276373835734,0.011915675335701316,-0.024682633595751742,-0.024434022343116733,0.0014261588152164378
COL18A1,-0.041862812440513174,0.1542151048952459,0.028329689311581124,0.06107690842926681,0.004722932165493131,0.011745638438951857,-0.06680293716471296
NODAL,-0.020279334790025662,0.1569769540919224,,0.010421250118149657,0.05962635886355801,-0.013787439014409918,-0.025459080397400802
INHBB,-0.016527380956526276,0.0642319760126082,-0.04174539707184662,0.03447950623828266,-0.034306182591546254,-0.023752388080678238,0.08352285776559293
LCN1,,-0.019336741132306778,,,-0.023334766184295662,,-0.01881176256833515
ARF4,-0.04315219724297046,0.08708353981072829,0.008927008762681776,0.053570886458746046,0.037988931112115217,-0.06541047189996516,-0.00808662141580972
CXCL14,0.004331993639315075,-0.04630020944480535,0.0021421909792866665,-0.019652521769421696,-0.0512681950337538,-0.021981086088026375,0.025643421730311682
LIF,-0.035728262855774275,0.04460994817868411,-0.011443967755080447,0.0020256527891310684,-0.028356552699688016,-0.020861338121039637,-0.0063603765535792
IL17B,,0.04040524843442827,,,0.024097092225704213,-0.017152855290665184,0.0756574925606649
MMP1,,,,,-0.032082188764302036,-0.012420914819237188,-0.07529394578525446
MATN1,,-0.020273258469255918,,-0.012532995028343598,0.06473968946707523,0.06991168395168955,0.013741624855881865
ADAM28,-0.01183695807852221,0.06564593734032664,-0.0024199951942819775,-0.025675268063450996,-0.0010970389244321782,0.0649290070596609,0.03600316567996803
TCN2,0.002351255988311817,0.12804252176090192,0.0006853756329209697,0.026921863847021225,0.024890943183968138,-0.06766745741492959,0.013117270475214052
THPO,-0.02089032483531411,0.008185107010519124,-0.011908535199059527,-0.012532996468040309,,-0.015334723728785757,-0.02449179560557984
CUBN,0.049689474152201735,0.1999121489245608,-0.034169500165741024,-0.026996896843771708,0.04803310513259472,-0.04879289524101423,0.06416442416144656
TIMP3,0.0038240748969976188,0.01595258337848733,0.025802688890150215,-0.0037788774982539454,-0.006163442548176909,-0.01632943414641597,-0.03770547726395214
PIGF,0.03761594883317409,0.058823883015418986,0.0005460988689524448,0.039991609925263044,0.06262003693308461,-0.04167385709490803,0.04925801847374776
CRH,-0.011614558101552836,-0.02973482299920339,-0.021546014077112777,0.0025911618264766335,-0.03967223895378891,-0.013159220420609925,0.031149317790511142
BDNF,-0.021518072545459788,-0.07760886928415622,0.07201200260884255,-0.014115372960352852,0.04450680937185697,0.02507797577734242,-0.03176839291356028
CCL5,-0.014962388523371513,0.196266832797262,-0.0297576394194199,-0.017002516871766318,-0.03791991671049149,-0.03125439524433992,0.009929132546311484
GAD1,-0.0417989060656329,-0.056739228754218454,0.06695568439722575,-0.012860211339321432,0.0253799194531154,0.017927098533699108,0.017920071976986925
COL14A1,-0.015331635073379027,0.032377628506882646,0.003213556963080564,0.041103282914983184,0.017004515786946183,0.008791999137231332,-0.017476312440394926
HLA-A,0.010942777745448837,0.1512943620770972,-0.027599884402429366,0.04027912636009044,-0.05671539025791723,-0.010551910078054961,-0.072375358739272
FGF18,-0.009227679555346839,,,,-0.024006772671133898,-0.02146422465261136,-0.018602404637793554
ADM,0.0006977644444680709,0.07580900943544394,-0.01686551635989261,0.026986392784497017,0.011184341561245644,-0.027247049932333456,-0.017929032782421823
CCL15,,,0.003623705985253359,,,,-0.01613386409819327
GNAI2,-0.022710956872882285,0.13465736747129542,-0.06377791268167374,0.031165539656515,-0.00018300974173038667,0.03665550951487718,-0.05921207214866682
HDC,,0.045576412166367854,-0.014497109902242657,,,,0.06566309420797575
COL11A1,0.020113251754211137,-0.035155823042145186,0.06080089220171838,0.018551350020026548,0.03187129227005779,0.031130288767646248,0.026571415787150346
NUCB2,-0.04124628553211175,0.06448577382073359,0.017385234671417147,0.03208486108551254,-0.03612462390872229,-0.003867235442951425,0.016791381515493267
CXCL1,-0.030548187703518585,-0.03306465134016142,-0.010836838125864575,0.002617460180786714,-0.02970285397027776,0.04553248134135453,-0.0057550845675176055
VCAN,-0.011239197955664791,0.06425742478759332,0.027252970776912668,-0.032154087795067766,-0.011556899316336298,0.04631840374701394,-0.04614499447355242
MMP7,0.045052917478444324,-0.014114226336603237,0.019845584676380555,0.05181634186011146,-0.029269505758586122,-0.021344839463996172,-0.09606798490991852
PTPN6,0.004067318074137258,0.11463928066790574,-0.032246899163259755,0.021168962342740672,-0.05117209283716529,0.059703858227576664,0.05175702736540363
PTGS2,-0.03494225325610924,-0.07397910785108659,-0.010948980534155156,0.05505841012991596,-0.034259649676810715,-0.040785764230574666,0.04521122742032917
XCL1,-0.010040045599188828,,,,,,
CD58,0.006752754093103185,0.059788906263225895,-0.03219965084684938,0.04333288778653293,0.070689997483828,-0.00018457513949789438,0.017705468182018718
TNFSF14,0.01208258907289321,0.09443933338471037,-0.010584739270609857,,-0.019204155449162874,-0.017935149135175223,-0.0386967232895082
CNTN4,-0.0023343765548133485,0.003780005223349765,-0.0037960035293711177,0.03233774424331948,0.015348912538739294,0.04884625910119347,-0.02745277309203237
NTF4,0.010447646967239987,,,,,,
INSL3,0.2094490604917475,,,,-0.0008987610413486388,0.0678234661270709,-0.02209091952556287
BTLA,-0.014647128914341575,,-0.013517074073541278,,,,-0.021360814620682567
MFNG,0.01687005474883268,0.10425987682298765,0.037671444055718775,0.026310666269867077,0.015735691385096156,-0.008062892468122864,0.03130162677548301
ICAM1,0.020590207960585024,0.055291419701502025,0.011162688533730074,0.04196795152312783,-0.016056282091618586,0.003218788389938814,0.009931453587634607
PROS1,0.00268632075382102,0.07082745382389496,-0.05954359191519855,0.014671389383305268,-0.05572375948881308,0.0025822601309652402,-0.006048540274579696
CLCF1,0.06685607460921807,-0.03809375251920513,-0.028908461579860684,0.03843954655841748,0.00397324487076255,0.0019390685009298878,0.0032631536693482053
PSAP,-0.0035982099389123804,-0.0699581232525425,0.006824242243603897,0.01467327993397459,-0.009165754572079764,-0.018795467303654792,-0.005968573946026796
EFEMP1,0.1030317488408791,0.04666451852535177,-0.053432743972788826,0.026761117011155165,0.010239204782893072,-0.00018807506710810833,-0.05515679748104615
C1QTNF1,-0.05389790184747682,0.10335721279987277,0.026454910151920714,-0.01421705408595909,0.0002638773759486752,0.023221205409808772,-0.01367832948952772
ALB,0.0368911981502037,-0.02367483889386441,0.08073108846873951,0.022898733338985754,0.06857362429024859,-0.030022991802347302,0.04243336857061175
CCL13,,,,,-0.014255839791687534,-0.02011799466535215,
EFNA3,0.03431193384106817,-0.09331381264209085,0.08173271977715764,-0.03027579817866457,0.048992605401503214,-0.013439043410855167,0.04660130070729643
DRAXIN,0.06527383553041986,0.04499702337215538,-0.00965309873130523,0.0513360590799333,-0.0545887101867191,0.023967944945317527,-0.01836124810413122
RAET1L,,,-0.01156175817339388,,,0.012297963131104322,
NPTX2,-0.02308139730302601,-0.11377171149545694,0.007044531154512853,0.01184783796041535,0.03574906464427581,-0.012116915800284572,-0.020417723471781654
FGF11,-0.004831308742518733,0.08570179026706427,-0.021879682519140447,0.0405037835247526,-0.03557395971825623,-0.03098537170806515,0.0391887520331044
CD59,0.02901761643974587,-0.07914129767513257,0.016535125774965534,0.011342555095505783,-0.03211024972959776,0.02092628760925339,-0.03683646639621046
COL9A2,0.01729177536310664,0.025592576923967984,-0.0026011132507803257,0.03669759361248073,0.020731775102857716,0.011222793772079352,0.0713412399018418
DLL3,0.008960370708401758,0.035938278179033285,-0.0028967381661901027,0.02609299926644141,0.0775054250316175,0.023486709394820567,0.06827305334871647
FGF5,,-0.01885214093476954,,,,,0.010477792108234286
LIN7C,0.0025113819722318974,0.02165955484836501,0.013625222321811925,-0.015107647732450678,0.05031923185568177,0.000850823471654851,0.022853896776571823
GDF7,-0.016464871125529475,-0.03372339938355321,-0.010584738859286869,,,-0.014580227972845498,-0.003538372225266501
PSPN,-0.012128186431097103,-0.02831524629067634,0.01603212132650609,-0.010719733699353116,0.07092417188032317,-0.0071043958803096155,0.0686778144628644
ANGPT1,-0.02554557849137065,0.10472753626909742,-0.023138976801396788,-0.019862516453122866,0.009894149712029328,-0.013722893562230994,0.035801806090736285
PNOC,-0.029498527507174695,-0.07916174219440947,0.07209254724196942,-0.024798602327965696,,-0.017285455765134173,0.013375140351717083
L1CAM,0.004931975537190511,-0.0578427140257358,0.06543085610905022,-0.0014093196057316788,0.0227420960124561,0.015974385689308455,0.03369457443456358
APOA1,-0.014370583467896153,0.08004441436536303,0.09771353311781449,0.026198704174470677,0.0036002270046277263,-0.01765319714973045,0.02917529875774855
PSEN1,0.030988739955132592,0.04267608544624752,-0.0006722151031881158,-0.04010002043337533,-0.005067210131516114,-0.0003198602156062953,-0.036254716562070646
CALM2,0.011828391096438923,-0.10404608923158448,0.02334920329757648,-0.010079027703817292,0.06776592309117214,0.003956030786563825,0.12635066073427062
CLEC2B,0.0065516386420674385,0.15569155610538224,0.028073030966374597,-0.046740925061061846,-0.00222603793803514,0.05228152308979213,0.010748271307503967
NTNG1,0.020218287726597277,0.030523235886525838,0.010463489781939854,-0.019541923920357415,0.003759093832008711,-0.04756999175932748,0.016964109411558417
LRIG1,-0.013460937231092656,0.039101670340511534,0.002851905455405669,0.008445006979184742,0.003213487713879253,-0.042598324313067384,0.08502350935094032
CPAMD8,-0.01091469622340895,-0.01705429853212417,-0.01959147641256551,0.006060450198486233,,,-0.0051361181586108764
GHRL,-0.02911330876301548,-0.025846760020319284,-0.00965309873130523,-0.015995496457991566,,-0.015771347322697547,-0.03177569517352431
NPY,-0.04063538075452002,-0.047421049258211154,0.0510328425269693,-0.02069867706247827,-0.02417899695506893,-0.05652263978280039,-0.027895428423171248
MMP2,-0.058143852636960716,0.116398245655055,-0.015686018630936147,0.0038770642881928255,-0.054737111725441885,-0.03799119096388076,-0.0323377717468876
LHB,-0.00950587612986784,,,,,,
PPY,0.0198333829795548,,,,-0.001904300324040522,0.020681483037661576,0.02430280745749841
ALKAL2,0.052540750902568926,-0.019336737998377648,0.021981367711392114,0.04082818197776767,0.04524704429585024,-0.04275432179409982,0.04039092681296861
CSF1,0.014256466427433822,0.07302625247827807,0.02221732479877945,0.004353036030366092,-0.02222258685033429,-0.04061865233837803,-0.02068964506196558
SEMA4C,0.017353549587483724,0.012554952246015353,0.00011096002662299921,0.05699922492219277,0.028949936099010178,0.05139317391498142,-0.0007809423247825137
BMP8A,,,,,,,-0.019827789410851487
ICAM2,-0.02121377303889121,0.13656954172989355,-0.03659302146779656,0.06940271507358911,0.0625848755165118,-0.010148537600551335,-0.03635946899240943
SYTL3,0.011262476834135912,0.08384424396016478,-0.021746718046239403,0.020527656431174025,-0.05167018688120961,0.028220300527036536,-0.007766050900716115
IL1A,0.02180265578423663,0.114408202122454,-0.02721075083587451,0.00392868908900707,-0.023136364499632415,-0.023256210593440782,0.055935016806755805
HLA-G,-0.010040044692488384,,,,0.027919987270915523,0.030812318430850274,
PGF,-0.02463734490520641,0.1655204533762138,-0.017454497977460647,0.0021418120314277544,-0.015783380509463468,0.00752237806565825,-0.03729915216880792
LGALS8,-0.006546501114878815,0.012540958510367342,-0.00830645305256151,0.02720418795152908,0.005244369233716034,-0.008522379498145828,0.04221148719580979
DKK3,0.01467403329956958,-0.09631647824549149,0.09483674961028882,0.0001039527867888933,0.013230578993761514,0.006402961267216664,0.037509815176567915
