,MGH258,UKF248,UKF260,UKF275,UKF304,ZH916T1,ZH916bulk
IGFL3,,,,,,0.03988268588457647,
BMP1,0.005225286473113995,0.13130144654638057,0.028931265196958735,0.00041677803711211305,0.04853429992037868,0.14819500928148371,-0.00033463235166991955
NDP,0.03312792797299724,-0.021880209389793875,0.004252344324467993,-0.02005167110372597,0.06430579957134318,0.03490254250290602,0.02509814995953411
TNFSF18,0.18420737464017312,-0.017603074191675252,,-0.012622088769382658,,0.019239045037353287,-0.030335003792938985
RTN4,0.0688506188835171,0.014090141366479486,0.0475929450109069,-0.014943805544383692,-0.10924290607100307,-0.11621981078673065,0.03932849586270052
HEBP1,-0.0016105720984889902,0.024439167556689886,0.008888717142740487,-0.0028344703271073715,-0.01674331129522864,0.06817344698930196,0.027419189752563692
WNT7B,-0.019736363721072236,-0.03884547109460897,-0.034311631180458706,-0.036180042496678506,,-0.022313234804267012,-0.010980258233159719
PTMA,0.048088940525188355,0.01789308229359224,0.04520510848731132,-0.05977047465336185,0.08809840693122788,0.06988613760172847,-0.048606457992858065
FASLG,0.12087089021790483,,,,,-0.025332609991345942,
CEACAM1,-0.02740412150026346,0.06297238066579787,-0.016010998597859583,0.07514238104226896,,0.09044186682308551,
PDAP1,-0.04306989759633542,0.01647483285670127,0.05276060692456932,-0.03385104171992434,-0.08155619134109546,-0.06127141012724606,-0.050461723450869266
QDPR,0.037588828562815695,-0.032487851022018656,-0.05495001020922366,-0.02287180870601204,0.0019606744009885995,-0.011606120310615795,0.04008897454175854
POMC,-0.05648056594907752,-0.03042909941845408,-0.032217915333910524,0.004468171630186807,0.06921550751664467,0.021545824664110758,0.04184455137607081
CCL18,,-0.037835223958285695,,,0.06640165824483796,,
CCL17,,,,0.08986703273229013,,-0.009155574087448241,
VEGFD,,0.06591659305832752,0.08168868764168347,0.04970578505545802,-0.021584130011029955,,
TNFSF13,,-0.028551683190631186,,,,0.09487833705129642,-0.033000157151295915
WNT5A,-0.04720690222692301,0.006755337903036977,0.020049428946945138,0.0011221880187743502,-0.04684968435651964,0.09363353919301308,-0.020825264245346992
CXCL8,,0.006199597581076739,-0.024680261042187394,0.01662143373043884,0.07900503848784499,0.009432284309950837,0.002793782590292024
GRN,-0.005091852357461822,0.07655834631674083,0.034668092829945436,0.014116599803263076,0.04905088912584192,0.15597828013657689,0.04846915210944044
MIA,0.027449318383688266,0.04020032693952985,0.0892044225352234,-0.002779057032107869,,-0.0026913318941555802,0.0010879011121886618
COL4A4,-0.022857120513758853,0.00974981291332401,0.02511098305875228,-0.016435346077628577,,0.08039650176424848,-0.007666117659034691
TAC1,-0.01973635856274524,0.020256666694984708,0.04064667964613062,-0.04463636505885829,-0.00047979642989426716,0.036990084820971665,-0.05316821210907428
RARRES2,0.016256057929262987,-0.043763697937420916,0.00015805192324860236,0.006116022713396591,0.038864770241083396,-0.0011794169670399188,-0.02567846539725213
FGF7,0.003240483657242293,,-0.029330313425858786,-0.028949343635472743,0.0017357810683050515,-0.020577660422544438,-0.03980414951448715
HBEGF,-0.0038657399242221593,0.13032733157240714,-0.00602001417379057,0.09100987521164251,-0.004540582600692731,-0.040711834947652806,-0.060026381494311803
CSF3,,,-0.011718429773771246,,,-0.036001555951259125,0.002427299747840841
PI3,,-0.03980425080352927,-0.029239827324482322,,,-0.06005714051153862,0.10095652462808241
PCSK1N,-0.03149740491557926,0.024966107408794704,0.05655190294491685,-0.0029775461715686423,-0.08248698576899234,-0.014075827064512408,0.051924231211854216
NTS,,,0.07814182198647716,0.1017348325185211,-0.01943265041735274,-0.008445153061458321,
SFRP1,-0.012770043879444594,0.08456934075368737,-0.017475660939589337,0.05590904151439125,-0.0063582546177052375,0.0353098083133756,-0.017301126090092576
CXCL13,,,0.13136715329578985,,,,-0.03146911106595544
MICA,-0.0271993369081851,0.03650715907920145,0.07822299492266999,-0.024237393829364226,0.11067217633735557,0.028347621788384625,0.02588496601632143
TG,-0.02285711536281874,-0.020882930633282854,0.006665153602004946,-0.015859672916753397,,0.00491873918719538,-0.004701347529803869
ADA,0.03149266413647632,0.05211317091191123,0.02766983434704211,0.05345240902976119,-0.04578999744699316,0.1460842967172932,0.07715981204636571
LAMC3,-0.04012003167378639,0.12338614891901388,0.03727484897192758,-0.027888997659879976,-0.026267770123634276,0.17768201771233513,-0.004338145619042458
CCL7,,-0.024066398672636456,0.03916524089150758,,,-0.027008246960029732,0.012201882661429731
NGF,,0.0804152322693839,-0.02450876622058702,,-0.0194326632124637,0.14390733049714832,0.053641543136109804
TNFSF15,,,-0.017000446623099547,,,0.039793824599405794,-0.04293770211077076
HMGB1,0.02301927549550239,-0.003907662423414767,-0.037348978485839776,-0.0036908668177801085,0.07059689291889326,-0.11201448209858883,-0.0265789049148278
ITGB3BP,0.039783660104852216,0.033564836738555835,-0.07436236018863852,0.017980996990232763,-0.04460388403278529,0.0044549691643602845,-0.0748764797620186
AANAT,,-0.03491668302707172,0.03260636394660939,0.06387128371350723,0.07017570608741439,-0.028088019664351458,-0.02368900440092093
RELN,0.0051116387373514914,0.01159234683173813,0.007058393856830917,-0.03140185376352339,-0.06419519044454255,,0.010959432681441289
IL15,0.00807974160269296,-0.010812516087675937,-0.01619045576866413,-0.010889238285888652,0.11864900482040519,0.08148328921991768,0.07096113549013358
BSG,-0.060037068981522904,-0.014732231816484535,0.08527179867253458,0.004938558640200297,-0.11567694756615991,0.0010826272829971115,-0.05994564810403925
ADAMTS3,-0.041969511634138604,-0.00019475199501938634,-0.012713400233470907,-0.0077128927294437665,-0.029336622584569372,0.03730415985375886,0.047047086549960246
CD34,0.0663304143584014,0.11506838121069579,0.011051912579613715,-0.015832849278812507,-0.0497811710516691,0.13722230854825845,0.0032635525454849977
PLAT,0.017225640267946013,0.11628248829128465,0.015586453126857414,0.04833156151897823,0.035692016756776995,0.06463098160801767,-0.004576131461231191
LTA,,,,0.04670996647723491,,-0.00405235286630404,
CKLF,0.04359258454917295,0.04993046794555604,0.029687355078801495,0.07738948273982327,0.0043840837522669505,0.06098404751886623,-0.025684491117583242
CD24,0.012719790751675716,0.044908127816255826,-0.04148495555217947,0.002957640027192632,-0.048128118814691014,-0.014107696565275022,0.08375566410327959
HSP90AA1,-0.01312099440263131,-0.038065724859093424,-0.06196639532033318,0.1057123301907412,-0.07353980304496772,-0.14356950926858406,0.0217333533518298
BMP4,-0.02352328999886801,0.05189154570462162,-0.029727866839159785,0.01753652310757474,-0.029140346714532438,0.10906096383916816,-0.0656948858496262
SCGB3A1,,0.06330988441877106,0.0024572470043431995,,-0.015486840257495384,0.05163469770700657,-0.04760319168042737
IGFBP4,-0.057444333409804656,0.10468917650447267,0.030334948987013496,0.05672906260423069,0.03638968820938516,0.18515141367356222,0.06364687947375268
RSPO4,,,-0.02105463282551563,-0.015976342923371568,,0.042083722814034205,0.0374567157266482
LEFTY2,-0.022631120700761356,0.09679718011575646,0.07697103315330726,0.061029786156123096,-0.0194326632124637,0.09721323055475639,-0.0194127163020269
PF4,,0.016364646720611633,,,,0.02227228929771867,-0.023399563234086
ANGPTL2,0.003919763902009272,0.08976051569975893,0.006665457579105961,-0.0005341123616832663,0.05944733781822694,0.07151739059673795,-0.00366860166277532
LRIG2,-0.048131412406160104,-0.008387505046582906,0.03602026832020536,0.02622707287905208,-0.0013071006881516225,0.08017470185050952,0.018258654012329054
ICOSLG,-0.008513266387840772,0.08692479960023766,0.06462336170998052,-0.022463611735831928,0.01885861536270358,0.052602667819572194,0.01876107937264887
WIF1,,-0.04492050656079734,-0.0411287200865307,-0.01232856542337868,-0.03278347749913178,,0.008078903242731481
NPPC,0.0034896043547396746,-0.030285498627427257,0.039215234927497296,-0.024049113902649626,-0.048245791236935995,,0.07820201013098356
LYZ,0.005709107834529385,0.040286105787101664,-0.009514645523262238,-0.014119180493995846,0.0606096393224274,0.1170602487973083,-0.026600112233244703
EREG,,,-0.00484451960923974,,0.08773071011985856,-0.04193551456542668,0.08911762130972099
