,UKF243,UKF255,UKF259,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.016880314696687684,
BMP1,-0.09583748129323648,-0.061404862866463454,-0.044127192687285974,0.025676941843483018,-0.07946541685797473,-0.008648483155753027
NDP,-0.04005228433262665,-0.06145931513768974,-0.020271736157797288,0.05699633290282938,-0.0707830550486246,-0.10692862046374148
TNFSF18,-0.026872435079007783,,,,-0.02847407300282384,0.016655042079601026
RTN4,-0.02488783311009135,-0.07210528148127363,0.025236726926604468,-0.004215369854220219,0.09019434502858463,-0.048887573024165555
HEBP1,-0.053888527932597095,-0.0005091867242011246,-0.019301704580681693,0.006527026667670417,-0.021486727329941283,-0.013613757442400256
WNT7B,-0.0627205621929032,0.0008873857320023088,-0.013554756555635475,-0.03178786974610509,0.09174376192417388,0.025442906507890977
PTMA,0.07350173001213212,-0.1192803420966619,-0.017853131336938846,0.050427422173552935,-0.02263239932101571,0.08099111420406171
FASLG,,,,,-0.014640291177634653,
CEACAM1,,,-0.029834398111003035,-0.01539974296807152,-0.020369814906300788,
PDAP1,0.03805490856491905,0.05333634450073657,-0.02555123852144965,0.010012200278134657,0.03657507489691085,-0.007518988323406492
QDPR,0.03329660683612418,-0.08061584724048314,0.019014039020789412,-0.025233279663323678,0.008043996389261973,-0.05654525647338794
POMC,-0.0507396420808138,,0.09923189109218826,0.0032119850561384746,-0.002037248389314566,0.008792198715016158
CCL18,0.014389302969563082,,,-0.03760515256279067,,
CCL17,,,0.10109023597512594,-0.022230495761556866,-0.013269779560599836,
VEGFD,0.11783411900769586,,-0.0038849157057778325,-0.01539974296807152,,
TNFSF13,,,-0.011927900950927198,-0.006944899097264138,-0.021621998210500877,0.01286219293004089
WNT5A,0.05182040431230266,-0.08255842205879008,-0.04316965596578122,-0.02388120057351689,-0.04149961248233136,0.15619765367371424
CXCL8,0.09094027597733956,0.18740131618793512,0.030899488421856667,0.02124271536678499,0.09725285539537697,0.1664069116835414
GRN,0.007341023782944976,-0.1333882362061364,0.01866249883512006,-0.03908764843787897,-0.11710139231225032,-0.07791593951320504
MIA,-0.07671953020385568,0.03863100917275233,0.03264506874535603,0.05260335511186178,-0.017344280716230336,0.0453306693843154
COL4A4,-0.040875471314514064,0.01130142212564303,-0.03469833529020231,0.02641793830226996,-0.028043369326811264,0.021379892747892676
TAC1,-0.05119334113023404,-0.10277808876044112,-0.05332625588996508,,-0.017444474560387533,-0.0343915722755405
RARRES2,0.022937164864307337,0.04147608133947767,-0.01919302387080666,0.022451394765986198,0.06836164542634375,0.13554611776276554
FGF7,0.09556045416397686,0.033631638745743694,0.006308456315043948,0.056590792634831695,0.05297098239318314,0.017212594216234892
EFNA2,,,,-0.014636425092964814,,
HBEGF,0.04126531639636932,0.03396427138692067,0.03459055742353657,0.02414589926922527,0.08449949072024202,0.17408240464619978
CSF3,0.11674297746894016,0.1533215664338785,0.06395698578622867,-0.04517663560230806,-0.01397103077219706,0.09615516719506982
PI3,0.0037959921923447605,0.14198551601225295,0.035293682284786576,0.0015441094002070532,0.05164418433941413,0.12962819086767427
PCSK1N,-0.11313594140346703,-0.06765290365276275,-0.0685051112484506,0.027637529421648852,-0.041911012682396595,-0.18692233696426558
NTS,,,,-0.017831706517639385,-0.020689191466858214,
SFRP1,-0.022402015506800405,,-0.01508827532829211,-0.019659832725086934,-0.020208427072032513,0.013030799730188477
CXCL13,,-0.03031626235271661,,0.006994790346720856,,0.06748944898667669
MICA,0.0743985579346831,0.07193374621159065,0.07410069386347001,-0.04615148277760395,-0.00018294055434423716,0.010756052589992925
TG,0.004861514837561699,,0.056873623605674724,-0.021961695874900457,-0.02724617487343778,0.07548408508836026
ADA,-0.04818678117930332,-0.012247901654861143,0.056620535693131906,-0.02245551770503804,-0.05919355766728179,0.0019121482051190812
LAMC3,-0.03990880929711838,-0.0779345778909172,-0.02400240751355127,0.07759975753847607,-0.1188126694028752,-0.03550462635375639
CCL7,,,-0.01177232240016078,,-0.014640285971721859,0.1461895764266585
NGF,-0.02354950232658829,,0.07220985599266219,-0.01443968691560628,-0.04383257494811943,0.11513580181193486
TNFSF15,0.011831677674977134,,-0.013109056769492013,,-0.01578265595244766,0.025162609306155895
HMGB1,-0.06165208131609262,-0.06853150837807648,-0.06930258232958711,0.022134304464434484,0.010053175474956159,-0.10491559559388612
ITGB3BP,0.07399581526850055,0.08505790592391424,0.05590854669976702,-0.005351663603954472,0.03207896323881744,0.02191718363411181
AANAT,-0.028382510568497343,,-0.011927902223969363,-0.019696663963293014,-0.015490033089896165,-0.029763939710599933
RELN,-0.040604434946182884,-0.03569815865962304,-0.020704167066250573,,,-0.06066866242971624
IL15,0.07155167810506448,,-0.026725588946672277,0.014660925818035308,0.01193920244559353,0.07900653860130642
BSG,-0.006756312907657225,-0.044250937775933995,0.04802649113088419,0.0414948842393499,0.09659058832546132,-0.01878286777175486
ADAMTS3,-0.07724232767247659,,0.0030395330421896707,-0.004470159410868867,-0.03992329474289868,-0.024776507484707763
CD34,-0.01709120042370339,-0.06181923667502232,-0.026346710104968054,-0.07583200699787744,-0.0802635030156542,-0.021262257124172283
PLAT,-0.07005894434248479,-0.1540911072923086,-0.07470021013102188,0.03045313961766913,-0.10148375082892806,-0.11382008683185878
NTF3,,,,0.00355452388533067,,
LTA,,,-0.015088274622438877,,-0.020847250134987703,
CKLF,0.034841402584558194,-0.038287955894920706,-0.07474764367415317,0.0006878211157264442,-0.08780056420381277,-0.0373793529940929
CD24,0.0791521814221624,-0.04379427258735023,-0.022203626280745677,-0.02972572939207228,0.06290682084357482,0.07462135777363796
HSP90AA1,-0.06062392751218908,0.10551606595145832,-0.04516176687136066,0.07309536351167373,0.10269489473900527,0.010636866533221009
BMP4,-0.03828649817322237,0.050136402698371364,0.034272881475615684,0.03680653205901877,-0.05500005886498413,0.020321811012226663
SCGB3A1,,-0.021427226771764563,,0.08139526634349124,-0.030696765491690984,0.059706949569884274
IGFBP4,0.004670987233733234,-0.00037845519426779205,-0.004540098455192576,-0.021208553533156718,-0.10431824411121349,-0.046206904475615894
RSPO4,-0.028768131475805283,,-0.010735316036048692,,-0.027495340701702606,0.02905175980565911
LEFTY2,-0.04818680631360458,-0.091498835129369,-0.03371343742295054,-0.016829259172059696,-0.017677031590856467,-0.029625459344500487
PF4,,,-0.010271119365559621,-0.013415296924617758,-0.02084724531077939,-0.02940027269895018
ANGPTL2,0.020792040905251268,-0.08422090782606853,-0.03506388902684676,-0.054728775152883255,0.02720114957757158,-0.07525736725306213
LRIG2,0.02356604063777738,-0.04882315804295706,0.004041159082211393,0.04343673905861125,0.006639711499445983,0.04314736726652237
