,UKF243,UKF251,UKF259,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1
IGFL3,,,,,,,,,-0.018439171017258695,,,-0.01818617169467292
BMP1,0.010355294317737239,0.014407896659610526,-0.03986263069634532,0.022837805925036463,0.017293284998516827,0.00702620315833924,0.0922995349039838,-0.06328267571249363,0.05805309667983103,0.03765379213897625,0.035740509675946774,0.008799041539931001
NDP,0.05325191008909601,-0.0025879826110833063,-0.016117659828221578,-0.018517647646388424,0.038666416663671786,0.058203524920490426,0.06001827911906518,0.09481195255809866,-0.018161337616048302,0.0009292584408018441,0.0361629879041685,0.029432888309393522
TNFSF18,0.07104055885865244,-0.006621336817098728,,0.06587290028084344,,,-0.02634635255966613,,-0.01901599159961717,,-0.04507248880136402,-0.030676820295158166
IL36G,,,,,,-0.023858994761473774,,,,,,
RTN4,0.054882673182899605,-0.006199191139113091,-0.0037839763131399364,-0.017419082560477778,-0.013677172587801144,-0.03438540385569006,0.04106184937832292,-0.12360138929702698,0.018377247399032827,0.0050070788083180304,-0.10166090336582737,-0.010562744025690634
HEBP1,0.03281182354624277,-0.04479839359548316,-0.016366403202601406,0.013912672746782201,0.01965154410350944,0.011965734557668264,0.00019873547126761677,0.005035514096636229,0.0380697541997022,0.0023630779842861304,0.08197658770492863,0.04752492338776137
WNT7B,0.04806212885842853,8.529087000953389e-05,-0.015608255250434556,-0.000982358480439216,0.027827357100429335,0.026229701473264876,-0.029004762621652413,-0.039301910100966606,0.06603948166875943,-0.025860407247953292,-0.0013858563535622782,-0.03881685049392279
PTMA,-0.051141336393971296,0.008522829231608329,-0.007506316484434732,-0.02014608259216274,0.04624969729563798,0.0022941884538720306,-0.004658624664829098,-0.03750505705311634,0.030851833350416396,0.005556420500481455,0.09948709462053938,-0.029438682904038494
FASLG,,,,,,,,,,,,-0.0157728605064877
CEACAM1,,-0.013845183077845746,-0.037630619859485244,0.04183127548460153,,,,-0.045148197502529436,-0.027323994632255988,-0.017163928396483053,,-0.021945618783243706
PDAP1,-0.029248404065385092,-0.04922194332882288,-0.044705333737231664,0.06666402629060854,0.0029607213481547025,0.011117267713443684,0.007156557153058636,-0.005775405563005667,0.008986996419980912,-0.033821323316563255,-0.0075447111091223595,-0.021558400506130726
QDPR,-0.0040594697874792645,-0.009416469673745712,-0.004237583162877935,-0.013970130581005363,0.022447536308797766,-0.0341180628125882,0.051674892162143805,0.06871816023567466,0.0678836933695912,-0.025225863282959893,0.049140199175323175,-0.00438300590945568
POMC,-0.02208875559211162,-0.01046508381752575,-0.0034557242682447926,-0.016230475874945773,0.036849541942617435,0.01071072107538065,0.018134032953061426,0.028711939536471533,0.04511692934996781,-0.0012967506269531827,,0.024494904691498492
CCL18,0.0006099999687284197,,,,-0.0142410817674818,,,-0.008954685675622161,,0.002988556720873876,,
CCL17,,,-0.025979573109816342,0.04653415516036978,,-0.02179586907123791,,,0.06275889431864647,,,-0.014296326447449702
