,UKF243,UKF251,UKF266,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,,,-0.015224983156844177,
BMP1,0.057655593040850855,-0.03452283497093406,-0.001645645080552976,0.10703340069710682,0.05031516528961694,0.02636676310295098
NDP,0.010732998426094844,-0.022584501720767786,0.005580262833418715,0.0725316722245076,0.053516297048784245,0.05193046322541495
TNFSF18,-0.019285632982451846,-0.02528979954525549,-0.01183302963674758,,-0.025681824638009325,-0.026674482020907345
RTN4,0.061900531713018625,0.03610942205766123,-0.06362433462394354,-0.04133416903761613,0.01744735968827373,-0.01285666071153713
HEBP1,0.020477655154754266,-0.023816829256312993,-0.02864083060143873,0.005817837274202187,0.008829015013687583,-0.05231310362729404
WNT7B,0.13376192428917796,-0.015709239525174813,0.03752554972085455,0.05866838063549298,0.006804912326035377,0.0102442798959201
PTMA,-0.0009519518809194721,0.010532498424023276,0.009150979927494989,-0.04825633751117993,0.0023774001337293934,0.014534032987150147
FASLG,,,,,0.04858556044895023,
CEACAM1,,-0.012055896488437145,,-0.006677391967796062,-0.018372293078002738,
PDAP1,-0.10993859115866532,-0.036457847883086744,-0.012738121907490373,-0.10019818913219658,-0.0001703635249703268,0.05924987439742997
QDPR,0.05140738768936794,0.010124653034948795,0.015874650288498177,0.027096687575031513,0.04417866473067249,-0.01000391041302906
POMC,0.04373726970169253,-0.021421404630910947,0.08377565042552888,0.05735098028091524,0.1172821024407981,-0.014813486877271187
CCL18,-0.025863619575723765,,,-0.04348954645429165,,
CCL17,,,,,-0.011968507337414221,
VEGFD,-0.029140739720158498,-0.01726765295281577,,0.037957944140504615,,
TNFSF13,,,0.05162193046869466,,-0.01950168373559923,-0.010626021058504942
WNT5A,-0.061487431858689746,-0.02409804317447817,-0.014115932139681481,0.0026535257261206023,0.031913294229491476,0.003657011393957702
CXCL8,-0.07317588691561712,0.06549396927489758,-0.01632325436834871,-0.062387114904858834,0.04697862209333117,0.013513113482950437
GRN,-0.07213652520782607,-0.046343750372325826,-0.024759260612423912,0.030812044787888834,-0.0346501615889996,-0.01469760353148953
MIA,-0.02126622492210976,-0.015356642960508524,-0.0030743790023877436,0.011578515002877786,0.04421279510035971,-0.04203613616641483
COL4A4,-0.029335240198320116,0.023851150423936412,-0.010918498086385882,,-0.023477512892554914,0.043584383022217656
TAC1,0.12360289287043684,-0.0014611302183596536,-0.08002812482366337,,-0.015733819904081077,-0.02557003904507601
RARRES2,0.005106653869872161,-0.021273681454434524,0.06864366032017644,0.05261124699427471,0.02781592613397385,-0.011225692417512274
FGF7,-0.023276429824665303,0.1135667516625068,0.007397574965553365,-0.003030083547783511,-0.010891802949712147,0.07494686999751202
HBEGF,0.010889183187778926,0.0031444499495473562,0.06125286623160388,-0.10494824891270453,-0.04268480011734344,-0.00554508477578259
CSF3,-0.02933521697352282,,,,-0.012600991866116717,0.06749505496884133
PI3,-0.0006225772325125075,,,0.011071627476854282,-0.027377769055921493,-0.03357917726013223
PCSK1N,0.0971307861423367,-0.048190816887149615,-0.06171930500791284,0.014730179157217109,0.02985578368644936,-0.011329312744060722
NTS,,,-0.01332900539142309,,-0.018660350667126464,
SFRP1,0.022625875852804515,-0.004350134419337289,0.07254990709673151,0.03411647944997072,-0.018226731392536277,-0.04256095942127613
CXCL13,,-0.01715494626369316,,,,-0.00983201850751524
MICA,-0.0007829552948752324,-0.0042459201841238,-0.015477507935674041,-0.008875230525284558,0.02212751101800213,0.009316635524384264
