,MGH258,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.05762595743525586,,,0.0011505627023827287,,
BMP1,-0.04704338427640748,-0.03074361879292915,-0.02081020831832627,-0.015622629525316505,-0.025573812184583707,0.04250917988102244,0.013949373460744981,-0.0033569885929090144,0.0579716678806789,-0.08124640342039968,-0.12981907423776864,0.08525391689865638
NDP,0.017230391510527816,0.07103782543851767,-0.061082627121698374,-0.020970934682668724,-0.02467909379860578,-0.039232557513348316,-0.061909569547056106,-0.0043899467688853664,0.020484060574689992,-0.013184132397677304,0.08556203693667423,0.060844927793639376
TNFSF18,-0.018286593751001855,,-0.07161397861673253,,,,0.047354834160761146,,0.010697216258466537,-0.051927444195025436,-0.04906666554535927,
RTN4,0.12362354507111208,0.005385048111330768,0.06214398217678001,0.007047468721665334,-0.05136659000873737,-0.012224122492052892,-0.036615790015488765,0.0628796202064492,-0.08358404231699164,0.04652451519625699,0.15813403079742014,0.10846242522154308
HEBP1,0.014783972176246005,-0.10100423177825622,0.034387244305465324,0.009359248758698683,0.022302702676590014,-0.05449688167165313,-0.005816442216989337,0.01261632369811483,0.04552151207094463,0.022403227560048096,0.007820784143479297,0.0387850372439103
WNT7B,-0.028833181485970718,-0.06415464902567594,,-0.044261064296438814,-0.02932697906536072,0.002099029679469048,0.04487431064089733,-0.04339154042471567,0.098408147856422,0.04472443452392655,0.05350691858958429,0.03938667196132177
PTMA,0.014506028873935381,0.11986481537129967,0.02639174217621997,-0.020371672324200382,0.11724285806572952,0.084188633466766,-0.013282637301228584,0.08752231595344064,0.04308476868804339,0.013947911552873548,-0.09153969690131433,-0.00238875062387673
FASLG,0.03917577584317968,,,,,,,,,0.008196205786935322,,
CEACAM1,0.059111937085513294,-0.048310059512393685,0.06358428171476167,0.03035602040497008,-0.0278923244357094,0.05425171034690093,0.022344072528493204,0.016307084641039707,,-0.01498016682396867,,
PDAP1,-0.053864965133393054,0.09282031611894198,-0.0023856563614117377,0.052226873780087134,0.0910698875074142,0.007150148952648938,0.03880738401904146,-0.06434574451425071,0.042712794229313185,-0.01870199747976048,0.014377202359944389,-0.046417435528600504
QDPR,0.012907546145900487,-0.048210664180600805,-0.034456935517534246,-0.0464999861464653,0.009084109721859098,-0.0356009898878494,-0.0023527380883558544,-0.08882007282419632,-0.03873654971666154,0.06211000447812498,0.11363719411017098,0.01819205418193518
POMC,0.0020597064885235807,-0.06799725687506795,-0.006922620325542658,-0.06132408843008779,-0.013463508124249068,-0.031990376628086015,0.045469520070452005,-0.027361165132263582,,-0.0051074755186668675,0.01240199376521763,-0.005280130375140365
