,UKF248,UKF251,UKF259,UKF260,UKF296,UKF304,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.022059514657968297,,0.12049505037491227,
BMP1,-0.0034978455551081923,0.014284803391117694,-0.03298126142396576,0.08674172502100246,0.055428017313849366,-0.016478047134942362,-0.04454592952128911,-0.009494374190059256,0.003935516746912159,0.06825580175803175,0.03765044474477317,0.029751982129051658,0.10341069432331022
NDP,-0.005394054676407159,-0.04081094214611349,0.055274764775297774,-0.026772652047663898,0.04273147503438634,-0.04612192955425609,-0.02862617020875337,0.09218726678066508,0.05092064975838139,-0.034672385691794864,-0.04082089695512648,0.09345001646120615,0.029024738191469578
TNFSF18,-0.024102601212885322,0.014267320836991433,,,,,0.1238476555405065,,,-0.022749588093463027,,-0.016265540297366987,0.030704912952653235
RTN4,-0.01688534067275846,-0.00596171879006615,-0.010092027778045253,0.035858308459514036,-0.08756688104229814,-0.020697667678397366,-0.06467902686488194,-0.06726190276553774,-0.012358861546055719,-0.029973568845596977,-0.0027862135834449014,0.016325629206544595,-0.11358686449098042
HEBP1,0.0025705569714689134,0.008262483108742554,0.009908070923115507,0.002238007921637336,0.0559882059623684,0.012276551882215476,0.007275797077011258,-0.001085614640966597,0.00704604148907509,-0.03424325643889622,0.01382793488826685,0.07663507766745237,0.020324141041308214
WNT7B,-0.03566920599366147,-0.02422462497630429,-0.046605703642041925,-0.003221540614275145,-0.016539958540400777,,,-0.0334858786319272,-0.05093992079496774,-0.03645021855974986,-0.02313557252090499,-0.01916600148801412,0.026016168044082348
PTMA,-0.00976732709386861,0.007240960710177976,-0.001810077927454635,0.01791388580341417,0.04007164623062423,-0.014289907304535417,0.015388244706522083,-0.07976543970117371,-0.027629648317533555,-0.04058015075145162,-0.0489625930199821,-0.08457861321445163,-0.007472580002692996
FASLG,,,,,,,,,,,,0.011575892309925602,
CEACAM1,-0.015340645123414525,0.017144372991140487,-0.00866363324386624,0.053751583538582066,,,0.11594585852456002,-0.0187637893835166,-0.007865765499539679,0.02907537099328462,-0.015355415958961057,0.003545236327985185,
PDAP1,-0.0239801212158564,-0.09741633430143559,0.01977013555136409,0.0504771501208155,0.04951642306206888,0.046021105459751396,-0.08005570319097027,0.00740757003787209,-0.006886637589782656,-0.06057131604417721,-0.0186690263304409,-0.004355496301527833,0.008271388565095412
QDPR,-0.020494745257802375,-0.022252998573033776,0.039480545218424805,-0.0021505810974320016,0.005476662543655895,0.03224005765265035,0.0037256153049850943,0.07898821706256193,0.06422292392175435,-0.009482898315478152,-0.009376253084345237,0.07590646846195043,-0.054229925613947745
POMC,-0.026332882707848008,-0.03303313905284101,-0.0125715271159125,-0.045623950037067276,0.07173851112669129,0.0810318521468629,-0.06131112545659983,0.019474806650820877,0.02153561389394831,-0.055494265370274784,-0.02511944333494545,0.006841681845082709,0.013862613238915421
CCL18,-0.019143675668090707,,,,,-0.024698708023997002,,-0.021207107616904437,0.007854304975391099,,0.031809786387906984,,
CCL17,,,-0.005785651838016688,,0.050835767011056326,,,-0.013312000374670204,8.383439322700078e-05,-0.02908419580824565,,0.055481980354789434,
VEGFD,0.05361975937027703,-0.026627795466011305,0.021579750428012946,-0.0006321792482383974,-0.001642904950191352,0.01826607248811871,-0.07481402579240355,,0.00836128366366434,0.07028675562686901,,,
TNFSF13,-0.014446436563508745,,-0.00594917209192935,,,,,-0.025543729225859808,-0.017856114324943145,0.06730596341328743,0.09073077794470989,0.057395537922435694,0.012496211282841091
