,UKF259,UKF296,ZH1019T1,ZH8812bulk
IGFL3,,,,-0.019505712624174405
BMP1,0.045611005937171975,-0.06103313723218473,-0.061869264465767376,-0.014713695915074251
NDP,-0.03215123166095937,0.003639530164866516,-0.0743583235695828,-0.02833901688945147
TNFSF18,,,0.11212606442316345,0.02941347676166382
RTN4,0.03941990541187531,-0.015610674864253856,0.0017448203771807992,0.0044477461960121655
HEBP1,-0.0289649880242985,0.03363444261254089,0.07807591684552366,0.032567404949869476
WNT7B,0.0023702233021987633,-0.02107366096742447,,-0.042063968239390265
PTMA,0.046709718096369854,-4.747774263014029e-06,0.012232568581319006,0.012115664222207771
CEACAM1,0.038498887222134154,,-0.029222859739649956,-0.028904444052415167
PDAP1,0.022270026464410234,0.03822679633399528,0.05648874616468194,-0.008855201118081019
QDPR,0.024297704191031548,-0.04305089393446108,0.03007676699946985,0.007601187560223867
POMC,-0.030473495021103077,-0.01445266461770633,-0.013158148694525066,0.0001462803683493202
CCL17,0.042551960286147016,0.007405510070027511,,0.01496341218653656
VEGFD,0.020695965410077653,0.041453529765718894,-0.03972783743133755,0.08802095729671132
TNFSF13,-0.013082993340337678,,,-0.02757832328725836
WNT5A,-0.0032304619921104867,0.028872737953893612,-0.05354599646088776,-0.021566800398518094
CXCL8,0.03447048568367001,-0.01781692724881215,0.013084310555103586,0.023777158010579027
GRN,-0.0068504286110107155,-0.02385597683646567,0.09072013143532068,0.005134497086802851
MIA,-0.00985841064775313,-0.021759081206269675,0.052187342844738825,-0.08794954354232089
COL4A4,-0.02459687276182383,-0.036553525984208524,-0.031107679117961667,0.02879927175045687
TAC1,-0.030827238200537413,-0.03735617514233436,,
RARRES2,0.009690645221429145,-0.018873881728096908,0.007694734295419098,0.040340422630094804
FGF7,-0.014296838941826507,-0.012140058206515958,-0.013067752365865068,0.031785524620144626
HBEGF,0.01787463325701631,0.08471309688632116,-0.09203460580355173,0.025970599599561016
CSF3,-0.022606977783210285,,,
PI3,0.03479001001668228,,,0.024522296522485696
PCSK1N,-0.02202371109890979,0.0029918383653071345,-0.03370393550617448,0.012723018438101705
NTS,,0.020849217469746738,,
SFRP1,0.018506849783108036,-0.02608328500400484,0.018977220241790417,-0.020290240423968976
MICA,-0.015183938822852704,-0.031852517712427024,0.0669554547322345,-0.03280548522649586
TG,-0.0019812844598165774,-0.018876359897473296,-0.030778869384386957,
ADA,-0.032914868767343314,-0.012285707400930105,0.007876457412940867,-0.053061975143608976
LAMC3,-0.02943122674053654,0.05044985958555002,-0.02852852581489379,-0.016109250632378717
CCL7,-0.012912348634957369,,,
NGF,0.00047695519623823274,,-0.05324134884143759,
TNFSF15,0.00605138858458483,,0.04019125982178225,
HMGB1,-0.0026503859250059845,0.0003022602951192813,0.05246718484235864,0.05458569325419854
ITGB3BP,0.0031534192836810858,0.02042845158285621,0.011874762722212804,0.043618030632369464
AANAT,-0.013082994736660655,-0.02175908241656533,,-0.03181129610459244
RELN,-0.022709148991041806,0.0564747572568573,0.019005200844070994,-0.03978198728527507
IL15,-0.015588134295138178,-0.0467673989908652,-0.0453795898396405,-0.0396151939450159
BSG,0.02634711589957694,-0.03774928394185795,-0.02804936272156692,0.031774210582296236
ADAMTS3,0.0543528188026138,-0.031698157159711284,,-0.03742496446100972
CD34,0.027650501471569836,-0.02693671558964743,0.02820315416826979,0.017874674006719
PLAT,0.00429269061363445,0.018190311664711998,0.0032642324902486686,0.0561118103899671
NTF3,,0.008335370342009638,,
LTA,-0.016549416130690556,,,
CKLF,-0.033548514635990505,0.014945000115753553,-0.015120552957297603,0.002853126224877815
CD24,0.0043778404833288,0.03755453213414638,0.02902179422366142,-0.015381890115504487
HSP90AA1,-0.0409047343545093,0.03654553447065995,-0.02485749343935474,0.07410361196543713
BMP4,0.008934435415295101,-0.012303034393742349,0.053771476355642424,-0.01093701168265363
SCGB3A1,,-0.01835399883720104,0.042739682502214965,
IGFBP4,0.023792416493116933,0.06015785386597838,0.003921759066223601,0.0375216772134582
RSPO4,0.10282363819084837,-0.018353996152513513,-0.03897622639995384,
LEFTY2,-0.0036544370528938685,-0.02012538125553609,,0.00714166985233935
PF4,-0.01126576979556359,,,
ANGPTL2,0.01802790263157026,0.05592506948937411,0.09378428601271055,0.03781309779482958
LRIG2,0.08337122842862577,0.06480952708372156,-0.06498969963225178,0.05064213913132551
ICOSLG,0.07001146076659233,-0.0017990877615138856,-0.03773107448118644,-0.06044857402598462
WIF1,,-0.034538420651076214,,
NPPC,-0.017475987164138805,-0.025507563039324468,0.10375507272723364,-0.030179642601971805
LYZ,0.003320342957053883,0.05785381823692055,0.06788481452771389,-0.06032114818090793
SPTAN1,-0.010675914124809872,0.007908653889225854,0.04135843835765893,-0.03219535195011412
LIPC,0.02343804057018716,,0.18572986921752985,0.03341428218676072
COL8A1,0.01802332810668718,-0.01550343335682436,0.023077534959060227,0.09822762256595725
GSTM2,0.03654081865389455,-0.02462251622441405,-0.06722917162107368,-0.01554853256563079
SPX,0.02941763557852247,0.03208775954601215,,-0.05960054485206621
MFGE8,0.012350545893322146,-0.00463720560265572,0.005885918005409167,-0.006429583833174078
TGFA,0.016075634737385512,-0.008602247421250927,0.11164850044540828,0.03770951447494054
SLIT2,-0.02259244487550253,0.0006234574834372936,-0.032457696290594355,-0.044869717712039056
PLTP,-0.02750668644573178,-0.013057914414137025,-0.057926223594697956,0.02080476612866147
APOD,-0.01208238243514116,0.030260581762405994,-0.03142889923445123,0.04540530912204697
B2M,-0.044425059281222555,-0.02339948626257408,0.08508079901057344,0.009328462507726891
OMG,-0.018222687174794704,0.0031913431837112174,-0.04862873692335795,0.020211456929496482
CXCL3,0.05715200314265039,0.08037278878796926,,-0.022401530036418725
CXCL10,-0.046379567012710864,0.019090241580865582,0.09883229613429939,0.07018753324205697
RSPO3,-0.01308299376997547,0.02711879740477653,,
CORT,-0.029339618108658577,-0.008105010524017119,,
NCAN,0.0002534357042009625,0.03472764616542438,0.010532378530342834,0.017542473488974378
PRG4,-0.01291235064715523,,,
ZG16B,-0.014986362103164442,,,
TGM2,-0.016313098189241926,-0.027396769921771414,-0.015768682167122378,0.005972890372230639
VEGFC,-0.023013266260828887,0.08575293826705234,0.036068807493847894,0.07519798987827687
WNT6,-0.017859443576267394,,,
NRG4,0.0028785559548622297,0.00647965015177618,-0.031107644803440616,-0.023726606973884727
PMCH,-0.021774554636457083,,,
COL9A1,-0.016413088462767518,-0.031429974534963497,0.0802968956722864,0.004430814043155855
GDF11,0.0004947778894981497,0.00908527135278805,0.0968136387126394,0.021421193617740426
SORBS1,-0.025478212603661277,-0.05167297560178172,-0.01581982799854494,0.021650973099766914
DLL1,-0.008683368312008569,-0.0011187428262950949,0.05242903951062204,-0.025482787617548307
TLN1,-0.013135741745636276,0.025936386893428687,0.027650772192619806,0.00526222968891881
