,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.02944573188076567,0.011126058634546455,0.02820921488371884,0.015924755819502492,0.022392080693353567,0.07215496052421713,0.10582137983358132,0.02091783124448342,-0.038910562868610714,-0.05965316550573444,0.02338938166194635,0.004147822106816097,-0.033772139719160627,0.015459123513168683,0.0928500205765883,0.06659177901770728,-0.03342960173819186,-0.03949574062383388,0.009446739720735514
RARRES2,0.052892265168032956,0.06559786069675282,-0.05270321473436616,0.03822624542224584,0.04182622486062109,-0.04013172182164583,0.14316949932232376,0.027746147529006226,-0.001766015664639724,-0.011373136085625887,0.0667302577157653,0.08456717171779304,-0.022448887191396566,0.08779465568880816,-0.02382368880360172,-0.02244059589723513,0.0014761722318617947,0.0436432451543577,0.062450384280138306
SEMA4A,-0.0295896506303884,0.07660607341088198,-0.020121636637863937,-0.019651861056462883,0.07682440239523144,0.0076570695144127345,-0.06391350520132097,0.005064936649359578,-0.028062298118135154,-0.05185139385157004,-0.0567318405305548,-0.03291949549090716,0.136120411396154,0.09240011883826418,0.12725494107434146,0.07116162239045491,-0.03318687504303943,-0.06018835598337801,0.09838841791778333
GDF11,0.050930118608137134,0.05633322896326329,-0.05682103157985548,0.05308345247936741,-0.004938270096004378,0.023902969184731903,0.1475874264432562,-0.025207954058715214,0.022299869356560555,0.014141307668806244,0.039695260064856894,-0.021344056844834126,-0.005977509066542539,0.005748750199831597,0.011904310971981965,-0.0315027710498088,-0.06455333042934731,0.006336852409478718,-0.038481561960930735
GPC3,0.023048521360556743,-0.03813262861761198,-0.027165314770298352,0.08660106178041856,0.01365430188976177,0.05701024397768815,0.002602464598039094,-0.015616209534966593,-0.0038870413162467215,0.09670527344465037,,,-0.002028941236429955,0.025737774289454875,0.062126958593475855,0.03175131731570146,-0.024360348498306077,0.022829421361204756,-0.012641134994355197
OSTN,,,,,0.03571088450489812,-0.026810847475828084,-0.033702914364854175,-0.03203713238294753,-0.023183573899086984,,,,,,,-0.00854387947326346,,,-0.05839426342080956
GRN,-0.07939166428934484,-0.0537692521102312,0.03442057947025055,0.031795640821304164,0.05743867400418659,0.020884321111790227,0.16388187689534098,-0.02310922997006128,0.020363441116662596,0.014145814222512352,-0.020116875032489157,0.03100991879279271,-0.02803066362157179,0.12269644232755507,0.05255577665578668,0.01735629603243964,0.05029650554854903,-0.16290537491447318,-0.059121384969174996
CALM1,0.09645653431403958,0.09709819147692965,0.016752157395907945,-0.013637527618550678,0.0063026350540458295,0.07003931271982332,-0.13506114987481693,0.022761271107485444,-0.01159432806862019,-0.05891517397435245,-0.021228185913727715,-0.1391254404865106,0.020713440857651547,-0.07088506321712022,-0.05153043253393953,-0.037348187162629526,-0.020637407902669592,0.18923332918226377,0.0016316847367471023
ANGPTL4,-0.02791387441864654,-0.052836929774024655,-0.04337854163464239,-0.005750795994048504,-0.004683477267552568,-0.08723883366699174,-0.011135636319837936,-0.060478793796981505,0.05312050282599858,0.01905530674119273,-0.052783776935581846,-0.010014798222502045,0.04938067441001526,0.06816688882334423,-0.04353621944941251,-0.0037937540135314736,0.05776285862949703,-0.10678580412697165,-0.049166786558309944
BMP8B,0.030291555642829603,0.027789556960959014,-0.05342769490044696,0.03855876042297538,0.037175947529697564,0.030249707297583795,-0.025915885634508196,0.007054869825555617,-0.033136574514395785,-0.01391958897781886,0.008694667829947393,0.08957833401383881,-0.020442615952221636,0.1233198052917588,0.026259023496797835,0.024337196777417424,-0.09185404727222442,-0.08135214224569637,-0.026127064860166912
TNFSF4,-0.020878260090396648,0.1070080623930402,-0.025951777100269992,-0.0329116320335049,0.015398477587104173,0.054291300376569526,0.021007852820150948,0.04388086807728484,-0.0013513436395146384,0.051423880875634875,0.014699487063122608,0.05997826922430442,0.03891008739702959,0.03150284933135261,0.003273839120017343,0.01827607304511726,-0.015242841784253837,-0.025225688759375454,0.01273675964777535
RBP4,,0.09827442392037727,0.03516365487569678,-0.03362852585233247,0.019113171380713403,0.06689795195869891,-0.08800769297878033,0.054640326063613506,-0.00017339571488682497,-0.07717150282467901,-0.05020234955438549,-0.0819216902651746,,0.016239555639448032,0.0031817316654224803,-0.0377372228023251,-0.05956219695454142,0.09752231480100973,-0.0032273646657293978
