,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.021066344253233876,,,,,,,,,-0.017996408271646166,,-0.023228210341723923
BMP1,0.037177812647528785,0.08201839736830031,0.0026685848964214374,0.10940084693594856,-0.0339936816068393,-0.06105018192939517,0.07651258701053733,-0.030654876759631664,-0.01707477566373248,0.12687495218803688,-0.025651535077736848,-0.012294808613146238,0.025270821899543574,0.09461286063135567,0.008400547403240383,0.01674454758829014,-0.0120141193735196,0.07375233663588712
NDP,0.002366154052665352,0.03663648527778476,0.018334992140345247,-0.002875739930491149,0.02702444786229157,-0.03153264626825143,0.048194554197275905,-0.043419655390126724,0.034069588823495894,-0.023561565484494878,-0.07308094572584478,0.0013296058776379976,0.056171758005380344,0.012748059318483294,0.06892538584901634,-0.05896122884158381,-0.04438260797372029,-0.003908335809756153
TNFSF18,-0.019279983101517573,0.06780481663691544,-0.029448337538035316,,,,0.09376472587781774,-0.018708197885176737,,0.12069264055368031,,0.017858140922398315,,,,-0.018559378195288377,,-0.016847960753767637
IL36G,,,,,,,,,-0.014899820177767704,,,,,,,,,
RTN4,-0.06493500447087153,-0.0867751691183935,0.06433933684513256,-0.0011356630170663148,0.07516073687287911,0.048856232483077244,-0.1536563567002601,0.019332501645118256,-0.022421642180255906,-0.0624059979887795,0.011086683769900458,-0.0422125222276516,-0.008334761144515665,-0.0048281017104092085,-0.009542001547101702,0.029969012423122655,0.07099152579009269,-0.010042220383497226
HEBP1,-0.08187464548564079,-0.023749073593441358,0.02537789061273519,0.06588507387554132,-0.0035407949988439545,-0.008248077085809167,0.048294210496005664,0.009340366408863477,0.017027660818908975,-0.013238445710681328,-0.0037245219137429946,-0.05841612449738532,0.017135563183664992,-0.004476923152035084,0.04477721478486937,-0.014386408957403507,-0.006830640528273311,0.01182758778008852
WNT7B,-0.016985061246573983,-0.03454409802138096,-0.0435803093839311,0.05100854342025271,-0.01802835154612865,-0.0006523742573017525,-0.025220140387256236,-0.04176731352070885,-0.016376619451496068,-0.032716369699657626,-0.03705591781355352,,0.06210196155865143,-0.014062201189129674,0.014859984239712248,-0.038809161220976676,-0.03355129268523357,-0.024639044215853313
PTMA,-0.08305738417735024,0.004771007108818863,-0.004829428427666687,-0.051976200189880195,0.015675101315374987,-0.040652672891738746,-0.08038422810222004,-0.06919447792558267,0.03234698677144228,0.015801540333847206,-0.12825618481017384,-0.030899421026985393,-0.1100249637096272,-0.017929296316444503,-0.025604037390297388,0.014761677046355023,0.002120417791764436,0.02785969899460294
FASLG,-0.016985066048207285,,,,,,,,,,,,,,,,,-0.02014581890495869
CEACAM1,0.015992592370100155,,0.017565392640580012,,-0.03364926081963663,-0.020405122536377416,0.007089011424733258,0.008560630835735005,,,-0.04382952769233094,-0.02317794688692068,-0.011310004831042254,0.02081707057172961,-0.026232704968552484,-0.026667888841320143,-0.022268480915139943,0.017191412503087578
PDAP1,0.027911875886328597,0.06756135468993944,-0.01763863371541987,-0.006543435378651067,0.03985132293288619,-0.024700196289815523,0.08027844751574542,0.008213301979837669,0.047192949042690044,0.03193668171402189,-0.03172168154813702,0.07697032666503352,0.03546879374721341,0.0037784859309590974,-0.01316245648540122,0.02917509020496933,0.03664604506410327,0.030886656412651866
QDPR,-0.10702184176148055,0.028957033007696923,-0.000958680508724207,0.006470538636120506,0.0041191759120712155,0.008147845148685958,-0.09887400811429545,-0.0017904895077195898,-0.0010534546584955776,-0.027671854147694977,-0.015512852345170407,0.1264119996741022,-0.07541897322581398,-0.025746495412895528,0.036261919443172294,-0.012640231145768597,-0.02471533446949724,-0.020720926828183335
POMC,-0.04654563673803615,-0.02062364880483231,0.02130673457378217,,0.02858567644052986,0.050142010748172414,0.0479127288657648,-0.009078328173037426,-0.021024889726852444,0.034203448691730864,-0.0616908296799708,0.017105662966994378,0.013660147143531942,-0.023692504274679286,-0.013469122058946308,0.02193020781074945,0.04209270888603324,0.024296190264060363
CCL18,,-0.032961568810105236,-0.023389567699075846,,,,,,,,-0.037581528594107086,,-0.023484271379029052,0.007625117362514575,0.011986758688654215,,-0.03789858726533151,
CCL17,,,,,0.00046095177077653925,,,-0.023332765137064334,-0.013611408738142221,,,,,-0.01495409309478633,-0.037868556496472916,0.06180404658454939,,-0.01825992206664278
VEGFD,,-0.03713805388496137,-0.02338957512635909,,0.07698119482741293,-0.019522465942343116,0.05236147183505408,0.07630897480779336,-0.014587768335413647,,-0.01651793346564948,0.0027735462581220463,,,0.08106735844418422,-0.02502489871242521,,
TNFSF13,,,0.15625627677633805,,0.02012350439149122,,,,,,,,,-0.028694658509652065,0.00014172287719992053,-0.0254443800586832,0.004760003038214244,-0.015190085787860009
WNT5A,0.053103453991998104,0.07038773596259149,0.011878063669198234,0.0935216167958418,0.00249844196143649,0.002400266261347503,0.08068370925350954,0.02590385684941466,-0.017026968496809184,0.08161208707631266,-0.030645666789954885,-0.047614721654995085,0.07117102412721833,0.06701769770753199,-0.002713204755366395,-0.05731807902017956,0.030571122928826487,0.1006711292674115
CXCL8,,-0.047662634248585835,-0.006570445005866669,0.00826570630104025,-0.01745955785882326,0.02252497648898639,0.05553355650494584,0.009871137352539446,0.04113374096441368,,0.0701337090938563,-0.0016974930802288672,-0.004781645493800346,0.05447731073874487,-0.027399720401153623,-0.0026863189723853207,-0.010552434076334747,0.03942196499337997
GRN,-0.11034848181221903,0.05198715808910205,0.04401799517047608,-0.04178454896932356,-0.05762418629965645,0.02697949284079141,0.07604036646746669,-0.0410826313717431,-0.009776084619376454,-0.035356874898629084,-0.0440090425736255,0.05980758467222794,-0.00722281788581356,0.03780114133110417,-0.023095786819886534,-0.00043486636681883156,0.005074439960666179,0.11772630958525825
MIA,-0.022231986458581484,0.121534795563292,-0.04660010339624389,0.14951871052247515,0.05385603616943419,-0.03647413790926652,-0.012854228545497198,-0.020803272440710206,0.06504893937970622,0.03165491575526314,-0.012886852459521078,0.06878232171837706,0.07692396317734905,-0.037425132725472245,0.06938775001808667,-0.021891369718154564,-0.025662904584128548,-0.0033120993527265604
COL4A4,-0.019670776103097927,0.09157039135138677,0.07227014322834556,0.07061992947310902,-0.004648514701498277,0.028767225620658955,0.05744243170085649,0.04399573685318848,-0.01937999992815355,,,0.03301237767345879,-0.029691456760513442,0.01155421146353299,0.028204114808208846,-0.036549871726223704,0.016396813334828536,0.07518781305629146
TAC1,-0.016985056807331714,0.03965144780462177,0.06889453590522931,-0.05336073321835033,0.0767223343490308,-0.005070127868911745,-0.07332022283776017,-0.043199246660091874,-0.03434541576276564,,,,,,,,0.020981715483167577,-0.005819793501470563
RARRES2,0.04082709177259418,-0.03524895294012683,-0.01680949747421726,0.004549611945347829,-0.03804816301341031,-0.031377867314680764,0.11913081727222792,0.037221863944321754,0.028163931744467196,0.03345958499104746,-0.05515415155518267,-0.09156523954880202,0.028604209746498115,0.11353809126256385,0.01301048387827421,0.021883537156014193,-0.027432295836302176,-0.005572617768068427
