,MGH258,UKF248,UKF255,UKF259,UKF266,UKF269,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk
IGFL3,,,,,,0.04667909214175137,,,,,,-0.016603063014764174
BMP1,-0.007556257882989671,-0.0009961198899556996,0.1674088854949771,0.01514323261473369,0.006718357524638773,-0.006457308622566916,0.002437887742501722,0.01916981270797733,-0.06322188454753239,-0.06941183005947345,-0.02334007039343695,0.04857489036385619
NDP,0.03272439679963374,0.012174373457721913,0.10031221807563959,0.04648076691793877,0.07416959101183322,0.004726675031937958,-0.026124275048048408,0.007786727613616238,0.013017665744153284,0.1665180899927381,0.08061050087326514,0.02352072359314189
TNFSF18,-0.001026028360996279,0.04796550386013699,,,0.06795836841194734,-0.018777282901708405,,,,-0.011756154897389593,,-0.017122445825854045
IL36G,,,,,,,,,-0.01562000196137384,,,
RTN4,-0.040734019185887246,0.08268038172188848,0.05564507204966235,0.00329976249957328,0.10724697960067482,-0.010648583518103962,-0.021092999600152974,0.022938030703638954,0.08628373180447198,-0.024298297782076185,-0.11413097596202178,-0.05642666203137384
HEBP1,0.06700568717635695,0.016651447677613992,0.01669866978331855,0.004783044022578487,-0.044527365870422,0.005227160751948224,-0.055889726586052346,-0.004803893403633737,0.03595559779180698,-0.13525596189154068,0.041017039843246846,0.03242310258440603
WNT7B,0.04482737032484055,0.007270305414741318,0.08841287118485977,-0.0017963373702351018,0.12655969996449315,0.012943888149246902,-0.016555691884642,0.06330204275001733,-0.01716818222643584,,-0.03849386533612192,0.1319112126264163
PTMA,0.01863681747421364,0.0634198732622638,-0.009737707256553723,0.02215415596601898,-0.050531115580573945,0.036304569008849104,-0.028498899077499588,0.026072912337515606,-0.09538096965945501,-0.09137400094648333,-0.09451727607387461,-0.05654999870274455
FASLG,0.02482969878884702,,,,,,,,,,,
CEACAM1,0.021097466459351122,-0.023605608056772014,,-0.028810556184859674,,-0.00911374838379638,,,,-0.047549730391396074,0.008304913138826083,0.11745417061270184
PDAP1,0.09230466888906605,0.03554951876529643,0.018455817803256894,-0.007030743545190928,0.006691205975743316,0.018015246688197845,-0.007652625260769609,0.04127061387552712,-0.006256310543614218,0.07671892955165655,0.020924097029179765,0.04101527285939135
QDPR,-0.02268479228487152,-0.01696827179246242,0.0687497989484671,0.0063379140012716885,0.012977378533977513,0.04554400467007337,-0.022264386381958736,0.02304781253580681,-0.01367135462343938,0.002528031336308592,0.010720189653835902,-0.00791490673421188
POMC,0.03390116036920062,0.030791856938007657,,-0.026829558865121544,-0.009782135456455393,-0.03185234699581277,6.654574570856954e-05,-0.004307202297514048,-0.03346602161950849,0.05611629460767683,-0.035176019847299136,-0.022571841953095268
CCL18,,-0.029457568501938515,,,,,,-0.03566448657694723,,,-0.02447660533191353,
CCL17,,,,-0.016698954705845367,,,-0.02049130552988736,,-0.014269315243420332,,,0.13662758599686398
VEGFD,,-0.0052941412100297736,,-0.018604479603212074,,-0.02118358363503354,0.04115302831964462,-0.014805067790935041,-0.015292867114679943,-0.06464281647049856,,0.021181796432067627
TNFSF13,,0.10201754557740352,,-0.011518565222450053,-0.016587441435242586,,,,,,,0.020022844451133653
WNT5A,0.04139398343778844,-0.02354383645427352,0.06479429956593206,-0.0429903849169267,-0.02519374821950293,-0.0026417733842700785,0.024067599022901915,-0.014381056419814874,0.04698906640690962,0.06032442129379919,0.04203916573092789,-0.0041686628235017825
CXCL8,,-0.0031448877563930947,-0.043198507243343155,0.06686714275403323,0.11747644362893142,-0.00799061731486563,-0.01399716728471533,0.020684504050155265,-0.03788593600825922,-0.08863253693163578,0.005893819443213085,0.03537819037350167
GRN,-0.028628258740644195,-0.0009330722130848092,0.03122529605554326,0.03812405997555428,-0.07485890216998586,0.07149945609462874,0.0027557583595318085,0.08193838704659176,0.027197255889268565,-0.02999488650827261,-0.09860741970022577,0.027893128203639133
MIA,-0.022978304906324094,-0.015955175688703402,0.00038573024802587814,-0.03516239635483044,-0.02999329318898797,0.04853034547895414,-0.01709416530429889,-0.020078331698156694,-0.0209442823483433,0.0679054124489102,0.05890670471750117,-0.022105258555306
COL4A4,-0.044999756214465246,0.006030860662260946,-0.0007773890461747689,0.004702436514400798,-0.015782217685572725,-0.01246060109775609,-0.02871683825735252,,0.012960971219554638,-0.009395629050256213,-0.030946076934949406,0.044108534601645356
TAC1,0.011092447845146656,0.03500248577457304,-0.010435268289584227,-0.0667343201050574,0.04124138484233236,0.0032212897606325877,-0.018098869756754857,,0.06364227491720201,,,
RARRES2,0.0711997125544291,0.00519570243787983,0.04026851886175583,0.021687298469584115,-0.01848754650423157,-0.037802656103035036,-0.00047294597217045737,-0.007208121389202346,0.03757511522900244,-0.05264582382302571,0.08434373588799143,-0.0246887923806052
FGF7,-0.01487105254609265,,0.014970743424490012,0.013939631119337676,-0.03573129572607013,-0.0355108158985196,-0.0009399304258388404,-0.03225742279041071,0.04615506501175273,-0.049263200677763234,0.059622379953210375,0.08573474080920185
HBEGF,0.04380401751710382,-0.014602553544518357,0.055705691224647746,-0.00802612077551621,-0.06299388575214054,-0.04892526705247907,-0.02241344020509512,-0.003644770154473647,0.03702683813827741,0.016423499482809478,0.08136425857744292,-0.019350427538786408
CSF3,,,-0.03564271848769186,-0.01990369797678625,,-0.013183076124637073,,-0.022242041816143105,,,,
PI3,,0.044111396003598854,-0.052283517270893407,-0.0343477735945162,,-0.014844317714112569,,,,,,0.00836979167257537
PCSK1N,0.05150656913449292,0.03981021213830633,0.08084626763589817,0.007495159795356397,0.037627172939301685,0.035447218555961724,0.03234462668470427,0.028378208145491635,0.06594231289841077,0.02455901908927584,0.018903451069097483,0.050871528983333504
NTS,,,,,0.06022704081546517,-0.016203586367398205,-0.006999458904144039,,,,,
SFRP1,0.025182094994422918,0.00952816203454218,,0.005612518607997874,-0.04362064658440772,0.028302293981421082,0.00807298596518712,-0.03064776096891996,0.15315801356103592,-0.09656595333600716,0.024157202767844298,0.005710266527223557
CXCL13,,,0.014022709311219619,,,,,-0.0022184379253981906,,,,
MICA,0.029485283865574193,0.044059387018828354,-0.035762087962895685,0.04001243275159526,-0.040893782330997136,-0.024944795052017354,0.01686262745955173,0.006724724376056611,-0.007614499209214268,0.10906576804007619,0.07368764764784545,0.025357849626182784
TG,0.0397158311034409,0.026582386138564732,,0.05695197624505375,-0.02223862215039122,-0.01591079341930693,0.023007955986559307,-0.031600433216950004,-0.021434524937932718,-0.019945450104100197,-0.0022451445441853085,
ADA,0.03571375747641886,0.00254492024142899,0.09481138684849391,-0.04323383803259603,-0.03505668505917022,-0.02203284497078917,-0.011850929545052279,-0.029725361765605297,-0.020368636115318303,0.04167092348344864,0.029074284611022256,0.03450571874199062
LAMC3,-0.014264862874747618,0.014467338854962864,0.03745753373067494,0.050000133737922704,0.06782596480921696,-0.01672810571447728,0.05443806177134736,-0.02330042379705848,-0.02192332439616639,0.009510578907719395,0.05875224418506185,0.030425183733472232
CCL7,,-0.018737502076788877,,-0.011368325738437742,,,,,,,,
NGF,,-0.0009060014111531,,0.021694331678559577,-0.02122161030851873,,,0.02025943492284996,,-0.11063155520161662,-0.03637378085759388,
TNFSF15,,,,-0.012659186727439797,-0.025767687393056633,,,-0.014164169410208075,,0.09214863898002726,-0.03673444331795309,
HMGB1,-0.08551650786161533,0.04552463974525619,0.0023192059243565036,0.02763646475975267,-0.05153329299804492,0.021409583923774116,-0.05098466125840629,0.015325712437492606,0.0045025131073763965,-0.0022701105202181764,-0.06763950267841941,-0.033254448513501775
ITGB3BP,0.030391437044200737,0.04247119448823193,-0.018392276861266172,0.010315688163179956,-0.002906722563385258,-0.03543400518233626,-0.03472917639372646,-0.05109392282191875,-0.033117864444445075,0.04165397779777184,0.035126687817009464,0.058236577481379295
AANAT,,-0.014486223388441773,,-0.011518566451804595,,-0.01189149142378153,-0.00036750252897450186,,-0.019140921524302995,,0.03103416752213717,0.00963872681562642
RELN,-0.024933172561739145,0.008615995738084564,-0.03308206823995494,0.039590906670982424,0.01646584776621296,-0.03489336691227348,-0.05065685677821702,,0.07664016556509223,0.009548995966385572,,-0.0038107523235965043
IL15,0.007608954716752546,0.033576032670305636,,0.016651035935407215,-0.018335241451474426,0.024167121793925085,0.012297791283863758,0.06555156347641392,0.05821387714544865,0.16047574939506717,0.16238307132745697,0.03284476450108527
UTS2,,,,,,-0.01769467400855426,,,,,,
BSG,0.04310609085080219,0.022131560269902296,-0.046357037296964894,0.020245108295181585,0.009155511324054887,-0.04657634451538598,0.034477751542850925,-0.021494407794658256,-0.02351128509442605,-0.03860685719362796,0.00638000399859443,0.03951640592822875
ADAMTS3,0.022222462627588972,0.043710039064693416,,-0.0366385078386011,0.0701463914638369,0.034260840904695014,-0.044982670407241604,-0.013132598961075595,-0.02949862647246436,,-0.030525763697423595,0.006506140079476262
CD34,0.0249561495895127,0.018578297098562645,0.0008517626172930856,-0.009634651563666647,0.028047837656070683,0.0035412745552859605,-0.031982720920946145,0.015303313130359706,0.020092779885595737,0.023730643674744485,0.04187187915016263,0.020017790200437913
CCL23,,,,,,-0.013530629590243365,,,,,,
PLAT,-0.010775216389270986,0.011559104702314228,0.13961454341252383,0.0007501577024724758,-0.007865941598726238,0.007161398043003638,-0.02413563797306545,0.01780828593351636,-0.006573924248570661,-0.08775918246501538,0.05361756066904278,0.036396402859243324
NTF3,,,,,,,0.025897134675760443,0.059256754284718154,,,,
LTA,,,,-0.014570482773776759,,,,,-0.01775232222614402,,,
CKLF,-0.034258791671826695,-0.013531531960360823,-0.041829316061857455,-0.0015992691375569846,-0.04313871600010141,0.03654523682569431,0.02987587582064536,-0.04476228444513018,-0.06594352471852374,-0.0037190400606718498,0.06975854322672687,0.0018976798125189024
APELA,,,,,,,,-0.02611088718902471,,,,
CD24,0.016019869690027423,0.021440129369132976,0.025647569760483283,0.04755133902494779,-0.07199048546153217,-0.03791458536599042,0.018403292633156605,0.03170162394209588,0.013982983864043251,0.044383391592836635,0.044849887507246014,-0.012966090037737863
HSP90AA1,-0.056031665432042466,-0.016743523666780405,-0.07879128911382816,0.00243699553049556,0.024309442706787095,0.01884582952253945,-0.02963896437765453,-0.056125601101033526,0.07838861447260644,0.043869894970729684,-0.025565577545052072,0.07038510377954735
BMP4,-0.0030983717112376343,-0.035164028339957486,-0.01610882062913811,0.018758485823203514,-0.06251224304447274,-0.0005780128855314642,0.017052364118762393,0.030882219763185444,-0.015126812075076596,-0.061149588676970304,-0.011227843155772757,-0.026800288851584354
SCGB3A1,,-0.018737500203063705,-0.00428601063131414,,-0.023405259995637376,,-0.014419096428925552,-0.0005929617671598979,0.042223499054505696,-0.054486176234873375,,
IGFBP4,-0.016611645928410586,0.013369698184029655,0.03228343818129138,0.017741269652575394,0.026660143505315887,-0.027331229280541217,-0.06350141839754471,-0.003481209921960657,-0.0462684767958632,-0.0021444086536599274,0.0024705135013704787,0.03257260473187072
RSPO4,,,,-0.02230267663970792,,,-0.014419094319806515,,-0.024625265708219022,-0.06341983890362465,,
LEFTY2,0.03349999162774195,-0.02515621820018553,0.06833753524923987,-0.014726460282991658,-0.011282780364712204,-0.0466619926392405,0.0554048504322715,0.008302874981125764,-0.006713747466264124,,0.010881550830096063,0.008134525535050553
