,UKF243,UKF248,UKF259,UKF269,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.012843355196754693,,-0.029280425697410677,
BMP1,0.10663842698011078,0.05307988734456162,0.021838616686167336,0.026110578073878548,-0.0590163971513617,0.11169450579415266,0.06081412446128983
NDP,0.04325495996851014,-0.0007096708220398146,-0.05260713707154825,-0.001353838340193509,0.07783998085546441,0.04243068691977725,-0.06244849536359301
TNFSF18,-0.032740635842543796,0.0044688179880292426,,0.0807138369946028,,0.0021843419784530944,0.03493016926576611
RTN4,-0.03881830579438117,0.05013346938915318,0.004685745794220451,-0.09926150899045758,0.030822085829767212,0.04453360854519521,0.013434400055662713
HEBP1,0.06799329952958061,0.00797077984245076,-0.012844645038121673,0.0024090454361392452,-0.03683293217886229,0.03879838475738083,-0.027474666781324337
WNT7B,-0.0015818603865262958,-0.05227105174879504,0.023287677497887144,-0.0028173664968998064,-0.0013473562951269904,-0.04953121175081021,0.022069871298934066
PTMA,-0.0909000815271423,0.020431332419175875,-0.019889837221603958,-0.0175441517158031,-0.056488658965436825,-0.001817781506308363,0.05939421825796092
FASLG,,,,,,0.02551975136117708,
CEACAM1,,0.06967744801214874,0.02653849018508067,0.0049292853224130245,0.007529922422726088,0.03669238292841682,
PDAP1,0.01890755137394108,-0.025578816206128552,-0.006260864677553748,0.040841840504530116,0.01305167708644298,0.030671895249827223,0.006713227077004802
QDPR,0.025831119375868527,-0.04829570088537816,0.035542618059724626,-0.07029291204827763,0.0334969243440463,-0.050333314119412026,-0.02350051538902145
POMC,-0.001207281489279218,0.0774156298666767,0.018767838989093576,-0.03235227728702282,-0.04166716629707465,0.0065444470816402285,0.11619446516596661
CCL18,-0.043907884738310705,-0.028053892247748336,,,-0.03175686348757842,,
CCL17,,,0.03386121621022988,,-0.012311534748436138,-0.023017627421448732,
VEGFD,-0.049471352494791954,0.0865465682626478,-0.02411357973514902,-0.02151606510451292,,,
TNFSF13,,0.16233260744126402,0.0642395544481857,,0.08644627468297582,0.0446974259576386,-0.027574676461851407
WNT5A,0.0033107472023504543,0.017128880804008227,0.03139760250708817,0.05384254766707296,0.010839626980534083,0.05935097952068211,0.012887299713855688
CXCL8,-0.015100388128693623,0.0037614715355242818,0.014071989623577849,0.03142451030415962,0.04496534320599813,-0.03796146612129583,0.01690741880127992
GRN,0.08422987755877805,0.12074924070891266,-0.004434130168778941,0.09368842938534412,-0.0699510022356842,0.03696688459545433,0.02048647524807528
MIA,0.050366948234846734,0.03401080961545051,-0.045574574847808594,-0.0366882294757692,-0.015699113683410915,-0.0233727702807241,-0.017470770032356114
COL4A4,-0.04980155007412391,0.038856017405590894,0.012450510523463125,-0.012656173246215745,-0.019321171628044743,0.011889879049342633,-0.03081887624426853
TAC1,-0.06237255889093023,-0.009859062384393654,0.0073118386639922685,-0.06379425575186518,,-0.030259011776363712,-0.0251007818822607
RARRES2,-0.09998748805422315,-0.048372485089005574,-0.03357716129226039,0.04685191225287949,0.029028729068703102,0.0027341357691917398,-0.025773286938883734
FGF7,0.019308745104895827,,0.09043600254887564,-0.02514644411341156,-0.027268458766409934,0.04639337570955682,0.03753606712023355
HBEGF,0.13410837952835072,0.11469765961308584,0.0411324608848433,0.027930951100438126,0.028588686715613154,0.06714798846996572,0.08054412956678288
CSF3,0.07584688980873631,,-0.02579751857744497,-0.013389987693410968,0.0193607736384029,0.061033760964436086,-0.032417931639952706
PI3,-0.006992652318865282,-0.029513877445940615,-0.044518728551440644,-0.015077302871489087,0.044177385570948725,0.011116028685646949,0.019103447547888144
PCSK1N,0.0562514187261253,0.01292121827283967,0.0011136136205887187,-0.024867193252671987,0.001115305111673605,-0.013880447878091314,0.003571950701636183
NTS,,,,-0.016457905575096327,0.0512587712810756,0.03554793432406309,
SFRP1,-0.06882631120166595,-0.005809500998941521,0.026530513187757752,0.07672097809266593,0.052760117192053445,0.07392029771052178,-0.04044397987312221
CXCL13,,,,,-0.02765423126328648,,-0.026295346176910935
MICA,0.044569671535381765,0.046511436740373696,0.05568228226553652,0.09440028179394096,0.03061986273439742,0.05695596532531698,-0.040296916812925486
TG,-0.03969975289278468,-0.00114772587518982,0.008686270609185042,0.03192078562155467,-0.01635895162057529,0.0008694086982548652,0.04042555191646803
ADA,0.06084407437143317,0.041394229766594175,-0.025503791726617493,0.06909830803850887,-0.04811146671787427,0.017066438357985443,-0.03759432526196211
LAMC3,0.03744296705790215,0.0938721710783752,0.018632706021798073,0.04389947506449857,-0.08629410093747064,0.03433634103980664,0.11871967292883154
CCL7,,-0.01784464539969087,-0.0147346786900525,,-0.01845215277149019,-0.02539489418807825,-0.05489412066914715
NGF,-0.028692065965777516,-0.019026025746121018,0.038348520376640244,,-0.021310759244551118,0.08778527880598082,-0.0367394663924989
TNFSF15,0.03404065323598023,,-0.016407785385276603,,-0.017988776954150697,0.046301674751563604,0.07095827321488869
HMGB1,0.005981795719078157,0.014965484154471072,-0.05420524330191819,0.11131260440476869,-0.02124270671813907,-0.033100099862528765,0.07225131572812876
ITGB3BP,-0.002780054132844688,-0.03644315029805331,-0.008722464294137977,0.06703871889798577,0.06453608652303691,-0.06551842520701376,0.05723438614234076
AANAT,0.007768738337302845,-0.012614831186102795,0.0044293784409991065,-0.012078131258240022,-0.016187744530940965,-0.026868857073389492,0.10827803090944953
RELN,0.013173423729594161,0.09326658026833642,0.01893941803598555,-0.03544102674669778,,,-0.04942542914117649
IL15,-0.013547258181728777,0.014337992569226165,-0.051819531700024,0.01614858327347407,0.02755840407694745,0.0235940137967047,0.014188076918344901
UTS2,,,,0.09014684538431351,-0.013785049210078476,,
BSG,0.02779909271152786,0.037840535499812464,0.016219128161325137,0.04618263155802316,0.01792204258634753,-0.04335600521281453,0.05349652746549719
ADAMTS3,-0.028483813567791214,0.0022257002704503923,0.05367927332852398,0.09530270729816342,0.01195784662221716,-0.012129242752141584,-0.03125446299347852
CD34,0.08108863425776122,0.08464364637613407,0.039901515960796226,0.05065962045462657,-0.03199619333853069,0.051239045579587444,0.0665939056741213
CCL23,,,,0.01375472053000422,,,
PLAT,0.08287752466649648,0.05056119612241544,0.04083033645086326,0.03563379712491822,-0.021886830001234307,0.053920633602868785,0.07068752513977601
NTF3,,,,,0.030015471761386813,,
LTA,,,0.041968959079344406,,,-0.03616143238683935,
CKLF,0.058682019246850084,0.047356053341028,-0.00816252543296825,0.0504065190704661,-0.012108174185064845,-0.03208091293878368,-0.04997917486576904
CD24,-0.05400503528221254,-0.030773693032930087,0.048632034554901976,0.11336210845728213,-0.0034244209158102498,-0.039492452122099245,-0.05692835952675854
HSP90AA1,-0.07103133703421834,-0.01306626251815306,-0.03624358425795672,-0.08478995874014847,0.056289780314137575,-0.018733735335441534,0.09372825418192693
BMP4,0.05601806852000405,0.09732196450070812,-0.009698592114625057,-0.016552903228789013,0.056129621606219635,-3.976771287214519e-05,0.04399030508908155
SCGB3A1,,0.021441753200509055,,,-0.028084956580838698,-0.03664733634169084,0.015977005439851078
IGFBP4,0.024157797260983868,0.09696379651046869,0.0525363283355828,0.052963839697712685,-0.028791105264378034,0.05497658816842938,0.06973315571985177
RSPO4,-0.03505030019611234,,0.0033086809852943366,,,0.07101492684778493,-0.024959890183226374
LEFTY2,0.06205807089285553,0.042422663788935104,-0.02006346483845014,0.0660080026841161,-0.015663788161704516,0.09298672507596936,0.06543687345029467
PF4,,-0.018510953266526516,-0.01285571686659125,,,0.07821866591033341,-0.019552494328143415
ANGPTL2,0.050277482378349635,0.06644028218177966,-0.005711781005677962,-0.005491384659828325,-0.05822371732084091,0.013297867005328683,0.09751154049892437
LRIG2,0.04884114250356071,0.008822890515293643,0.04531712409325234,0.034644139727800144,-0.02944724323668919,-0.03736737968766008,-0.02989483762861513
ICOSLG,0.04041385909496458,0.017852005734029584,0.031612419215725544,0.046296533520180094,0.024491509429599462,0.03532734483204778,0.019816520173209517
WIF1,-0.02810671505022449,-0.03330745582899887,,-0.0635856566761569,,,0.05127056631302187
NPPC,-0.012819785993157098,-0.0032408750445136773,0.03896751713015014,-0.03251989046242743,0.08532021358700706,,0.012859979680429625
LYZ,-0.02179349305635128,0.08963993911731523,-0.034184573895935606,0.06588776935507853,-0.0007087589196598954,-0.01123783268070328,0.11156920421845389
EREG,,,,,-0.0005539952026619735,0.030810503202378593,0.17844902780300578
SPTAN1,0.08098286533841562,-0.01602273336199813,-0.015169318606131344,0.012939401230957853,-0.005481318486351261,0.0019371655320475738,0.04092224179789652
LIPC,0.034227305275067274,-0.022662272305886716,-0.0231026806690238,0.10379703803723966,,0.01869779827713777,-0.030490944512653113
COL8A1,0.02578965662433046,0.12863704479320848,0.03887168984793634,-0.001943507984018002,0.015563923330522023,-0.044606890446047626,-0.01675968128872783
GSTM2,-0.026969340080016373,-0.003884156594528506,0.046872408204088285,0.010561547857515848,0.01847086491267562,0.11464254229771075,0.012495810048716588
SPX,-0.01906002343190294,0.03147592718809205,-0.0059783765028026915,0.014878346365605494,0.004763989281743962,0.03806727615392334,-0.07140511979939475
MFGE8,0.03682442146229977,0.031199237982111397,0.006079473127260363,0.0026595636538224317,0.02430915137238879,0.0325620009305956,0.03775964914985614
TGFA,-0.028634112147998166,-0.010199587222264493,0.06311171195963437,0.054557392379629296,0.0032729114462843063,0.07112705972723227,0.03425486148525428
SLIT2,0.00036621714950309204,0.15068686916117296,0.013185584770984755,-0.030727040004677218,0.024722066242264935,0.015726320945174847,0.06475913147889704
PLTP,0.009385643245460496,0.0401067374704164,0.024618656944981596,0.07301071515078932,-0.06948723053629391,0.0426763436797052,-0.04245877412948079
APOD,-0.0473727670690197,-0.015965672787434017,0.033584258943050234,0.05875940504020373,-0.02237063768862153,-0.05882439009118383,0.0007205193483719131
B2M,0.06887089046766172,0.11067192114792539,-0.004435747479679994,0.09394834803694778,0.03883724306831689,0.039351565758916775,0.0758707647177008
OMG,0.006255820385176395,-0.05993465063509716,0.021681574125379806,-0.005901214675142665,-0.022558233598022354,-0.029660776930989903,-0.0003228044372360543
CXCL3,-0.04972729078526276,0.033586805095339206,-0.026572762367946517,0.14969565048412703,0.02581563813545451,0.04115643746547008,-0.018302261206264672
CXCL10,0.07363409181893354,0.010968010825178294,-0.011759859244903817,0.085926758965979,0.004633353925708552,0.03826286009970184,0.0031092330135536815
RSPO3,,0.004609218020528835,-0.014929407108994437,-0.019832931961402955,-0.01822298182357529,-0.025770851871642363,0.002776406697965358
CORT,-0.023837332390197082,-0.03105935743102409,-0.01599000675296563,-0.03432533221107027,0.06259478269381552,,
NCAN,0.07549106631980075,-0.0017733713477550814,0.026441907478880988,0.02208588509798628,-0.060123808192819636,-0.04356507638846765,-0.0230922759525187
PRG4,0.10286982075105879,-0.026836215575155153,0.1021170575185183,0.07313994168159377,-0.02021021351448648,-0.02903722258324354,0.08648803061016622
ZG16B,,0.00341271363346341,-0.00044837363154553224,-0.018549334593114405,,0.08533154868030168,-0.01668028296204265
TGM2,-0.01094135085299354,0.036101795030103294,0.026010886751359114,0.02870330375119218,-0.013157666894245372,0.01046463901714718,-0.006142055752215834
VEGFC,-0.03848199163359573,0.015991847388013826,0.03173815045978184,0.07748539109295496,-0.023746860586045873,0.05685846184071961,-0.002851713220228687
WNT6,-0.012226480647087395,-0.01724297807810777,-0.00626657384248473,-0.01689497603720738,0.07135362505447435,-0.03880777986257126,-0.017235736745793092
NRG4,0.04958312488366353,-0.016435544894634724,-0.0179327808110928,-0.0034064323639166976,,-0.025770854759940006,-0.025919904466831626
PMCH,,0.051802051868267085,0.0712208032776562,,-0.018755343129064243,-0.04766838842411721,-0.017912574104739412
COL9A1,0.00763976372967697,-0.020877784743890865,-0.018729480720149832,0.07145562452404469,-0.014879196407036334,-0.04618036587615505,-0.035945906916561986
GDF11,-0.05015835421796807,0.055044896935110006,-0.02761147142005317,0.09884681383804739,-0.003729421138747922,0.015595186167971618,0.041445209392190534
RAET1E,,,,,,-0.012522293723016647,
IL24,,,,,-0.013983531890834056,,-0.028977590924017957
SORBS1,-0.009094730816088845,0.047135021047143046,0.041918147479257824,-0.05329741239607489,0.022520108136640432,-0.04434250633331113,0.0022661122978745113
DLL1,-0.027006205099120866,0.00798232167958726,-0.014793883357687136,0.00012368287647652166,-0.07028405878164719,0.054139666825180774,0.0410132305420827
TLN1,0.03587912747440602,0.08302183372892226,0.02144982552732532,0.021975745561262194,-0.06160854171222339,-0.00022837794177683654,0.07247711908379419
COL2A1,-0.004537411231532101,-0.002578288712386831,,0.008294484597118932,0.03342661446205051,0.04119560205248135,0.06322443650349589
SHH,,,0.022214886907143537,0.1085161714949341,-0.03189552199404063,0.01152161397238847,-0.022541218714267987
PON2,0.08772492177199766,0.04250152897228163,-0.010421158311729515,0.07290669263371845,-0.02720650919929799,-0.004669407305730453,-0.02637788020301341
ICAM5,-0.02554686790147119,-0.017477618170011033,-0.011125914457172096,-0.030988109775278272,0.06581603669779341,-0.046985017467855224,-0.02388929279011078
