,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.018276103151080154,,,,,,,,-0.027293821028609888,
BMP1,0.033335656339263,0.10092685918784478,0.08533400907163226,0.03774692679180226,0.03908637260383382,0.017531781357221457,-0.051223061874302554,0.011742671108288782,0.009746642386128296,0.009810682397178699,0.05541238245543177,-0.008110567059393005,-0.05160059402015267,0.08446180877723605,0.10752629096244015,0.1258629327661201
NDP,0.06774590954975435,-0.01235403597715724,0.008868367450255168,0.02461442002210419,-0.00593022102003885,0.04213920690007171,0.0020303422670398075,-0.030452237872497366,0.036862529958389144,0.020431357773789873,0.06818560518585587,0.0350096473162343,0.007372112549861703,-0.006205425390568358,-0.005107014392560174,0.004943698960635964
TNFSF18,0.06619684061206647,-0.004763062846074044,-0.03234159044094367,,,-0.012399100554263343,-0.027139464515702386,-0.013007999416528039,,,,,,,-0.008447133651584981,0.06717805905706611
IL36G,,,,,,,,,,0.08057167883595306,,,,,,
RTN4,-0.11237830327052835,-0.007217320537757537,-0.06231239316296406,0.05724363836112354,0.00904311959352579,-0.03210383279476586,0.05139830464976361,-0.0010499159271421523,-0.0021500837413841894,-0.03703052239925459,0.037146124992457605,-0.019045849584781106,-0.05783203151441038,0.005883170640141459,-0.011349866499274712,-0.04313618924156313
HEBP1,0.08035467503216678,0.05994515306953624,-0.02936216566071412,0.05627377297789673,-0.031195303833947027,-0.0021055973164132795,0.04534361880953639,-0.014203388627342323,-0.02116287671817459,0.033598401219898634,0.011583494859239419,0.01541719639555028,0.03332508871475421,0.033207139284762696,0.015548379137090954,-0.010933000389173612
WNT7B,-0.02854405808936022,-0.04590426854381902,0.03696811530061442,-0.006136899741666392,-0.08154037469487882,0.015510928230218716,0.10193915109479283,0.05166591838628205,-0.025102385416700707,-0.015547032524381027,0.03879761456425658,0.023986095895748908,0.035469371600631974,-0.023652678311191073,-0.029054802550306385,-0.041047496192943886
PTMA,-0.012494855236867058,-0.04285992286649395,0.02299568927024761,-0.014460369215703602,0.07545561981158087,0.06910852750347078,0.0021396917081274156,-0.007197072149941794,-0.01544544262357018,0.018223329195190142,-0.03509945313117767,-0.035256128861983274,0.010772363344435359,0.06674092913326948,0.061968983641457545,0.16675895020430428
FASLG,,,,,,,,,,,,,,,0.044799136779494944,
CEACAM1,,-0.03168336666111357,0.014813056635837417,,0.0018621599347668266,,-0.014539818787748269,0.007030128157130936,,,0.0030228476125224997,-0.03061645714376913,-0.019018338032551582,-0.015698626592605645,-0.01968773428907527,
PDAP1,0.005700124633027518,-0.019472654858512822,0.01805579651786583,-0.028414734781565785,0.040975505675557314,-0.0035814519895868958,-0.04507996451562136,0.03464546165202339,-0.050715436351142174,0.05203504386817752,0.07344003521167493,0.028392238967131084,-0.04431480832630299,-0.024617384215491207,-0.01423238808654032,-0.06330723768821973
QDPR,0.01684861569507445,-0.10001511550826245,0.0036417103184497447,-0.03593061709459147,-0.07230865145283961,0.02247846973596416,-0.034839796620772204,-0.007267547876425229,0.009569877471944018,-0.014263799059965644,-0.021264337212110823,0.051601315115516584,0.0636843027751982,-0.072760617598755,0.014428548520821566,-0.08475304055208084
POMC,0.06111649198658155,-0.01667822639296797,-0.010046591055782006,,0.03560389170219534,-0.02063089420123814,0.11461066771371546,-0.015093453874575797,0.041512775559254596,-0.01814003140700986,-0.030744326448209926,0.0645446116634526,0.009299248356324431,0.034765589767988506,-0.044133510471389026,-0.02221659037034023
CCL18,0.022218483716475966,-0.005598121281226554,,,,,,,-0.011810586681397187,,-0.012453074646585075,0.06794637136823019,0.1418293881549968,0.04227071668668231,,
CCL17,,,,,,,,-0.016223507852106047,,-0.012921898501782013,,-0.021720894465323895,-0.027454164910483473,,0.11167833900326272,
VEGFD,0.11622813227230051,0.04204094668530593,-0.043822955973329386,,0.0032561107050382027,,-0.005866112448471856,-0.01728477541324564,-0.03002550519240543,0.08429730860574094,0.001389397312213209,,-0.019018338032551582,,,
TNFSF13,,0.028327236547915188,,,,-0.012024540939349786,,,,,,-0.04167913395055446,-0.0009028744206242117,-0.017628505501741935,-0.0349606603930278,-0.029975615975327684
WNT5A,-0.010310940847316421,0.012696720350642798,0.07765367034140266,-0.05563742658049275,-0.025120817940925806,0.009087782378687828,-0.07537557281217132,-0.06306442669613105,-0.034186543950821796,0.00011012012512633106,-0.05096921799088778,0.007259569957612515,-0.05887460795540134,0.021278703860252792,0.08448960837807332,0.1417263237280327
CXCL8,-0.05883424398374505,0.04440204261938885,-0.02518006155279633,0.10334814723338549,0.13566223542890316,-0.017104129584653342,-0.03513909496788961,-0.01933552258111079,-0.01063982058737838,-0.02436013927118302,-0.022469811414770342,0.016039150507199822,-0.062366311446796996,0.11234984855919819,-0.023544476790376096,0.09223350135786981
GRN,0.030627897424762823,0.08454589406430842,0.008167837271782986,-0.10389868615695975,0.02856061519255873,-0.021501102149866686,-0.09001326725600879,0.006774905518904182,0.03152398310364877,-0.024398716255127222,-0.0617105286256664,0.04867409957046091,-0.01362113401826127,-0.008187792042283818,0.019620662826313567,0.07116661409029557
MIA,0.07849946464152195,-0.035853991329158626,-0.012283986809381421,0.019556425832764898,0.008761754777520694,0.045928078218151556,-0.0214421668407699,-0.012549989897218113,0.011172681575143995,0.05350678967121547,-0.023655116523500875,0.03889505944714515,0.12041872566012554,0.01453599263750028,-0.022114847689854437,-0.03765089663135951
