,UKF248,UKF266,UKF269,UKF275,UKF296,UKF304,ZH916bulk
IGFL3,,,-0.011161967863661902,,,,
BMP1,-0.03999255749185133,0.025103225861236676,-0.0958488158377638,-0.03304881477897454,0.005957572154838798,-0.07683499114012754,0.06099229564321873
NDP,0.047730464384877366,0.018016090794958865,-0.06633930220264483,0.03239053000610654,-0.051340725989358564,-0.07140933402911695,0.12636291709788486
TNFSF18,-0.03123043499953259,-0.014059734779572461,-0.016575187186080136,-0.012622089446573373,,,-0.03310567881695142
RTN4,0.033639002818682345,0.059405277474696365,0.07944121201377477,0.04831535610520953,0.03819289719420752,0.14805373541243255,0.0824132245893609
HEBP1,-0.0007748753048862905,0.03556357717216605,-0.09471569688864016,0.032933795876967376,-0.03604083439570004,-0.09771638106900704,0.007201300012795158
WNT7B,0.03776589058664682,0.016711627085108677,0.002888888595960924,0.040080703596311926,0.1066726549785618,,0.049132800381645476
PTMA,0.021641092245982478,-0.02651278817196683,0.045835093711997406,0.014294251948017063,-0.051143786240794305,-0.2032759655365009,-0.043584000485515764
CEACAM1,-0.01987731598536212,,-0.021812002284808663,-0.01985153968813039,,,
PDAP1,0.02661121548175075,-0.04369719421397806,-0.07406023501269555,0.0052681292987282495,0.015741585858872656,-0.010940174011583384,-0.03561716223345934
QDPR,0.07190178321967472,0.022581785868819284,0.07439111278342697,0.014622353112709721,0.04499753072535832,-0.1730653398569257,0.154353045757189
POMC,-0.03845106367813536,0.0316373742362681,-0.028116880196950057,0.06132048518097837,0.046806208680203576,-0.009066978323177457,-0.0074162932117022625
CCL18,-0.024805012260868342,,,,,-0.0821908588818219,
CCL17,,,,-0.01574220298520926,-0.022749083600414315,,
VEGFD,-0.024805020137621526,,-0.01869929029991442,-0.01677198578689285,0.05385181366939183,0.009390393772979929,
TNFSF13,0.05336609535450963,-0.026513615366649836,,,,,-0.03601425636920548
WNT5A,-0.01232209009944342,0.02884213629393903,-0.06479982737466994,-0.03002567637988092,-0.010500863368876111,0.056683003847956555,-0.07676727064742812
CXCL8,-0.025298206539653555,0.0010617091479559004,0.012970759055833198,0.03727236849636683,-0.01553940661635938,-0.06593248060069375,-0.08549333294416304
GRN,-0.07131216226245288,-0.007286650975598975,-0.07093113516298873,-0.020340566785426464,-0.010978427637888642,-0.15336967540707308,0.02180559679971243
MIA,-0.02758172345641044,0.033542644779790465,-0.03188519137792486,0.007523617284711779,-0.01897763883416826,,-0.06597266564558471
COL4A4,0.06402605307213614,-0.02522653363881457,-0.010999290830708613,0.0006258788830368132,-0.014008042895709668,,-0.02641406983519975
TAC1,0.05980404452106357,0.08590290114192294,0.11241032286341303,0.04005672964186537,0.024262899071497028,0.13268054628941203,0.039527044450403864
RARRES2,-0.027002168149252593,-0.09520673174838672,-0.09791061335444264,-0.002686146406247331,0.013642916741217061,0.0029222747122552226,-0.05880382420568081
FGF7,,-0.017609160092151698,-0.03134630413406834,-0.037466474725971616,0.038582228419981,-0.025919657808212846,-0.019297069450395398
HBEGF,-0.03224972195098269,-0.01998313734078076,-0.07397516859319056,0.0015866391783095621,0.0097782024707519,-0.01823805595543145,-0.013233944551642682
CSF3,,,-0.011637037988830782,,,,-0.04233985130000856
PI3,0.02542243208169435,,-0.013103458367699997,,,,-0.06212007605238129
