,MGH258,UKF296,UKF304,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.045651296161487435,,,,
BMP1,-0.03626405064099225,0.01515572599415323,0.01909103380459784,0.07369731572251403,0.029419872425242917,-0.03200311165017859,-0.09239225473275092,-0.040101268724221824,-0.062395100222890035,-0.0077959730643525635,0.06890360827361625
NDP,0.05325967384934798,0.01171539973069628,0.016218117041361967,-0.017338998673327697,0.05763487968451531,0.0033757614266291666,-0.028795401297162317,0.04503675419887445,-0.005615013787480876,0.10085251874572433,0.03756542357279454
TNFSF18,0.06324376443291195,,,-0.04324130431715524,,,-0.03646324312530819,,0.0034195417996914896,-0.03543513262131062,
RTN4,0.03126628331735599,-0.012130760168390925,-0.14906212523875234,0.05276657056714177,0.008889610142911956,-0.024463406385312837,0.07651088872831154,-0.006866318598799498,0.06291308808028898,0.025043277303067525,-0.08112506017714555
HEBP1,0.001264256107151308,-0.029077723382148455,0.11553662770387256,0.07873737350132948,-0.07935337076617094,-0.027583934294049508,-0.034663488826126285,-0.028380940672089256,-0.08451548131481913,0.008610334413456412,0.026326177698153565
WNT7B,0.016289325442632695,-0.011246855396774986,,0.08440608801513672,0.05600291886625684,-0.0034692162859445218,-0.03409611240545837,-0.020366673885378588,0.017996935822264453,-0.0034767929258349337,-0.032225649716784856
PTMA,0.06688500348780785,-0.007373214263297316,0.19925014922355105,0.09558559161620697,-0.018595750737747673,-0.06851553916059942,0.12162474292565617,-0.06323123286799491,0.051707557779854155,-0.09142974879968867,0.002110794337556209
FASLG,0.0192598168799197,,,,,,,,,,
CEACAM1,-0.0013601999794729202,,,,-0.04788367083805552,-0.018212106192383466,-0.011235210641475774,-0.01351765766452986,,,
PDAP1,-0.028361576567731108,0.021056739424280938,0.011287135068534968,0.019781432079431966,0.03195455666452445,-0.003965912146648522,-0.024356780498234032,0.028716199168265382,-0.001229495224848172,-0.013820486759754875,-0.06721817963117446
QDPR,0.2142871435324087,0.0036338002521846186,0.14185219275769478,-0.03377215734026477,-0.030659183251456782,-0.005886435170887105,0.09986765605127026,-0.00863158637693807,-0.013992936533610506,0.15336223658452525,0.0002512630396724365
POMC,-0.0014688635023875627,0.009244092178626317,0.06707776208334927,0.08631061489440302,-0.03979730144768337,-0.03371212848513363,0.07390801260352954,-0.005196108416369517,,0.053020330628873215,0.06078668012147875
CCL18,,,0.06734807787034651,,0.011596307744724903,-0.03332793093154643,,0.01598351686586764,,,
CCL17,,-0.013920454173200043,,,,-0.01292060785277828,-0.003314865003378177,,,,
VEGFD,,-0.010210821482018302,0.016630610259942457,,,,0.014511052462288315,,,,
TNFSF13,,,,,,-0.02479270576440791,-0.0031652617642677176,0.08334963950713235,,0.09482795959179273,
WNT5A,-0.05157083578441724,-0.0013174427668547675,-0.006833148685918167,-0.012400810449133562,-0.003922713261454349,0.05401677338250168,-0.03654855335976995,0.05727801205484357,0.07644201422953695,-0.03484907442423321,0.0069390183068744225
CXCL8,,-0.00950876094533376,0.0053525901940094395,,0.03078685552818777,0.020079730859278642,-0.018028641036189445,-0.03098510656879861,0.06899317181617902,-0.11471888047835581,-0.05620003593789425
GRN,0.02256760204772115,0.05081996556152015,0.14162142157652463,0.041372802451490547,-0.03635185495868024,-0.0009259986095545942,-0.07693079975423976,0.027223072268755498,-0.08284340807034839,0.04377695446392514,-0.026982634897859792
MIA,-0.030262324316064796,-0.011612659056814467,,-0.010686836534266976,0.035256445818518806,0.0034742452679393863,-0.11962811490356462,-0.01847581318640766,,-0.001061804046631652,
COL4A4,0.0642264883120185,-0.0041824237374172525,,,-0.04292379960816357,0.021463861930461636,0.015419139506422942,0.029188663209586886,,0.004406382045951321,
TAC1,-0.023120169607329495,0.005662515986419056,-0.03718797519296218,,,,,-0.02332181041532054,-0.013325197464357147,0.028028851949170475,-0.0001142721310050813
RARRES2,-0.14245027992308076,0.044127891775898785,0.060337866968147386,-0.08344035316602814,0.06115110814085301,0.028960472173494817,-0.0031898491251248383,0.008345811304679363,-0.05582755036201866,0.020167507268754933,0.0198641943257531
FGF7,-0.0023508483184839315,-0.03195517829539182,0.029397345543301895,-0.004325107973534084,0.006372751586429463,-0.042638495939040205,0.017034812103789817,0.10364902338875251,0.09784029295737907,0.037276111300719145,0.11045861152308148
HBEGF,0.028148386934857664,-0.014781892176214362,0.049318459947033676,0.017032294553922106,-0.00010554767584173643,0.025829776947072985,0.008266016489719197,0.005712213728985046,0.04625350831510588,-0.06014024082817059,0.027597556487769643
CSF3,,,,,,0.04325141997253522,,-0.019379408756106446,-0.04846869519127623,-0.03365033415698862,
PI3,,,,,,0.04953229715789499,-0.030417922250895544,-0.044788414426304254,,-0.029135810475126776,
