,UKF334,ZH8811Abulk,ZH8812bulk
IGFL3,,,-0.01636014647749378
BMP1,0.0404633143133894,0.07578632600631666,0.030542923822416187
NDP,-0.01211030982102421,0.05363931519911612,-0.018277253049233166
TNFSF18,,,-0.01687193028869577
IL36G,-0.015082913624073224,,
RTN4,-0.05874697698273528,-0.0318256965445342,0.031943977573552766
HEBP1,-0.022305760385016263,0.012929217806088054,0.07589004426296302
WNT7B,-0.016577860248930827,-0.030442281508976925,-0.00514043882123183
PTMA,0.01854125743885263,-0.056049659623311925,0.00945725759787747
CEACAM1,,-0.017058311799635465,-0.024243202371492495
PDAP1,0.0023851585983729667,0.055256908896461454,-0.013993483724805696
QDPR,-0.06028293881303668,0.017737627351507624,0.026264223092385647
POMC,-0.032315304100257465,0.053127209505550915,0.06833721640865599
CCL18,,0.023022306063038497,
CCL17,-0.01377866979936349,-0.012102046576341952,-0.0215699080864018
VEGFD,-0.01476702719535766,,-0.022749595493716388
TNFSF13,,-0.023222009624716603,-0.023130936935062192
WNT5A,-0.003930572332441537,0.011422672665888582,-0.05577405246858254
CXCL8,0.016051619129067777,-0.02724146048925418,-0.030624567574528135
GRN,0.05505591990945925,0.022442513173025792,-0.034032270621557816
MIA,-0.02022412048087085,0.08476850710239113,-0.048658638743934404
COL4A4,-0.019618147163080645,0.09835321220782003,-0.03322669980302306
TAC1,-0.034767462503046694,,
RARRES2,0.07079913372481134,0.015539519851329103,-0.0028068690146025917
FGF7,0.0824408543549464,0.006108700356002847,0.03118649726546902
HBEGF,0.06311687193877025,0.0433803078053657,-0.0017702197477980563
CSF3,,-0.021009086962250557,
PI3,,-0.0198238853533023,0.008841669727945698
PCSK1N,-0.04565018637682607,-0.020335078180146036,-0.034688465184105496
NTS,,0.018489261160544324,
SFRP1,0.013693569800547263,-0.026569080933403596,0.026609206126301084
CXCL13,,-0.027183677877669652,
MICA,-0.005928645407122612,0.052088742496021204,-0.029643987133691273
TG,-0.02069750624944528,-0.016080594214906842,
ADA,-0.0630713803970272,-0.019364230649345216,0.009631602367502014
LAMC3,0.07546215229284214,0.002209432745969703,-0.012222897540998597
CCL7,,-0.018138178288674943,
NGF,,0.01972348434060935,
TNFSF15,,0.007516299843140676,
HMGB1,0.004265106779528107,-0.031076829646375186,0.033227568419265364
ITGB3BP,0.03899978121602573,0.05269192344102449,0.0006651469970009956
AANAT,0.056144876485605025,-0.015912300316924897,-0.0266812842954046
RELN,-0.02046201903727098,,0.014436250458984978
IL15,-0.017141912681813906,0.0969673569309091,-0.0013497480625595778
UTS2,,0.17712119511779198,
BSG,-0.020362217178662316,0.04069239717844392,0.011190406820005102
ADAMTS3,-0.004686520949298321,0.038354330931131775,-0.04134089409039407
CD34,-0.020731136593646223,0.010469184646131738,-0.01859320582174604
PLAT,0.029684996823312118,0.026987225469130766,0.027578561062187545
NTF3,,0.02962584450139326,
LTA,0.062487891011054376,,
CKLF,-0.02501311303184801,0.062080263868738814,-0.05773004001990675
CD24,0.02040005428440915,0.04170688664477115,-0.026161235327791126
HSP90AA1,-0.0516031418561782,-0.028620975073679944,0.03799444704647095
BMP4,-0.014606681900563662,0.013547541259761502,-0.034185347774504035
SCGB3A1,0.1814862697475258,0.006677338823061838,
IGFBP4,0.014318555910051024,-0.044674370727712374,-0.013168498520812696
RSPO4,-0.02377853450757518,,
LEFTY2,-0.02116150238327201,-0.015397259380596794,-0.0489005976967303
ANGPTL2,-0.006628249067789581,0.019317923829701555,0.023022432158351664
LRIG2,0.0064557326288103905,0.03252883999000316,-0.0015383625024110875
ICOSLG,0.04358596878381293,-0.017871880793309397,-0.014947845694513684
WIF1,0.002487153287878818,,
NPPC,0.05227089569257457,-0.02707702926118809,-0.025312757504422034
LYZ,-0.01195352505224502,0.008320942982377294,-0.06600459371591531
EREG,,0.07230670640430359,
SPTAN1,0.017264452415289677,0.04229443923607101,-0.038162465832939356
LIPC,0.024938631249390105,,-0.0310701329651013
COL8A1,0.03354463320033144,0.05891889806386998,0.03738220765048513
GSTM2,0.022729028109648566,0.047940091689329105,-0.02107187247818643
SPX,-0.04667670819793182,-0.018287746875020692,0.004133588726564879
MFGE8,0.0440388998733051,0.0014015914123541365,0.0296427094777924
TGFA,0.0177218134478508,-0.03849796044431967,0.018452183858501187
SLIT2,0.05563100705071519,0.03829565524638076,-0.037633854672040036
PLTP,-0.042220312177087535,0.023879585339810126,-0.021680079641260248
APOD,0.01275090830451606,0.03063762909481826,-0.033206158665441875
B2M,0.04238894781194276,-0.017069687638523685,0.0035626852021515163
OMG,-0.0026068122151636066,0.02717339504283181,0.01566544856996104
CXCL3,-0.012345282821885673,-0.02248217660041362,-0.018788973249896788
CXCL10,-0.0023083835974372475,-0.018729995986290507,0.05544428054870782
RSPO3,-0.012900582616851187,0.004423668440619439,
CORT,-0.02461620126783246,0.04275333438068627,
