,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.04212486751780898,-0.030872596920486498,0.010307563209697682,0.03297100528983991,0.0005245051288690213,0.006833826346515335,-0.014349453539228976,0.00879786909988073,-0.05342173989788223,0.023621072373227442,0.05601753914341692
RARRES2,0.0721335897134769,0.033255883894164784,0.0350487725564256,-0.02565791125076035,-0.0013240458268647787,-0.017912322517594458,-0.036863212302663914,-0.09037203546162205,0.0725686232477051,-0.014925975530290146,0.1213314582841513
SEMA4A,-0.01103165029087121,-0.0294122243077434,0.03140159051510376,0.011958058559447813,0.0597345366180412,-0.029340218024866485,0.08164087710452514,-0.08458840570620092,0.04936580322023698,-0.08621785897200022,-0.0067236566951895714
GDF11,0.05577387074317549,0.0490170845067722,-0.004271087944318763,0.06453194485569219,-0.032615233561346144,0.035480345831129356,-0.04829053497910727,0.17356488386101898,0.06426535747296627,0.020383968076548225,-0.009742891610128101
GPC3,-0.03453996234993622,,0.04595103422639719,0.035170664558313885,-0.011477324121623222,0.021678043868680365,0.037673362736381784,,0.02441490940837764,0.06449087276349678,
OSTN,,,,,,-0.017108040589190455,,,,-0.003309315851799844,
GRN,-0.04068636971354053,-0.01884240217508092,0.023706252873588105,-0.04135196843861398,0.041487820068319456,0.0773728164076199,-0.07091668754731592,0.07686712179726247,-0.035473840286181745,-0.04409351485058377,0.03552479343452248
CALM1,0.10552032032961839,-0.04677291605086016,-0.03002254554869972,0.01383888324627153,0.036519789416937155,-0.08482411610851581,0.07176124962954973,-0.040696600647198024,0.07086748853520852,-0.14112709329481182,-0.006294593215743448
ANGPTL4,0.01880063544660396,0.019460130662566126,-0.030343916241414883,-0.056187000762984836,-0.04115543813497881,-0.016039051135330964,-0.03898176603284147,-0.07498566008782921,-0.06034763368624625,0.07022818917722795,0.0895988131068979
BMP8B,0.08021923426638854,0.08614550999850815,0.054909330977497166,0.030485465636169908,0.01621811643251238,-0.007077376593307716,0.041373674495323705,0.03640625733084272,0.036832979796575,-0.020027290632668372,0.07204627759956195
TNFSF4,-0.017823760263593325,-0.018236885321154958,-0.032328091825462126,-0.04882305684364536,0.02662032678855715,0.2066088962295458,0.06771925865881546,,-0.010845926970092016,0.11774425050530533,-0.011112608754589824
RBP4,-0.0070408989479211126,0.04024859216942697,0.05887644040165765,0.03219793148591934,-0.004131948866694269,-0.02302211695340817,0.10789717642121968,-0.02793701392069792,0.07543362635510219,-0.046477361728037944,0.01923261118546938
DKK3,0.057555344192738965,0.06489099405717946,-0.07744927404765391,0.08435319924844667,0.03425187147615329,0.03301916673185985,-0.015578245886174942,0.06284734909365607,0.02148042318170392,-0.13301613277979116,0.011923101265600365
COL11A1,-0.027805701704184293,-0.03751907127355051,0.08563476554051751,-0.05681179460378471,0.0669193055066977,0.04109324490876607,-0.025705576257979448,,0.04333301301778219,0.112258277958154,-0.05160379452420762
COL5A1,0.007817787486510616,0.060165828590852705,0.03108565475908118,-0.10503514299504549,-0.049847808234962904,0.09419393391578594,0.011154500087610951,0.06034583858303729,-0.06361791110314449,0.047798108262040236,-0.0314103058055852
KISS1,,0.0067452900718952226,,0.006076886691478599,-0.021273784607562282,,0.006611917308089304,,,,
MEGF10,0.0034247666865360677,-0.0646148524284686,0.049910123771744704,0.05577360668881848,0.03340096710203975,-0.04811541177799523,-0.02105667293006534,0.021586642012293933,0.11427052510407308,0.01832585210345826,-0.02374591090487164
CEACAM1,,0.04852541650296547,0.04364688647496256,-0.0039821683424810005,-0.020776410310928445,0.05373153126834492,-0.03960911131745045,,-0.015538536109348931,,
EFEMP2,0.03469939380130167,0.04635875440749114,-0.018122083039821633,-0.006557639792559832,0.012429056903418823,0.036649954008929085,-0.0021782818355641498,0.12023270989450126,0.02884995508757429,0.1265345233043089,0.019020054957518236
IGF1,0.0019410674791742247,-0.026025704195602413,0.07156072937849911,-0.0003369894782806303,0.04576199684129308,0.029455416772466353,-0.03595336759542383,0.2216357756873623,0.02928329231002077,0.020113681072397686,-0.01749673079667671
COL6A3,0.05944733952558351,-0.03173539174345688,-0.0160331286709309,-0.04723588117836304,-0.00974850123193321,0.1574111560795416,-0.04266439914569004,0.001956092484397017,-0.03198750880084821,0.050857798508740136,-0.025017432961089697
RLN2,,0.028932508447428375,,0.08203161378736898,,0.0434249632249243,0.03451599221127097,,-0.00839216948241756,-0.031067151693380587,
WIF1,,,,,,,-0.03847108043907933,0.08041297346872643,,0.045097380953639,0.0025836504686854852
IL13,,-0.010463030432701366,,,,,,,,,
PLAU,0.05558484972166612,-0.05952304124669838,0.09682796341618753,-0.02531556653749933,0.051320916497514565,0.12685564412797448,0.041267871068708,0.0008498157323632016,0.046964797679453746,0.1429026981804891,0.11018709042029094
CXCL12,0.020934275961812885,-0.03713466467866136,0.011914114440803177,0.0046348852386360094,0.011159109762286049,-0.024840808782506656,-0.013850104240092755,-0.036295243336296606,-0.013699532330091085,-0.009705731245587025,0.00046554125687674544
MMP9,-0.0099152695827914,-0.1295745996745851,0.03723088099765016,-0.07005977353748526,-0.0015204996228320034,0.030711299039409022,-0.006878601301372556,,-0.094442098122043,0.014026097951635612,
TNFSF14,0.1204285381732738,-0.04874806124407536,-0.04924718975706433,-0.006189557849073053,-0.035357667648535956,-0.029953010099413122,0.053984448279169414,0.002554766781774437,-0.03159910423925698,0.002530733910656321,-0.00611552368029934
HBEGF,0.02144587299243748,0.12999988275435995,0.022749447614935026,0.03385813564114077,0.0067381973744784,0.0338438175017304,-0.00384495281613249,-0.0095801093697003,-0.04222356635723856,0.06389909533485147,-0.006807764347971801
NUCB2,0.019023856212974387,0.07833801153650198,0.0313111625682834,-0.016902169905200125,-0.03171206459202526,0.015977748819667965,-0.04353929443273728,0.03862626591312262,0.004443332859350341,-0.06909580641579566,0.10825212321434029
VCAN,-0.17956272078482535,0.0777333380377708,0.05113266505787764,0.07863954642718471,-0.05898666223342098,-0.005869978640460052,-0.026728190856010425,0.0036954362916829073,-0.06989693927627795,0.0297004327288645,0.07632487579745612
VEGFC,0.037451188587796364,-0.04496380732055793,0.0491231779763982,0.024799151935144693,0.02980084973252309,-0.025513961732144517,-0.017549152598678796,,0.031688783775387246,0.012160097787826469,
LMAN1,-0.07679062207835843,-0.026307102208189,0.004760699206042532,-0.015614253483704195,-0.031228517678159703,0.027655841468483704,-0.037149597756929706,-0.02284165940828146,-0.009034984787290359,-0.0843345699768823,0.10805920573804506
IRAK4,-0.04636860176989884,0.05394619639558877,0.07409609565192181,-0.012818037103654253,0.014159615232467582,0.04069469508067924,0.016494485641575095,0.030003041600165828,0.08409395215258762,0.0515748940935193,0.13179787741311064
MICB,-0.053094138589602616,-0.10236242003578007,0.020075685850770384,-0.0008892308984547507,0.02878966471118124,-0.03377184277263105,-0.04681117669227389,,0.039456817968552556,0.04289546069633343,0.16484395271913577
COL1A2,0.002485717303132372,-0.041406657451447344,-0.003566513296976854,-0.04201279357605803,-0.033252662261344754,0.05252460508211729,-0.012769298342776786,0.13305965470117173,-0.10773081344018547,0.03522759166275587,0.12948780775273197
ICOSLG,0.045768971506050235,-0.061790190686727905,-0.03086838708582704,-0.018289974280514053,0.01765001394944513,0.039424390298615504,-0.011641935040392532,0.03187817059782767,0.10703660304378355,0.0004980015666075975,0.0458829987015454
GNAS,-0.05604124885398085,0.034501134410253126,0.025587128577349613,-0.05659934614548028,-0.04566854944930149,0.05788309264543658,0.044722786276618916,0.07064171468303547,0.08687320613385503,-0.10521419205721771,-0.06818199608163948
C4B,0.07850738495811525,-0.041495507337979166,,,,0.11254422985513654,-0.002723391357951481,0.027679717379349194,0.0026767122075280047,,
COL2A1,,,,-0.04003517196404128,-0.027240146295405044,,0.014874587622357075,,0.1132087746997541,-0.01937309599421928,
GSTM2,0.019075483866299148,0.017139436069136784,0.07408903218303964,0.0190283305765463,-0.011884959490402223,-0.008920707052237435,-0.031115496687354714,-0.041798667364993984,0.061942980313470564,0.005872454703425104,
NLGN1,-0.007712102983994811,0.04589454810699076,0.03815164164486026,-0.01583066907372315,0.02893447505471818,-0.032059733567247534,0.03846344691227096,0.003999084922445886,0.04830660153334348,0.060116849803087784,-0.04753628143311382
SCGB3A2,-0.022821418443844096,,,-0.0023256405812042513,-0.032263008914896515,,-0.055025298352122255,,0.022096288618408223,-0.02901804083801212,
LEFTY2,-0.03203086041183698,-0.0008251862821911049,-0.04025718412290679,-0.020513767126307442,0.19286468779718755,0.04514403721920965,-0.029980691283530463,0.09596293866021693,0.0261343840526034,0.02088245652233414,
ACE,0.0021064963504137347,0.08079360200431353,0.06539088529697877,0.0633482145090968,0.09014060442972137,0.05578764279014587,0.03463616324647682,,0.010600650999442528,-0.017767615607659645,-0.009966897436938916
RPH3A,0.0004754393048129384,0.10322692288776927,0.12631589653758912,-0.011550594347460023,0.05870441455939927,0.028065158501510788,0.11462175120193895,-0.04616863242970227,0.07847161565683579,-0.061861724636081514,-0.06869901592182863
NCAM1,-0.011836098548845346,0.027644529408885423,-0.05282239129999974,0.011381949493123192,-0.024169642149217463,-0.005766944138211062,0.07632931754791374,-0.06203073423573672,0.06684730973749235,-0.11113711685421904,0.04117545680308554
EFNB2,0.03396246349801101,0.0631993265716576,0.041450448201244536,0.020838456983597018,0.014896155729325589,0.030933360356030604,-0.009533942671055196,-0.0007044061291243734,-0.028555376990690735,0.0273417758851742,-0.02158822218637435
ICAM5,,,,0.0006365955140274704,0.017672168793360393,,0.03912551665667338,-0.05728052188133232,0.020547698523197124,-0.03280615670289304,-0.03971505358095847
CCL5,0.059582257069954014,0.05337151256499105,0.14354794176465052,-0.02758040948795126,0.02950480452158077,-0.03475315973120863,0.03629607590370746,0.15114047877338288,0.07452626344594948,-0.030504018427105088,
