,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.016337613202752333,,,,,,,,,,,0.1030434027944625,
BMP1,0.0259922782797692,-0.00207261025188735,-0.045818727547185446,0.04119617605303811,0.03788543253504892,0.014674011042252235,0.011443448179439203,0.13327629894102253,0.08888628333668333,0.06480659748510129,0.0050412360520986155,0.13470340026678143,0.018153504468327936,-0.014050537868775458,0.048249666235742304,0.0558556018290473,0.05288557084508208
NDP,0.04349951264212116,-0.0032585541955653793,-0.05241899726815906,-0.02444143236423049,0.05677728709866107,-0.008303944215145508,0.01697337364292869,0.0786862220731148,0.020684135291852816,0.051080151524005114,0.029864730847561163,0.044678625999179794,0.003354684652530556,0.06872015234323144,0.009675859308831553,-0.004647636212018505,0.016176311797821818
TNFSF18,-0.043759041475789955,,,,-0.008757238651231122,0.09543497602767113,,,,,0.0156694155163996,,,,,-0.04030309231146951,0.09048594347376679
IL36G,,,,,,,,,-0.018536725983958564,,,,,,,,
RTN4,0.005120294236415634,0.003773809460592315,-0.022087479037599653,-0.002531965603610788,-0.09510842459224804,-0.05576950374862891,-0.05597382763934807,-0.06859018695823826,-0.06786408604936194,0.06685370933848918,0.0643784732891713,0.0029074960796587578,0.025668739245474758,-0.10074310618247517,0.07636933781547546,0.046892208742036444,-0.13951059251633346
HEBP1,-0.03528597932577467,0.016386076603196294,0.01908530720285662,0.0042008075568430135,0.021450357346317738,-0.0034393640597270275,0.03444393572643193,0.03981623328594922,-0.03329057131052498,0.02308669074105963,0.00965745504573966,-0.0183207396876401,0.03488807628984579,-0.005164181272116902,0.04510841718778414,-0.010925324643303097,0.06068551731022765
WNT7B,0.017984998613162138,-0.03010097470856139,-0.030349438869651735,-0.041291635826111804,-0.029655472097258127,-0.036229773028791004,-0.010405330283180142,0.016422084643750858,-0.0040806360391076055,0.05389064287537812,,-0.036909172349521534,0.05118550756141203,0.07304214756698936,-0.004166303668181152,0.02356785505376042,-0.031229919398762494
PTMA,0.0020864749320568554,-0.019512881657417932,-0.02050899398189287,-0.001455735639322858,-0.019312654231850777,-0.07735934283067582,0.026508280852739503,0.14452931093281304,0.09788158978019937,-0.09650712924126266,-0.012617257861068324,0.003099658416069441,-0.04568032454156573,-0.07419952395718732,-0.042773069624245076,-0.019702649896935893,0.02725122120230847
FASLG,,,,,,,,,,,,,,,,-0.02072232542005794,
CEACAM1,0.010685856918690124,,-0.002043147175587403,0.008759238568942975,-0.008005806297921383,0.022412960775660216,,,,-0.0011217078900204126,-0.04583115866665503,0.03753252775879118,-0.022267311972879192,-0.0006676920895522148,-0.014279548438501436,-0.028832072266400773,
PDAP1,0.00015409852330994345,-0.023226297281313757,-0.007859816719422066,-0.016830401842396907,0.060428995312304085,0.030888418012207434,-0.028233987008785096,0.1038929264770801,0.030219894992858876,0.005240900467106317,-0.04224362970522068,-0.011756035976117652,-0.0017978267149920762,0.0013922799781048835,0.06484873581551757,0.0056507465634070666,0.023771755182159685
QDPR,0.04035432199469167,0.022279292685923102,-0.0024273072367003196,-0.004251822316403049,-0.12090565601319435,0.014792949657554398,-0.026149209811480847,0.09831706097155132,-0.07850920780505892,0.07333447012971799,0.017671253263310004,-0.07719130695363123,0.04700750237742011,0.04275007840331165,0.03352202106574058,0.032176454564809186,-0.08892211337537258
POMC,0.0013833855962066299,,0.031042110483715853,-0.02483528768530449,-0.04115427662369152,0.014139168266943655,-0.027986209835437512,-0.0062671347997794846,0.005177994399316164,-0.07754575334366705,0.01641392527439242,0.08352768848825765,-0.053465340397558146,-0.02165246078868954,0.060528925341777735,0.023347268232778048,-0.0010769593690892517
CCL18,0.030929143215673072,,,,,,,0.0632760381792024,,0.04210264607573186,,-0.03262355898142117,0.004697329770687338,0.08648685869478302,-0.0415019117111914,,
CCL17,,,-0.025440227903140336,,,-0.004103041446813755,0.07476413323664927,,-0.016933825443818405,,,,-0.015797580076562998,0.013890735129528618,,-0.018782460469588164,
VEGFD,-0.023007339500817167,,0.05237515532633244,0.031402874072100205,-0.027369884577481178,-0.020103243815197812,-0.009446815686227945,0.10938093511634624,-0.018148505225218298,-0.0054875817652883215,0.017700453979737008,,,0.17971871207036927,,,
TNFSF13,0.014078072436436335,,-0.01754809983847316,,,,,,,,,,-0.014839095942883804,-0.03233412353732421,-0.016034975844898516,0.03739956004855343,0.018431301775889825
WNT5A,-0.0395867033385924,0.006138630644141206,0.003997734719964104,0.05333742756394016,0.05744459967908461,0.07519889290313328,0.005784098174661808,0.016180679796228236,-0.014452359732145982,0.08208182147441503,-0.05367253012906088,0.06648396310537741,-0.023342780878559413,-0.009297842943024385,-0.019910198597008186,0.03907653865306323,0.04431791323141247
CXCL8,-0.024285215225461298,-0.02519480080487585,0.05880662388474335,0.019244716897432165,0.003679619846615114,0.04595173088420514,-0.00879728552821737,-0.05180057134138681,0.06662003807833872,-0.0710671316546974,0.08028953510331709,-0.05743891194539727,-0.031812856522942884,-0.007604842625888252,-0.027032663722055397,0.014093371813054027,0.024197505726975297
GRN,0.024292969558898665,0.020120366268029127,-0.0029269806800348726,0.04596912605375934,0.1009395821728499,0.09906463313592312,-0.02401046541424502,0.053314025355492005,0.05260425951462267,0.07424541617015348,0.11580289464785883,0.056742454849562016,-0.0005287376567295881,0.016641824004415193,0.008132908955600667,0.04390474024283498,0.041110073621051194
