,UKF260,UKF275,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,0.06727907224919152,,0.03779232800267942,,
BMP1,0.045474407960299425,-0.007907773938774725,0.000264148168238398,0.06792903529746905,-0.02346391857469871,-0.0003395443953898179,0.0036467809976605437,0.026245456256535595,-0.12551516048726039
NDP,-0.0021188061290522663,-0.0019092102173534284,0.011780730685852829,0.06266237443302525,-0.04618326920613088,-0.03862762179890948,0.019852178638743435,0.0004764225938106673,-0.00032476517015301274
TNFSF18,,-0.010647508132151661,-0.01681651481549133,,-0.018559376325188972,,0.06266771163921946,0.12175864609175417,
RTN4,-0.008676143380689304,0.008681777917791397,-0.009049220544122142,-0.11077554494511221,-0.008684205934303203,-0.04764708961464285,0.019230639789817237,-0.008434671888805055,-0.03485801887696316
HEBP1,0.08139382524829519,-0.029175975475600205,0.05861504033275627,-0.05948451172678111,-0.015891782727700157,-0.002222209052187812,0.006019600432883483,0.09606586374576762,0.030667865702824718
WNT7B,0.04635142719525261,-0.0013760974060115603,,0.17621284682541807,0.08512877264235985,0.041516291747649384,-0.0269584360342641,0.104382858388214,0.02759053107839714
PTMA,0.009350854286529577,0.0025931025594077965,-0.0013649202935980286,-0.07125664291942789,0.01666530993584178,0.026982806156524652,-0.05690805670219721,-0.03942444712863246,-0.06412908823097369
FASLG,,,,,,,0.05331679995752339,,
CEACAM1,0.06964946026907223,0.00014385820085282175,-0.029222894900890917,0.023248871580100774,-0.02666788615418254,-0.015527903345740262,-0.03168024441377628,,
PDAP1,-0.005818293736080264,0.013839680500202504,-0.008459198854444275,0.00966126472857967,-0.04981547836053335,0.02165822363855605,0.008851568927056568,0.0233924902345849,-0.1825693589151304
QDPR,-0.059453923224071586,-0.012269573667278702,-0.000691725864786672,-0.11108814112173379,0.029258316750489403,-0.06612154605326238,0.07829555301170651,0.050365870276015225,0.04806352321056803
POMC,-0.033393694631131995,-0.012354526451439238,-0.07644896774420909,-0.019967824881749786,0.032824449028626766,0.05320013003327856,0.02968988068489624,-0.0285200412516695,-0.06763758692457537
CCL18,,,,-0.019372873056472305,,-0.046291322897226525,,,
CCL17,,0.06881110530122464,,,-0.002398821951317833,,-0.020637883148692755,,
VEGFD,-0.015877456141959644,-0.014148200724940533,-0.039727885232274114,,-0.02502489619084029,,,,
TNFSF13,,,,,0.05503729704561545,0.02460331910656835,0.04076403857545271,-0.026444435395783682,
WNT5A,-0.009850722964925377,0.05027684024328591,-0.02811532781071095,0.027953493664178278,0.0637462996337426,0.022163689777532282,-0.026676795452318748,0.026022015171794997,0.1158713583101366
CXCL8,0.029632388342721406,-0.04641675001011645,0.012686905574628565,-0.03410899314369034,-0.03368748357102082,-0.048468499628863536,0.009890945347563494,-0.02298510292416283,0.09236608438244787
GRN,-0.03619444219173162,0.008593725355662284,0.01778954336367894,0.06580320977073607,-0.059463589290924684,0.037887577979850706,0.03404232814617145,-0.05256587405576812,-0.04387701749067204
MIA,-0.00964164474776814,-0.0261010636643053,-0.024312724956655308,0.009314111215621446,-0.01157126249128644,0.08498332131894872,0.03047055816756918,0.026850073599129123,
COL4A4,0.07695511444269325,-0.013864225185990047,-0.031107716547036403,-0.024493364660945476,-0.007661577161654604,0.058267562019643344,-0.00899034187866424,-0.029555660714268704,
TAC1,-0.03782838531990956,0.015382899429902007,,,,-0.026790056899208433,0.018645190145785556,0.05098472575221732,0.04882152469343853
RARRES2,0.041754843387217015,0.00480901537959623,-0.04851107455171685,0.05164493883517447,0.03596256311854582,-0.014999439557783418,0.026499641545157205,0.017541929091662196,0.028704041370582516
FGF7,-0.030400710903464787,-0.013300702637955254,0.007803194558221239,0.08403492130432173,0.009100458126762292,-0.021008564503040318,0.08609133163192005,0.048621696583331396,-0.007347546815734445
HBEGF,0.051469788443029546,-0.02382451075535025,-0.021392676486725163,0.04767596062292589,0.006430411164116469,-0.007820768818633176,-0.0023064791365411097,0.03235883183530212,-0.063471108958682
CSF3,0.050834672397212004,,,,,-0.02226137053699971,0.07482971110566027,0.04984063412770811,
PI3,0.008606984166950535,,,,-0.020160145210962575,0.024810305754425357,-0.020070520183751866,0.03701868646692893,
PCSK1N,-0.02008644182272038,-0.04519715449304472,-0.051463970013234134,-0.036422651841592005,0.04095198169672419,-0.032618726808778274,0.049514117359727224,-0.004934178454076379,-0.022123373788062024
NTS,0.0930958252974126,0.01878037156544372,,,,-0.026949557825929945,-0.01858112204091503,,
SFRP1,-0.01811342785048577,0.02109004647629535,-0.05934706005931617,-0.06811877745360355,0.016532260652848844,0.07882053246352676,-0.005486554519090418,0.011562658027539911,0.05350642923840274
CXCL13,-0.01795063831887186,,,,,0.028625910078907246,,-0.02521754277505676,
MICA,0.02439067372283707,0.005090571623635217,-0.019621996106692123,0.009290399696514556,-0.01903780097564981,0.07312224115014844,-0.004965836547396135,8.288751825418687e-05,0.031646889034563086
TG,0.041672394521164814,-0.013378609471042123,0.01669386015917149,-0.031543566672126766,,-0.018321450033100258,0.02845564050901626,0.14125592825418548,
