,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.017405940736480073,,,,,,,-0.018219039638952696,,-0.025949298374246633,
BMP1,-0.01811782612940416,-0.029218752589233624,-0.0831123849996145,-0.020650361834214932,0.024577210148614196,-0.015954487954826676,-0.023559616851406662,0.08814596178714532,-0.046207778594815035,0.06915747050737404,0.001921749159331384,-0.06980764320564656,-0.0481870125947554,0.07100273947054449,0.055231560138084605
NDP,-0.10630873933681359,-0.034610318819110836,-0.05551998443690764,0.08786330260579449,0.014875602539304823,-0.01884962472406828,0.04657802029674055,0.09189261148328987,0.04789444450731375,-0.013661962941104751,-0.04494877296483788,-0.007985085020986844,0.060863675611755735,-0.07074229686261785,-0.012459444295573977
TNFSF18,-0.039488908676748216,,,,0.06392603896871449,-0.015882542521870806,,-0.023342037793471552,,,,-0.018788973994717198,,0.025145764076636285,-0.025607140024933202
RTN4,-0.0719480311446729,-0.007250750280644323,-0.07615253517647451,-0.0006314762547302823,-0.025636096241406985,-0.038268496287839966,0.07500394846215304,0.022978433718406178,0.02546980112802015,-0.05093222044280057,0.048275985021979224,-0.008673423924673488,-0.00960084914619568,0.0013517079783630192,-0.04354041765676645
HEBP1,-0.013091956438027404,0.08138834650530848,0.03292031609976963,0.00896095906490835,-0.025769076139971703,0.010162150001230903,-0.01787397506886517,-0.017903227861623495,-0.08531671029224897,0.03665694452511283,0.08356675986713846,0.04515881941999942,-0.0674032294598253,0.0005845016459219842,0.00863901183582405
WNT7B,0.00780023524187465,-0.0019042905976256138,0.07648539845154673,0.03704971082349843,-0.014260883605403096,-0.004303995087153668,-0.010917752008973007,-0.0256973053014463,0.10708112310346869,-0.03348586495366844,-0.03314195196157891,-0.03928926461139921,-0.02313555420047153,0.04476942254707183,-0.0085627572031961
PTMA,-0.012899910501367509,-0.08378446465814893,0.09450398239911559,-0.004634582193593319,0.00013177071717408528,-0.024682019983582486,-0.08738712886797508,0.06944686577264354,-0.044587903002982474,0.022117963210813694,0.00968682021894841,0.01878886258356742,-0.024417982881518654,0.06310466915241586,0.054118850359287034
FASLG,,,,,,,,,,,,,,-0.022505817627253042,
CEACAM1,0.028044976752683394,,-0.023524291050734267,-0.020874927950706678,0.04449963318217213,0.019482496086046415,,,-0.06059330688141882,-0.018763781718913578,0.008875328415572118,-0.026997794034973467,0.08068112334559221,0.03832018960875779,
PDAP1,-0.032317084987867076,-0.0638632143183326,-0.07193539758749018,-0.02698656748251861,0.02387206255228659,0.025416524691786162,0.0030932616167068665,0.016671530956069654,-0.023801337882418557,0.03371083984774744,-0.04242655191094023,0.03345449667633927,-0.012051904434753135,-0.0014364016281201448,-0.05454279352370939
