,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.01572652031737008,,,,,,,,,,,0.004070716779717724,,,-0.026852059087778046,
BMP1,-0.03927731435283242,0.020105677792869144,0.01847691064859754,-0.08830483997948681,-0.004144890445742423,-0.0057686518163540465,0.07156836582528792,-0.0008496309511361857,-0.02060291664253643,0.05355603707008918,-0.08860805911456816,0.14021093742256377,-2.829755039949602e-05,-0.09611511667874179,0.07570171144650296,-0.051125944662830956,-0.03199120304369798,0.01956455623719811,0.020141728689144038,-0.029073009783990487,0.047311324622499935,0.004128914505287856
NDP,0.025560576552638617,-0.01052720953973073,0.005721877410466183,0.029205543548870522,-0.01418070256467083,0.015820291019885354,0.08210499733652254,-0.005091932462591795,0.0342221083768714,0.06189622606472568,-0.00743861897841064,0.05041727419943651,0.05752525134810974,-0.03231282318131282,0.09702544111859282,0.02182962279972222,0.055071631959570384,-0.011393730795441164,-0.015668347409043635,0.061588818734790496,0.03838577766319821,5.4160147063894974e-05
TNFSF18,-0.03042735656143046,0.01770707620810793,-0.012523316699056288,,,0.017424398664182137,-0.019362436662919705,0.019972906215659957,,,,-0.0270503054374062,,0.09372028922405494,,,,-0.03136438579544693,,0.030363353327593726,0.013421615886332996,-0.04108902432257378
IL36G,,,,,,,,,,,-0.014899815277598526,,,,,,,,,,,
RTN4,-0.035433632271380855,0.015579581540337555,-0.0062732453526018386,0.011354728863126842,-0.019342646486471878,0.03785839266282051,-0.0916576577708019,-0.0126255482413854,-0.06769650551459566,-0.038235250250341885,0.013958713425433741,0.018027411917115727,0.061616102498916914,0.012572949171687053,0.030617101248403687,0.07537028615340259,-0.08356560036525432,-0.03466213266621287,0.03620435966020149,0.01859072326916,-0.010571880807613614,-0.10738959660498061
HEBP1,0.025179643953254584,-0.007937055193879498,-0.043957217952198036,0.05253897563121694,-0.0011249722007023021,-0.01086825357882763,0.04519800959408684,-0.013429780964955965,-0.07666428596713334,0.027246852862221515,-0.017989114425724567,-0.03328982621554543,0.0780057353347271,-0.00819423905863578,0.04326808114115201,0.0012799881104260554,0.003472623477675556,0.04518113332555447,0.01890906165053488,-0.00850940554727892,0.03928871862215964,0.04866282146298216
WNT7B,0.0048294645045087676,0.03295390171627613,-0.015095617516080016,-0.003395920014653621,0.026564335486605632,0.06729932582303771,-0.053967776094703296,-0.026556468424500344,-0.027292982601635728,,0.10750724703705439,0.020148955411756115,0.0025372528312318037,,-0.032611237482066034,0.0010355079195358476,0.012548994555331172,0.13643099963552327,-0.005678900384099851,-0.03314012972699581,0.021375792122430737,0.0344153809179891
PTMA,-0.04136885209375465,-0.016178228227095047,0.029623085774830176,0.0043771063694565526,-0.06900034078265482,-0.057444496372593475,-0.04441618272773566,0.04216347009132061,0.00666870537566427,0.05623802062469118,-0.11570412280990511,-0.03174653507592005,-0.05766340212558778,0.07675287366881985,0.019346468612920484,-0.07777316589865775,-0.017509975647397,0.004525826837176643,0.04082102352755093,-0.009719592361247921,-0.04102042368493823,0.031924865986866426
FASLG,,,,,,,,,,,,,,,,,,,,,-0.023288781686117567,
CEACAM1,,0.023682249053543658,0.010762517930980738,0.003536626717886879,-0.02629979331929312,,-0.025479863846469497,-0.01847024375214668,,,,,-0.018770322841161455,0.013083902603706635,0.007906151388611421,0.047980421057819425,-0.023340006851452193,0.05660326152473808,0.010019482831192883,,0.07581900861760076,
PDAP1,0.007499512886646449,-0.06918840287304055,0.0008418525302539628,-0.014159173050856096,-0.0018443726929976158,0.019534944324253015,0.11094373338665674,0.0160450447450604,-0.07839308363198262,-0.054074149962936885,-0.00931726507454397,0.048846478491630776,0.02546135371348472,0.07781069350728273,0.04374963168767061,0.026237725312074005,-0.09377168588733378,-0.058373567582167586,0.04347652114882309,0.08490758765267778,0.05266102816576497,0.007400791500037906
QDPR,0.07032857339036587,0.012307021169492354,0.004562634284111104,-0.023906004844989722,0.018959426707667915,0.014421997259043069,-0.05270711155517572,0.018324965361246826,-0.034040471801681634,0.13296627218296928,-0.015042481265832491,-0.007838727936295482,-0.04758782389274604,0.09966887559981437,0.027777742339361953,0.0036144098732836666,0.11146735667351187,-0.01028107628879871,-0.028682114707373862,0.03449847757882686,0.04775754338325106,-0.052522729380235826
POMC,0.09167178293943715,0.04851299764352042,0.03715095458881897,-0.00361849227184656,-0.03774861191298036,-0.038705484875585665,-0.02028634333200189,0.010085249183879335,0.0325494423630753,-0.030962429989416507,-0.03192301393046292,0.03171307786428369,0.0087044571801982,0.043983941098964655,-0.02388710153667256,0.02425806258976814,0.014003771205171314,0.07653107429191432,-0.008673475512811018,,-0.03269052977834415,0.10913010400980475
CCL18,0.006225126794169143,-0.014059593417214028,,,,,,,,0.0051464773221747565,,,-0.08208919723358478,,-0.03631652677267343,0.04509799283915141,0.03233323638726837,,-0.02685787913962538,,,
CCL17,,,,-0.029866355953222477,,,,0.03163693069426966,0.03224596427134582,,-0.013611404261698563,,,,,-0.017371469100864775,-0.033692765162488425,0.09394799700772073,,,-0.021108664811381437,
VEGFD,-0.005557526009775163,0.0778033516557815,-0.0185516061919422,0.08232430687283035,0.03628483886131863,,0.08465071061550457,-0.00892631234183444,0.009860279434055676,-0.02241636992998549,0.008645161370133844,,-0.06916141499341578,0.055582098574513815,,,0.04781443783475602,-0.029249482088332068,,,,
TNFSF13,,-0.025692257538688656,,-0.020601143907748986,,0.017377443442399026,,,,,,,,,,0.02121965364627177,-0.02570736125104128,0.004550080513722374,-0.016649344685109417,,0.05685466494095315,-0.044698997537424914
WNT5A,0.02713975104265281,-0.021153608847426193,0.05581146061597064,0.08543296533892675,-0.0059786067130077275,0.05249510527593302,0.01526175928102039,-0.017833757908356312,-0.02226423297854981,-0.05083214929866952,-0.019222318577108405,-0.04315140884342704,0.06894316407551564,-0.06464470241980787,0.001011197098848865,0.039914250004946784,-0.06298854295255849,0.03781059469040612,0.009024084797870513,0.025743951302182596,-0.03982244455807689,-0.05794822428007337
