,MGH258,UKF248,UKF251,UKF259,UKF275,UKF296,UKF304,UKF313,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.00020405088631265798,
BMP1,-0.055415865137079814,0.07568294398479691,0.03446730763811643,0.006499699650682155,-0.0557127932873758,0.07149408826182656,-0.05956969469530066,-0.0032219802468738696,0.06977067585977377,0.23472573748316358,0.11503684334409374
NDP,-0.02883563010299152,-0.005562724802196168,-0.005751092823343485,0.047082545058014874,0.03663376998191627,-0.011834871229560414,0.04663307878387385,-0.03210110880384382,0.027635767715220475,-0.04614570861069843,0.01782188433168499
TNFSF18,0.07785323101823298,0.0021360170946501376,0.05108576041144706,,0.02159153537656331,,,,,0.11022248352082734,0.006836459949369833
RTN4,0.071146002729988,-0.0016672026575413263,0.03923337179740263,-0.005614125470918584,-0.002459415319913734,-0.05410442946683769,-0.09290045658937417,0.00958152606581323,-0.02498494676576471,-0.08803936793517966,0.024634614906859788
HEBP1,0.033552001694957326,0.06750720773548761,0.03237810674509893,-0.013862406398284734,-0.015785474627537915,0.017537305624911476,0.0709680076682956,0.055892675904478745,0.013258946923742817,0.02815616277918434,-0.0020153386286480435
WNT7B,0.10337347485750784,0.02473804234563281,0.07430368206062668,-0.03698162807043038,-0.056112806115852225,-0.013741240200368477,,-0.028752552078554924,-0.03250134650430308,0.051329806606543696,0.04226122350543087
PTMA,0.04596825485828804,0.019904568040437283,0.008344576576725096,-0.03832888841341655,0.01870918643417095,0.08079788590360965,0.08385170941846953,0.10323461021376489,-0.004571523118242251,0.18649345831454078,0.03427246105442532
FASLG,0.08758435370031445,,,,,,,,,0.07702705613148192,
CEACAM1,-0.04046015316957122,0.03776217673636642,-0.015011359215364171,0.04353111574179325,-0.007473376885779218,,,,0.12737481803402081,0.09266783184333892,
PDAP1,-0.04035254286949497,-0.08089335768908848,-0.05210512896291753,0.0362895479622747,0.014602806540853521,0.02124591363930658,-0.020922654073346383,-0.0029232535521591203,0.049536149913114606,-0.08412161654937578,-0.06491531874692248
QDPR,0.12481189979552591,-0.012791337502818733,0.009841943713860787,-0.04588477258761891,0.10981221302001289,-0.030234186158089885,0.07788729977719924,0.03975261369336588,0.016101118225748744,-0.06581149966707081,0.025216626940747694
POMC,0.01596740146922218,0.043512928776036505,0.01297344790028542,0.037428738670045245,-0.027985602031716326,0.06434877634198696,0.043894996681454294,-0.03092502545520439,-0.00403458051372985,0.05272058929645555,0.05251642526285626
CCL18,,-0.028663082678989222,,,,,0.10066923496686835,0.038170133351529016,-0.03332793327587566,,
CCL17,,,,0.010956977003776167,-0.01127115070484003,0.18436332423479357,,,0.12046595850444901,0.009215774082539626,
VEGFD,,0.017961281300052836,-0.03019753127044925,0.03635336992042576,0.019649420070131797,-0.012475429413605634,-0.0192035348248698,0.05149559249993013,,,
TNFSF13,,-0.02163008885105722,,0.0529788191826923,,,,,0.01207017291276281,0.02425167006636283,0.056238433125120404
WNT5A,-0.04028367332769985,0.04161865976224488,0.03718326300060533,0.016297883383053165,-0.027134011913194003,0.007883389763823459,-0.05241529029670511,0.04768123106897637,0.046764341734884675,0.16699465840214184,0.04339145731954386
CXCL8,,-0.050930209954894244,0.050941375410917436,-0.04299176135142214,0.0015877390800440284,-0.01161766231965436,-0.04375843477476868,-0.0006988415567602874,0.022617607005037184,-0.03312037253479321,-0.06779679906399279
GRN,0.07241808047517971,0.11875429391852742,-0.055782669667390525,-0.014326001006570829,0.019689060070440627,0.028084582045691104,0.08817566344870259,0.030444617827065295,0.03663802801760948,0.23864317113426362,0.05858488402294951
MIA,0.09700901154723393,-0.05710676801216641,-0.03468544438930888,0.007981294266311577,-0.03336994772066049,-0.014188173657005415,,-0.02833628523399933,-0.05643135053397188,-0.044225918019854524,0.041815175766170914
COL4A4,0.0848460963532835,0.030785342604896394,-0.04617639652631138,0.03259879466799029,0.02351880748790317,-0.02383500339574874,,,-0.034139902821518076,0.052186131909165705,0.021880397513847308
TAC1,-0.029139269815694462,-0.02003665201504819,0.010798920141461653,0.05952277596324357,-0.004064296530609677,-0.0017549873624356368,-0.05430111007796844,,,0.011232596999860942,-0.015214831205232617
RARRES2,-0.08643814285303288,0.006416219785652433,-0.019159116047324492,0.05756326571425203,0.059995104024818176,0.025867387260651332,-0.018176146349267952,-0.01987683686433571,0.02064814022435183,-0.06505768856035196,-0.03320887739138343
FGF7,0.10201774656550158,,-0.013978407809274083,0.02759639388234393,-0.02057177461843418,-0.03001746389170383,-0.04458258794363332,0.025279231147893395,-0.04017839857575832,-0.03185206613344756,-0.008221908751465376
HBEGF,0.05117046026074783,0.07173127632710957,-0.04939230063613403,-0.03615865089692248,0.047962652290695615,-0.03203809891083819,-0.015628272414461863,0.00414772709374081,0.0541449636919824,0.08048136372491153,0.11093325234780534
CSF3,,,,-0.029501379672808636,,,,0.03196094354845706,0.05884461183315337,0.045289062746719136,0.02172811842201754
PI3,,-0.030154771464143255,,-0.02514166353006818,,,,,0.022470670077501774,-0.06902925234776236,-0.05585615638446253
PCSK1N,-0.03817187216742048,-0.015709677371239517,0.010995983920789569,0.013060746394384074,-0.006250387820022517,-0.041623501812137975,-0.07615749407893342,0.04318461819396618,0.0618720434324384,-0.15204985333210297,-0.015108718679964401
NTS,,,,,-0.020165564074129817,0.002531302271560335,-0.017289350038127697,,0.047596908361000376,-0.06255902953007453,
SFRP1,0.09989467342541872,0.06043592832158503,0.028627041020207206,-0.021596457348562553,-0.015551809532078336,-0.017007803485532855,0.10569873430228106,0.0013771636796141705,0.03759584580336049,0.06340458697987741,0.006508555729902763
CXCL13,,,-0.04535025819036192,,,,,0.04876780908755225,0.1913489325858955,,0.068674370442489
MICA,0.020994771494524375,0.04302277080891702,0.0514907643911042,-0.015532411093062503,0.027467421973186128,-0.003692404715753352,-0.007831636722430254,0.025877682140023815,0.029484676109918378,0.13710020090284686,0.005106893358343402
TG,0.022736731117383772,0.0546009269414415,-0.03702755615034217,0.002241646044776624,0.07342511661771535,-0.012308473400076925,,-0.04459727544174644,-0.017168258706879793,0.09299063198803277,0.011193105863466977
