,MGH258,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01300330117433074,,,,,,-0.03679907311781871,,,-0.0009167790070201714,
BMP1,0.050217018641419545,0.04699307328031528,-0.025858882977882306,0.060307626813321774,-0.07917898956006218,0.04782516083675515,0.05510595597969162,-0.007667637538085161,0.11425776341894946,0.07226241302470109,-0.10312095420414158,-0.08271409303414695,0.25354501144884894,-0.08963686508716848,-0.017324281200079585,0.20350947957598264,0.09573012032027137
NDP,-0.010661092536245517,0.03105022210931863,0.010657618650321008,0.04579916471515626,-0.08737652421942704,0.012672748513818576,0.06435884427894804,0.02286093467044855,0.06815655192953453,0.10296579617896533,-0.002158197703117934,0.09850280776221026,0.12796063384806092,0.08167843017482779,0.08620542401094075,-0.01570869870004708,-0.019821142594808955
TNFSF18,0.010786354508830111,0.0007550683612649318,0.08679747100635124,,,-0.024870230768570235,0.03571317782856816,,0.10607938137266938,,,,0.06167302351369503,,0.037384180343463906,0.0488915976552009,-0.06608782307344913
IL36G,,,,,,,,-0.012934684873627525,,,,,,,,,
RTN4,-0.1335619140458063,0.041955469450804986,-0.0007023958893853553,-0.026890823946793447,-0.00981464931065358,0.059463365763955146,-0.09447894474271641,0.060059556650341635,-0.14249237919934796,0.07257608749137075,0.11762663971267863,0.04297484065739022,-0.2699431822535888,0.17070376438196508,0.018660020854835455,0.15157081235789227,-0.03721124918932397
HEBP1,0.0009857605019741311,-0.0031087221190259735,0.032499563518686506,0.03393753857236224,0.03935188598227828,-0.026045740273379716,0.028777214229855356,0.005694093494913232,0.026059349297763264,-0.036760457941578305,0.11315546103013377,0.06642104664235988,0.03506241088687286,0.10804946254640757,-0.04377551815109753,-0.03113482936973064,0.018101181346685275
WNT7B,-0.03873369365981816,0.013193206707493351,-0.014775008726025376,0.04238018940303458,0.08775853508263598,0.05085229452017046,-0.03024308939171223,0.05685649783907883,-0.017289432541403867,0.04084017932368865,-0.06306344284099578,0.0871847720021025,0.0710568647192903,0.10534281630985354,0.03393976723645062,0.12287538883132623,0.004221015222313345
PTMA,-0.11992124813077341,0.044814118570179355,-0.032665770973203605,0.019469218873754735,0.06200821171539701,-0.038471241420393654,-0.03439009758296821,-0.06531099707175494,-0.03014133344964194,-0.003586995114338548,-0.005981444841176142,-0.04414352990704514,-0.232171413689257,-0.048033852691224836,-0.004207716312082717,0.0385726608147638,0.12047621002890423
FASLG,-0.038733704609734125,,,,,,,,,,,,,,,0.0023814439521362214,
