,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.014337209791207515,,,,,,,,0.1004448106632173,
BMP1,0.015312817995962754,0.01387632152802052,-0.006007667549743525,-0.035880339496857254,0.04712114452334623,0.07124147147136715,0.06694268783154747,0.030860853573366036,-0.008139467647579599,-0.0198047092082859,-0.04627290309817168,0.00013707404232867363,0.0214003855365292,0.015517178769776914
NDP,-0.029177807375865922,-0.016386002153781127,0.051884643023037434,-0.03368796857372931,-0.035808553739004316,0.027312586588088352,-0.03571804366467174,-0.027225081086948676,0.03921677512089988,0.07201774322539195,-0.031411971720797044,0.04790407220673452,0.10764488190582984,0.10733166131878304
TNFSF18,0.062200334801438203,,,-0.013633038587399494,-0.021290326125110556,-0.011674763952453069,,,,,,,0.011653390027299192,0.01563856791677679
IL36G,,,,,,,,,-0.014337271819978119,,,,,
RTN4,-0.0016937776950973818,0.0297156946959002,0.021247949440284054,0.046053469364696335,-0.09170106847629021,0.04120918298317886,-0.009118664508887913,-0.05746042390723064,-0.0354572355738541,0.009587120188791196,0.011991938780687408,-0.04062167958186024,0.021781574192267113,-0.010715967907456384
HEBP1,0.057148036595956075,-0.013867386178386931,0.057614727150803666,0.029723612731339024,0.0011985812341335758,0.0374411951070622,0.03341927703313408,-0.0014472870773509375,0.013226801978027067,0.01676730433676635,0.07389511039990296,-0.042378492017315555,0.0471489009982616,-0.008382826116489578
WNT7B,-0.045354407623179493,0.0453878521907115,-0.03352933656269661,0.016042144825176883,-0.032347768877285576,0.0025242559046106863,0.08227106619884261,0.03458719860942658,-0.01575831397742529,0.036191494276681495,0.048468111617489616,-0.0013845323224691854,0.12478037494614073,0.02414128595802041
PTMA,-0.019443710244438556,0.024717225518898517,-0.006203738656599728,-0.026527503079198992,0.009920804119691668,-0.03894937236033083,-0.005202139249449005,0.07517031217963287,-0.010211528510055417,-0.05661986469309084,-0.013008806576084865,0.002671626781347583,-0.06126836311152677,-0.029461719237909627
FASLG,,,,,,,,,,,,,-0.012541847328104736,
CEACAM1,-0.019506065603297224,0.008054984493633998,-0.016207972920821247,,0.05583167660623456,-0.01836162237105636,,,,-0.022267307316371485,-0.019381577153916044,-0.013517655829360117,-0.017450138494981234,
PDAP1,0.014271202083060309,0.040456576128075336,-0.04274934484538046,-0.01823936444396178,0.04856605721559965,0.024358275653770585,-0.009213510039607466,0.015655362198352125,-0.012368507403854001,-0.06276309537999052,-0.006056435893397668,0.002948226694683771,-0.03700751992162861,-0.027717184374771248
QDPR,-0.018413244410447976,0.031022708449779998,-0.024490393875592292,-0.004639988156177913,-0.07956184051245617,0.0015359802210443043,-0.01021501218436237,0.10213901341523869,0.06317858653631704,-0.017046586279016968,0.05553813058802332,0.01904175867381813,0.03843614487917574,0.057748100214596906
POMC,-0.014095209949532788,0.005797389623693834,0.060045648548899364,-0.014104434035749732,-0.013221308103302484,0.06951138135653089,0.06835820491614791,-0.022929642443966603,0.10661913651420986,-0.028262215924689808,0.019078027506879505,0.012933381504437885,0.009428879246249997,-0.06068286120436386
CCL18,-0.02434172686128253,,,,,,,0.11945828339696099,,0.053956005706258775,0.0034496104035611893,-0.009784347204182418,,
CCL17,,-0.00012005602698499469,,,,-0.014560703655432758,0.014952805148106292,,-0.013097504842558975,-0.01579757677299616,-0.02797852338611948,,-0.011367775907414475,
