,UKF243,UKF248,UKF259,UKF266,UKF296,UKF304,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.02802366411381058,
BMP1,0.017843607007087262,0.15811623378411052,0.018252228204039617,-0.020642277287641456,-0.045377021722216665,0.0513997105986727,0.059241810856786245,0.08219245337682793,0.12553043795479601,-0.017643603277784456,0.11662922158873898,0.29343153146896306,0.3245210309615733
NDP,0.06116453567147743,-0.004304701449617966,0.012004228737759125,0.026600774925065004,0.003971453831201754,0.04687209060244039,0.06886112106981758,-0.09040329377574657,0.05904099725807589,-0.003766398652881914,-0.08108325617526359,-0.050140237856907126,0.04095200503615994
TNFSF18,0.11534485356440696,0.019456637158128506,,-0.013291554494541244,,,0.0698956764549644,-0.11527489636749863,,,,0.0966842325205433,0.07820190606768902
RTN4,-0.0830474287970962,-0.05617849084965048,0.02630897039888559,0.004061912804532424,0.005499188563462868,-0.03820987804368469,0.012656506518782178,0.1413293289250474,-0.0991618505745996,-0.1072828690752722,0.005796020722198902,-0.09738897592394336,-0.2527126763627434
HEBP1,-0.0274708522545866,0.017703204614263467,-0.08876958871852973,-0.046898843525876255,0.002554892885483815,0.0387592826350332,0.007712745464744169,0.02069231480908012,-0.08136192746567629,-0.005359057507511904,0.046000169368135925,0.008672848146906609,0.04072467677943806
WNT7B,-0.029397240146682817,-0.0077173294338517395,0.035130092253338525,0.07348652852057141,-0.021877220041753218,,-0.0038343223020933567,,0.03797208462194068,0.028533354455455916,-0.02538893722333239,0.04145342472002002,-0.022136212749889674
PTMA,-0.056417784175255475,-0.01929700127120413,-0.007976064898976974,-0.12323187289661866,0.04341155857047931,0.04953403564178661,0.051177085540582444,-0.051165241993000835,-0.19970787411362154,-0.04362173097926033,-0.0033996868784824416,0.17219470512442095,0.15448140148656891
FASLG,,,,,,,,,,,,0.0863818913457259,
CEACAM1,,-0.029163039466506308,-0.04184050771487534,,,,,-0.028631507249638914,0.02167245977139899,-0.02845386923117007,-0.02383051124827344,0.03478217028072189,
PDAP1,-0.03225127601746766,-0.017854812857807264,-0.004478583921491519,-0.024878257173338997,-0.009369974036282903,0.09817363355261755,0.041305220978805464,0.08100698787604287,-0.011536572918951018,-0.04651556622994963,-0.07810891343664965,-0.11104802809957753,-0.06187114265725733
QDPR,-0.0029576590952527983,-0.13514594064514548,-8.453560138263336e-05,0.042660648549044035,0.011483154035447134,-0.06924128965204435,0.02793094859814221,0.0019804909150279424,-0.23021584198583414,0.01867315293186879,0.0013957497029525492,-0.029483673011312588,-0.2332414012277026
POMC,-0.00022968484875194518,0.09549141822264014,-0.034910948175026865,0.05970103861849731,0.08670684051471024,-0.016975390196494817,0.019041180949767575,0.06436568179058415,0.029069785422332177,-0.0612287074226335,-0.001587972562214162,0.1120815959134198,0.08218426144673266
CCL18,-0.04186058810021122,-0.036392717812786614,,,,-0.0007898637708376459,,,0.01042314277964415,0.042828968416573514,0.009399432644461454,,
CCL17,,,0.0846837528054361,,-0.02707786561526929,,,,,-0.020186643013532086,,0.03251849745786484,
VEGFD,-0.02264323867970139,0.0011020383620607313,0.00815930609155173,,-0.01986194189295171,-0.02958020906513375,,-0.02731847052476163,,,,,
TNFSF13,,-0.027463121417817652,-0.02487581703618287,-0.012890035085025196,,,,,,0.04071273741493601,0.14827686030561643,0.02399531666381229,0.03252536201303716
WNT5A,0.03793425545673866,0.009880592072458635,0.07497351979415044,-0.013143227771903297,0.006757264763814305,-0.03750386167803869,0.05222705431288159,0.024739384978327672,0.13322790455514427,0.03530490712533356,0.03864588317607415,0.2322712499356102,0.19839977221352664
CXCL8,-0.019203878320686426,-0.04267607761849043,-0.08573531149454577,-0.018335238871657153,-0.01849630391666162,0.055847161734146576,,0.034666271706761835,-0.07008214052583817,-0.05535086126119028,-0.03601910714231107,-0.07279738948848705,0.09820273233744782
GRN,0.12076591926366773,0.2179282415216052,0.006008241987068157,0.03726924442474399,0.009466745918402476,0.0756542895597032,0.03628744546918401,0.029985335083578233,0.06516976662957533,-0.01016443996875188,0.0789642584220813,0.3387609002447393,0.17830749260112833
MIA,-0.05186832285168421,-0.05057321399844248,-0.04469701257212314,-0.006666659556336476,-0.022588776017217902,,0.003260469329022997,0.049364518028092566,0.02247958327629681,0.09226582505439872,-0.028209288251270007,-0.0011921553344231713,0.17756673685456
COL4A4,0.0036592571101004443,0.008647075889756384,0.009831351677074667,-0.012264298896291019,0.09063881718111141,,,-0.03187889713012246,0.06675483246072769,0.033465556498431984,0.024997660804269763,0.14099073882477026,0.16701893984227717
TAC1,-0.00992260795735465,-0.07336185935285615,0.06406939241718147,0.051519615068838856,-0.0012937644626152237,-0.014645807984725279,,,,,-0.022934908110703225,0.12633935277693142,-0.15169866522583433
RARRES2,-0.019509540409778845,-0.08502676065849513,0.0705843234182526,-0.03287986339690351,-0.038702319306398586,0.10052572873144916,-0.05305774112574195,-0.12028218365748244,-0.03584268447680667,0.012397568499825177,0.030849146335855174,0.018350949910024072,-0.08946674531113351
FGF7,0.026530370302752158,,-0.05773094321007805,-0.035151543126162865,0.02572179275018907,-0.013730781856307231,0.0547946319085385,-0.02273063286703792,0.043149132789651684,0.03065858712472634,0.05022591022800862,0.019445643273726696,0.033225741477807075
HBEGF,0.03118469142331838,0.20033803113809368,-0.024383837582633724,-0.05575925604822675,0.022117430716328264,0.05799152556942603,0.01080457639218676,-0.00676940069639162,0.1138677490429389,-0.011960844010455877,0.019293792485985024,0.10192122089594507,0.2355343839063778
CSF3,0.006556432037891816,,-0.0011272142983711445,,,,,,,-0.02163409567365967,-0.03416429309044389,-0.0021374099547327215,0.04654157086156959
PI3,-0.05624644299951478,-0.02075599985515505,-0.08505314622979487,,,,,,,-0.0725113956529762,-0.0653675657660352,-0.17244529146849732,-0.09936714570049725
PCSK1N,0.08213476286367974,-0.07563772917133393,0.07969939520659075,0.02566288206256989,-0.029274271854934517,0.015346335574281873,0.05652138125761971,0.02708682625477652,-0.029143964297830297,0.049126979515844695,-0.03821768050989395,-0.07960845510879615,-0.176399161247401
