,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.05508664479825803,-0.00313211051205212,0.003557604110437403,0.09729613075919222,-0.007067673493619282,-0.16964395217690004,-0.05057443018102619,0.02420587461072131,-0.031051329333607554,0.16041379239658163,0.12100433246353545,-0.01161805379810093,0.054011519859794285,0.06722238318918505,0.10953241971865327
RARRES2,0.038225070976718255,-0.011827247231652509,0.1126815534995148,-0.13717476132997958,-0.09473819984443704,-0.29874660798831737,0.08922626798647983,0.024064210503139397,-0.057586753681248846,-0.17459358227037028,-0.14282486248101214,-0.022394176079073968,0.005037148947952773,-0.059555179366329376,0.019419719846636055
SEMA4A,0.019525115805319196,0.13460077927949565,0.02606850975385396,0.0726589338783388,0.11924424695736917,0.22469890391802028,0.02553529436618508,-0.028781723220672434,0.09518056346040625,0.0173539903195606,0.15573250900923324,-0.011164302270624593,-0.008716476614449957,0.045839685441760716,0.10902593560555211
GDF11,0.05272483088313472,0.05652502065805367,-0.010914713255939507,0.04529598237131236,0.006163178095488173,-0.17397334853773264,-0.007005358299289356,0.01990463553429791,0.013249575532004017,0.08678896226121245,-0.06260340844711526,0.038794912722419805,0.041022152169729806,0.05004381244936419,0.04581489486096578
GPC3,-0.030580875991711897,0.0027697596013482317,0.13409418748992413,-0.04617261130032378,-0.04325946884271069,-0.04176159458635389,0.0809244621070755,-0.02653007790914866,0.0002243224191662355,0.0912349813811428,,-0.01605919913812189,0.013522515543820841,-0.06834960268212778,
OSTN,,,0.05041621756664811,-0.02392588300234612,,0.05289228662773644,0.036825561009480805,-0.004896177794371091,,,,,,-0.01859092529379963,
GRN,-0.07877162216601104,0.030383732727099336,0.017397411355376795,-0.08189701987500742,-0.08441443489027269,-0.342949228296367,0.008964409923572433,-0.03413200114496278,-0.22230130395032613,-0.03703719801038218,0.08610825393931282,-0.022337437742791864,0.0799171156263763,0.07105260540711171,-0.12489035576224872
CALM1,0.13168214880902535,0.09568367797671141,0.0200840351671834,0.25143482665398514,0.08941396892887567,0.39304840529866036,0.029768948928121642,0.002704251597919329,0.41992656686086843,0.11072261891085336,0.3153097224276419,0.028762892981683184,-0.04470347251835305,0.21920170924574886,0.24142879618603197
ANGPTL4,-0.14091781470799866,-0.07142182136933699,-0.05370536343212952,-0.11817571680569137,-0.013484355911084267,0.055934463748813903,0.008962381490342888,-0.012331201390137946,-0.12016528044411001,-0.1539945680023027,-0.18194602938056378,-0.04619472962034897,-0.02241398086952332,-0.16116498061990617,-0.10294196266951547
BMP8B,-0.001724160254726445,0.02864029975418112,-0.020346439118056926,-0.06131879333451396,-0.024394225489288428,-0.04487218809096919,0.025642711689622285,0.005100345686365359,-0.11035758120735613,0.014248443930600712,-0.10259497067937597,-0.013169718366642125,-0.062171040063365025,0.014354576510318467,0.00948842824094565
