,UKF243,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,-0.03667512542805209,,,,,,0.01812284894883072,
BMP1,0.017280707974151464,0.013145682101177008,0.05563978903773711,0.07673927493422582,0.20699135167033925,-0.005302838034385265,0.031563758415983904,-0.03648665190221403,-0.0770239893093341,0.13327613936203672,-0.04182142028478064,0.03408689786821904
NDP,0.019402822195571878,-0.04701666893833994,0.015844759606559223,-0.03521507025872708,-0.016690894947745432,0.05321748706845867,0.070565173539375,0.06291927545301379,0.06290257453641092,0.02192529533438936,0.2994825259244296,0.11581818676078069
TNFSF18,-0.022337908708684948,-0.02339533706842779,,,0.14303051746500897,-0.009303263249337846,,,-0.016681856787536694,,0.04711864647759039,0.029076194666160328
RTN4,-0.006593068514919774,-0.05785487964246955,0.04366457965574874,0.005969503161776696,-0.1876137335487733,0.006566476071237017,-0.08955588590856368,0.002713862652479222,-0.014902591104009938,-0.04584645375588383,-0.06275252868313956,-0.1358756978361339
HEBP1,0.06312522768266327,0.01699191572962219,0.01180314297426237,0.017434824143878088,0.1298556094225897,0.02483127690233839,0.07498190203975087,0.0400625505216005,-0.03415494956956403,0.029713479772711552,0.18857433253382674,0.07632328719547976
WNT7B,0.05043872576358288,-0.014532458160550456,0.03586448912835279,-0.027840608387774985,-0.06652737558423585,-0.041569511658165935,-0.07284358284840561,,,-0.004722220560595385,-0.0774420622231117,0.15989571375522973
PTMA,0.012864955658587347,-0.02999534866430473,-0.0702674325087843,0.04239009145431327,-0.19589209664138937,-0.027388284327172614,0.005402099813547076,0.011713426424734824,0.023653027957937185,-0.13461832190082484,-0.17810752351185508,0.008134016170131125
FASLG,,,,,,,,,,,-0.0023125237347491586,
CEACAM1,,-0.01115278756972103,0.014215307823800415,0.01525903359594885,0.004618182314216984,0.0441973868537894,,,-0.05324584501353349,0.009505621823412748,0.04799271049906536,
PDAP1,0.007117137176364418,-0.005148597785290585,0.032033372799796456,0.033058355849314346,0.1597649137521303,0.04331412644794379,-0.051217796972660184,0.04867739815114545,0.027961980789962485,-0.007107250459610648,0.07170023252897505,-0.04770889427458516
QDPR,-0.03211162845880116,-0.04193858329992498,-0.04591592324760384,-0.05652797901071575,-0.16663207283346707,0.024519104876878674,0.007003971274896295,0.014756540208319627,-0.009300083396098387,-0.16754550142081098,0.10533029612609045,-0.04001406961259874
POMC,0.015287936881529109,-0.019816724166695193,0.014690204991935674,-0.06297948249725333,-0.007508476941925723,0.017153249860677452,-0.0004946336032308131,-0.057176182705545066,0.09176510087939561,0.07659079626840512,0.019794364039789795,0.08787752990306741
CCL18,-0.011115137003391439,,,,,,,0.01454880430358144,,-0.035600883171473946,,
CCL17,,,-0.039483296841666904,,,0.03553134231807469,0.03807788444612711,,,,0.04170853614074672,
VEGFD,0.13865084947811487,-0.015974130616924834,0.022793354094234986,-0.018815566506333474,0.09603717804808201,0.022869927381554647,-0.08155412763540691,-0.020426082706423935,-0.04627187955838362,,,
TNFSF13,,,-0.02723469449910537,,,,,,,,0.038068752550790376,-0.006232612104252029
WNT5A,0.020274880349594574,0.005578944919161515,0.03320295968312447,0.06396005451079298,0.1533631926201642,0.04669848773356712,0.08879435506453996,-0.05019054012664414,0.022749283653413298,0.05178169632969234,-0.05504811039642729,0.03349766064870288
CXCL8,-0.06718767615122466,-0.014957229092771038,-0.020724403258006643,-0.046137662873966694,0.13645842978455733,-0.020846945726540014,0.07826880169942532,0.051564051374241374,-0.001589867066303894,0.031602738668069785,-0.03407445822332415,-0.020197172477795906
GRN,-0.019873973899864006,0.022341369129722673,0.029714728228975282,0.12071901455523758,0.1486122344070346,0.10508498627320204,0.05090133120752981,0.05318600142160619,-0.01392132096720179,0.08613764192900068,-0.18066405160038962,-0.11147202828163377
MIA,0.060588541239927754,-0.014206274654636305,-0.017433861501969287,0.031102253483445415,0.07858127753769702,0.01129620237541781,-0.023868306687195685,,-0.046259519498674816,0.05192993317385501,0.1298599263665457,0.0492700137909718
