,UKF243,UKF248,UKF251,UKF260,UKF266,ZH1007nec,ZH1019T1,ZH916T1
IGFL3,,,,,,,,-0.015954302335568656
BMP1,0.10415426486147286,0.001539459948649208,0.04218373701464342,-0.011634185233757486,0.023003870540443054,-0.004407345272775399,0.060529390842514554,-0.014474700982426016
NDP,0.05477703401317665,0.06339975268988715,0.012209190685745828,0.0456363778747022,0.02914232799275014,0.009940805722573066,-0.08639200921500693,-0.0053564910690336925
TNFSF18,-0.03140815520066362,0.07079849555935913,-0.0018682769239646475,,-0.01294157858074851,,-0.005689761234623847,0.01927444374582946
RTN4,-0.10115775405376465,0.010816751319470878,0.046254760308030864,0.06842019465375426,-0.0012845183457620187,0.014693505840845405,0.06518041169724799,-0.01562805359561631
HEBP1,-0.02606244373047843,0.012143280538157507,0.005074356565763332,0.061017915283671585,0.022325436747207834,0.051197337165673935,-0.0007857022914151862,0.07173629055015693
WNT7B,-0.01840652687498409,0.002040972494066661,-0.01680714023359558,-0.06034948437937389,0.013699873697481544,-0.05820473102883687,,0.018865075152773747
PTMA,-0.0606766310113178,0.07994483450589589,0.008621257668746045,-0.08489531761512846,-0.030148409239094,-0.06967085967277643,0.012698799501097343,-0.07216843252000997
FASLG,,,,,,,,-0.013837160972749805
CEACAM1,,-0.016475534126869973,-0.012898469247869,-0.014989606036165165,,-0.01641859135750669,-0.003599494592038793,0.02381088530020664
PDAP1,0.03476376336368027,0.033101033481784406,0.02587129349087668,-0.006266880866651863,0.02165452518980927,-0.04199290626209531,0.11482784375979939,0.03276159737237392
QDPR,-0.018940306957305947,0.028346423116022087,-0.018922860435783277,-0.010043228747036366,0.058054109255626624,-0.04765608181096956,0.023776341299442668,0.023276939790708006
POMC,-0.0074265942341544145,-0.030310789536070245,-0.02291852199817467,0.03043599876989638,-0.03414249448833195,-0.04210315592537737,0.06977675915875586,-0.050059830010466703
CCL18,-0.04212091863535919,-0.02055990991551967,,,,-0.03758160950568947,,
CCL17,,,,,,,,-0.012541832237150276
VEGFD,-0.047457963999713186,-0.0037429630309096205,-0.018474469385863276,0.011507726512082723,,0.1201662424947752,-0.022895016931919882,
TNFSF13,,-0.015515172712682735,,,0.10316950322008554,,,0.019795800781999263
WNT5A,-0.029673539394552053,0.03240855973392088,-0.0052912289757379065,-0.036760853304903515,-0.0007470658042992381,0.057816083737239767,-0.03610562367818699,-0.004575078846020454
CXCL8,-0.0593448794857545,-0.05965005074948505,0.0013778955783865362,-0.036344777977572656,-0.017852459225277062,-0.024062259048869366,0.00724993523505146,0.07092819820317833
GRN,0.03353099878404669,0.03472438730452817,0.033205685798404834,-0.04610769928552173,0.00989729732386852,-0.023520986916488063,0.098593596643402,-0.03119569627407009
MIA,-0.0036570602809679388,-0.040962447027977016,-0.016429901099980396,-0.02464488500626037,0.025426498230893737,-0.013665759597497794,0.0019355185622987154,0.10444747415026447
COL4A4,0.024676760399454847,-0.02469228476408197,-0.027630200061062014,-0.034949262528630363,-0.011941371339922839,,-0.006682104982973131,0.03247994430662757
TAC1,-0.05983411621356776,-0.002674342781579154,0.03447284267584399,0.10446713261278322,0.018821745878502143,,,-0.016487513782913698
RARRES2,0.010516478657541229,0.003884016301538392,0.020379288597853887,-0.022219702009211986,0.004726563954010963,0.07359093273019712,0.03953857896227218,0.04986397180216651
FGF7,0.0803124681305845,,-0.0208518547778781,0.01382438978780011,0.09630407696163444,0.05244883988014556,-0.12157821078449627,0.0784418993651575
HBEGF,-0.016720767611515048,0.051280666999111726,0.020521586996448255,-0.02975467628491145,0.10778102498379488,-0.006365255504059257,-0.04806397313799789,0.03202223207806499
CSF3,-0.02253682425084561,,,0.033687688554038565,,,,-0.013204614539733848
PI3,-0.013151067869325597,-0.021629892072994972,,-0.0025013184063596666,,0.01984187656374299,,-0.014368513559578102
PCSK1N,-0.009411695551318582,0.020075954095819273,0.006241215102429577,0.06312038682179907,0.03274350396800264,-0.036099437557775366,-0.005965655053519889,-0.004970553438523967
NTS,,,,-0.009868772654994588,-0.014577701228823698,,,-0.019554233536030755
SFRP1,-0.0013460060028008594,0.047604731130518,0.05180178569148419,-0.01636083290526695,0.015268748939499874,-0.09409939468112691,-0.0017287253423436274,0.0025491223730222177
CXCL13,,,-0.020750014549483827,-0.016213794346500148,,,,
MICA,0.020826218767594874,0.028591365969754284,0.03772050124118345,0.07923866478961024,-0.01919151570572626,-0.08061910886979061,-0.08646602554901525,0.05491294053542297
TG,0.009863446303998788,-0.02054807048924646,0.15294511679351755,-0.003984485304748634,-0.016826510093623636,-0.059382137537281166,0.004503686444104494,-0.025751517032078643
ADA,-0.023887947242216975,0.03341679146321399,0.03610203712938447,-0.03122091166456626,-0.010478845815641447,0.09520319347770564,-0.025692557166234385,0.06930832202956919
LAMC3,-0.000129966115755783,0.11157370048292502,0.02646558749296404,-0.03330939028896353,-0.013457795937332302,-0.042841878944657526,0.09169934706782339,-0.04519500562801898
CCL7,,-0.013077839561513383,,-0.021496497797513347,,,,-0.013837156052420526
NGF,-0.027524354298270163,-0.02245400109355594,,0.008057106361073645,0.007335892264813198,,-0.10160774023644253,0.043225898953556954
TNFSF15,0.04978616771347277,,,-0.01591593402257766,0.03636471020092164,,-0.03125099813903364,-0.03656016196097119
HMGB1,-0.004640053061620464,-0.005339157470370804,0.004605610043380973,-0.006783435357806355,-0.03411073014340975,0.029085181591151792,-0.0194524637040723,-0.01150026650503236
ITGB3BP,-0.027635176509583952,0.02674981976353513,0.0007328927374632563,0.02982993106987048,-0.0011939282004175763,0.06140684485795134,0.030002615472594866,0.062497554635682295
AANAT,-0.025578081368987673,-0.0012557047558114844,,-0.014341208418799852,,-0.028936208055367375,,-0.014640288143008343
RELN,-0.022201086508750162,-0.03135134387069545,0.021754347645193458,0.075389035668314,0.003193013049011989,,0.08001574737644138,
IL15,-0.023291171923538648,-0.016287858593311003,-0.02234482450065251,-0.019504801820776473,0.0908144758086422,-0.039356372048853235,-0.05092130111437888,0.0509069845996936
UTS2,,,,,,0.0008450346389820915,,
BSG,0.026665301749964555,0.02363472384045104,-0.017788749552495656,0.0376599206760934,-0.003811671400585683,0.02089097266404797,0.003588946290313349,0.07718250092584797
ADAMTS3,0.02109252152589658,-0.01948662972835137,0.04739575984131137,-0.013926225885600262,-0.005435395373110493,0.03134831729190925,,-0.02859549596702013
CD34,-0.05695648278520905,0.056665539447167165,0.09714872195574611,0.03506409224392038,0.014837688237293211,0.04825533595197281,0.06715345488065097,-0.0024938044708808322
PLAT,0.040394267879132625,0.09916747602158235,0.09742841124614818,-0.022508288995630076,-0.019527914181952166,0.054548269190065196,-0.014365116805655323,-0.050416067855371643
LTA,,,0.03728830313583739,,,,,-0.01970362149611363
CKLF,-0.022982813901494835,0.07621184347155012,-0.011851393681745275,0.03301316678169887,-0.022088925526190867,0.018411959978330894,0.02548811806368369,-0.000697777135460547
CD24,0.05445549739194062,0.033769153066609374,-0.03692157653568466,-0.019901797147435365,0.033985599403040107,-0.02719267559792614,0.03892063399661571,0.0046723150482842245
HSP90AA1,-0.0030944185005557347,-0.008031072351571673,-0.02766772417485765,0.011168269021365477,0.08318415211716818,-0.018041821200252658,0.06670810791776499,-0.0579085841461887
BMP4,0.014783760225720711,0.07908440783118474,-0.013673134914190293,0.027286225672034852,0.02346630292204846,0.07462600273282448,0.0510921395371927,0.04997703547672122
SCGB3A1,,-0.013077838253746902,,0.048038424299128385,-0.017709228606752943,-0.04233984287361985,-0.04783264953589377,-0.029012816773764796
IGFBP4,-0.017108210691364898,0.021592408917040458,-0.05185114923858822,-0.05941401386703917,-0.023762033178370154,0.04267920390544091,0.01472897601797459,-0.04441545636690343
RSPO4,0.07276949931654647,,-0.020851850819154794,-0.01971149078314085,,,-0.00039108655362537993,-0.02598701423857383
LEFTY2,0.006067862647279251,0.05821399292499995,-0.013056883414780045,0.1313924186216462,0.028990137176084174,0.16953341079613357,,-0.03544719845565949
PF4,,-0.013566157888152802,0.015186185788833295,,,,,-0.01970361693654947
ANGPTL2,-0.003700404371217304,0.04495547748766147,-0.031515047214566265,-0.04635861227951211,-0.02929984476913359,0.08831380603895306,0.015345340573831594,0.004371586652986361
LRIG2,0.12577979225895206,0.01550336941716595,0.011187281850616093,-0.03562511207765766,0.05879808597446992,0.03829560696730842,-0.04417007557983131,0.07815916654761497
ICOSLG,-0.048552339779439076,0.0347450548959281,0.012694916817037143,-0.02551817698670352,-0.007074376614016941,-0.04948699426286648,-0.07485768134152948,0.04612537634366258
WIF1,-0.060501955205636296,-0.02441009915172575,,0.01952940390119074,-0.016291085180884648,,,
NPPC,-0.04989209240573234,0.02456679710607077,,0.11539859539955614,0.009417537906419594,-0.05289436728515135,0.027271235877857927,
LYZ,-0.02304773902020544,0.07951928042215066,-0.057555662215013126,-0.03705614899954325,0.007015943967317623,0.020435753334462757,-0.038192093017976145,-0.010083189835255359
EREG,,,,-0.027738744467315415,,,,-0.015648540072320093
SPTAN1,0.04159239572226788,0.0872358576059676,0.047114117541103145,0.03823829644350955,0.04344881000281493,0.003778716342987876,-0.0640756229496603,-0.005910954696417623
LIPC,0.0523624202379601,-0.01660854304904533,0.10808955818759086,0.037664778280525175,-0.02151358573436668,-0.007659143379668194,-0.013527753518707402,0.027514323518520418
COL8A1,0.006382428955379433,0.0067888245582777,-0.02082952918008206,0.02710256455307005,-0.01052988399541583,-0.021755656964564395,0.033350718033504416,-0.07436347581550574
GSTM2,0.017280429689433125,0.01103226519039215,-3.716973728516949e-05,0.01708184251733523,-0.01173155494941321,0.020009178184224558,0.027338401640671795,-0.010066693552148315
IL4,,,,,,-0.006009697459835966,,
SPX,0.010962143038101516,0.024142243911553823,0.017616352586510852,-0.028557195216283447,-0.006517659265164327,,,0.07495735747157872
MFGE8,0.011485931093669162,0.023531267961581087,0.04471466673347318,0.03766989994617648,0.03729653878124219,0.12284260550516067,0.05867790564578629,-0.017218265423907444
TGFA,0.04417533354830669,0.050515952343413786,0.006894070756196555,-0.005080173102466065,-0.024318820435746152,0.032010831912353606,0.11033565204497887,0.0711861044310985
