,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.19623140142456139,,,,,,,,-0.004757194523855944,,,0.023053980372209498,
BMP1,0.032819515669149875,0.042319135318086135,0.014685431480498579,0.07520268598488,-0.005937232162839994,-0.03782609575609706,0.06594702448238046,0.03617760178973772,0.005097273345335369,0.03430401248252869,-0.04565884022072074,-0.00401408092917521,-0.03826733261669635,0.04819961122802383,-0.05311423234743677,0.03749049244671383,0.03446871122315745,0.08446173008416473,0.041861406289569525
NDP,0.04027543427173049,0.06440170172833175,-0.0070718402201608655,0.046386783429996956,0.005898250675478,0.03278193526777018,0.05156971230565529,0.025971139666486148,-0.026061039062300246,0.009889279207930845,-0.03127998100728885,0.03637064041122086,0.06129919362741654,0.07105819284327557,0.008460094919974332,-0.013066690530736388,0.01122079456136572,-0.005815263286939463,0.054314470962407504
TNFSF18,-0.02382259654552574,-0.026202645933804218,-0.024830504610871256,0.020567787959168707,,,-0.02449326701904545,-0.01710308169074656,,,-0.025625204780702866,,,,-0.02566070871847843,,-0.03314014248406942,0.07032625367800213,-0.04189372226149685
IL36G,,,,,,,,,,0.008137783297328949,,,,,,,,,
RTN4,-0.0230499131916048,-0.026858839703450838,-0.06269489317897224,-0.020759543555725447,0.01168959033103681,0.06430620601162372,-0.040721281521801336,-0.022885168504019816,0.011083609008226974,0.03664893888397223,0.0342952093964847,-0.051379917408210476,-0.04824803244914509,-0.07285856073454453,0.030323236840750674,-0.022038885594678738,0.008538153356390554,-0.00503340952485669,0.0016106979276903114
HEBP1,0.05547481749620812,0.008916397991391422,-0.033080621161012576,0.0498291962151076,0.023321206481731728,0.001293797786966024,0.06287735430626872,0.0006584760277454158,-0.007107297466093329,0.008290838793482445,-0.05667840208859552,0.08834503045309755,-0.005273758009744264,0.04339148463995853,-0.002533632516336547,-0.02171089157566059,0.07609528015813063,0.10212287378592658,-0.009814812507607715
WNT7B,-0.02098696141213564,0.004930564731074967,0.10585561799057192,-0.017018619492977883,-0.02403262139089964,0.04024370145675238,-0.056802530811731665,0.025909935311127348,0.11238710334489022,0.0049684728851956935,-0.028210849304938394,0.07794023643828338,0.07338322919449201,0.0319171484696169,-0.0022582286830576306,-0.04770849960128744,-0.033140108120231146,0.06466661399281418,-0.009929399540564703
PTMA,-0.015335760133192622,-0.10195158837678872,0.03184954040735573,0.032402059037617184,0.006398305122696005,-0.04702481790504036,-0.007958978814446885,0.00038323831456293456,-0.026417387532669707,-0.01691159447459354,0.12634385690060895,-0.13045734580526808,0.03888103639864408,-0.02029587302501523,0.008809004668099009,0.0020478456240783515,0.0605641379306984,0.04062583807543351,-0.013482934193254432
FASLG,-0.02098696734509587,,,,,,,,,,,,,,,,,0.020768866048982093,
CEACAM1,0.0035093266600683412,,0.06838392946572645,-0.013060766859823965,-0.027750787659768923,-0.020719396330122347,-0.007052355832101006,-0.01632650185825291,,,,0.13215485486787457,-0.03719766300527707,0.004898357186628672,0.005458565274228566,0.017845659478051532,,-0.04341596934455324,
PDAP1,0.11458749142737332,0.05262373264636761,-0.019897547628054568,0.0698673339532628,-0.0410739808153654,-0.0563736773523458,0.04372789961003918,-0.04275626352181193,-0.019949597810487555,-0.02707053679464158,-0.11141300308465803,-0.08120671321565649,0.006660559437344487,0.04522743303825819,-0.057466109151879524,-0.01927703464220097,0.03308648828191248,-0.07218226219497753,-0.05539587637025195
QDPR,-0.07818705635747678,0.1300228583516092,0.04204652339341003,0.0017342453301350997,-0.07471936689517257,0.05816471062019442,-0.047958644397608816,0.04591444226968064,-0.011207575129214296,0.050420435381890984,0.061439462800234816,-0.08115249192945323,-0.02562463907829495,-0.009185732546940184,-0.021276861296794944,0.046963297736732634,-0.05503909722511006,0.014214908823823766,-0.00047386352351017655
