,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.005159885933389334,,,,,,,,,,,0.09840789933978294,,,0.08049096377402808,
BMP1,-0.026571537534990076,0.07177954926075542,0.017313291203483117,0.083892074511922,-0.018329633445172366,-0.044445924466728785,0.06642378501728045,0.06760346316169591,0.15985215015655496,0.02819876002236292,-0.03997625907758712,-0.05293979311102358,0.00019638642624722992,0.04003749204162403,0.07168059261137333,-0.055208403376731975,-0.029136607173931968,0.10955254115963631,0.003843406331905834,0.03202620146561564,0.03911052430136527,0.07735269053625088,0.0905914276053596,0.03551674830935735
NDP,0.038730276852101286,0.04951105613227865,-0.01837964091094386,0.012140775492906467,0.014167758366272218,-0.07349995926689701,0.007706227804221483,-0.020672144685763002,0.035087372252862244,0.011956188350239018,0.01945529674973612,-0.0601740919244879,0.09697686269424977,0.057985207983089544,-0.0071900731118920685,-0.047568885842619375,-0.01913272998142167,0.08381022406760848,0.0579933062661002,0.03029585119803258,0.03861801266969444,-0.015472393887231308,0.04837025681202995,-0.06301197344541822
TNFSF18,-0.02603226733537837,0.09277071012870038,0.04671188924596928,0.04485423777926515,,,,-0.025067113492262812,0.03586474612171171,0.029795357289686703,,,,,,-0.028058753232593384,,,,0.03918881152432872,,-0.035973013137900106,0.10205021085212622,0.05070622400638202
IL36G,,,,,,,,,,,,,,-0.026707858146530546,,,,,,,,,,
RTN4,0.01088856742593546,-0.05561442611429969,-0.05055506693166607,0.002595607775163088,-0.0535777750667438,-0.05052843205105182,-0.028294853282446575,-0.16337970988213105,-0.09724860074509865,-0.025411415737730883,-0.004329578285936032,0.06718822848135456,-0.021214903037666873,-0.015908167567415758,0.04400236075352666,0.05226848624795889,-0.0934334956524114,-0.07005012734952681,-0.04848226729998265,-0.032854753713963264,0.04935243356744746,0.0035387045547649867,-0.07727934961337106,-0.051595592590242226
HEBP1,-0.010147895471833684,-0.02038987310619074,-0.00011654592454528765,0.011163450134824652,0.1138316762162875,-0.008423278292756532,-0.06465482154056858,0.11415656323757378,0.04553866218276248,-0.00987862176043452,0.018431772879619807,-0.11711644172895011,0.03240490224146844,0.05231371665608177,0.08244911415077472,0.06276821932584077,-0.01734474144017102,0.07105257849487678,0.010474045345085085,0.020478356927662242,0.014490246582846825,0.08035836984476318,0.11131231183418781,0.004170872575574637
WNT7B,-0.022933612169182105,0.0660267416315093,0.04359075389855839,-0.01468845249090019,-0.031977750344763856,0.06553579638725487,0.00706852162759765,0.06724530251586068,-0.027874315341445667,-0.029480885988122835,0.08945493634959566,,-0.061708070263774575,-0.02935501395398713,0.07087970608841006,,-0.006823723854397002,-0.022752127973856905,0.027237772910726873,-0.04536054942535707,0.0056611789955174135,-0.03597297583658777,0.07152420838951581,0.009071083526580821
PTMA,-0.0252292337149658,-0.07568361725819536,0.0019937232254418763,0.006466322275795892,-0.01982972716140074,-0.006836123211603673,0.03475971022582779,0.2175259853925384,-0.061455139232320516,-0.04540729751734529,0.00024177425132014614,-0.14605722647492264,0.1558335534709061,-0.006019634799881658,-0.18159428923771412,-0.036831323301052696,0.04154594650963473,-0.07636285511632895,-0.02125547020989574,-0.06003459001843845,0.054660117263550675,0.1096179381149738,0.014077586154242382,0.0005023144828776523
FASLG,0.05913084011530553,,,,,,,,,,,,,,,,,,,,,,0.09338093764472462,
CEACAM1,-0.031843530206791475,,-0.0015797190620335266,-0.020482547012675732,,0.000420514071655988,0.0209085751804576,,0.007027939273378627,-0.025694341024285593,,,,,0.029343222209790167,0.06448147881713595,-0.04601235385801459,-0.01837044771903095,0.10267531979562253,0.1569679290092118,0.05304284306679507,,-0.03907016979529925,
PDAP1,0.028125300546325987,-0.03885413432569693,-0.017047232418482546,0.025097639250795275,0.011696631165222569,0.023172723002412653,-0.04918523762789226,0.09409984808308812,0.08586289272049974,-0.016830555405993135,0.016233447675860185,-0.011581437082738559,0.10423677323879721,0.06302719335135189,-0.09387629773659395,0.050112999071190906,0.003911962941431469,-0.029749732765624173,-0.007086163175354975,-0.04344399565787338,-0.011090912822269055,0.057399451523587615,0.018724997609367147,-0.007578669494870738
QDPR,-0.013294178169479115,0.04839390157633252,-0.02793063355255895,0.008257632128517775,-0.03043721930719372,-0.018626003705316953,-0.012600588803228651,-0.04702741760951229,-0.08343763651871416,0.03024482072635005,-0.035425041360829655,-0.11813606943834888,0.1097086355341987,-0.021913959073207742,-0.027755722926314924,0.04100032880250121,0.053276766849653184,0.017586929805608213,0.057440210698323814,-0.06359681689605849,-0.07981060295641662,0.10594507127109846,0.046644182216897576,-0.042718757710047364
