,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.01827610896042726,,,,,,,,,,,-0.018219039638952696,0.07918793375838082,
BMP1,-0.004518408176845741,-0.015159471987638751,0.0664658011120062,0.018417365067832984,-0.02830321868883219,0.00964082182850221,0.031509406027971525,0.06951187850882819,0.018281210128009324,0.0146540573246078,-0.056421661310414775,-0.0436038164684682,0.07217590611159981,0.011328876138630262,0.012421197880259579,-0.01921163576274935,-0.021387247579604415,-0.034792632372219266,0.040695736092088104,0.037651325061029126,0.09386179947922024
NDP,0.10072505100196485,0.07586514632047153,-0.025008482685271668,-0.020926319791045783,-0.024946091878141483,0.02327092692987534,0.050233878935354914,-0.0005443849300691201,0.006573654871401838,0.029181936287591387,0.047960458109048434,-0.005889678667706894,-0.020780058132830403,0.03744433564904397,0.12042141153304434,0.04926845007428177,0.06810494651931373,0.015425845544708782,0.08074930521544142,0.0465072105890033,0.02891198685189366
TNFSF18,0.0833533082380057,0.039221300568830705,0.039438012672014654,-0.025289793693348443,,,0.014084936943433582,0.03199280447058269,-0.01915732322501095,,,,,,-0.0373235818037682,,,,-0.018788973994717198,-0.036049975805470036,-0.004907701026181971
IL36G,,,,,,,,,,,,,-0.001953453748585564,,,,,,,,
RTN4,0.017953043684002353,-0.11710867645779544,0.053362302502063225,0.0007068531979165196,0.02160264317621677,-0.03374931123067294,0.04685313350300441,-0.07654493100144015,0.0051929013879073,0.01060243882774123,-0.004143967433597199,-0.02822914795555416,-0.011258588875761994,0.019170268409171243,0.03397105526956514,-0.024384311766982816,-0.06293346295673118,0.0049299120751892115,-0.03547134382402091,0.04330050900416941,-0.12739443117134996
HEBP1,-0.005220234876707709,-0.07230560229036262,0.08169109949888191,0.012614122195612202,-0.012517498316984671,0.02790300253237902,-0.0032547705087256802,-0.005159142852967354,-0.010000298045619846,-0.007554359376432257,-0.009384417886404997,0.030207282998799843,-0.00204748365502866,0.12323928867914583,-0.13935117159246235,0.09603143738677991,-0.01431147648213274,0.04964880186073618,-0.00423131602948374,0.011123685058693615,0.035703412613973536
WNT7B,0.10071682177957764,-0.04761021397413065,-0.01368807485984148,-0.01570923589015156,0.007499249701687686,0.06666076269437611,-0.07193197400937622,-0.044704739615876864,-0.02208226081596407,-0.019863265848392885,,0.03388858685371134,-0.021343240133643394,-0.022308826089459215,,-0.03139837175171816,0.02471308285607285,-0.040377185909168736,0.04812651258597125,0.04753404201768205,0.023721061763401944
PTMA,0.0437081726306465,-0.03034281877632691,-0.07462949060489574,0.019804263627511438,-0.01804655147875369,0.03353994605633513,-0.01837371424696528,-0.06697791774996961,0.057830046280665064,-0.034953783026419195,0.03536409771473404,0.058248890029181224,0.02729348380449286,-0.05264841053158937,-0.10419132281910334,-0.025692262683115044,-0.041984184559967615,0.0014439403192445775,-0.013053798595665916,-0.08207042443824267,-0.017576072018842544
FASLG,-0.01908306757576529,,,,,,,,,,,,,,,,,,,-0.030071604455767075,
CEACAM1,-0.02649700633798849,,0.026132683820443713,-0.012055893698775428,0.010211088578608155,-0.015199082501784079,,-0.013735698360208385,-0.011281470008766802,,,,,-0.0621192745661997,-0.04659624746219062,-0.028158562705595063,-0.024485770831498308,-0.019560866762750765,0.20100969355803305,0.020186426913806815,
PDAP1,0.03965286313674141,0.08918710829846159,-0.05777306502991506,0.007973061368049102,0.039715672555828065,0.06849660885921592,-0.005522962264961333,0.0674857726415372,0.02151062243301042,-0.01814494823160084,-0.0753475505738755,0.026189586804265315,0.030057138466298983,-0.061743306545174084,-0.03083085676705881,0.038544110833877196,-0.014817574213532365,-0.028617237165667758,-0.008727316219188881,0.01696553511143968,-0.059542354087791766
QDPR,0.018354583495429014,-0.03139324792412303,-0.03194717325121839,0.00017833702248221272,0.04884459170183354,0.04091455953829075,-0.039941305486423065,-0.05597828940035267,0.008725068660575624,-0.02718238892690757,0.055972246641296255,0.06795904977816529,-0.011169017699974724,0.06312151559089761,-0.10363921653916068,-0.015763955526394226,0.05746581543280817,0.02377758420607995,-0.05507990397409329,0.060938216014368385,-0.0057678533353285565
POMC,-0.03874120507011777,0.06736446182117493,0.05168401896756047,-0.021421399674127147,0.047473745092129746,-0.01786835624193013,0.03748263779288015,0.056264158318081556,-0.022228642944867184,0.023904601287916036,-0.01935883453156848,0.0419188667947313,-0.03353132830360244,0.020193962140435763,-0.033200089388270106,-0.02474399876210611,0.09321298370887472,-0.007597419692916311,0.049880511648410716,-0.000970522117516026,-0.0002092190038773311
CCL18,,-0.04563809966400935,0.030757141761560892,,,,,,,,-0.01000796667342999,0.04272767028288782,,-0.05326403035283695,,-0.019964883929448833,0.015066245982000561,0.07248329367056293,,,
CCL17,,,,,-0.025711161657961026,,,,-0.023892911877855385,0.022159791795887243,,,-0.017739409901767124,,,,-0.017371469260326233,-0.028237339192172552,0.05778789288764134,0.032997365024110256,
VEGFD,,-0.027363774358759373,0.006448099923030638,0.020863919711932605,-0.0181454933424425,-0.014541621593644256,,-0.005598636282177674,-0.025455876715564207,-0.018033508431696283,-0.02400152441113195,-0.008301251693598055,0.12623988803272304,0.0511136500615103,0.004263842705439456,,,-0.019560866762750765,-0.025334478675991184,,
TNFSF13,,,-0.020704739447205373,,-0.01773498387887199,,-0.012890035433007126,,,,,,,,,,0.020135176640268045,-0.01715418016752486,-0.025759149374717034,-0.03476847565031973,0.021614161505800384
WNT5A,-0.04362687531760237,0.05644324678194716,0.025584239072862298,0.0006918056183442312,0.04286575076121108,-0.008075808838581972,-0.03137509141510925,0.11326539880834467,-0.008265693832600457,0.050689725101662246,0.002957477111929376,0.046362440661128976,0.00682749069093631,-0.00931365612610749,0.010937254966163592,0.024312443768884515,-0.011679605758578081,-0.007976726786418597,0.0005387526246784464,-0.02544420429352468,0.06863079141609309
CXCL8,,-0.06599573389528685,0.08004345387095153,-0.016168402997313557,0.08279999472081279,0.022988498779924166,-0.018335239366638882,0.07229090901813891,0.022257115361463096,0.05112550404612979,-0.054691448736790396,0.058052348222401115,-0.04409768338468614,-0.08233247826356149,0.029456958985532706,0.10049654425865687,-0.07637426074454358,-0.11514872833713301,0.010652745033595774,0.0043696621208943074,-0.029775956538309927
GRN,-0.01943084402517615,-0.008538427517563155,0.0720901257394851,0.04599392300865872,-0.0038663190019057733,0.004369581476487765,-0.028695488957914628,0.046316458409099155,0.03062694684675614,-0.0007720053732173789,-0.0373113931970266,0.027290940406556444,-0.034340110653094676,-0.05533177053645868,-0.012094015895033526,0.025269176101779162,-0.05710086878556327,-0.06974706446075356,0.04001190064732323,0.0034055382539923858,0.015456528098514326
MIA,0.011507590015400023,-0.023549046786279598,0.06330233616333025,0.005393258114985572,0.0684147402368085,-0.025855415855533016,-0.02330767005074114,-0.00738907383255488,-0.04108934882035926,-0.020509318019541353,,-0.009145949533807159,0.0007771968170871429,-0.0695666504418187,-0.024575320078186604,0.0710614656505474,0.18857164313746366,0.014436196004483643,0.08351098884556918,0.06730719467355406,0.0932574481412309
COL4A4,-0.02210051751213453,0.1592259741911243,-0.06125666800013813,-0.012989900940517654,0.03847368255675491,-0.0008448476910999252,-0.01226429922738045,-0.018009748833258968,-0.024944939215432727,0.022427686643811364,,,-0.0252574710844115,,-0.029358678388483474,-0.02524185138012182,0.12141370628995637,0.00929554364222469,-0.037002025722424586,-0.05231355933774443,-0.02216401473889433
TAC1,-0.019083057193453414,-0.06483038470035585,0.00020693684194315797,0.00806596431143176,0.021145433030847312,0.017953188956563983,-0.013618403658505524,-0.05369423507958463,-0.013411446618488653,0.005127414731624767,-0.017171218608298768,,-0.04476152470206918,,,,,,,0.047632473144863095,-0.020927384046808925
