,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.023106797224394206,,,,,,,,,,0.06730252581776897,,,-0.06300562783098035,,
BMP1,0.05376500725374297,0.025542655240863184,0.04926829234222906,-0.04459731356913159,-0.02408458407523505,-0.05623398193975871,-0.015560876365391269,-0.07179905496094269,-0.009759159979062265,0.004357969554544823,-0.0455019102472779,0.0774867941348314,0.027233736284135484,-0.03991664556113903,0.07053687880919506,0.05104769726215746,0.029027132057017173,0.036902017622846665,0.04577119794957927,-0.072894487492572,0.11994628515965637,0.07850838214257416,0.052800320689600534
NDP,0.12301523144951468,0.030186150924557096,0.006825376381006534,-0.009924154818582399,-0.0879031895327937,-0.04112619901332593,-0.022046655857389387,-0.028541221917801004,-0.07607755142102934,-0.03733519118397041,0.029256981191398003,-0.03897728156136882,0.014375949834278506,-0.012001049985747626,0.04946005908380507,0.13539095424924474,0.10157042976003103,-0.016836022863310648,-0.07291880577893992,0.024508415381422875,0.03856866994862969,-0.010525774806956534,-0.08798023682386306
TNFSF18,0.09651693697918738,0.011872828002479139,-0.0273471562550242,,,,-0.02706380462761311,-0.022824240874610824,-0.02411884558192109,,,,,-0.0415620400617929,,,,-0.01714303648762254,,0.09445942737633659,0.029111812609350977,0.03161949771746363,
IL36G,,,,,,,,,,,,,-0.029220585375208035,,,,,,,,,,
RTN4,-0.028200170390424918,0.045069970948756755,-0.015943803923153657,-0.05282879948191708,0.0510754513577557,-0.014910028062583621,-0.02699025569667162,0.0876413841688197,-0.004432140800851123,-0.00035412105215640435,0.2228947551320493,0.05122869501577125,0.010678269918259523,-0.10188632776609335,-0.11285547708145761,0.04913453046805377,0.04881944466748649,0.11673583596238282,0.19228190230723255,-0.015519929507670003,0.015256110106893143,-0.02442415025341155,-0.021804336214446423
HEBP1,0.004306196975556345,0.035225551674011965,-0.03980039806032908,0.027652178597217327,0.008401359599448894,0.01136283384422618,0.04091151057598059,-0.02445454055096121,-0.009320830158926837,0.0010816052846133015,-0.05166632000834337,0.024396617186323744,0.0015294945618057464,0.061133807243013774,0.03806766286415248,-0.01108637694513236,0.07161615860527071,0.016778399745836108,0.03977777175626371,-0.04199488909088149,0.0838823018916202,0.035117411394570426,-0.060516953557558685
WNT7B,0.04968207411062099,-0.012534279883080883,-0.03160262948165797,-0.03634209726657551,0.005067143664259012,0.029716902732073787,-0.0779832525375376,0.01363878503983098,0.05965527910177481,-0.02341279100088903,,0.04930698810523193,0.011139250693863291,-0.02933960196508608,0.02632317744851122,0.025309921076887745,0.02821833020213853,0.036753767590372265,-0.0415670130038711,-0.03264735670703017,0.047128401401996214,0.08440266876246173,-0.005654755206536793
PTMA,-0.08708143128531069,-0.058513512317699454,-0.03669411793132997,-0.16594674432173312,0.048065018857791054,-0.029776864478471634,-0.00699196961919373,0.04465918455430181,-0.0018747430762508447,-0.0007803374549690812,-0.20586540201155462,0.011471939444435244,-0.06540608711836012,-0.07888103345669109,-0.1459438657160492,-0.02366203566655038,0.02269153499588438,0.057455197501740475,0.021634269458884827,-0.038611322182880714,-0.00486386042603474,0.09910826408321245,-0.12023679078052106
FASLG,,,,,,,,,,,,,,,,,,,,,0.022131006740174906,,
