,MGH258,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,ZH8811Abulk,ZH916T1
IGFL3,,,,,-0.013231781339424776,,,,-0.022889441100374535
BMP1,0.040215747063391975,-0.061094405553711366,-0.019260573244691558,0.01704931734126,0.09575931876001066,0.07745404704194228,-0.005099262506703687,-0.01838473696487486,0.16798415709928466
NDP,-0.02010751073274261,-0.03512767536759711,0.0024982315162777632,0.0702568506111081,-0.04113715645858845,0.010686823778856073,-0.006681248857150409,0.013207315105331184,0.004774386464761731
TNFSF18,-0.02867727608719127,0.03329559179851075,-0.03543491268856193,,-0.019648798060084707,0.05537229482988576,,,0.0273263640388731
RTN4,-0.0626893077262668,0.0010981883355590818,-0.06344402709217328,0.007060856749524169,-0.09693786161763848,0.0025156883934007914,-0.03910004786157287,-0.0016844451634962444,-0.019451405446265203
HEBP1,0.014759765370770403,0.008382097922854995,-0.009772644188216157,-0.0012773085123955615,0.0212663536253022,-0.0066447736852453775,-0.006182041467652063,-0.02079590863307301,0.07646854523076455
WNT7B,-0.02526378203555145,0.013155986595385798,-0.007350601008667532,0.01037873617315418,-0.025332563053065325,-0.018961979509482498,-0.018985628314445474,-0.026466775796086014,-0.0488555825821741
PTMA,-0.04136880760906264,0.036748098258487585,0.030348805171735018,-0.011596454717742564,-0.04597232232460894,0.033466935630599694,0.022059684544293266,0.041445078377842955,0.11831858792277611
FASLG,0.05113199484229822,,,,,,,,0.023045956703498155
CEACAM1,-0.02090663210084606,0.0034301090314702394,-0.016892171829422653,0.025871562534437013,-0.025856699135212987,0.07056558512623626,,0.03919007530212015,0.08223315830749883
PDAP1,-0.0252830978442526,-0.038604665249832845,-0.012461854006958567,-0.029398695057170812,0.08714047711680287,0.07874572494361416,-0.044584177417246386,0.027802517654821744,-0.04132278535561277
QDPR,-0.04087610865794044,0.04095468159250488,-0.060255761418589224,0.00669532358519236,-0.07747864076513244,-0.03131333458871209,0.01882671642724233,0.0597252508490652,-0.05914616681775202
POMC,-0.01113356354108592,0.020159933018916294,-0.03001469431991171,-0.04130912021955445,0.01362402009256858,-0.025796698006966733,0.012012707083134793,-0.012886782805587095,-0.027607288682491637
CCL18,,0.05317884847802209,,,,,,-0.03945676662127082,
CCL17,,,,-0.001963860475276129,,0.0554317562545375,-0.011126159655710732,-0.015296641417648795,-0.017993612271156558
VEGFD,,0.018146479478795458,-0.02419464707992149,0.04571151184912952,0.08635816136723791,0.036364792665232744,0.04748099072515865,,
TNFSF13,,0.057801231528446836,,-0.01773498393779173,,,,0.014895921516609366,-0.029319089330057196
WNT5A,-0.06131526412697482,-0.004003604036420813,-0.011648050297992868,-0.004391857573415146,0.026647715257531266,0.04860778930757945,-0.03427700349370424,-0.03793208829312852,0.021572194019738915
CXCL8,,-0.014544037489020951,-0.007714320303040499,-0.014292283053832431,0.005424391647966991,0.004261330570579007,0.0014317997646143316,-0.10643065611574762,0.023089956836700135
GRN,0.0015201163658375902,0.0074220427271689164,0.09176034422615828,0.028561877543874268,0.053667702265616006,0.02541683926701052,0.034819292045618296,-0.04790501282909646,0.09732946999266122
MIA,-0.033068120977204365,0.0006703514547313171,-0.02151702711289883,-0.036158461874214815,-0.015795242305352713,-0.023262839721094466,-0.00480603815274978,0.06324580918501778,0.05554616255335427
COL4A4,0.0024953001895015358,0.031615911209123534,-0.017712841177284378,0.00265199746515571,-0.013038938378821755,-0.02894900355989792,-0.03293170840089795,0.0046053596875723,0.06749781900197271
TAC1,-0.0064558809801296664,0.0330911504753831,-0.01483108359909963,-0.004936602386699398,-0.07117643931835708,-0.06558446888814637,-0.0573655978847511,,0.04560282756967122
RARRES2,0.005833225827923446,0.053735090505294944,0.039480825843283086,-0.02666582424610299,0.0551672603105226,0.09098754809634331,-0.03591214417431856,-0.07080339806421627,-0.04697449371259496
FGF7,0.04057198591089526,,-0.027308133011851633,-0.045575419745122386,-0.026996361488273366,-0.01202130098792766,-0.03222913090888454,0.13316608169124916,-0.012450338082549984
HBEGF,-0.053454501329101976,0.01047061855638137,0.029781174243185226,-0.023569586554422862,0.043682630645919526,0.02910132742823638,0.038050159671042284,-0.008926353288871832,-0.0019651801777384593
CSF3,,,,-0.030645462963822055,-0.013794945836394177,,,-0.05186053319298992,-0.018944497879205713
PI3,,-0.015139620973142181,,-0.027996353202047932,-0.015533291085357132,,,-0.073958956838324,-0.041160100199090506
PCSK1N,-0.02947198315910886,0.03380079392528842,0.006885800859713528,0.04995418259713192,-0.069500909898531,-0.03159359332040852,-0.03165512938759503,0.04719744433459848,-0.08231959688844934
NTS,,,,,-0.01695564784579039,0.043811426297950484,0.012116082388176684,0.08396956978489264,0.07745149716368394
SFRP1,-0.03675943141197381,0.0419565752106926,0.00140581606766144,-0.022433982449815624,-0.0189408702208084,0.04192837332197565,-0.02349888588751969,0.11546170624967368,0.052090681953300765
CXCL13,,,-0.03276981575093936,,,,,0.01677425670210091,
MICA,0.06789737870702835,-0.06780784913955143,0.0013855798263880039,-0.06785612941567253,0.048177125990396814,0.006912672175376088,0.054250982255714876,-0.03475766178197824,0.03291925571477055
TG,-0.029258539650399953,-0.00494118430524247,-0.022969950180510616,-0.024209821374390404,-0.01664926541865345,-0.02793502038578043,0.10068975599504948,-0.020325412064518676,-0.02585731507867907
ADA,0.004439512094562091,-0.009644217061420919,0.06235431695247609,-0.05221422346858453,0.08308566177000191,-0.017854641555162597,0.014509014771004337,-0.00831257013335155,0.13244019177866007
LAMC3,0.04429119161892196,-0.020494835008651943,-0.040846720870920325,0.023531407670517486,0.12707489867936192,0.010251265166925866,0.025689575082446348,-0.015498339008025514,0.14206486520334197
CCL7,,-0.027747693720796662,,-0.01750366217294316,,,,-0.022926139599696388,-0.019851997398373337
NGF,,-0.026376567671866746,,-0.032411154264727585,,,,0.007170316891816135,0.1681310162617618
TNFSF15,,,,-0.019491183922722678,,,,-0.02235041172626026,0.0563217884722953
HMGB1,0.011676399628030847,-0.027791187322532468,0.004232385922287035,-0.01067874316098878,0.049553521915779226,-0.03469297260015691,0.023396085929504873,0.0010577699235345627,-0.04351933926083324
ITGB3BP,0.005409888494862621,0.003285087887259845,0.08675323814772498,0.027267827175133454,0.0631331679965221,0.002684066758392569,0.054234301526726786,0.009251853715365691,0.04124524362187648
AANAT,,0.036974721933632056,,-0.01773498583061281,-0.012443414462155973,0.02040217994796483,-0.019603136439505123,0.0695054669978696,0.018060663921035478
RELN,-0.004450077979269695,0.038333378197846484,-0.047238760965533595,-0.011496331629002694,-0.03651288227826212,0.043269975119503604,0.05612136642169508,,
IL15,0.06524772484342699,-0.048997138427444,-0.029263365110218455,0.060573921041333224,0.018032039842560806,-0.005513715371198002,-0.019522337981852603,-0.036847278325725284,0.11307448666836549
UTS2,,,,,-0.04104639800091554,,,-0.017127430413823762,
BSG,-0.03419879649009473,0.10636432420802777,-0.009306392419777198,-0.014521578409110322,0.006435814188477448,-0.048268417550327285,-0.01624727141608292,-0.0019028417143010668,-0.00371409363547802
ADAMTS3,0.01671666934266884,-0.044358298720263326,0.03074956629382457,0.047850754162663954,0.11515833070184384,-0.03775444813391449,-0.010721342642073112,-0.042820626784193946,0.005451095640497378
CD34,0.002985333248055468,0.002969151432253035,-0.024416710808922448,-0.013505490809018974,0.013126843608780348,-0.023937015138578863,0.005923056185259879,-0.0021384218185664674,0.12386177951496043
CCL23,,,,,0.012829915386788425,,,,
PLAT,-0.07402176636786983,-0.0637143166003903,0.08041126246668452,0.08515407374263353,0.10828971181574312,0.007478503730178421,0.006914700617271195,0.10626995887680579,0.07116844644483929
NTF3,,,,,,,0.10270004528020436,0.07685373762735843,
LTA,,,-0.016892173562862052,-0.022433981400318662,,0.07049282909127354,,,0.003222918646560591
