,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF313,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.017845842182271806,,,,,,,-0.016113796773404986,,0.03574280445072909,
BMP1,0.06547499816662643,0.12075960036283576,0.050061844026558104,0.07344721106497117,0.07220247299652892,0.03525571413571638,0.13993968440439275,0.09323171397390988,0.20134427515787962,0.061047812718179204,0.0941667971004034,0.24821910037615288,0.2013510712904153,0.07315438292335377,0.029896153674212576,0.3066231142151637,0.08001780408138427
NDP,0.05606380251628543,0.03811465587360263,0.0026646416499826824,0.06996800706375879,0.019001946535085835,0.04734814346690678,0.036186748572924234,0.01974387340859664,0.03623990850196633,0.0732422143423136,0.022419438632862148,0.07553628226829372,0.053178833809173515,0.06556205261087099,-0.044702642733966624,-0.03761827437732166,-0.07094641773619517
TNFSF18,0.07519574669345806,0.033574299396424916,0.02362438811282273,,,,0.20395699076649637,,0.1344400915734167,,,,,-0.016617874187196627,,0.09701301414836468,-0.016594534097784004
RTN4,0.013124445985061722,-0.07278450426434581,-0.05379071595550402,0.039032909339463955,-0.0030211313462338444,0.057020300225097235,-0.12486779434923051,-0.03505547262433619,-0.02416546400728249,-0.07113929436787829,-0.05567949162162193,-0.15437507921690452,-0.053464160745362053,-0.06606633214062274,-0.008769580812067272,-0.04458439995213822,-0.02381626348125532
HEBP1,0.03279080240405856,-0.045130409128250136,0.010855508491928593,-0.02067959869777136,-0.05333530355957241,-0.0648258952601213,0.08661133091108515,0.057936751532402915,0.024407158234223965,-0.0032124391404491155,0.0396346330657667,0.040958550300503944,0.13138022232437752,-0.027874182640618826,0.02185942687368328,0.03760651630428624,-0.07911697157117535
WNT7B,0.09335036895588572,-0.04965489599277223,-0.014731849168929827,-0.012576633133761646,-0.0040129307744833954,-0.0005000877384437351,-0.04650618047314067,-0.044849922601515976,0.0915349010643236,0.013306949865864203,0.032885650749272,0.01006912681827758,-0.013582698058633639,-0.005671419449538132,-0.01877881716513476,0.0798648095874972,0.010677008859173586
PTMA,0.09977471331830419,-0.05747337857832118,0.1393164772526651,0.02817444309336855,0.01918884608565471,-0.05150458399900711,-0.07064582179897251,0.12008558114001124,0.10168204239796666,-0.13158863291765394,-0.02898716560014352,-0.1231856350262155,-0.07327718822464423,-0.10403314754328144,0.044409667220208615,0.19894699006617003,0.043975632951824925
FASLG,0.00975769164604738,,,,,,,,,,,,,,,0.022994128434978372,
CEACAM1,0.07637979826495755,,-0.031641835125827154,,0.005493010317244426,-0.017160924220424312,0.07766740677288451,,,-0.04769183377280063,0.0435026860034958,0.0025078295542359315,0.020974523471273845,-0.0022708530743614018,0.03330448152310849,0.0563269236306993,
PDAP1,0.0269840821880866,-0.017828094863043695,0.05246246480065631,0.0523212983641726,-0.006403636432958549,-0.017283895608331643,0.09610008775634521,0.08498725106087954,0.03284257945880378,0.08087360627917432,0.03380883176443272,0.007481959271778515,0.009539864976103181,-0.021926860770239563,0.01627859838455175,-0.0723557834919955,-0.05441354694050045
QDPR,-0.02374750179326246,-0.04261640930134011,0.02338546395465051,0.07206828651134055,0.04649802741803907,0.00990016743177935,-0.13255671477955788,-0.004862297326546879,-0.026036518800431206,0.04571276086162078,-0.05663766662696115,-0.007852433008979223,-0.010066515730218425,-0.07264497379601369,0.0018089339035398143,-0.0468166297500351,-0.010280742316641054
POMC,0.036136442792750176,0.016517269873756544,0.04079348629187742,,0.028291436226136252,0.03021543709268292,-0.01145919527455251,-0.030925024759127458,0.15790075079275268,-0.06712709329327599,0.07165321569613681,0.06143518748265159,-0.0032919726990179644,0.00718466445358292,-0.02333617239085334,0.129630899525484,-0.056197476830936254
CCL18,,0.0110625801702641,-0.031060946539345522,,,,,0.07109460121260541,,-0.04089325413724505,-0.02495992336784975,0.031718484780937944,0.10016432738279508,,0.05354480029865317,,
CCL17,,,,,0.006435466522078605,,,,,,,0.2162806790138442,0.1451207687095858,-0.02124511023195609,,-0.019353984648520166,
VEGFD,,-0.013416821236014849,-0.008237785704101748,,-0.023759873879476878,-0.016418600674173774,-0.02989657269119573,-0.0023078973693025353,,-0.04607082188941654,,,-0.016167929604056074,0.06567759684699698,,,
TNFSF13,,,0.05333418459010317,,-0.014710417211061947,,,,,,,-0.0024690664682355088,0.004875163509708054,0.04272894597847951,0.010661196253310423,0.14172340394094107,-0.021288773019444356
WNT5A,0.03315497521410427,0.030492646644763054,-0.017138488683508438,0.08659189572931442,-0.05707642877398552,-0.022994982667569438,0.0667813773575523,-0.02642563295684129,0.06137478268905134,-0.004369364635360925,0.06141640340682128,0.12376898036616442,0.08320864245885219,0.06248571173979191,0.01767204053122396,0.12999049637750892,0.009378379373594158
CXCL8,,-0.04653345218362374,-0.09530800746799369,-0.020173224799390984,0.014418924416172516,0.03949032033965229,0.04841372570486022,0.024848201253847572,,-0.019713490692086482,0.06634907237492442,0.16051737908983119,0.15495382458221604,0.002602444856162868,0.015087567999179347,-0.028180370540091662,-0.010055513719312716
GRN,-0.04111670007143316,0.011793585553951819,0.0027203613580677986,0.09186004690203954,0.06373193824970912,-0.012639512725721853,0.1327816247873304,0.0429883160321474,0.0833095154143349,-0.054270182819585476,0.0640411671028636,0.21931486309569553,0.07363102761668638,0.12130979494661168,-0.013543853823688114,0.2215480390143986,0.0008948276925817916
MIA,0.07433142257673755,-0.051603681910703136,-0.0014656994656788295,0.013111575851199656,-0.037830153262768965,-0.025252667833149087,0.05830578502160827,0.024735451861303295,0.0892727877528251,-0.05360572822282383,0.05385636876150486,-0.050977279943642755,-0.05770777211645939,0.05506381276540514,0.06850739127589874,0.08318051100079724,0.04610995645636094
COL4A4,0.10434799316508925,0.038038886621665005,-0.03732843307125588,0.031354467135807286,-0.03934272806575966,0.02981974280274405,-0.017585752860010292,,,,0.08442306899105913,-0.021132818508678874,-0.03833015765967873,-0.03272637496329242,-0.06719206469517812,-0.0193541462472645,-0.03990263584266031
TAC1,0.009997725809665707,-0.04052897391968699,-0.011661492463155534,0.044892041362940484,-0.036320622929419434,0.049701598514038825,-0.08803713073030801,,,,,,,,-0.05517919123139223,0.0708487748103327,-0.012829735375187399
RARRES2,0.02110842128207203,-0.00798341533805629,0.0182492137672184,-0.06680861194877169,-0.013246145875881257,-0.020608527613624077,0.05168309014768349,-0.09719766657387123,-0.041279391467599645,-0.014113213255681746,0.10124703906875786,0.21051426156500352,0.14285376704017919,-0.05766766584811631,0.0005457734505948229,-0.052816113171906535,-0.0006741594217500257
FGF7,0.08969615352297965,0.006487802780079196,,-0.02401413062666685,-0.03005908079610764,0.08067691442624035,0.028814186666390098,-0.002790909184142058,0.08936409324943988,-0.07303189027067024,0.025415297323216953,-0.03174266134122045,-0.05628949919631374,-0.004209648206579844,-0.002117686470920535,-0.03943705911070879,0.07741003590083977
EFNA2,,,,,,,,,,,,,-0.030932458540507832,,,,
HBEGF,-0.014895162832425923,0.040601941581874045,0.04939636135092431,0.020105822901146313,-0.02201056802771403,0.01441191785512466,0.07772936577404121,0.07400736717229772,0.11714480782663053,0.09394372559775686,0.06919469538816743,0.08787154970450015,0.07184457835299325,0.02284563359859176,0.02324947288186911,0.09165966741615517,0.1592266840039344
CSF3,,-0.014089171566051785,,-0.027437572027783626,-0.02541911215737485,0.019897673022520938,0.12324632398192559,0.02020832189586178,,,,0.22753641085272397,0.261599127767663,,0.049324254835061546,-0.04491705730896214,0.06488749621500037
PI3,,-0.038335779649473184,-0.050164526722736524,0.003032546746047439,-0.02987508495475507,0.057483964206918564,-0.020949912500037117,,,0.0033333173807663773,,0.1283928195407558,0.15775740249985742,0.09496156741943407,0.10818177695206527,-0.08635597043649273,-0.0777126741422242
PCSK1N,-0.013484223034416024,-0.04166070984213016,0.07313832055829833,-0.02816027216125815,-0.02728183209883251,0.004620429648609386,-0.02142840625124855,0.06296411965157642,-0.006836965372275175,-0.008455507496566947,0.06251026488767225,-0.05375011882037913,-0.09810140301363637,0.07764909820576721,0.0566028340062993,-0.0530174278489892,-0.08588586227069049
NTS,,,,,,0.008520767651994176,-0.0064698212695523455,,,,,-0.06652214584534198,-0.0004901194075246381,,-0.034716093005882166,-0.0366362588690687,
SFRP1,0.03166659550396854,0.05792395034931921,-0.02863939361391616,,-0.01860803723871435,0.00027846859252604925,0.0482143176864836,0.0356941940788474,-0.059067542949884956,-0.07332571964032587,-0.015610879100608694,0.07928151710050027,0.025919185267642433,0.0229470821928016,0.027915978719789573,-0.042978587431393565,0.004441210448310875
CXCL13,,,,-0.019922923782305584,,0.019842713293832855,,0.07695943739544128,,,,0.20291840584492407,0.21216840297026748,,0.059089376092433823,,0.016880024549453487
MICA,0.048607252728601995,0.030911524529472476,0.06796961336538797,-0.03205514008871382,-0.030079167771677812,0.0002002079200324398,0.024715822808539987,0.02200949742049243,0.16418553245710593,0.1020683207649007,0.1305003730781708,0.1181219266179813,0.09692217925030415,0.08740245845931217,0.027694861688375528,0.11252733908585036,0.05239437258168246
TG,0.10136495434321426,-0.02579644443357376,-0.005853064100138568,,0.009533674089471663,0.007905043006707937,-0.022455038780512502,-0.026825417329127466,0.0032588528527139667,-0.04520281433174195,-0.040640590819434774,0.00017350135574440673,0.0014105493462931117,,-0.03266717321539733,0.08543924164534247,0.03945430022289404
ADA,0.0521645930477303,-0.03814872705263336,0.033684599423363,-0.05413745159100756,-0.0005000445694289275,0.03604545584549671,0.09203467083142985,0.11478855319599776,0.015588649028974362,0.08025781254214656,0.12430963545603563,0.10732941624650622,0.03030388948382304,-0.026809710852169724,0.032329414830200444,0.2522765107671653,0.10616412480099321
LAMC3,0.0868094009646086,-0.011153536965808494,0.08905197026111893,0.20702460014265217,0.09916889594998293,0.02938839486758239,0.19216369856044319,0.07713818958159217,0.12155619914045106,0.11670148179545053,0.1591566662306773,0.10693596670976796,0.07161625941330338,0.05075659876405771,-0.02631706151907705,0.30890198577930533,0.04343045356405085
CCL7,,,-0.042705303751749836,,-0.0145185456151892,0.10768108559073179,,,,,,0.11355885551971331,,,,-0.011908394109367601,-0.0023910575507032255
NGF,,-0.01864377562675291,-0.031601289119275164,,-0.033265696215054444,-0.011922773731507663,,0.05003045515550975,,,0.0020688379205847447,-0.029215779845039078,-0.020597653359158,,-0.041982963495233776,0.02838486314003851,0.0011826446939680513
TNFSF15,,-0.023064677256998206,,,-0.01616711063548304,0.0020533217166093733,,-0.019989705395352546,-0.032721311367629714,,-0.037459806118671814,0.0789727134960706,,,0.016855614626058328,0.11360308281872354,0.08017843896543873
HMGB1,0.012397713275560041,0.06962755275861854,0.07625794571936119,0.07833464425390017,0.0363091234176708,0.007254752301994309,0.053002965574859624,0.02747276355583075,-0.04766766794819868,-0.01933670463147079,0.047542445512534864,-0.0896021373271067,-0.0704218588699688,-0.1288475992317333,0.03521046680636466,-0.1230100890200402,-0.030151464002808173
ITGB3BP,0.05832384879850118,0.023792019240536096,0.03684315034962065,-0.05698524560670771,0.0015546807455003675,-0.047737245054040554,0.11058164124331611,0.07866636026285204,0.06919790429506004,-0.019675244703698615,0.05334279577643564,0.011848519363003587,0.015537212353169622,0.08147196953958741,0.05008230521522584,0.041545811921580564,0.0355430659951346
AANAT,,-0.03341601986395456,-0.061958898585440646,,0.024682823149764402,-0.016418603018021546,0.006729160141773876,,,-0.03585265433496069,0.0002879582241218944,0.048777157912797665,0.021746089934519215,-0.026279519769645363,,-0.009582584316398936,0.001648180877331679
RELN,0.0988719336206562,0.04440438289577963,0.047997399691621,0.02058267004337583,0.06772128384855686,0.0005677790298737502,-0.04924530704087812,,,,,,,0.1022678877768169,-0.028859632229511226,,0.025037029968787154
IL15,-0.020984177930135166,0.042235781342972255,0.02743992938146728,,-0.003316702612620739,-0.028950783397505623,0.09592777038888384,-0.04700349206556219,-0.024754976813155586,-0.046416071791904136,-0.0118099283640775,0.01681203543327627,0.07019663370001095,-0.03272637081599723,0.04637650437953082,0.1670863625587032,0.11286597540629331
UTS2,,,,,,,0.02486707990742284,,-0.07996341383132059,0.051557152439676616,,0.07055671488631035,,,,,
