,ZH916T1,ZH916inf
IGFL3,-0.017544606654454432,
BMP1,-0.011396760814817905,0.08052814530238518
NDP,0.04014205480996352,0.04332481937565898
TNFSF18,-0.029594614772365076,
RTN4,-0.03325035965862387,0.04082690900588542
HEBP1,0.0682189632597741,-0.03878561443122078
WNT7B,-0.025039187263366368,0.09149522691029192
PTMA,-0.05337767531677099,-0.08493704008443
FASLG,-0.015216431365979279,
CEACAM1,-0.0017618378173174852,
PDAP1,0.0007552995764776321,-0.022251849089578158
QDPR,-0.023301188493878956,0.009630613987743465
POMC,0.00945887391592881,-0.01791319781453498
CCL17,-0.013791985929487835,
TNFSF13,-0.004038599346589969,
WNT5A,0.025238090015229586,0.08169915534949923
CXCL8,-0.03310405711715951,-0.02207426169256674
GRN,0.009147158484360596,0.03167792387773406
MIA,-0.030870641118317055,
COL4A4,-0.04050272698131251,
TAC1,-0.018130967932469395,0.044567735897297164
RARRES2,0.016945769584476425,0.017814602036373032
FGF7,0.0063224410864906955,-0.05032297234620987
HBEGF,0.008777842399444263,-0.03132439435492923
CSF3,-0.014520833518795346,
PI3,-0.03154894716232971,
PCSK1N,0.04590242786715034,0.13735602369564473
NTS,-0.021503374362798373,
SFRP1,-0.021003690420156065,0.011758003758321965
MICA,-0.007347201696830658,-0.01718209121825584
TG,0.017874091980069912,
ADA,0.002233045331610742,0.0722825604642259
LAMC3,-0.013235856219041036,-0.040199009525240324
CCL7,-0.015216425955197913,
NGF,-0.03643219034121822,
TNFSF15,-0.01878684463248602,
HMGB1,-0.0017282925262040926,-0.07870825102241866
ITGB3BP,0.02824856916776565,0.052154528325370535
AANAT,-0.016099613218706083,
RELN,,0.009963852117883412
IL15,-0.039634265836154405,
BSG,0.027578382833504795,0.05363046160337082
ADAMTS3,-0.053561837701855554,
CD34,0.044318558004596054,-0.02416669050572228
PLAT,-0.0057411914998329395,-0.06560924811382321
LTA,-0.021667653122435654,
CKLF,0.0032609753539922046,-0.019798754492444427
CD24,-0.011187379119080586,-0.041793447694661985
HSP90AA1,-0.02661955580768029,-0.054206082746667966
BMP4,0.010295974803542484,
SCGB3A1,-0.0047428208255579085,
IGFBP4,-0.03080497498448113,-0.04545977394506
RSPO4,0.08928509922577657,
LEFTY2,0.01563117771190097,
PF4,-0.021667648108380004,
ANGPTL2,-0.05004120520081198,-0.05602351368773155
LRIG2,0.04519606452059521,0.05270868267591847
ICOSLG,-0.016168265862828195,0.018320994939494975
WIF1,,0.026598072014143766
NPPC,,-0.06267291600974866
LYZ,0.02877295959639485,-0.057073352419676204
EREG,0.020375785077396135,
SPTAN1,-0.0342637233507133,-0.01471758435668873
LIPC,-0.011578249751157683,
COL8A1,0.06409349604864517,
GSTM2,0.012460646717477403,
SPX,-0.02465967931401997,0.023106865101347546
MFGE8,0.0641294753360493,0.14636140780039855
TGFA,-0.02382022335137563,-0.06756999748089125
SLIT2,0.0580744385581531,0.2297640249790431
PLTP,0.0031457253970319315,-0.05472133518858412
APOD,0.017678224422987502,-0.093849173508563
B2M,-0.016715526292840576,-0.07490114766955178
OMG,-0.0027795548275404963,-0.06708739932236077
CXCL3,-0.054126943767465935,
CXCL10,-0.03789270886266522,
RSPO3,0.03871666441896583,0.031451147449121
CORT,,0.2165048644286847
NCAN,-0.0885519750805209,0.0431484227679207
PRG4,-0.03497960511052027,
ZG16B,-0.019254134222678843,
TGM2,-0.059567453026642944,0.01384171627557778
VEGFC,-0.04217302477887294,
WNT6,0.0481825291997437,
NRG4,-0.01544169864826131,
PMCH,-0.007133392498132276,
COL9A1,-0.019443036581969136,0.035575954454955185
GDF11,0.00393509672363393,0.03659717006768243
RAET1E,-0.016939433700914216,
SORBS1,-0.009280841936336114,0.04637950920247516
DLL1,-0.03501809198775123,0.09680894818067866
TLN1,-0.009608540955455139,-0.031879637999660544
COL2A1,-0.022472888164577303,
SHH,-0.009578904502941209,
PON2,-0.02983446423048502,0.017540472658969578
ICAM5,-0.033298167034042765,-0.0009853645804252706
HPX,0.0276664416546717,
SFRP2,-0.02361535183722832,-0.01850439411878157
CD70,-0.023559101390508156,
HP,-0.023099092253001777,
CXCL2,-0.011400154390482245,-0.007629410205421993
NPPB,-0.0156638835332791,
CCK,0.020254428754823875,0.08187304885003271
SEMA6A,-0.018935924121757045,-0.07528739395468377
IRAK4,0.08793136736186406,0.06601031190586668
GSTP1,-0.016535503230745693,-0.012638380925268953
VCAM1,0.02483996628170913,0.05577053404094832
NXPH3,-0.0052402913252789455,-0.015120816831780355
MTMR4,0.030266899080864298,0.052402174650185596
LAMC2,-0.029844501653702907,
IL10,0.027720697329022947,
SEMA4D,0.02550772784447699,-0.1029367703615007
TRH,-0.017544600000392024,
SEMA6D,0.018265064978322264,0.017191299320128136
CEL,0.03959535970405819,
PDCD1LG2,-0.02704949094583232,
SPINT1,0.03263171565105156,
CTHRC1,-0.009356402814357413,-0.04241946203429997
PODXL,-0.08721476077224705,0.06681860372144141
JAM3,0.045310698995313904,-0.03537757092083877
TGFB2,0.006144801278546256,-0.023247646460247934
COL18A1,-0.01949248992944565,0.01670117069231861
NODAL,-0.024011380597467342,
INHBB,0.05135904728446639,-0.043652668290142464
LCN1,-0.01774205445313728,
ARF4,-0.02859584442588824,0.05198129792790549
CXCL14,-0.017611235261289358,0.08952376304169496
LIF,0.03789742184500559,
IL17B,-0.02996881248116146,
MMP1,0.006847670479866673,
MATN1,-0.021337982659002896,
ADAM28,0.037558131329567875,-0.015168401279476563
TCN2,0.013416253108326587,-0.07353997431389357
THPO,-0.023099099284866347,
CUBN,-0.018938608488490973,
TIMP3,-0.008921306843917976,0.06847278825664677
PIGF,-0.013335148963118305,-0.05835031389066644
CRH,0.03915529424154562,0.10399756887121954
BDNF,-0.01543779578237264,0.07694464642939047
CCL5,-0.005526796217342996,
GAD1,-0.04758983324766736,0.107663284555476
COL14A1,-0.005909242283003301,
HLA-A,0.0016834143633778463,-0.020897595600845534
FGF18,-0.017544601407981517,
ADM,0.04054529202022385,-0.00487102900962706
CCL15,-0.015216431439097986,
GNAI2,0.05403046511557121,-0.06218736725911291
HDC,-0.014067030353523476,
COL11A1,-0.05625086943562277,-0.03855765501625794
NUCB2,0.03323272218927914,0.11069557997517777
CXCL1,0.03012266804686335,-0.025872644036942977
