,MGH258,UKF243,UKF248,UKF260,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.00745254138526962,
BMP1,-0.030126821700361878,0.039596491425627114,0.033088333898673536,-0.007216986221226215,0.014074392740530583,-0.03888862451575543,0.047355539922200804,-0.04135675324336358,-0.0011040547663356056,0.09410477458205128,0.09384608397384633,0.06255067640326062,0.0893036863326932
NDP,-0.03530650614624315,0.10336637150327865,-0.0007562586808008714,0.02510309609988814,-0.022309584267532122,-0.02064969700825787,0.04897208118484548,0.017806744277139044,0.020900446808943544,0.08926711288271305,0.05924748900962046,0.01863651600196824,0.0016705490205814917
TNFSF18,-0.02312275083163355,0.10295339287191763,-0.02177990790840521,,-0.011245538313954853,,,,,0.0909437620373305,,0.09994604339885496,0.08141191927214407
IL36G,,,,,,,,,0.025630606468279252,,,,
RTN4,0.02951162458307729,0.03529803040094603,-0.02471187044190895,-0.02686007754820578,0.00952312328378651,-0.04617051961743697,-0.10680301751761893,-0.017160954554954085,-0.007737796853791118,-0.03442020853260168,-0.06203518117523397,0.019729602263165162,-0.12900640585762752
HEBP1,-0.03277245261899114,0.059771918410419525,-0.006957658220391668,-0.07167996562801485,0.007621481263910133,-0.019797155790660187,-0.008839474656258232,-0.04112434375190431,0.006824254130887101,0.07269272743288824,0.0143273206662126,0.02346804631241292,0.032553763090451195
WNT7B,0.07292536421952284,-0.013232863265898929,-0.02000077564503816,0.08836836099258569,-0.03223428875606081,-0.011878755079050698,,-0.04836753955502282,-0.017926775893939154,0.11268066082493447,-0.03093603136463673,0.12012426723620132,0.04804821923008933
PTMA,-0.0014894967672844552,-0.11277540368604555,0.02236791596355619,-0.024324077266624326,0.013148383487922678,-0.007519969260912345,0.09939195948672722,-0.0635325715705516,-0.0030658343090029256,0.08646381040955177,-0.05686119009042881,-0.0006528630774724817,-0.008740537278772288
FASLG,-0.02037042501663926,,,,,,,,,,,0.01496807255267586,
CEACAM1,-0.028284513411191647,,-0.013862314490141974,-0.014777317706463807,-0.01768655269785549,,,,,,0.023887952408164517,0.03408462123984235,
PDAP1,0.05093172870539519,-0.00048207568511153125,0.0021197210774963763,0.007226414192611596,0.0032991591835237304,0.01637696439544203,0.01398085084674522,-0.006515061478507707,0.00898381336482749,0.04872476449655859,0.027963397762072982,0.02255207894619088,-0.047876513665673415
QDPR,-0.01839114581980888,0.07879159823363928,0.02501332450488684,0.041690134977445406,0.03375056843738034,-0.005194252301410569,0.038515879838878254,-0.07042434866366763,0.00513348332700815,-0.06382568975805639,-0.17190710237493811,-0.005793209509621676,-0.09014336562063568
POMC,0.0019267288195234098,-0.026857201738615877,0.025925839467374517,-0.0297354576492683,-0.013048433383290854,-0.0319491379109284,0.04129578230370628,-0.02180839258557635,-0.03494475196744228,0.017522279307613253,-0.030474127492430787,0.04031903134469647,0.08406843619974402
CCL18,,-0.01895223612730089,-0.017298858716398288,,,,0.040060549391565,-0.004235261751426892,,,-0.019670901418605034,,
CCL17,,,,,-0.014025375716560533,-0.014702568840709775,,,0.007696051033351235,,,-0.017522200337156214,
VEGFD,,0.002685187273305516,0.042712927098669515,-0.01413810091702787,-0.014942851543395875,-0.010784512049082188,0.2071411519125861,-0.02237458854480718,0.02600852172960271,,,,
TNFSF13,,,-0.013054278049857527,,,,,,,,,0.022791233744650714,0.11227472354170419
WNT5A,0.019486322801127536,0.06381033950083542,0.04625193996457426,0.07177158352979708,-0.033912864396519145,-0.010441533313849892,0.012696553676605566,-0.009100607476304912,0.019718772632567154,0.12330334463073066,0.015249396501042246,0.06974589252837692,0.08361053712150802
CXCL8,,-0.06397527263988642,-0.028754142675911597,-0.05064992185403633,-0.012277817214533528,-0.010043006546278805,0.05507315464277996,0.07095753146466795,0.021560481705441975,,-0.034633718997773934,0.03791683116189355,0.04088708828449846
GRN,-0.04947004932010268,0.04769616983810536,0.049613105143025096,0.024584193725291796,0.03218212416951103,0.05215866219963541,0.05279637096994562,-0.006754259108376885,0.06108584998260589,0.062138182827258547,0.08978016887099351,0.11706162831881027,0.08640606729703519
MIA,-0.008807142541976006,0.03430528244668708,-0.03446530586595776,-0.042899883312953344,0.035537006668396875,-0.012265111258741183,,0.007678125456522168,0.024673553244629304,0.05814469012832347,0.04166801739301072,0.050544837681025266,0.1076348576243499
COL4A4,-0.023591434292335206,-0.04053834090823217,-0.020775788769215108,0.006281097128218926,-0.014642926174581121,-0.02060441150274403,,,-0.005027145702841245,,-0.02487016563061798,0.03311009203923111,0.07802848209666728
TAC1,-0.02037041393392917,0.04486562019738174,-0.06538316530036656,-0.04017634776263704,0.02415846402199732,0.03674054139141805,0.008302891765202946,,0.009008198769326292,,,0.011289605484443391,-0.07382494714184289
RARRES2,0.04329852819993606,0.022705103419583365,-0.01964783895680175,-0.046997319590140564,0.02419964790444639,0.0487403824024146,0.048858493825828436,0.15791864444781645,-0.020401934064693227,-0.0058733519773762725,-0.06593477620242885,0.04031060753265452,-0.03384795762681234
FGF7,0.01703414727308339,-0.036750781028689936,,-0.02707035150087503,-0.033380422378017374,0.04249188165298094,0.03029260733641937,0.05201641017847157,-0.03711580680923902,-0.04257179482763482,0.03378355944412861,0.025983069125649984,0.03979169867641669
HBEGF,-0.02626187941032613,-0.03632802161950449,0.008498419273590477,-0.04432309349486107,0.0014562765475058805,-0.027695660989176397,0.04441027132894467,0.004143878491233646,-0.025315672902322825,0.08895774446854261,0.07971003612447089,0.03479320689720057,0.0757532805799668
CSF3,,-0.040538308813906576,,-0.04710442668216587,,,,0.08690328735557794,,,,0.007094942628527768,0.07347488423731757
