,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.032280811818232315,,,,,,,,,,,,0.005878905563054721,,,-0.046207562217010265,,
BMP1,0.07061391562748434,-0.0479936643276643,-0.00359944376343795,0.03400280511916907,0.19320404106373223,-0.03602759322052962,0.05441727245337362,-0.006403310663995643,0.13030984683250343,0.04857660970247796,-0.035243060385403924,-0.05279627428757655,0.0566304693755501,0.11804962878771558,0.02771587385795943,0.06512460617276182,0.05847083180735091,0.04740620897909157,-0.05444871600636744,0.06426330603082965,0.11642976742425083,0.06410064505264255
NDP,-0.01544073376618717,-0.04187371098546385,0.047725767283482615,0.016486857907561738,0.033509304470444326,-0.03332151153820649,0.026068138496133132,-0.005286295857747177,0.060024864537957134,0.047449500505388764,0.057143019495444154,0.010183013496868206,0.031722619734427374,-0.009860258447866047,-0.006826997801827262,0.06823033746192965,0.06297889479051778,0.06580918721797437,0.05527449696908084,-0.0027409858187052343,0.004028013315635651,-0.07466622245569582
TNFSF18,-0.05166409566401135,0.0023164499296252743,,0.08630164148563343,0.09691571454913578,-0.017492660875933142,,,,,0.09545635145577377,,0.08237525745759325,,,,-0.030922170386619003,,-0.006249487954914695,0.030021919343698963,0.024441978130286892,
IL36G,,,,,,,,,,0.07615716194299436,,,,,,,,,,,,
RTN4,-0.041577776636735626,0.004345457559690748,0.047772912619000026,-0.05445373126660292,-0.18128584952150548,0.025155847796055723,-0.034797553336900176,-0.07050109038742276,-0.022005526512243627,-0.027364787683504713,0.016098143379227547,-0.0810456956917953,-0.026330178243162975,0.0001659347524456602,0.04903888380821453,-0.021625770321738014,-0.0868526810889692,-0.08425359657707529,-0.05384311692236975,0.07503239076839593,-0.08751994779551547,-0.014835294825126185
HEBP1,-0.005270151975146123,-0.049831140653064536,0.030221822004029893,-0.006962215621084089,0.11082851023932253,-0.022056887318780343,0.027259912401533207,0.0560570604555109,-0.018767537468393297,0.0007692489256685189,0.08372675617093733,0.026291873899899648,-0.08037195871796222,0.007994540618389272,0.08641320914375561,0.04372320133289044,0.003236304951065773,-0.007229394229877074,-0.028462643818044277,0.070218044462245,-0.018099577273735627,-0.09682906407535495
WNT7B,-0.029760315117750357,0.02369643317044145,0.024723944956770036,-0.022634647209948462,-0.09133175741839177,-0.03209969833688808,-0.01868493700813994,,0.09142118425447802,0.04016603656004046,0.06730432631941186,0.02249891087850224,,0.04704313536591748,0.0015889067329675356,0.006088199468872857,0.005661602690061963,-0.029198145903128254,-0.0077838668670350865,0.0886715140622069,0.01686612446084179,0.02309014437832756
PTMA,0.04062703309108763,0.057109692021617094,-0.02220854950282774,0.06818663097020936,-0.1873019355955879,-0.0293487417929711,0.006415684057766124,0.09970270096441662,0.1386058388730641,0.0472166682541809,0.07385642820422637,-0.10003198587144133,0.07244654466391486,-0.12251936655910048,-0.00508152960716504,-0.037455533728744855,-0.015126419484892004,0.017733786852693716,-0.07870290320294182,-0.0007376027692883882,0.031611132576163055,-0.021682263178071568
FASLG,,,,,,,,,,,,,,,,,,,,-0.017111405330288976,,
CEACAM1,-0.021532899550997717,-0.01701862086303437,-0.016178390452821368,,0.11100497375770974,0.0027053203669243535,,,,,,0.026599052896457122,-0.03834494455863807,-0.032297451069489475,0.14312186032911764,-0.023793305795199525,0.01147348680154664,-0.019379234084993847,,-0.010849151566663785,,
PDAP1,0.018383405649135307,-0.059288717033495544,0.020349918113946586,0.04162062943344537,0.15862550546758425,0.056714454095237316,0.017024293983524123,-0.005601661252025118,0.0884131043209801,0.013706770601015267,0.04500226275456129,-0.02131566439272696,0.016345124461183837,0.06277794627871215,0.04558982201133506,0.022141054797467138,0.01664139737359202,0.0142624898581505,0.07321478378476774,0.015652001983623768,0.03328433356429952,0.11146370543669734
QDPR,-0.019133358940203023,-0.022550642904782318,0.013839013081803802,-0.011244401864366661,-0.1974216610820735,0.03959664926645734,-0.027732338512172192,0.039444129652073986,0.06529699230057409,-0.011393474525704725,0.04216160492927146,-0.03378351684009353,0.04155570975394935,-0.09101983813505993,-0.023473004061492286,-0.010318055344299002,-0.06397551438553116,0.007177837362238066,0.00010300934146617836,0.0028191265384227473,-0.11265418444223721,-0.002850727409761144
