,UKF248,UKF255,UKF260,UKF269,UKF275,UKF313,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.13811784200790156,,,,,,,-0.017312737219089616,,-0.03747715630680262,
BMP1,0.06755109274155555,0.08371018075335751,0.02003835483635271,0.10596430245935064,0.06446811359178027,0.0015872542364587594,0.03805299230700938,-0.007668639797651235,0.12716404797012787,0.09323212061532814,0.11480796959589859,0.13583891605445694,0.15567442974136775,0.04186817353765396
NDP,-0.019202385903635318,-0.041778314459973945,0.02006784355297626,0.038418206156951185,-0.009721780700037434,-0.05598806626232694,-0.05693967411996075,-0.09501359650058032,0.005927562249519547,-0.06178986771519831,0.06489811623961791,-0.032981697617211814,-0.014859548960770236,-0.02370150741542059
TNFSF18,0.017620590118103706,,,0.07825252727792603,-0.010647509681371023,,-0.0252576917480954,-0.04155880655725696,,,-0.01785432030628955,,0.05230088103674176,0.027077250516409128
RTN4,0.0064740647712729985,0.09109147505709,0.018655530204176592,-0.11036571460294199,-0.0006087861384854504,0.06027193953204126,0.05262946707472968,0.017112785390212656,-0.06005205779726492,-0.02745494727298801,-0.11816044225727797,-0.07739962684267997,0.015827433150432772,-0.017158552825338486
HEBP1,0.012818976393389057,-0.013347325764497686,-0.012151836885621221,0.09234464316340256,-0.005396014944956222,0.07610950664157322,-0.030359722938217877,0.003835139836837219,0.021565834880972887,-0.02636041966602399,0.1038474066898886,0.026634361808123525,0.04488106454571859,-0.00335795993439088
WNT7B,0.027411777067415974,-0.0339458984799535,0.031128231486215397,0.007703177149426143,-0.030520095349847606,0.07658054444632813,0.026441850718786873,,0.004633839018525021,0.08087413007498241,0.016161710360627208,0.03593005228659577,0.04722330213656129,0.04201322652834312
PTMA,0.07683740903780008,-0.02888674803384574,-0.038798078341440084,-0.02349822950783514,-0.030950638514076548,-0.027078080302498805,-0.01901038775331938,0.07037606216684608,-0.043697801336750546,-0.00976020208393329,-0.11427951036024532,0.05813314638548615,0.07943263374877285,0.10423369141992526
FASLG,,,,,,,,,,,,,0.020945377398968144,
CEACAM1,0.01915103489799541,,-0.012960567117270684,0.02570651002452454,-0.016745996129576765,,,-0.029222894136514767,-0.025323607442598914,-0.016893070930898636,0.10864464262061012,-0.022637191532455924,-0.006355167787560626,
PDAP1,-0.056947884059953886,0.05772211304148966,0.05334852716657319,0.09516424424947734,0.014824612518243078,-0.11899021559873221,0.07062118863581647,-0.05262962668388608,0.04791938020659676,-0.003999671299873567,0.0692627719356352,-0.00017150945287035114,-0.05418855254851067,-0.01281120656740517
QDPR,-0.00508969301192625,-0.04444798329592757,-0.02780911392918003,-0.13099813010858763,-0.010570789007092863,0.042444790344623166,-0.005669692248675026,0.019151269432762304,-0.0024763358484681825,-0.05736863713617146,-0.1373503178197438,-0.06359463428807943,-0.025332564388685412,-0.029171890901022082
POMC,-0.02838408825116884,,-0.026079725852921697,-0.006880149397625703,-0.012354528249030876,-0.07069271317411378,-0.01701190990144044,-0.0024042970442705084,0.04214399807461947,0.003330901573486431,0.06245176689411349,0.05568229579135309,-0.024912027755249772,-0.003267722271763411
CCL18,-0.023145818496071315,,,,,-0.03101327585189673,,,-0.015822066841452213,0.013564109470680326,,0.10899542914733866,,
CCL17,,,,,-0.013279517579130084,,,,0.25124312505200347,0.11292794618066289,0.07016931822875459,,-0.02946115707469597,
VEGFD,-0.008008713322382385,,-0.012399936814360775,0.02562060924927458,-0.014148202783512946,-0.03708757842373261,,0.06346296649312606,,-0.016893070930898636,-0.02407422018898894,,,
TNFSF13,-0.017466582928550547,,,,,,,,-0.03447381327483672,-0.026506974821319133,0.24908848932159844,0.07698305486367596,0.0441193196085669,-0.025124402071387837
WNT5A,0.023010153257533784,0.04521042036259678,-0.03162582764445523,0.11856990103771477,0.007665954529036799,0.006294015171847014,-0.015352597613115982,-0.06166927423808735,0.08244634813738787,0.04639969745470113,-0.010083548358495857,0.04740068723697322,0.08743936901396251,0.03153427383648223
