,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.0039031788608932857,,,,,,,,-0.005055428526887074,
BMP1,0.031786770390447736,0.004518415807611471,0.022741117777699497,0.1692534690822546,-0.009565063864145018,0.07620068984010236,0.005135119544383946,-0.07833302281166594,0.003674485028137203,-0.003611200724906533,-0.007030656365984721,0.04174650442702541,0.13065740051825023
NDP,-0.021144382174845187,-0.05369549424306758,-0.056562190369261696,-0.017687541008483187,-0.014885783088161233,-0.03246614492398868,-0.029938078625241008,-0.12508322993273469,-0.05276281381775655,-0.0014024680607218165,-0.010484121401538558,0.04585214775075948,0.059240543991150196
TNFSF18,0.03356984682303075,,,0.16080000186301152,-0.013749101485079001,,,,-0.05558321253433096,,,0.03541286392023886,0.07332320222595644
RTN4,-0.010395615437324077,-0.014367067564179988,-0.02230362265872105,-0.1931791917021794,-0.0057776662905630475,-0.029860129121096163,0.08753628164323997,0.037063133840103846,0.028499904169974,-0.024757957417396156,0.03226850845355353,-0.044571817081843275,-0.04049483948481158
HEBP1,0.01855192282083626,0.02969135774479404,0.03650076591556175,0.09367244581097156,0.03082659454261945,0.02288168965851511,0.010047409946802616,-0.10504618099185783,0.016252462239103208,0.015356222132359942,0.013009350255893047,0.07780541022504844,-0.004965679936817675
WNT7B,0.0026019772647469016,-0.024648099545544516,0.025960295933954693,-0.04463291466162778,0.07467737335350669,-0.01454651445664429,0.009771399184086482,0.048850411658345916,,0.022865555000632868,-0.01946367719141505,0.04528069042048869,-0.012950709906729304
PTMA,-0.027431970545298983,0.024335963759203348,-0.025816258347324848,-0.15124276361890238,-0.0037175765840695633,0.058011752108634004,-0.04934349177661814,-0.013791393872558904,0.004886034079572633,-0.047749171347067736,-0.005226138353731145,0.01881563218755082,0.04790806288116029
FASLG,,,,,,,,,,,,-0.020145821822445415,
CEACAM1,-0.015803934635700758,0.022265760345426332,-0.015405852065540997,0.0187619282690018,-0.02162406113207159,,,-0.011387537402322566,-0.01463158985101364,0.09822164310733872,-0.012918325625832842,-0.028029952183289082,
PDAP1,-0.03395668935735868,0.01018215526226687,-0.04568898195391307,0.1521256242034082,-0.03572914958011195,0.0032755594147669174,-0.03433520187627535,0.019155728844111545,-0.06898683732679824,-0.04392642737155406,0.037559645389141846,-0.017728735277903897,-0.03475715765387318
QDPR,-0.09324029920563673,-0.00798823510477448,0.012786105922867622,-0.19942952682516,-0.09105440816194979,-0.013376016741730268,-0.006622492563604977,-0.07690482513081512,-0.012153227903713103,0.019835265297530335,0.050754371143616125,0.02470158689458085,-0.09462476027300423
POMC,0.02102202801757582,-0.0029794478688617483,0.007272126273275639,-0.001189544428293494,0.0015385507003875807,0.0036174586398494703,-0.02484519620508793,-0.08967553020389557,0.037155094466383556,0.004589349154172174,-0.021132683699858393,-0.03264868837539943,0.022873918585795117
CCL18,-0.019721817205965067,,,,,,0.019740366502105287,-0.026468139246214297,,0.03940895594017728,-0.03596475683964626,,
CCL17,,-0.01649663074292891,,,-0.017147806419729888,0.035090929960615,,,,0.08675379106829617,,-0.0182599247110168,
VEGFD,-0.01972182346856574,0.060232816118172355,-0.014739447005334933,0.044775099554759744,-0.018269537358800388,0.009032732173978,-0.01678641888477854,0.06560341502172609,0.09895017373155815,-0.023643053861448955,,,
TNFSF13,0.007995419446575848,-0.011379006680974281,,,,,,,,0.059527547905201,-0.01450641385887563,-0.029753023222613285,0.07057580044225793
WNT5A,-0.029970647360234505,0.04116468842500261,-0.03921015182216956,0.15198003585493855,-0.012785226665136071,0.06790727349630392,0.04036153343197075,-0.04099179859834457,-0.05262997960421187,0.044471223343128134,-0.023966732713578704,0.001659677326001486,0.07348015888406154
CXCL8,0.04583202074549746,0.08654816569944153,-0.033465647476096254,0.02205918132283015,0.0775080317739894,-0.004850183847353361,-0.020098817828335492,0.05275543168773753,-0.008238382763851877,-0.032354311683264296,0.021564176273712165,-0.000715705032842611,-0.014804907197442348
GRN,0.014859899639858242,-0.0036997338063061705,0.04012105620252375,0.08747616926438556,-0.015029372161209817,0.0350308570632292,-0.042803833200351346,-0.19865453287959284,0.026341175867077262,0.061709361666583785,-0.034611616801645886,0.009591141848074046,-0.004250751726252245
MIA,0.03957908951954916,0.11103131105631332,-0.025734490163236118,0.06231260460434242,0.06886174701019317,0.021984930316092763,-0.022765399736916603,0.035571250347023735,-0.06580466631700599,0.033647860993462626,-0.006826290456579202,0.17706598480655394,0.06321129484162291
COL4A4,-0.023685742229214046,-0.009170434446390012,-0.053380813010818914,0.11740670923690204,0.0440143969695678,0.009588043704371215,,,-0.04160530386460148,-0.037856226034373844,-0.026034891122647997,0.016675080280370836,-0.034326408346377804
TAC1,-0.009453195942506236,0.021458416697816902,0.06702886717206348,-0.103755535787362,-0.03825080855862841,-0.03615055342305653,,,,,-0.02228779190936324,-0.024004527779926853,-0.05551438146711504
