,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
CEACAM1,0.12032183095061925,,0.015162303830765165,-0.011522182904571306,,-0.04292661841005386,-0.015788751359885625,,-0.016936416947873168,-0.07138360221160422,,,,-0.02173738060760539,0.009322858317330847,-0.005776681009790132,-0.03429092192916271,0.004362839297637385,0.08158171243480919,-0.011373195814006925,0.004977413706890878,,
PDAP1,0.01913713927354041,0.047305705460480976,-0.011107898979823021,0.039831468163374205,-0.013775561025323239,0.05303155285808807,-0.03209056294099084,0.1279582465778578,0.10737121441827568,0.024547888736180416,0.17448507839920435,0.025276389168354483,0.0746647321824226,-0.15886059477017656,0.07785995782274643,-0.0028208519742059556,-0.04105264952654434,0.05186834407574552,-0.025337289092929004,0.056510950870287915,-0.07170650042171756,-0.06645016936903417,0.0598051256012459
QDPR,-0.015875976706060578,-0.020343252610401805,-0.08737341903124338,-0.0026004261815260146,-0.0116978329449058,0.0157980688983846,-0.016725719055396878,-0.00391707073289752,-0.1528057516702951,-0.12391910023212434,0.08358456050648602,-0.029188154434615594,-0.014670979273043807,0.04281532739432674,-0.00077821001340316,-0.2463941832888826,-0.04169919351881706,0.044137291832075244,-0.20633465034504,-0.0838501512955361,-0.016386048747597238,-0.06121120557725241,-0.03632617359816039
POMC,0.016536065768365603,-0.03298841270717431,0.020160386234442187,-0.02047308074243288,,-0.02825229801383982,0.08247365301830756,0.004541383580869393,-0.012333947548454469,0.017584567969454477,0.07567645602648401,-0.04496184664642878,0.09099559840795471,0.031091696970616197,0.026367552984909948,0.018337069981200552,-0.01042869494104201,0.05245389117891298,0.06125175521947774,-0.02735277674980204,0.11094447582256299,0.03235851678598423,0.10636930098103445
CCL18,,-0.004652559119027712,-0.05154683525880468,,,,,,,,0.13060160960650713,,,0.07253421747675232,,0.013976601376461003,0.03780880798734019,0.06576080435334046,,-0.07377738583088353,,,
CCL17,,,,,,-0.012029813462046686,,,,-0.005395335535461057,,0.009202843205582149,,,,,0.022038055969112215,0.12227128715419004,0.07747911311496024,,0.057027944588519466,,
VEGFD,,0.06088136391915608,-0.04280841571677816,-0.016503215322545978,,-0.02646411171485686,0.0416918322405071,,-0.003704358679135464,-0.04051825717697588,0.024863468327082992,-0.023476313794715768,,-0.024192514228764856,-0.07629466790765513,,,0.015811947861935703,0.015583591194784604,,,,
TNFSF13,,,-0.0357755899069056,,,-0.021795183595387266,,0.06388627944783876,,,,,,,,,0.05071143464107009,0.06654366771502185,0.1433748884930403,0.019009519367084712,0.05008829875813565,0.024346498616630456,
WNT5A,0.013834759549426406,0.01965941488528779,0.05162561481058663,-0.05867528058205653,0.026980623216926364,-0.012462858103438878,-0.010140135683248112,0.0798994441855164,0.06958374584859017,0.04191895451541003,0.03598452742565558,0.0200930684795675,0.14163986130196513,-0.08548009478572188,0.009736228608427072,0.12916088562353883,0.05861438857978093,0.12547126081049348,0.053770963878267096,0.10459674214991711,0.2187150488648566,0.08575962045524202,0.04371370372168902
CXCL8,,-0.0009635066192332538,-0.07592430103861693,-0.015452632651264052,-0.026514312816400324,0.00803865823685342,-0.03900355191931126,-0.044122346238069834,0.08113041452584886,0.12568914770123266,0.048475257782612864,-0.05477610068771724,,-0.10148517696534756,0.11399998728887202,-0.058569764958936545,-0.04317469388314957,0.019727985475567606,0.026637729585543925,-0.004112014488308523,-0.01863648249807704,0.00980640018411531,-0.03681836048115819
