,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.10336192830386583,,,,,,,,,-0.027000002820013715,
BMP1,-0.00043182156220630813,0.07900169021211757,-0.0023340882342127974,0.037298732971009725,-0.04511029794988224,-0.04084781856685058,0.07647560675832549,0.2163441801872118,-0.01105306308126607,0.017933269088764053,0.01082373042946767,0.06930997099438661,0.027173222477487078,-0.039320772532566835,0.0470331201767075,0.004410946839454786,0.03433319769107332,0.10492908502208513
NDP,0.06871601464443018,0.047596181803949936,-0.04713864480930114,0.028533086699039176,-0.05046711568513648,-0.024450086165886464,-0.019507334996578682,0.03910386491495391,0.0752208064426357,-0.001464457694898768,0.04003286092235703,0.021132219932331265,0.010665325452677189,-0.01401648798506232,0.0019361028842050417,0.06089041430886754,0.0594560563135267,0.07779541218282011
TNFSF18,-0.0004709896046394054,0.01667817703739017,0.05963815357948897,,,,-0.02396794093339971,0.0843888639607346,0.03267981860470289,,,,0.1061886017742135,,-0.033715036180896565,,0.02793792176191942,0.011571928770837965
IL36G,,,,,,,,,,,,-0.024685025401171734,,,,,,
RTN4,-0.008727902422307672,0.043547467780102364,-0.010684437818263927,-0.029131622977467967,0.03158083505640958,0.016595011156108456,-0.13522030809301167,-0.28603346916622685,-0.00956363135513177,0.07706627449252823,-0.05471092294011753,0.003341346940554405,-0.03877740410393513,-0.06520950388681591,0.07503289638387849,0.0674849721626991,-0.018048698114321145,-0.1149046579554093
HEBP1,0.06087777955772786,-0.010407747816815088,-0.044272608928732915,0.001735247192845412,-0.029355093309903383,0.01602552532361021,0.0763531368164167,0.11243143277503316,0.021051612469721762,-0.03211680927326305,0.06320729029834085,0.04190447258705552,-0.033946160509354215,0.048378536237717686,-0.03738859507854069,0.033368936361041164,0.05864075236665395,0.030622000050401554
WNT7B,0.005238726785195595,0.02483886108607059,0.003994294963240505,0.004545900932356935,-0.03068466769356537,0.06701235283838171,0.01012027295448389,-0.1217857238804275,0.00853838209183813,-0.015748785628300177,0.05942146605781635,-0.014725535578714992,-0.02613148275307827,0.05714567605721224,,-0.037322502076893846,-0.028237699853199055,0.06794953298124522
PTMA,0.050960112231612766,0.07959022564314516,0.021538575518343837,0.18641605817957266,0.037325204216281035,-0.044764441451032144,0.2043679730005545,-0.1559064512417088,-0.011243121627580828,-0.008864107415348673,0.08134582954921012,0.05609177196821405,-0.042892050434641414,0.012599943752083727,0.027693772193284113,-0.0014333393495696413,-0.027625582704687072,-0.045669469475190454
FASLG,-0.0195208402002648,,,,,,,,,,,,,,,,-0.02341709323461383,
