,UKF259,UKF275,UKF296,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.01908563083164605,-0.02248513856127752,
BMP1,0.023592636801149192,0.05860566978880603,0.041289600666341214,0.061189839130663365,0.04040836659462187,0.04810226062659206
NDP,-0.04041024935367866,0.05263128236435931,0.03512361796748398,0.07725305518607427,0.09035289234196027,0.03524623939624494
TNFSF18,,-0.01619555054670356,,-0.019682674195509033,0.0552795872432996,0.0653539399179968
RTN4,-0.03776990518140745,-0.011295426181606677,0.014645954854524799,-0.16128233894956331,-0.019575289070382584,-0.04246645210310499
HEBP1,0.009119371382286684,-0.024036640168272918,0.03798940541061597,0.0076450687494423126,0.11257324708527129,0.00832898383325284
WNT7B,0.012827558064401983,-0.007533220466390493,-0.023412786985492786,0.044088187566762006,-0.050558769084541204,-0.062483613614997546
PTMA,0.024796804903385653,-0.07020713918152365,0.03284659664655304,-0.17690729971785513,-0.08943602347626736,0.050736497364212096
FASLG,,,,,-0.021702473108616536,
CEACAM1,0.000849919635948206,-0.014550867609305362,,0.07905916769690423,0.022192015285934695,
PDAP1,0.0014483797840251483,-0.03586971906365925,0.02719037804865203,0.01888290559273673,0.05353048346530238,-0.04930190913865824
QDPR,-0.02498960221265051,-0.02277163596038366,0.003988983385077034,-0.11748777065183247,0.11492347646378098,-0.0579826995597743
POMC,0.006406004128406936,-0.018792036140425673,-0.02997179732482285,-0.017035216337353897,0.04019091947634224,-0.015766053019825282
CCL17,-0.0009324468154165179,-0.020199004708577682,-0.008631576397226748,0.052929010763543546,-0.03845347770887589,
VEGFD,-0.006472639390653546,0.004841234158680811,-0.021256056014905225,0.054267646852876036,,
TNFSF13,-0.008646576327395543,,,0.08727579417741213,0.010140631544724424,0.01344801400270338
WNT5A,0.05728884204241306,0.010004123364257773,0.02206467224837611,-0.004751920241839591,-0.02903277398997629,-0.02508954121418281
CXCL8,0.06883052310430379,-0.001266929372753504,-0.005538964769099786,-0.035726403300258246,-0.014866068491780612,0.04025791969799288
GRN,-0.025866764018596503,-0.0023807566832349703,-0.03419526156506087,0.13130742177527083,-0.07321549453514285,-0.03216916885829396
MIA,0.021033253676437373,0.0034896954025589915,-0.000802117818789989,0.12291930869981883,0.14710383090849607,-0.06635581139784374
COL4A4,0.005644253689096187,-0.021088385846126354,-0.01918087316046469,0.07001680539096336,-0.022646242294167424,0.0005656832078822359
TAC1,-0.038343027042685024,0.007448175379213704,-0.04024152052594096,,-0.05055100656250783,-0.1274812856951133
RARRES2,0.001985747714372013,-0.030759307977552636,-0.02407667640779741,-0.11153514591850426,0.043846463405940415,0.03795931515525307
FGF7,0.03779931938805938,-0.022562038885218082,0.000909650685854879,-0.06345444222682008,0.10853364052502454,-0.0563014916561323
HBEGF,0.02495661955105853,0.03813257841019868,-0.0424529912971111,-0.022128448117181235,-0.04935183095893653,0.06828149135931089
CSF3,0.07859141960257421,,,,0.0011425706627571019,0.1311100120386469
PI3,0.06191409241842148,,,0.003189787010882253,0.0025187916531058223,0.009205344378987226
PCSK1N,-0.07090498520959863,-0.01922035896806917,-0.004647327846781212,0.0591699595986782,0.12227554987347293,-0.06168138959510083
NTS,,-0.024091029461388497,0.015052239398528813,,0.13293752124159275,
SFRP1,-0.007121769328933682,-0.018732510892779105,-0.009382913617988445,-0.03236675895116192,-0.02529897222241653,0.056811015519063555
CXCL13,,,,,,0.10865117915799725
MICA,0.04721602699767264,0.06862357027442532,-0.001968962644327978,0.03263035346780075,0.08046725446554448,0.042482696401299445
TG,0.04634329019407749,-0.020349732842991866,-0.02097159074658178,,0.005402798656248067,-0.023504842025624972
ADA,-0.003069931616617509,0.08730050818470929,-0.025303353557640986,0.04515170494997058,0.07123549969761929,-0.011790223316759368
LAMC3,0.0020286228733135954,0.03466128032120701,-0.012420883087011319,0.09287378149793492,-0.030301390568416634,0.022705305168287046
CCL7,0.06873440666725074,,,,0.0022275657620868393,0.012887544261114827
NGF,-0.0024747319769058067,,,,-0.05264071890638891,0.05111619692049235
TNFSF15,-0.015087716651277953,,,,-0.0320500858742916,0.024887697550716452
HMGB1,-0.03973373007468963,-0.007135851985037114,-0.04565214472887394,-0.06864725920110967,0.06298366066881317,0.016022853160201373
ITGB3BP,0.005633980715301111,-0.03753495396996862,0.008574903987092628,0.08261074364469331,0.1042401977970032,0.028934913851676982
AANAT,-0.030291294304782078,-0.01830063366991149,0.011844091912576146,0.035256297261288316,0.013934105141177221,-0.014899465331571453
RELN,0.033050040692708865,-0.040292087877005986,0.009438210763902638,-0.012880968280160016,,0.008627364912279683
IL15,-0.004747242068446216,-0.006218433347728598,0.054311203393038854,0.027569002901327078,0.009484393646747087,0.04456542894592285
BSG,0.05133871708375536,0.012218176084492924,0.008566116480591118,0.18438330672498374,0.1138250754987198,-0.03630567376601759
ADAMTS3,0.0071074082757492845,-0.053901023133004655,0.019290543806957498,0.07632664933775943,0.10197570961265041,0.01042195639017709
CD34,0.007443837226152721,0.024057359973565163,-0.003866467785961043,0.07475653034544791,0.03379203098155479,0.06502845381947785
PLAT,-0.03976086838287257,0.028648847761513677,-0.022802678248847096,0.16193834658438205,0.06080942370077887,0.043393731851568064
NTF3,,,0.006688846034924861,,,
