,MGH258,UKF248,UKF259,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.03385874633701486,,,,,,,,,,
BMP1,0.08810721063042683,-0.023623373217275836,-0.017497154720745742,0.0313724522163562,0.041475614812095954,0.11443142630660529,-0.03345970905535939,-0.04064166256593248,-0.08441937997684369,0.029596858932702863,-0.05326093207984146,-0.005224246236438902,-0.07189780326477936,0.011206422222179773,-0.012811247235380428,-0.07571557242583891
NDP,0.03099535198896895,0.06608741853988871,-0.004542431800081462,0.054795461307141254,0.05521032770833993,-0.01922151630889031,0.004506670982517548,-0.042526296439585734,-0.04594369255147603,0.09525865082584484,-0.13184124725533214,0.0016361413055369207,0.12741262555108612,0.00654263846128767,-0.00011010819162730773,-0.014188382210853289
TNFSF18,-0.037439752966344254,0.0013942053323871878,,,-0.03174039962457649,0.06369522621471609,,,,0.10500806402223721,,,,,-0.0024574046066206546,
IL36G,,,,,,,,,-0.014714568578642884,,,,,,,
RTN4,-0.15383998410616237,0.018581019560500824,0.036803856574498764,0.035178378474818424,0.02289845380140908,-0.16182197677475255,0.10301726509932185,0.11657471162346303,0.08485456849941439,0.020982546628161895,0.08648569391858608,-0.04408147604097141,-0.13127216787740176,0.09656857874676326,0.11850714361237039,0.05503324215795493
HEBP1,0.04263312365233575,0.03769126359814427,-0.03235038065596308,-0.0002804881188454946,0.06632554526415364,0.05704112352633704,-0.0022949127700655357,-0.08672467054074476,-0.02469904144424477,0.007251502525778338,-0.0914185922471317,0.06953748547375047,0.08717777464101167,0.12420842900014552,0.020891340247733477,-0.06181194896117782
WNT7B,-0.042632103895145504,-0.01706503542408436,0.03749015834707443,0.033500841727078894,0.005397078999901117,-0.04437840545664651,-0.014006902906070188,,-0.016173006595404354,-0.04439990965120908,0.02824031949383268,0.08520601034212245,0.05810330245579332,-0.02799803974714787,-0.01593638876570066,0.0380628718264121
PTMA,0.010841318699123791,-0.07921838349319349,-0.07607733100200227,-0.020724923902104366,0.045219671566850306,-0.040931835844354655,-0.06228435338475746,-0.17266297707170852,-0.10000460067065717,0.01391290144122624,-0.09516880378278288,-0.04578376691086136,-0.0005075662441560553,-0.012192146519620556,-0.07484710825936504,-0.1427923776427573
FASLG,-0.042632115947132065,,,,,,,,,,,,,,,
CEACAM1,-0.015137053400562124,0.035223410880725115,0.03738789514700084,-0.024067687580647406,,0.05745514284896508,,,,,-0.07717942763963631,0.03127708971685287,-0.01456766681501193,0.004359261328032557,,
PDAP1,0.0646850522619934,-0.027357299033695923,-0.0012245433540032146,0.012540482482367018,-0.008931157394038797,0.1326528382684177,-0.01755722410803862,-0.01118480783078354,-0.038858824078585825,0.06082214838954842,-0.09542389269998593,-0.009205588343037068,-0.08132976137408769,0.02162034964170651,0.04003473065381462,0.019380385929347377
QDPR,-0.1500851253330471,-0.02702190268093363,-0.027875720027406976,0.05088439440642462,-0.009465875836125208,-0.09852283682080376,0.055523521180213524,-0.13887988871956186,0.04882692116180636,0.008318011948846014,0.06505796115101568,0.08104101577298853,0.11686451777582117,0.008014662275787806,0.058802640786827745,-0.004963178886092856
POMC,-0.009322191366424704,0.06812047692995175,0.01787365128434275,0.05994794499847169,0.007572054197171693,0.026905903692035747,-0.03767301115924542,-0.012565613078069613,0.14105185910550697,0.1617586326105061,-0.024704001430100337,0.05385042086604767,0.04222091804429125,-0.04444064855953867,-0.01592254534835998,0.02532788503765292
CCL18,,-0.028663080649976736,,,,,,-0.07035241765153831,,,-0.06900243705799299,0.08286768933267546,0.0902666453500291,-0.024938289965501834,,
CCL17,,,-0.016496629486142746,,,,-0.017336619271225217,,-0.013442176143050584,,,-0.041952227353941274,-0.01932812065840666,,,
VEGFD,,0.09238589083835139,-0.0183790669657459,0.02559300959393111,,0.024624449220412313,-0.01271661989455802,0.023093658724422785,-0.014406396521555781,,0.05842975532059183,,0.06464454013193068,,,
