,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.0348630064516799,,,,,,,,,,,
BMP1,-0.019048051630358637,0.09196419512580528,0.045583347195150344,-0.03471717165130993,0.009519586825913959,-0.0054399855886741785,-0.196836912047418,-0.06321829323255805,0.0011894564747943859,-0.04553828815628813,-0.21673906574723245,0.00701573675414758,-0.009352487123869602,-0.032246801538292014,-0.07559927197112794,-0.07826013760282519,-0.04885972178891627,0.021123633267535122
NDP,-0.06069879534737714,0.006953613196970258,0.021268204570988696,0.018130063532906745,0.1584660741077157,0.04986563006952427,-0.07191373599265194,0.07280442719530575,-0.006293303296284249,-0.023478233873189567,-0.037322750454565116,-0.019494526231878622,0.01915481401456459,0.07501221911566949,-0.010647606922511503,-0.02956732948535687,0.09689431236727267,-0.10216879054751492
TNFSF18,-0.03217504057827299,0.018749119451986686,,,,0.0032008617108064217,-0.05177051796461051,-0.004786102202358483,,,,,,,,0.23828481702934892,-0.022502297480631483,
IL36G,,,,,,,,,,,-0.04051953446252862,,,,,,,
RTN4,0.20866311801839954,-0.0007118481495009914,0.015522034270354833,0.00313657569246575,0.13819280915472912,0.16765286857267087,0.25629066489674057,0.1600238673204506,0.05156136397502473,0.21709952615207156,0.3174201398736645,0.05103575117584483,0.05291298361615933,0.03550791288308672,0.1567730720800114,0.013843304640496707,0.18236598937606766,0.005341451010685692
HEBP1,-0.0987901526240693,-0.022076201338148995,0.0458613319889003,-0.042336065386273145,0.012740517616527757,-0.09432758293389544,-0.1162229019302845,-0.005293447150644479,-0.033683491480711175,-0.04219953212903209,-0.01724820159591543,-0.04303503203801202,0.09306786559077986,0.008789073062560228,-0.018245764238496064,-0.016448322923855778,0.03968409252600735,-0.03858683885579522
WNT7B,0.3793257274281859,0.03185962694018684,0.038495802692778816,0.07283443254069817,0.06638633094559154,-0.015013002868815612,0.18503150559519352,0.0204587691974582,0.012275728278898813,,0.11738931783141629,0.0009649517471587969,0.04222024325401371,0.010309622775091969,0.010383646061878027,0.05362717959903935,0.03968422968903623,0.06486080614915128
PTMA,-0.024158737640152094,0.020704050692339902,0.10223139440597513,0.01645515778927488,-0.16749703390724374,-0.18272115091234314,0.0414077891733428,0.06472222493063105,-0.0612666370258016,-0.2998837022046657,-0.35587743989438586,-0.05468159689454421,-0.04702241797131237,0.003785515622693916,-0.007485631785052033,-0.10567217720565716,-0.11131268426880708,-0.14446765691871286
CEACAM1,,-0.03147513827604265,,-0.04197551784691228,0.016044480054420843,,-0.056719742971946485,-0.03204236014356473,,,,-0.0331223217270299,0.06702839150205787,-0.0212776569139232,0.0004386097031923303,,,
PDAP1,-0.049987178087147886,-0.0031326975164307626,0.03946901232482927,-0.0024902821154247174,-0.07432370886188087,-0.06642176568849298,-0.16564991125338838,0.011907801113204528,0.005884658192606617,0.02052404813639265,-0.19037187869810845,0.023812667652162937,0.009652712591268384,0.019895429799535572,0.08270237853625909,-0.08939647976049304,-0.020495716862000538,0.00896856814002138
QDPR,0.09619731781262619,-0.04469860654383657,-0.003644068021282481,0.0015346941460327936,0.1599044155546021,0.11787972101170564,0.09417073896238329,0.030341545048219554,0.03265609346875594,-0.2617347246538899,0.07551923518957018,-0.007993576758000867,-0.012702995875194203,0.03322120841733649,0.018449144153193178,-0.1460760435104866,0.14810280582696983,-0.03303236756330728
POMC,0.19759069567155657,-0.023126401014070964,,0.10195609897353183,0.05178859809971602,-0.006011591544029662,-0.002580003298439446,0.05247934662142629,0.04817901927988515,-0.03543238394450968,0.08527936997184368,0.042137467516399116,0.04088238307722242,0.06394031685271738,0.004586507618944407,,0.039971594115164,0.037373608311069534
CCL18,0.02914229748040715,-0.022480507202580758,,,,,,,,-0.11103066318659505,,-0.023484270687673177,0.04249507185466445,-0.009015571260227877,-0.04626336280526596,,,
CCL17,,,,0.10776914667585248,,,,0.0343052736721367,-0.039159031540260195,,0.03459335436542329,,-0.04179793382227149,-0.04771238008969319,,,,
