,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.06962221411444984,,,,,,,,,,,,-0.003386498246513937,,
BMP1,-0.09267366399174716,-0.047655304981789305,0.02839675763335139,0.040873689319477866,-0.06157829937039036,-0.07707180089850608,0.05852811300289301,-0.0046503286350602965,-0.03988451045473511,0.031687833941639196,0.017660631134453184,0.055475361550582594,0.08901083703793389,0.029645085105429177,-0.052287094785061446,-0.02421839982560593,0.010900748987834503,0.005503262480235783,0.007945382904203522,0.04967354920868993,0.015964065192353643,0.02048999586914191
NDP,0.032039073810369044,-0.056501719392243945,0.04728689783918555,-0.029631907059306472,-0.06579677073296143,0.04901627348465802,-0.04810424901137814,0.03527441017900818,-0.029229001208172713,-0.0193149215140969,0.03747640779643901,-0.018739495033767317,-0.029355556226176794,0.0707886221629616,-0.048932181040981924,0.16886665116325672,0.10174818932568001,0.0091554345401689,0.06950725054099878,0.08490036318047327,0.027061122641430714,-0.017967281149980897
TNFSF18,0.04382683203652058,-0.007534379487851597,-0.010092130416280416,,,,0.042287537692372854,-0.03624338109919906,-0.013259369982904992,,,,,0.03179840225671505,,-0.057639769012993884,,,,0.021736175678780438,-0.032837977459017786,
IL36G,,,,,,,,,,,,,0.01088719594486516,,,,,,,,,
RTN4,0.044566503199712226,-0.003222544117460053,-0.029631616585121697,-0.002145838555194817,-0.026788722114473425,0.0067274669816398255,-0.023263708295887187,-0.023905182120768743,-0.030116697569713257,-0.021572447984112595,-0.09199449992659064,0.0026290951896959743,-0.06505489935116754,-0.008227462448407233,0.09826728999888819,-0.009750729405524105,-0.056318827763326626,-7.055983230735235e-05,-0.006191198829415853,0.04338840101485337,0.01549879681904149,0.0797620829845181
HEBP1,0.04208885628653972,0.028119808375197407,-0.03492122270867905,0.02286334914023126,-0.03070299829494696,-0.039498586498404493,0.004862828947075669,-0.019971894869250224,0.03702318907441872,-0.017428721678942927,0.07201364837365022,-0.05622360251651519,0.036494585356201384,0.01983293554315945,-0.07781008194930959,-0.04102417116749865,0.06724538642646544,0.001955690137899995,0.04053750324901018,0.06772735878890766,0.0016119527726005383,0.024550461748354492
WNT7B,0.015190880436923323,-0.03832196102119626,0.08374330840394427,0.06766279344225128,0.007256572377597724,0.021832466918793567,0.003435472253338515,-0.07371482658037148,-0.03800674977222086,0.020352712972202723,,0.0382467468630157,-0.037963750701713754,0.11093550781937868,0.08579921293954743,,-0.03136553665946912,-0.010856519779204002,0.061353174796976315,0.017410358199279274,0.04518802619104836,-0.0023505452014059725
PTMA,0.09891503734044235,-0.08314230555130246,-0.029925035362959006,-0.004668151757068921,-0.022878957697391244,-0.0403099161080953,0.05428700319526283,0.10414136302974565,-0.0028138195014169145,0.07091326521348827,0.13733606564662273,0.03894806352448029,0.09009578266976365,0.023438104756835224,0.008524999265293872,-0.046495685076262144,-0.04193543889505358,0.033359524202635354,-0.023554189202157724,0.020862819482706147,-0.01685776423589925,0.11669722521607014
FASLG,0.011778985641597833,,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.03231391209288487,0.0041458011357994725,-0.008888114398407882,,0.0029161606761525898,-0.03155811058397079,,-0.03976546800917865,-0.020853830149864885,,,,,,0.047569294278716916,-0.04053053991334494,0.024054785708709264,-0.019823715242205445,0.0163662407060817,0.026916320308766745,,
PDAP1,-0.022756926686040617,-0.032395343460431186,0.027040615633504208,-7.983948995007328e-06,-0.019662785304667023,0.0093913786902541,0.001813105923196211,-0.04179370331399275,0.004894381144960146,-0.0074173517318568425,-0.022372438406057803,-0.01624795131761075,0.029581149755014063,0.016006586348963604,0.010576770408015598,0.05579837088139063,-0.02842338410666714,0.032549140281867874,-0.005503633883231822,0.012436976634080901,0.04149134431285181,0.041774675711822064
QDPR,0.20423415295773653,0.0018678331177665456,0.020142839210333326,-0.006701641921045439,0.02235233498367505,0.025138713832969894,-0.06483419267842007,0.18690017959801525,-0.00795778959026554,0.040627637516672435,0.1810400085989654,0.09148808936145678,-0.011685809502589569,-0.011933276404199326,0.012309326554595873,0.014473014525954914,0.025537652870243257,-0.03315645893483015,0.001442681986540932,0.0028141870328116394,0.07454935157101959,0.014568325940869466
POMC,0.001584000860277735,-0.010189826517152962,-0.01791330937130314,,0.02080779410891215,0.09567144719887609,0.007926341453192109,-0.03804464189416403,-0.01538512440188346,0.017769255402854494,0.06866468329661048,0.07024858202992351,-0.04986096161227383,0.02922268354131884,-0.04773250419485436,-0.051252661302552835,0.011832661254968013,4.887416674064187e-05,-0.0025299616464259248,0.055601707230021405,0.027813413619695804,0.08339972511038503
CCL18,,-0.025737258053228802,,,,,,,,,0.04041372907375386,0.01977424136264693,,,0.18105456313564045,,0.04938054501050775,-0.01030966944704185,0.10660029572115574,,,
CCL17,,,,,-0.030102053972936395,,,,-0.00014638152211132773,-0.006392194055631022,,,-0.01068137691408387,,,,,-0.014063966469556318,-0.03142536437807586,-0.035534244198952916,,
VEGFD,,-0.01005679209472704,-0.045127505121845685,,0.0006845301800099338,0.058780397237876716,,0.025995800603422242,0.044084858103,0.02598900730010969,0.04597433131028254,-0.013681194281500579,-0.02294619924589106,,-0.04607085768565735,0.03320360447461005,,,0.05296345625754958,0.0028850856686235913,,
TNFSF13,,-0.03260010106129731,,,0.008097636639649875,,-0.004127921957633586,,,,,,,,,,,0.038390851407318245,0.06256359405541821,0.01800329592720188,-0.005869121918960651,
WNT5A,-0.09736202542006724,0.005269098746222128,-0.026742395342593907,-0.048177408517545324,-0.03277697656959276,-0.06495805128212766,0.06436612295893453,-0.027239208787435982,0.02560231100594202,0.04456135781296749,-0.03172599915236002,-0.03293273407741175,0.002234926348617383,-0.045238226497148835,0.0035655330084781076,0.021819704556588118,-0.005527907778598144,-0.056294536476207156,0.027056231526832803,0.06400093579398809,-0.06128204487146572,-0.01008404947020116
CXCL8,,0.07143674272660419,0.005594765654269051,0.031081338721060402,0.08065749569853482,0.036767118245939256,-0.034598923958518615,-0.0005199839491336606,0.0157424124479511,-0.022325189969509437,-0.0013055730696802765,-0.03230447700363364,0.07149647003389803,,0.026614807854772583,0.04499741084117699,-0.03960261429706732,-0.04223933030885117,-0.07593128147396673,-0.04255112214879676,-0.027608375058346787,0.005715548330772763
GRN,0.04088539052590608,0.003179572385993378,0.06324690456901519,0.06055385921905928,-0.06288753040401165,-0.00671007495335608,0.06377628984337282,0.04052642362219451,0.02453411532596946,0.02861742246453202,0.06949808651049962,-0.023179197686576256,0.01991010043135448,-0.0037597016924366404,-0.052683552378609055,-0.007985229575189637,0.0037866786278258993,0.05277730623208586,0.021267653066992003,0.007074758445443384,-0.00678605744635979,0.005148750413879845
