,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,0.009089495055817931,,,,,,,,,,-0.0040815664621192274,,0.01080336022574575,,
BMP1,0.012032393972479403,-0.0258161107841596,0.10806691316734819,0.0090115675868218,0.030290056396602972,-0.02103184320088722,-0.020665396402548584,0.03308010453632609,-0.07899804173813745,0.0029067708530814973,-0.01761008253145318,0.0024939618050483702,0.05787925058520145,0.05344020710411106,0.06512516126139752,0.13517701570041593,0.10784059787173807,0.027891020773783075
NDP,0.018391167961106056,0.06000103597278028,-0.03185612508469062,0.0013116358307187783,-0.0013469021324117793,-0.0014171557857740598,0.00704590179067801,-0.02511325769705926,-0.07400428860037814,-0.01887230534644606,0.03265556153427738,0.04346132223370941,0.11815912250297711,0.023394944748837312,-0.013767919064204423,0.032744533599598634,-0.006587738572088701,0.05923022279189922
TNFSF18,0.04767010800870116,,0.009907632067201117,0.06054567987856472,-0.015238830769659522,,,,-0.026346383458623647,-0.043522637397720186,,,,-0.011019499951673126,,0.04595326076913176,0.019807952818121293,
IL36G,,,,,,,,0.03299061131175985,,,,,,,,,,
RTN4,0.08835864674810905,0.08103743005917188,-0.12436449500284377,-0.062130101612165346,-0.008723721369876104,-0.05872873326445436,-0.0740334176828123,0.10026157977751068,0.02747541732414497,-0.0317040495437418,-0.015097753304455832,-0.15061772616445077,-0.03566901348054493,0.06969437217423216,0.05573774356545736,0.060069482704608004,-0.08182630742053133,-0.04537774625735634
HEBP1,0.01254596116727432,0.061031590994133376,-0.004558486082281478,0.069898711223481,-0.014477593642008872,-0.018850047382778665,0.07068465949331443,-0.01869333031950487,-0.08719745480414172,0.046342007756384786,0.0014233804262550023,0.04196115135590434,0.06109789982936872,0.0010173229068834676,-0.03286070905060451,0.019156637607463226,-0.007071399965008085,-0.023203925204805808
WNT7B,-0.01862856034133011,-0.007533870256219981,-0.0107745216082271,-0.052796391276537784,-0.00872139620497366,0.004209832447004129,,-0.02582622925787087,-0.029004796638388737,,-0.032749770626570855,0.061284998792161025,0.04449973196142741,-0.02607013740028519,0.012174891807264346,0.052647678593146015,0.0004842854262551795,-0.05397469964515537
PTMA,-0.047117334917976275,-0.05807598199473712,0.20133389060609147,-0.04704616374403543,0.03173518276078505,0.047904163438892686,0.12728105141317217,0.01392529118139398,-0.026702663370904343,0.0018720690855503037,-0.06459430983832488,-0.050200899514749084,-0.017692305362827804,0.04901133725703376,0.0492872532453778,-0.01944980628068316,0.04922295717238959,-0.007871593497401266
FASLG,,,,,,,,,,,,,,,,0.07564664869379437,,
CEACAM1,0.008553271656463458,-0.025531235441634954,,-0.005415092333261229,0.023648122939983723,,,,,-0.03060380050767856,0.11625902650839037,-0.05026714064298785,-0.033183537973379425,-0.05585214058825294,-0.032945177701254304,0.042579429910917926,,
PDAP1,-0.046717331992073015,-0.014292675226398741,0.08849996045554555,0.04305576851632054,-0.01709210191896778,-0.010560245788889585,-0.010160805152580466,-0.012027609211064967,0.09349026703945723,0.004458178210637326,-0.013948789855062378,-0.07892452910779627,-0.003962847437228961,0.052931375574908734,-0.021375949011447265,0.012746880907603205,0.015176972624449576,0.04239973780256816
QDPR,0.0027899434327202945,0.060513453613777766,-0.049291653102500554,-0.02279420174330134,-0.03672548666623917,-0.057343282626925916,0.06898285615612919,0.0385778612687339,0.05746998033652411,0.03566680925870311,-0.005507107494743342,-0.031950371610285924,0.035344172706522764,0.034070290734119234,-0.05071277272236642,0.06481308699014374,-0.06523550346342398,-0.037637599753483256
POMC,-0.025402243572865253,0.031789385797753984,-0.020855303669469968,0.0005575945644152697,0.04487212962499158,-0.04806488698925708,-0.027320960112273196,0.044223721746523385,-0.0033536009281590266,0.003776341430998946,-0.012349744908293497,0.0424450627345962,-0.019655707472104485,0.06463795944407892,0.02430432760212106,0.0545376824645356,0.017644356784994007,0.017008487296277994
CCL18,,,,,,,0.08874749393368662,,,,-0.02082418077108666,0.019743541871192358,-0.0032340091698926125,,0.06480156836586588,,,
CCL17,,,,,-0.01900578887898458,0.005359196865509891,,-0.021465441242926,,,,0.1311172119136056,-0.06218061086998336,0.023748965592912025,,0.06597701314251998,,
VEGFD,0.011464267236265495,0.17023016703572236,,0.10393402148717475,-0.02024906051881773,0.03888074369157578,-0.033033999835080104,0.0059844245792736615,,-0.041605196143774226,,,0.09098010967087236,-0.003346576140898896,,,,
TNFSF13,,,-0.022238340039743867,,,,,,,,,0.01089484907535875,-0.04862162959072781,-0.05175410882663905,0.04574010243111907,0.015945427218460234,-0.01842373926362536,
WNT5A,0.08556034891579312,-0.052935431443312364,0.10835151426527402,0.07834167506203367,-0.0072114552182380755,0.034695979995892565,0.004694736308094529,-0.014686841724634058,-0.01099518771384958,-0.07687333625556995,0.06616398067121278,0.02139867746057985,-0.0010883701418213617,-0.06715823444985675,-0.020636969005611374,0.05164804027845441,0.0527919660629487,-0.0037793401816000557
CXCL8,-0.019173056726917118,-0.009072433473809788,-0.03163259634657887,0.007875179504620008,-0.0644408421445398,-0.018421892281755853,0.01397417549354336,-0.010762722726149353,,-0.06872100719958663,-0.03666424887384791,-0.0244395397818789,-0.10423915204792757,0.1012616917142653,-0.029577411119943758,0.023734118529367916,0.015939716075136612,0.13221767370963414
GRN,-0.036667475731641114,-0.017370798420478357,0.08979645314967982,0.11234551758673214,0.027706347886162833,-0.016566972133202375,0.09732564316465886,0.024297956229223983,-0.010808270656805155,-0.05745735634692383,-0.029327701788735658,-0.004789155306414048,0.005942624404623726,-0.05915643514688462,0.06932029383906926,0.07738221576063423,-0.05179898225716236,-0.00563140384378082
MIA,0.05348092118260172,0.006141707946111879,-0.012986141614569293,0.035865045994288657,0.02421082395801926,0.042125947470620075,,0.011352954392631764,-0.01315210568165108,-0.0187235705376474,0.06055080488549974,0.22697889571228386,0.10752198271715588,-0.06442672667533145,0.008412301368055548,-0.02203448990043541,0.11034423704554361,
COL4A4,0.024919760255306088,-0.04156995981730935,-0.021158798048705383,-0.015468441762836219,-0.01984263160351858,0.04882653307289048,,-0.030562615358097657,,-0.03257768796293653,0.0017051985212881752,0.13355074188432367,0.005478237302235141,0.005639103000022268,0.04732167896915117,0.0010664552911959356,-0.0369604700038003,
TAC1,0.009343228209679115,0.07931370098965715,-0.12725958535781137,-0.05097392070505614,-0.05292322806852573,-0.016930624210209588,-0.0899222192123559,-0.012692625416517233,,,,,,,-0.03676270758106916,-0.041754547649857865,-0.05191545590507971,-0.006049723518121
RARRES2,0.03704579682004357,-0.07598774258096347,0.08753304316691621,0.11510431481564082,0.019734907393390125,0.04737692444719299,-0.007676038527137773,-0.019530524932945933,0.062452826094689405,-0.04960036499245074,0.024800872958161982,-0.022581183696214827,0.03893407486211965,0.012249698600054957,-0.025183253595066887,0.04011384036036197,0.06122906537612106,0.03194336967113143
FGF7,-0.023111607897571225,0.05445237669920589,0.011412253695685274,0.03613226759072769,0.007846641666693565,-0.05245306462552185,0.004664281789121375,0.005526315505668385,-0.0691335481536519,0.006000878119673526,0.008809616382793423,0.041970332418581884,0.05244714985216403,0.02218074077432562,0.00862676298148121,0.06754216675301714,-0.048591593792694815,0.01845688164198305
EFNA2,,,,,,,,,,,,,0.0034874395692240444,,,,,
HBEGF,0.016732376926350472,-0.012937028335164073,0.13211673765809134,0.046254254717865706,0.05221239367678268,0.0032026528960695977,0.03525613952708132,-0.025435255188683063,-0.04868517541228333,-0.015296626962274055,-0.04859889855285178,0.03424844242586447,0.08522767453270216,0.08853201904956107,0.0771318924767668,0.14650729609278454,0.1477896987910728,0.10290991334006461
CSF3,,0.010979165764729603,,-0.01636531365454813,,,,,,,,0.0065254265607124955,-0.12944171290753778,,0.06486606051917863,0.004859307713478839,-0.03223100753953259,
PI3,,-0.03545200846189835,,-0.0184275591737816,,,,,,,,-0.08168524120817537,-0.06467692442342603,0.020452102615605667,0.02269340904352427,-0.060097901497610816,0.04999268429251247,
