,UKF248,UKF269,UKF313,ZH1019T1,ZH8811Bbulk
IGFL3,,-0.0175536892245204,,,
BMP1,0.06863307330918737,0.1014470324964517,0.09818234370977956,0.04626882335334549,0.04272294965906672
NDP,0.03993337442610012,0.07961353979177939,0.09013636781461762,0.08240795049584791,0.06819781200872582
TNFSF18,0.01016546630677379,-0.010862832016919498,,0.04144420119538098,
RTN4,0.06291032183550664,-0.0873386965677727,-0.05973978864617983,0.09675505654720441,-0.02398358838009975
HEBP1,0.02714961988813742,0.07641329592738012,-0.03549772651398331,0.04236436467271791,0.040687339026089744
WNT7B,0.0017310277424845892,-0.02743733190885928,0.0038988571002883925,,0.08896631455981924
PTMA,0.012011742943247368,-0.015843196322223037,0.0761442715025886,-0.06310593228536977,-0.011313510417698664
CEACAM1,-0.00449383108601574,0.03490661840413086,,0.0328603468434189,0.049864329357060554
PDAP1,0.0505786304871893,0.06020059961587041,0.08050161716057287,0.024717214131637057,-0.02548698772588804
QDPR,-0.027822042821934477,-0.06482879186768949,0.07709486793296137,0.051354289417729,0.061737540085850175
POMC,0.01135253701162573,0.037100693856025636,0.044146830864728995,0.09537924077800636,0.08564687201920744
CCL18,-0.026366987337633485,,0.05728940215396489,,0.006686307008742471
CCL17,,,,,-0.0325765507303901
VEGFD,-0.026366995710386917,0.050798524111239474,0.009109302139148272,0.05280140797688652,-0.02256677104349096
TNFSF13,-0.01989738107498717,,,,-0.024128910911488357
WNT5A,0.07075630772224427,0.003546429690250175,0.0330711059442305,-0.03034276746328845,-0.06414588020518812
CXCL8,-0.01865188187918763,-0.021532488042166217,-0.021818442782691242,-0.04260377668556487,-0.06010348532596706
GRN,0.0401126780059801,0.05467131876208542,0.01169689864253464,0.0494702713952693,-0.057119044748598066
MIA,-0.025501843666284107,0.0569291719267447,-0.02101020327038118,-0.055993708105669684,0.07822441130051125
COL4A4,-0.03166653756689542,-0.017297857805248396,,-0.032577732492458815,-0.013898952918210253
TAC1,-0.06233022944892184,-0.04586549343073294,,,
RARRES2,-0.026612872360829466,0.05397506449705573,-0.04303762734184802,-0.0745039374838955,-0.03871571247370636
FGF7,,-0.0333906333770361,0.044289394135108295,0.039526026553215805,0.03158839657214849
EFNA2,,,,,-0.02144820563907797
HBEGF,0.06546620562363273,0.02476369596476427,0.08647411120505999,0.0122491899458269,-0.05222720137032707
CSF3,,-0.018300800615533908,0.01004705414733015,,-0.015531090505461793
PI3,-0.002883572483515335,-0.020606943037514397,,,-0.06170132582778982
PCSK1N,-0.02484908357794037,-0.045843811603341,0.07358673113475667,0.06390250090113529,-0.06367070570226879
NTS,,-0.02249388538477408,,,-0.026130568486279464
SFRP1,0.03594607585834053,0.14667286314842487,0.0917433321534874,-0.009848035304467415,-0.005550957973937032
CXCL13,,,-0.01771107979561758,,-0.02383801299215602
MICA,0.032899781175418204,0.012212147163712989,-0.006471371742702369,0.06579705001486763,0.04311497493699375
TG,-0.007734948486867546,-0.004192784274886267,0.04249297245381244,-0.03552518511207599,0.04738475668672925
ADA,0.05298658780489527,0.03498675840003313,0.11518457342235504,0.017509453908767802,0.04826189139932437
LAMC3,0.0805763581629399,0.052428582812786347,0.04699662974142583,0.0545745776394061,-0.020903727749409382
CCL7,-0.01677163137090087,,,,
NGF,0.018383505405426673,,0.060846394551506366,-0.05843528761133245,0.018971889060351844
TNFSF15,,,-0.014821554048332984,-0.026886180114144297,
