,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.03315738327297987,,,,,,,-0.015863883390005298,,,,
BMP1,-0.05632918647481273,-0.026895907472433554,0.013840941916193629,0.0427919221370833,-0.0098922662284792,0.008156767915721166,-0.055429415291660594,-0.24390589111828145,-0.03214189267726163,-0.008844983018604766,-0.11833608073674849,-0.24348732018431293,-0.008253650382287425,-0.0043320224964369875,0.052522724055127396,-0.06663604074061596,0.0036523137761448584,-0.031445229805643515,-0.02489293919860558
NDP,-0.030562658655909646,-0.00809571864051587,0.02536982694919325,-0.01381230567156109,0.036302051220045824,0.0442469571839117,0.05956216974381964,-0.06256338899602264,0.03710769499833795,0.016121371871085196,-0.05466370886337528,-0.08216196667459674,0.06146811329438907,0.004645009447795294,0.07683347108996492,0.0034231443575005816,0.04978383323871166,0.039466373002538815,0.13694744173356801
TNFSF18,-0.031018889970029183,0.005403968786928865,-0.029677239568399683,,,,-0.05290898199718531,-0.04923771874845195,-0.0194223765080974,,,,,,0.01432862817835613,,0.06315988504311319,-0.07179618486331604,
IL36G,,,,,,,,,,,,-0.030802041608732292,,,,,,,
RTN4,0.2265721379301135,0.042324366591073546,0.026843875353948218,-0.03060913800013575,-0.005714251999364344,0.06439745738693793,0.2371333157819254,0.33859405774467294,0.15752800180817153,0.09727902570832919,0.2938673139893153,0.2638193128450635,0.00519031122066721,0.008480301157007278,-0.0234997982820702,0.07954418870681544,-0.03613507144874574,0.31804328865184117,-0.0028245665889269707
HEBP1,0.0027365047276948526,0.03151446111059436,0.049808180055229814,0.004255664729032467,-0.06684829320693213,-0.005081323911217845,-0.05773454679572492,-0.09547906065964655,0.023378167452921275,-0.07151238413136055,-0.09799651663153289,-0.034820814256152306,-0.05675650422239834,0.007707583613995773,0.01683737904184237,0.01257917831724377,-0.0584361818247006,-0.0035710407288800593,-0.046316618046434485
WNT7B,0.2651929255927515,0.07577016834227604,-0.018434581262367078,0.05015192527348608,0.024865966399613495,0.13901499577056273,0.09495614916233475,0.18174816983312136,-0.027047422362217195,0.017168492154694213,,0.061672993948804766,0.001990298557513076,0.029159028726437667,-0.03421038235965591,-0.007806586330714407,0.1380406091027746,0.0483038833874451,0.13192931720232318
PTMA,-0.03560797639723189,0.03621671276203413,-0.02613721401230333,0.0005191742871664048,-0.0639672259824049,-0.09925659275854942,-0.23972141751703258,0.0003007841070877886,0.07917877765535186,-0.06470981043028322,-0.39943350828395485,-0.29256966366072207,0.024494306335706578,0.006560670303627234,-0.10062736972220712,-0.03810091802908748,-0.08626473930819126,-0.1179691635714468,-0.10867309081823524
CEACAM1,,0.010147347499975905,-0.014147432353464435,,0.025959582560476993,-0.009664964535674999,,-0.06479403350219323,-0.0305467711760654,,,,-0.017227203203956404,-0.020435812648302368,0.01824537098737383,-0.029175884620076104,,,
